Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9
0,33.0092,-0.143786,0.239277,0.472857,0.16234,-0.50126,-0.304934,0.334859,-0.276048,-0.200679,0.315076
1,-28.099,-0.426607,0.0564318,0.256124,-0.295264,0.424417,0.527392,0.116688,-0.287912,-0.0198942,0.326902
2,22.2215,0.693795,-0.285177,0.0190753,-0.250919,0.217173,-0.104875,0.0909319,-0.240717,-0.372319,0.333169
3,-20.9806,-0.173454,-0.592178,0.518341,-0.262266,-0.181404,0.0226144,-0.167993,0.236929,-0.254569,-0.314954
4,-13.909,-0.00973525,-0.112601,-0.210302,0.120028,0.0121745,0.239914,0.785693,-0.00686423,-0.268735,-0.4258
5,13.5584,0.188953,0.0732398,0.10105,0.260647,-0.147048,0.334436,-0.361328,-0.660091,-0.0883708,-0.416206
6,-7.9,0.0606103,0.198644,-0.00331887,0.384714,-0.0584868,0.411132,-0.213584,0.45062,-0.572092,0.245835
7,6.5665,0.399781,-0.152853,0.29154,0.143104,-0.244785,0.454103,0.196933,0.191305,0.584498,0.167897
8,3.17167,0.121972,0.391989,-0.18345,-0.707218,-0.472232,0.23028,-0.0240331,0.0752891,-0.0830252,-0.0921116
9,-2.90912,-0.267808,-0.522532,-0.51833,0.0611365,-0.424761,0.140314,-0.0700899,-0.213853,-0.00756997,0.363349
