Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95,Eigenvector_96,Eigenvector_97,Eigenvector_98,Eigenvector_99
0,-113.415,0.124216,0.108746,0.0199136,0.0449837,0.129201,-0.0494545,0.140567,-0.182192,-0.141708,-0.199337,0.244473,0.0668071,-0.19882,0.0812251,-0.0818054,0.0684636,-0.0849492,-0.0125722,-0.124031,0.0821942,0.0329091,-0.0426288,0.0282801,0.0595965,0.191002,0.0433651,0.0547092,0.167093,-0.00231236,0.0848985,0.0341206,0.0839124,-0.0711552,-0.0535921,0.0671958,0.00329992,0.0310845,-0.0391083,-0.0214065,-0.0409591,-0.108327,0.0129634,0.0667325,0.167535,0.0712975,0.107309,0.142399,0.0871859,0.0891596,-0.004717,-0.0750117,0.034852,-0.0936648,-0.0434911,-0.00732754,0.0628213,-0.0387338,0.122067,-0.0525391,0.00905913,0.0742213,0.0152833,0.0576589,-0.177376,-0.0483345,0.0143181,-0.00306834,0.117506,-0.0158462,-0.0673374,-0.0174137,0.160137,-0.0383223,-0.052047,0.0745231,0.0619588,-0.117075,0.0277067,0.0957822,-0.223293,0.100294,-0.113617,-0.208588,-0.0594258,-0.171345,-0.0689188,0.0575085,0.0113673,-0.208551,0.171918,0.0282421,-0.171343,0.0579165,0.140986,0.0874191,0.0840711,-0.00852351,-0.0438681,0.0973325,0.0750682
1,108.416,-0.130612,0.0216706,-0.0848693,-0.109121,0.0658414,-0.0230622,0.0551424,0.0296541,0.00395627,0.0802793,-0.119205,-0.0128214,0.0403255,-0.157099,0.110089,-0.186061,0.0487094,-0.141243,-0.113839,-0.104806,-0.192752,-0.0245503,-0.018952,-0.127352,-0.00817936,-0.0599737,-0.010088,-0.0776346,0.0794514,0.0940251,0.0463872,-0.0805618,0.0288322,-0.116894,-0.00657938,-0.141184,-0.0664659,0.0924385,-0.103156,0.0172239,0.0378005,0.03829,0.0548296,-0.0962827,-0.0316888,0.180819,0.0970144,0.105464,0.0779322,-0.0464475,-0.0526149,0.0771182,0.250244,0.0869297,-0.0375037,-0.163541,0.0305705,0.0811862,0.0630958,-0.139431,0.121917,0.028238,-0.0128435,0.109564,-0.0817977,0.0475883,-0.110331,-0.0190563,0.0588608,-0.0300998,-0.0132457,-0.0475623,0.025609,0.0782969,-0.127545,0.0371994,0.0517113,-0.183889,0.0367256,-0.158596,0.170263,-0.120659,-0.00967186,-0.0212931,-0.030526,-0.0559005,0.0443149,-0.0332022,0.0122259,0.168701,-0.06507,-0.0928303,0.0296445,0.0780577,0.148262,0.161282,-0.280505,0.252615,-0.0751851,0.114677
2,-108.272,0.0192688,-0.0461356,0.000742168,-0.128121,0.0940573,0.116835,0.0534815,-0.107368,0.0222233,0.0748649,0.0203041,-0.00879114,0.00353659,-0.129814,-0.223478,-0.0363542,-0.00690167,-0.108836,0.0568588,-0.0431353,-0.028507,0.0401086,0.0441247,-0.147263,-0.0119467,-0.0804412,0.0414264,-0.208457,-0.0689367,0.00231039,0.00212405,0.188955,0.0833653,0.150771,0.148046,0.0176715,-0.0405023,-0.0819928,0.0309177,-0.113806,-0.0455306,0.165693,0.0383496,0.056541,0.0767342,-0.0842245,0.0899106,-0.220448,-0.137791,0.153094,-0.105215,0.046535,0.000449752,0.1337,-0.157189,0.0103754,0.0784155,0.0247766,-0.141653,0.102186,0.0311434,0.0522161,0.0575761,0.0982738,-0.068417,0.0343499,0.0191056,-0.0638737,-0.05131,-0.170181,-0.0432617,-0.0637949,-0.128904,-0.0751376,-0.00961272,0.0238458,-0.302372,0.0185344,-0.0598682,-0.0334464,-0.0540385,-0.136506,-0.0153051,-0.0506872,-0.0219277,0.0754127,0.0165654,0.169192,0.174412,0.0197108,0.036513,0.0161946,0.263944,-0.0818032,-0.109658,-0.139595,-0.0437485,0.122281,0.102917,0.0972751
3,102.726,0.0300281,-0.00827927,0.147662,-0.084967,-0.0489258,0.0914959,0.137249,-0.216739,0.0872873,0.155199,0.105398,0.0995966,0.00464784,0.0810155,0.0171059,0.009366,0.107614,-0.166972,-0.125041,-0.0877766,0.0129478,0.0577417,-0.129662,0.240284,0.0432855,-0.107983,0.0473181,0.120166,0.0250601,-0.0524943,-0.0118513,-0.0927611,-0.200666,-0.0934501,0.0301258,-0.148992,-0.0422631,0.0185306,0.084396,-0.192657,-0.0729365,0.0982532,0.114314,-0.0193676,-0.136199,0.101419,-0.2304,-0.0479231,-0.130991,0.0759113,-0.0791395,-0.116711,-0.05928,-0.021816,-0.0897657,-0.167461,-0.129623,-0.155374,-0.134346,-0.0228309,-0.0622608,-0.170082,-0.135225,0.0939021,-0.112298,-0.00255184,-0.0857079,0.115243,-0.00248951,0.195676,0.10175,-0.08465,-0.0920204,0.0617166,-0.0629099,0.049538,-0.115308,-0.061596,0.0108958,0.000650721,0.0479083,0.09774,0.0589655,0.0132889,-0.028936,0.0758038,0.106487,-0.0592703,-0.0134265,0.0313366,-0.0711918,-0.0685927,-0.00606699,-0.0777316,-0.0466674,-0.00442828,0.0125078,0.020103,0.0667355,-0.176043
4,100.825,-0.125663,0.0854153,0.12491,0.0650169,0.130262,0.0232909,0.0293576,-0.0719832,-0.0740918,-0.0822449,0.121284,0.0885178,0.159959,-0.010212,-0.037872,-0.0708793,-0.135712,-0.0788379,-0.00176749,-0.015529,0.0233242,-0.0728559,-0.0283529,-0.046693,-0.0473324,0.000538843,0.281433,0.00357857,0.0311175,-0.247182,-0.0786771,0.0681111,-0.000617155,-0.0675423,-0.00047119,0.1004,0.045904,0.196286,0.237409,-0.00471847,-0.0162007,-0.0935058,-0.127401,-0.155908,-0.0255355,0.00731346,-0.0771451,0.0996949,-0.0918391,-0.145433,0.0410829,-0.195147,0.130969,-0.0384279,0.0917145,0.132667,0.0389081,-0.188047,0.0396359,0.00374749,0.0735926,0.154611,0.0752033,0.0700906,0.0318195,0.0240328,-0.0112477,-0.0160992,0.0624702,-0.217273,0.191665,0.0475425,0.0490119,0.16561,-0.0455597,0.15405,-0.0940225,0.0696326,-0.0551403,-0.14983,0.0499043,-0.0252275,0.0399539,-0.0778395,0.0625338,0.0168587,0.0222122,0.0437651,-0.0196285,-0.102059,0.067694,-0.132681,-0.165671,-0.134439,-0.0549429,-0.0535012,-0.0275525,0.0382717,0.0394573,0.126136
5,-100.312,0.0828283,-0.0243424,-0.138892,-0.0863752,0.24131,0.135989,0.0826101,0.0155601,0.211451,-0.0357201,0.0803317,0.0711555,-0.0486858,0.0120833,-0.0453531,-0.0756191,0.2029,-0.208364,-0.135273,0.0645447,-0.000583563,0.153662,0.112466,0.00415524,0.115328,0.00288714,0.0884948,0.0583416,-0.0528461,-0.0409906,0.0483292,-0.027038,0.0294781,-0.174188,-0.108182,0.100052,-0.0479771,-0.0833527,-0.186282,0.000514701,-0.0332627,0.0230901,-0.0758643,-0.100717,0.0994099,-0.10196,0.0336778,-0.153029,-0.132474,-0.155887,-0.0245743,-0.0217263,-0.0120624,0.0697383,-0.0904962,0.101122,0.0241735,0.0536208,0.0019618,0.0289013,0.0624562,-0.0873685,0.0825091,0.0415045,0.0275245,-0.0671171,0.162727,-0.015828,0.177418,0.059397,-0.104078,0.108556,0.222572,0.0545904,-0.107961,-0.00360614,0.0454193,0.0347731,0.123678,0.0205207,-0.0467165,0.124624,0.0187236,-0.223909,0.19861,-0.0724208,0.128025,-0.120179,0.0552276,-0.11861,0.125978,0.0748943,-0.0544698,0.145005,0.00750618,0.0556511,0.0681251,0.0204791,0.0356611,-0.0158388
6,99.5028,0.0146347,-0.0666809,-0.0491179,0.112758,0.0337271,0.05103,0.0117438,0.0561951,0.159093,-0.141157,-0.085189,-0.114908,-0.0279201,0.0360418,-0.102177,-0.0249973,0.0519488,-0.0487393,-0.113442,0.197459,-0.132582,-0.116861,0.0607669,-0.113281,-0.0721524,0.099841,0.186837,-0.0584723,0.0261641,-0.0139267,0.0615796,0.0366405,-0.0482503,-0.0313341,0.038158,-0.225512,0.0212912,0.00401461,0.0893882,-0.0439915,-0.0600992,-0.0521891,0.0536254,-0.117864,0.0776123,0.0562545,0.0214519,0.0834756,0.0230737,0.104229,0.281375,-0.00897686,0.00596071,0.0291484,0.0488352,0.0315403,-0.0647586,-0.102199,-0.143229,0.0211935,0.0404147,-0.216359,0.0918142,0.143934,0.282643,0.114474,-0.0665668,0.0353697,-0.00278603,-0.00567626,0.0786303,-0.0635923,0.0769097,-0.13281,0.194637,-0.129112,-0.0826792,-0.088159,0.0197274,0.0546292,-0.0317784,-0.0051428,0.0728954,0.187607,-0.124191,0.0147734,0.142156,-0.0537339,-0.00950468,-0.0711505,0.188675,-0.0403439,0.103166,0.0330644,0.241245,-0.0376107,-0.0361427,-0.0359879,0.0911176,-0.0796182
7,-96.8885,-0.134928,0.0117356,-0.0439712,-0.0362937,0.0680529,-0.260786,0.154482,-0.0338976,-0.0124725,0.0693071,-0.123417,-0.0638961,-0.0339644,-0.0671641,-0.144221,0.0874471,0.100619,0.0159733,0.0287676,0.180087,-0.0234475,-0.126366,-0.162035,0.0260344,-0.0314615,0.0231607,0.156013,0.00953794,0.13724,0.119614,-0.185399,-0.0339967,0.147421,0.0964544,-0.127727,-0.0151832,-0.0846713,-0.0306141,-0.0739173,-0.0307444,-0.0151985,-0.00330999,-0.0121198,0.128043,-0.149027,-0.0612633,0.040153,0.057124,-0.00666602,0.0909421,0.0791408,0.017926,-0.167238,-0.025071,0.0965327,-0.0540424,0.155455,0.0816147,0.00652879,0.0382951,0.0691192,0.00574021,0.0964928,0.153506,-0.212082,-0.0497494,-0.0347783,0.00714599,0.188039,0.0598176,0.0487645,0.166002,0.0132501,0.316078,-0.00795192,0.13547,-0.0324848,-0.139152,-0.130766,0.0522992,-0.0317438,-0.0203496,-0.111195,0.0384257,-0.117194,0.0692307,0.148666,-0.0972908,0.114682,-0.0280216,0.0247462,0.0970717,-0.0367839,0.0397837,-0.0136879,-0.076457,0.0905906,-0.144658,0.0372795,0.00414207
8,96.4836,-0.182794,-0.00329614,-0.156685,0.10156,0.110363,0.0475503,-0.0514876,0.0453041,0.148216,-0.0869996,-0.00360926,-0.0814486,-0.0266646,0.0226985,0.0723069,-0.130682,-0.125479,-0.106026,0.0437548,0.0760599,0.044697,-0.131512,-0.05936,-0.0010046,0.319914,0.0889413,-0.0808465,0.0953169,0.105131,-0.0821343,-0.0440424,-0.0609483,0.00676998,0.0255663,0.0180537,-0.0307953,0.070884,0.0104781,0.122381,0.0236916,-0.112803,0.145186,-0.0866253,-0.0111769,-0.0293274,0.141692,0.0841203,-0.0784164,-0.152094,-0.00744189,0.0654861,0.223275,-0.0877463,-0.0996648,-0.0207302,-0.128891,-0.0560133,-0.0272664,0.0495941,-0.100831,0.117283,-0.0513229,-0.0900257,-0.21358,0.0073437,-0.0495772,-0.0520453,-0.0912695,-0.058952,-0.00425566,0.0247074,-0.0675666,0.0763898,0.14776,-0.029469,-0.0763623,-0.178483,0.0613815,-0.00573132,-0.0627249,-0.147045,0.106466,-0.182798,-0.0655435,-0.00188417,0.111012,-0.220751,-0.0696796,0.102413,-0.0353788,-0.0481403,0.0655863,0.0333465,-0.0794187,0.0438605,-0.193323,-0.145846,-0.012505,-0.14199,-0.0986328
9,-94.7775,0.260544,0.111685,-0.010832,0.215309,0.153435,-0.158633,0.0627681,0.0667545,0.123223,-0.101252,-0.144619,0.0285554,-0.0226438,-0.11417,0.114585,0.0575332,0.0337993,-0.0481655,0.074834,-0.0368964,-0.0144289,0.0592449,-0.102612,-0.127438,-0.215748,-0.0616823,-0.0144542,0.168213,0.0234519,-0.0717371,-0.129048,-0.0320284,-0.0237007,-0.0440376,-0.0712706,0.10267,0.0470149,0.239498,-0.00659944,-0.097326,0.0663913,0.118133,-0.0543986,0.0829032,0.108728,0.0257228,0.0844327,0.0234496,-0.0823442,0.0848366,-0.0836202,0.0265533,-0.0728513,0.157014,-0.0265957,0.19749,0.164748,-0.104464,-0.00837581,0.0154076,-0.0159998,-0.286264,-0.0247227,-0.0587798,-0.0873767,0.0155279,-0.215182,-0.0135282,-0.0399892,-0.00750678,0.0159855,0.00552351,-0.0634879,-0.0865418,0.108947,0.0797759,0.0409129,0.0587949,0.0929453,-0.0857215,0.174662,0.0132544,-0.0167921,-0.0213503,-0.0240901,0.0192555,-0.0993463,-0.0326615,0.10772,-0.110601,-0.165031,0.0518192,0.0438271,-0.0184424,0.0201309,0.0197599,0.0896731,0.145442,-0.0493762,-0.0727809
