Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10
0,-31.7798,0.477251,-0.667278,-0.350885,-0.0372799,-0.243759,0.162884,0.0924614,-0.184741,0.00679625,-0.227478,-0.148464
1,30.4679,-0.192807,-0.0933057,-0.43526,0.494342,0.44027,-0.235454,0.377505,0.159104,0.289207,-0.13919,-0.0134147
2,20.0768,0.126618,-0.469711,0.20698,-0.128989,0.376298,-0.574463,-0.408249,0.136267,-0.0178515,0.199605,0.0828027
3,18.846,0.300847,0.160848,-0.0620983,-0.146532,0.11929,-0.267761,0.439696,-0.323249,-0.35628,0.00541505,0.589557
4,-17.8686,0.501469,0.114344,0.220628,0.33877,-0.0770462,0.164575,-0.129955,0.534249,0.16281,-0.222282,0.400956
5,-12.9997,0.100894,0.101755,0.0148958,-0.299739,-0.33467,-0.304177,0.184226,-0.0623419,0.780433,0.179518,0.0757907
6,-11.0436,0.295803,-0.0213483,0.202033,-0.246261,0.32199,0.235373,0.497734,0.34313,-0.0494965,0.392497,-0.359895
7,10.7615,0.311538,0.18139,-0.100761,0.174189,0.429097,0.33665,-0.326242,-0.504582,0.285704,0.297832,0.0268673
8,6.82966,0.183304,0.0490171,0.109445,0.607346,-0.39661,-0.305477,0.0721081,-0.12134,-0.196996,0.461554,-0.246517
9,-3.89139,0.28531,0.424339,-0.628729,-0.226238,-0.030551,-0.235248,-0.275117,0.280432,-0.169123,0.0292034,-0.22801
10,3.27428,0.259437,0.245521,0.365493,0.0218838,0.16413,-0.281648,0.0552395,-0.249966,0.044612,-0.592224,-0.462417
