Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11
0,-33.3986,0.313911,-0.0688033,-0.185637,0.1665,-0.37218,-0.474686,0.407925,-0.0882241,-0.0839782,0.113935,0.349576,0.392778
1,31.6124,0.378181,0.436335,-0.314842,-0.58779,-0.0714218,-0.112449,-0.370464,0.18727,0.144056,0.0245611,0.0243289,0.0998124
2,-23.1967,0.118461,-0.136005,-0.076045,0.0646049,-0.0522212,-0.0514772,-0.393939,-0.330818,-0.517973,-0.538569,-0.220953,0.283433
3,22.4379,-0.133376,-0.127684,-0.676213,0.157432,-0.330069,0.131354,-0.127022,-0.299819,0.0561688,0.344218,-0.26942,-0.239593
4,-18.386,0.00401281,-0.147831,-0.513987,0.241608,0.319297,0.216365,-0.0249982,0.564607,-0.227839,-0.141951,0.337902,0.0341013
5,16.0138,0.286755,-0.353515,0.121896,0.0703273,-0.189513,0.059325,0.0197844,0.502626,0.122524,0.109162,-0.618627,0.266284
6,-11.7087,-0.686774,0.326436,-0.0808978,-0.0690054,-0.127968,-0.370934,0.0842382,0.303135,-0.254293,0.00838356,-0.250081,0.173907
7,10.6671,0.369403,0.299071,-0.00843311,-0.00363532,0.000638899,0.00216703,0.422346,0.0678501,-0.493954,-0.0376377,-0.263738,-0.525417
8,-10.1522,-0.00947347,-0.0367818,-0.31983,-0.216198,0.564709,-0.0364409,0.460733,-0.265882,0.230673,-0.150612,-0.314541,0.267401
9,5.87795,-0.0161396,-0.296639,-0.101843,-0.00469857,-0.0471006,-0.557143,-0.0603065,0.129394,0.337663,-0.465536,-0.0192906,-0.487064
10,-3.39274,0.0545471,-0.344318,0.0698582,-0.159312,0.433013,-0.427671,-0.246599,-0.0394763,-0.330643,0.546085,-0.00329012,-0.0888397
11,0.31446,0.181464,0.468341,0.0128907,0.676449,0.286098,-0.24404,-0.248636,-0.0301923,0.220487,0.0818677,-0.165839,0.0549542
