Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12
0,37.7049,0.271529,0.22478,0.262304,-0.267725,0.0826153,-0.419156,-0.377842,-0.0345467,0.290196,0.469508,-0.155735,-0.282489,-0.00922186
1,-35.2048,-0.22421,0.201137,0.338165,-0.0217597,-0.164422,0.243864,0.0713262,-0.312947,-0.356076,0.0373142,-0.572914,-0.16445,-0.348511
2,-26.4124,-0.163635,-0.579209,0.108185,0.154684,0.0932819,-0.0152882,-0.223446,-0.256369,-0.239482,0.0397331,0.0490247,-0.504268,0.402368
3,24.8963,0.475958,-0.179389,0.211274,-0.264699,-0.504563,-0.101144,0.279943,0.316583,-0.20108,-0.191388,-0.172846,-0.0867712,0.262121
4,-19.9961,0.0647046,0.38345,-0.183793,0.510515,-0.0335913,-0.0957917,-0.436227,0.319469,-0.183226,-0.273691,-0.288695,-0.10169,0.222601
5,-18.9554,0.419829,0.161234,-0.0365991,-0.0737378,0.454678,0.010343,0.194531,-0.504143,0.119101,-0.440361,-0.182945,-0.0291463,0.222952
6,18.6029,-0.604265,0.186524,0.309245,-0.225626,-0.0777681,-0.344015,0.0382679,-0.0329027,0.148582,-0.271525,-0.0401662,0.218715,0.42584
7,-12.5955,-0.00184628,-0.336647,0.35511,0.231322,0.0593844,-0.186774,-0.0680877,0.169751,0.393742,-0.47067,-0.0559087,-0.125313,-0.489691
8,11.9089,0.00237296,0.421968,0.149248,-0.0774074,-0.270299,0.270214,-0.0646935,-0.100588,0.0672362,-0.240141,0.581821,-0.480718,-0.038685
9,5.83812,0.0738641,0.0855756,0.558356,-0.0219753,0.55505,0.241329,0.011194,0.397782,-0.309734,0.0672689,0.171655,0.115242,0.0842236
10,-5.78465,-0.190825,-0.0264238,-0.399655,-0.586905,0.279552,-0.123865,-0.0872083,0.275539,-0.25139,-0.258126,-0.0773288,-0.308082,-0.225759
11,0.973361,0.0195223,-0.166697,0.00971149,-0.311933,-0.0930555,0.619201,-0.499225,0.0518146,0.334563,-0.104397,-0.214968,0.189669,0.159494
12,-0.104293,-0.186682,0.0795935,-0.098941,0.123053,0.132171,0.248702,0.47799,0.319136,0.436761,0.190158,-0.271132,-0.425854,0.206046
