Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13
0,-39.3081,-0.0779851,0.289558,0.323414,-0.0355477,0.210108,-0.370299,0.0490173,-0.123028,-0.307509,0.1196,0.387711,-0.197315,-0.483393,-0.27133
1,-35.5014,-0.148457,0.125515,-0.268171,0.387089,0.0108373,-0.345696,-0.404043,-0.385381,0.14337,0.41272,-0.0196345,-0.126352,0.309096,-0.0792237
2,33.3454,-0.580516,0.425361,-0.140742,0.0828196,0.0160872,0.237446,-0.0045927,0.270627,-0.203715,-0.276579,0.181856,-0.290686,0.29251,0.0661299
3,26.5687,0.0519909,-0.00911213,0.0580386,0.277675,-0.115865,0.35681,-0.590207,-0.218149,-0.285479,-0.217899,0.170501,0.287068,-0.30069,0.221812
4,24.4795,-0.186333,-0.0501418,-0.216065,-0.704217,0.139365,-0.165827,-0.133434,-0.309311,-0.265642,-0.0557696,0.108427,0.342514,0.232933,0.0524878
5,-22.3115,0.17379,-0.322965,-0.113498,-0.0125113,-0.0778024,-0.123099,0.0349346,0.124561,-0.495555,0.260519,0.0789471,-0.435638,0.0478021,0.550242
6,21.6228,0.273263,0.107301,0.188353,0.0153777,-0.177263,-0.350715,0.0194598,-0.152549,0.329389,-0.486628,0.428062,-0.0907466,0.249568,0.317753
7,-16.1941,0.392494,0.23398,0.192127,0.129557,0.425442,0.212619,0.0545733,0.188011,-0.147148,0.300834,0.276609,0.305196,0.437166,0.00664914
8,12.7462,-0.100011,-0.220329,0.382739,0.175841,0.300546,-0.393358,-0.239846,0.214022,-0.24357,-0.342067,-0.433976,0.0626674,0.20924,-0.0572197
9,-8.52956,0.0722579,-0.276499,0.084309,-0.258584,-0.244537,0.0359876,-0.500571,0.429103,0.115232,0.1013,0.322011,-0.18639,0.122869,-0.414113
10,7.50927,-0.121478,-0.561612,-0.165848,0.34049,0.0620122,0.0689423,0.33877,-0.218666,-0.177289,-0.196362,0.369641,0.0580038,0.145931,-0.352043
11,5.01368,0.0506307,0.219092,0.0602807,0.110842,-0.719208,-0.221897,0.184551,0.100843,-0.376186,0.0807233,-0.0818668,0.342882,0.152142,-0.165344
12,-4.6341,0.0647917,0.0141143,0.49262,-0.158846,-0.15044,0.372472,0.0219426,-0.506649,-0.12202,0.0241367,-0.2031,-0.382107,0.285249,-0.158305
13,-1.75675,-0.549352,-0.240208,0.490861,0.0244812,-0.101437,0.00817759,0.0787159,0.0331209,0.23485,0.346648,0.181111,0.253205,0.0135912,0.330001
