Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14
0,-41.0071,-0.0735438,-0.312527,0.37821,-0.254117,-0.0625813,-0.246351,0.30777,0.0385577,-0.348993,-0.375911,0.212926,0.116624,0.238784,-0.119387,-0.367656
1,38.4676,-0.29452,-0.23688,0.112077,0.379537,0.128181,0.148035,0.131967,-0.419431,-0.054669,0.0620401,-0.13264,-0.388998,0.478393,0.240668,0.0795168
2,-34.5413,-0.167,0.329608,0.273496,-0.357595,-0.139714,-0.508217,-0.0721844,-0.166006,0.101431,0.256994,0.240782,-0.257984,0.135053,-0.021467,0.361463
3,-25.3407,-0.439626,0.186034,-0.00031235,0.0959496,-0.0460302,0.191401,-0.343542,0.341948,-0.174693,0.294663,0.380116,0.199611,0.234459,0.229004,-0.283056
4,24.9032,0.0914551,-0.193887,-0.0189655,0.00907135,0.468377,-0.37304,-0.483128,0.00375505,0.33587,0.013962,-0.171172,0.143089,0.329421,-0.2057,-0.219158
5,-24.4149,-0.0241536,-0.18709,0.383296,0.23677,-0.194351,0.187051,0.0317374,-0.005953,0.465517,0.220025,0.273,-0.224166,-0.234812,-0.411632,-0.270484
6,21.8813,-0.298244,0.095226,0.0635866,0.19234,0.396952,-0.009863,0.296107,0.538414,0.206866,-0.306465,0.107821,-0.052007,0.0410775,-0.142913,0.390578
7,16.9987,0.287141,0.439887,0.474507,0.210022,0.270743,-0.0178302,0.124777,-0.172359,0.165455,-0.103911,0.0628235,0.228028,-0.0942756,0.445995,-0.184313
8,-14.8786,0.306272,-0.338245,0.393616,-0.285639,0.335537,0.28437,-0.149332,0.248793,-0.252304,0.321529,-0.00390335,-0.153743,-0.069689,0.135098,0.252618
9,-10.1911,-0.487921,-0.243344,0.037822,-0.432137,0.0688735,0.128958,-0.130616,-0.154966,0.35624,-0.246861,-0.0789179,0.0352761,-0.34389,0.369415,-0.0452522
10,9.46968,0.194163,0.151675,0.0257768,-0.100524,-0.0589492,0.420233,-0.407042,-0.211274,0.0242141,-0.528315,0.348758,-0.0769514,0.241752,-0.176757,0.202956
11,9.07629,0.0449934,-0.221734,-0.278035,0.248315,0.303345,-0.299133,-0.0943744,-0.194234,-0.216575,-0.0466145,0.580518,-0.159722,-0.395502,0.116021,0.015507
12,-4.52556,0.289343,-0.162632,-0.352388,-0.259569,-0.000568788,0.0993746,0.388791,0.0431501,0.41773,0.177738,0.371019,0.0730986,0.355075,0.243791,-0.0279743
13,1.71747,0.223672,-0.175871,0.0582234,0.204827,-0.433003,-0.259879,-0.239228,0.41604,0.135495,-0.259998,-0.0688519,-0.334386,0.0449446,0.428714,-0.00446002
14,0.266575,-0.0316336,-0.353021,0.176694,0.260044,-0.263968,-0.0832467,-0.0679948,-0.123413,0.0617533,0.0619996,0.0890581,0.655577,0.0245133,0.0343575,0.481578
