Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15
0,44.8745,-0.0877571,0.49143,0.393219,-0.354935,0.0306897,0.0254786,0.150935,-0.287162,-0.345133,0.2284,-0.0550078,0.380279,0.14626,-0.0582885,0.0881477,-0.108995
1,-39.2858,0.0319131,0.0216059,-0.0317831,-0.0429198,0.0575362,-0.376985,-0.115136,0.10302,-0.186161,0.322936,0.443309,-0.415294,0.213447,-0.333664,-0.0613685,-0.397205
2,-32.0072,-0.354648,0.0657734,-0.0458978,-0.442963,0.0900114,-0.136452,0.347385,0.363966,0.224454,0.234781,-0.15321,-0.310186,0.151879,0.304856,0.0370595,0.221674
3,29.872,-0.199107,-0.285147,0.361953,-0.0507131,0.468723,0.0849865,-0.58987,0.150044,-0.05441,0.0275281,-0.0075944,0.108027,0.292035,0.0503281,-0.0806903,0.195723
4,-27.3913,-0.0916779,-0.236122,0.410706,0.0725232,0.119504,-0.153886,0.246208,0.00765436,-0.206333,-0.292562,0.0707842,-0.221418,-0.227247,-0.117974,0.639537,0.0805942
5,-20.0169,-0.283154,0.0628701,0.293326,0.00577674,0.0009001,0.4619,0.110955,0.276104,-0.0718421,-0.2371,-0.00885832,-0.19656,-0.241342,0.0100891,-0.36258,-0.487849
6,19.3857,0.518112,0.0438645,-0.0133024,-0.459779,-0.0833739,-0.00170247,-0.0404274,0.198197,-0.203593,-0.53636,-0.121625,-0.148312,0.296363,-0.0739392,-0.0854012,0.060656
7,17.723,-0.0897177,0.181061,0.339985,0.400877,-0.31372,-0.42604,-0.0599208,0.00428409,-0.159062,-0.036874,-0.405529,-0.2227,0.0779619,0.0166734,-0.32712,0.21275
8,15.7305,0.134132,-0.0869433,-0.141205,0.339584,0.20119,0.262764,0.422875,0.23328,-0.541581,0.176867,0.140191,0.05294,0.196537,0.0386284,-0.151714,0.293675
9,-15.3065,-0.0615356,-0.426218,0.160126,-0.182001,-0.298376,-0.187039,0.206703,0.311565,0.104483,0.0820568,0.0373446,0.471415,-0.0815867,-0.443343,-0.209111,0.0613417
10,-12.4564,-0.0243937,0.127424,-0.291672,-0.142792,0.313915,-0.355124,-0.183244,0.238263,-0.370648,-0.0273504,-0.158765,0.161667,-0.60054,0.0689816,-0.0859375,-0.0209578
11,10.7908,0.123189,-0.123661,0.138401,-0.0441488,0.501637,-0.267741,0.366576,-0.427801,0.2272,-0.188736,0.120389,-0.0189782,-0.0483803,0.0453648,-0.448534,0.00589823
12,-10.7048,0.414961,0.365816,0.225566,0.282325,0.296549,-0.0512109,0.0715673,0.456315,0.40837,0.101607,-0.0932451,0.154657,0.00903879,-0.0908826,0.161147,-0.124402
13,8.25239,-0.448872,0.360858,-0.294194,0.10089,0.180654,0.0255866,0.0235025,0.0109889,0.0991159,-0.368268,0.0321329,0.0326569,0.172501,-0.561306,0.0118444,0.212362
14,5.85182,-0.152838,0.179207,0.0528329,0.102343,-0.188967,-0.254877,-0.0210878,0.191348,0.00959861,-0.339138,0.599432,0.291025,0.113595,0.470453,-0.0125536,0.00474682
15,-1.60927,0.161879,0.247137,0.225249,-0.157665,-0.11098,0.206832,-0.146833,-0.0107275,0.0921593,0.146532,0.403474,-0.2336,-0.412172,-0.143263,-0.155652,0.54625
