Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16
0,-42.6821,0.157088,0.384524,0.296231,-0.238871,-0.252952,-0.207934,-0.343803,-0.156569,-0.140003,0.0316988,-0.313258,-0.00617547,0.105194,0.102112,-0.426113,0.219227,-0.250633
1,-38.2872,-0.435817,0.224523,-0.0154506,-0.0102153,0.361342,-0.288949,-0.351203,0.356805,0.0380489,0.301697,-0.0943455,0.0673019,0.1221,0.10114,-0.0512494,-0.341201,0.210988
2,33.3091,0.142109,0.227261,0.610144,-0.0758323,0.323132,-0.191585,0.199633,0.123466,0.144239,-0.23787,0.150889,0.0429474,-0.064034,-0.489524,0.0844417,-0.0238896,0.0219265
3,-30.1249,-0.359391,0.0781939,0.0640363,0.0736946,0.303106,0.301659,0.192055,0.0701136,0.070525,-0.219592,-0.220504,-0.477509,0.400869,0.111216,-0.0580388,0.317516,-0.1531
4,29.6837,0.337856,0.130815,0.22969,-0.205248,0.100268,0.451961,0.108793,0.106151,-0.379886,0.0195283,-0.0706704,0.190999,0.301132,0.32398,0.169382,-0.292886,0.200359
5,26.6876,0.0622339,0.314719,-0.0359098,0.349997,0.228689,0.043503,0.31172,-0.415883,0.131266,0.527136,-0.24343,0.238354,0.004017,-0.0416655,0.104365,0.0422974,-0.152859
6,-25.3811,0.306009,0.132369,-0.339768,0.246038,-0.023006,-0.131977,0.123287,0.198476,0.344596,-0.412823,-0.234753,0.29777,0.299441,0.00545905,-0.27989,-0.0636672,0.187852
7,-24.3245,-0.0606801,0.283134,-0.111553,0.111682,-0.183778,-0.0621041,0.435711,0.512435,-0.368124,0.00932748,-0.197225,-0.0960799,-0.437749,0.0256504,-0.0641924,-0.0149557,-0.144268
8,23.2435,0.397777,0.146046,-0.1352,-0.275679,-0.0738678,-0.123894,0.108509,0.106165,0.300732,0.360104,0.00270038,-0.563581,0.0281885,0.0182168,0.0990697,0.0883986,0.354703
9,20.9114,-0.0145786,-0.012519,0.136825,0.240543,0.129716,0.234517,-0.228563,-0.120624,-0.100235,-0.0963732,-0.296819,-0.0136068,-0.421288,-0.0322506,-0.117836,0.279427,0.637435
10,-13.6458,-0.312351,0.442898,0.154662,0.0769861,-0.363276,0.0197226,0.132666,-0.0615247,0.213674,-0.0824349,0.460611,0.153551,0.016865,0.36134,0.0937295,0.184303,0.246761
11,12.7668,0.11757,0.0760125,0.124433,0.356059,-0.226166,0.524018,-0.309241,0.348187,0.220434,0.252434,0.181435,-0.0651577,0.0372851,-0.270757,-0.180318,-0.0829265,-0.178768
12,-11.769,-0.348386,0.0924006,-0.0334268,-0.188747,-0.461232,0.125171,0.113315,-0.19239,-0.0154687,-0.0326202,-0.33234,-0.029639,0.192024,-0.500143,0.118345,-0.305717,0.219028
13,-10.6384,0.0751331,0.325396,-0.112787,-0.0308634,0.0627258,0.135913,-0.300638,-0.124501,0.275896,-0.349708,-0.189151,-0.16489,-0.343994,0.170898,0.423912,-0.300662,-0.259787
14,7.81793,0.116878,0.133187,-0.122276,0.277023,-0.0935351,-0.209814,-0.285335,0.150783,-0.332459,-0.0317915,-0.010253,0.024724,0.296545,-0.197342,0.580995,0.37821,0.0157292
15,5.8295,-0.037169,-0.413014,0.440845,0.083037,-0.257495,-0.131047,0.06706,0.243944,0.33773,0.111912,-0.421395,0.126354,-0.003566,0.273823,0.278782,0.0617528,-0.0516377
16,-0.926149,-0.0938199,0.0629261,-0.232725,-0.554295,0.12401,0.278326,-0.035865,0.237084,0.204166,0.0896216,-0.0788842,0.429076,-0.118891,-0.146402,0.0963246,0.42992,-0.0759724
