Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17
0,-41.8163,-0.134359,0.143207,-0.0264138,-0.0574966,0.12018,0.0614274,-0.255802,-0.283437,-0.203466,-0.201155,-0.445734,0.282778,0.334515,0.409002,-0.0947623,0.158428,-0.259488,0.228795
1,39.5498,0.0934968,-0.118519,0.0167627,0.479681,-0.39013,-0.358072,-0.183398,-0.340523,0.0679307,-0.366977,-0.024948,-0.0578631,-0.0254604,-0.107079,-0.0798918,-0.105153,0.272633,0.263985
2,36.4969,0.0833038,-0.300383,-0.0596409,-0.121259,-0.43803,-0.0868751,0.255851,0.00247094,-0.21491,0.209581,0.0354956,0.1863,0.231036,-0.373769,-0.197165,0.241976,-0.406825,0.193892
3,-35.6556,0.248883,-0.371021,-0.0973873,0.232691,-0.0845007,0.569818,-0.209914,-0.204279,-0.341787,-0.0133563,0.0268853,0.176881,-0.178073,0.0162649,0.110866,0.0618909,0.0664462,-0.342968
4,-32.3909,-0.379777,0.224043,-0.438385,-0.264635,-0.442906,0.109175,-0.0899575,-0.321592,0.11061,0.105614,-0.0586756,-0.313668,-0.0737242,0.00503213,-0.00834735,0.175621,0.0941946,-0.230863
5,-28.764,-0.0167461,0.0977555,0.118767,0.137109,0.0615122,-0.209922,-0.0308634,-0.233359,0.0196183,0.397172,0.0205337,0.244733,0.225004,0.015341,-0.526491,-0.249985,0.123731,-0.479266
6,27.3248,0.504943,0.00056887,-0.0570518,-0.0141416,-0.0876454,-0.194162,0.161098,0.0444702,0.267383,-0.1271,-0.215168,-0.0735812,0.402101,0.119642,0.295545,0.304591,0.053691,-0.412193
7,26.4265,-0.12007,-0.0235695,0.456477,-0.0962979,-0.219099,0.336925,0.0849474,-0.0853081,0.379214,-0.284094,-0.272311,-0.0128351,0.00798609,-0.208495,-0.00880459,-0.355738,-0.301025,-0.178215
8,24.4459,-0.354143,-0.335853,-0.216163,0.283584,0.126951,-0.00588409,-0.341411,0.202809,0.545811,0.0759446,0.096064,0.235032,0.110184,-0.0661783,0.0598675,0.211301,-0.160863,-0.0449507
9,-21.1372,0.14361,-0.350817,0.152076,-0.357189,-0.110944,0.269323,-0.145281,0.0190431,0.221662,0.0708783,0.215819,-0.17742,0.317283,0.302519,-0.273175,-0.0271264,0.350668,0.276679
10,-15.2281,-0.0580721,0.433059,0.128276,0.265416,0.00257679,0.360424,0.29471,-0.259373,0.139526,0.0326475,0.408359,0.219829,0.273289,-0.087535,0.160546,0.215573,0.125437,0.179446
11,13.7993,0.23274,0.0817874,-0.168799,0.255742,0.127367,0.118065,0.12144,-0.0376704,0.137283,-0.195035,0.216688,-0.382116,-0.148597,0.220306,-0.497865,0.136316,-0.459301,-0.032276
12,-12.9599,-0.149403,-0.274571,-0.150673,-0.188679,-0.0520159,-0.177519,0.479186,-0.196358,0.108743,-0.243995,0.223696,0.39994,-0.233852,0.420828,0.0636552,-0.126204,-0.00510709,-0.0919453
13,9.98273,0.236294,-0.0762548,0.151916,-0.209903,0.293802,-0.0591364,-0.0133335,-0.468719,0.306582,0.220203,-0.208523,0.0807676,-0.42281,-0.203687,-0.052247,0.34231,0.0531784,0.16138
14,-7.88934,0.421663,0.332561,-0.445174,-0.185946,-0.133113,0.118397,-0.196817,0.172311,0.220283,-0.0643023,0.00342367,0.414967,-0.100068,-0.127761,-0.109334,-0.306992,-0.0019165,0.14586
15,-3.69785,-0.0897413,-0.139004,-0.266118,-0.232756,0.444889,0.00757798,0.0443755,-0.18318,-0.114967,-0.462301,0.111163,-0.0712757,0.295049,-0.483347,-0.131196,-0.0502473,0.131455,-0.109771
16,1.64127,-0.0766136,-0.135853,-0.310156,0.291789,0.0958216,0.245856,0.488248,0.114548,0.0856514,0.163795,-0.537372,-0.0693808,0.0425191,-0.00540808,-0.141589,-0.120922,0.271176,0.188182
17,-0.408413,0.130263,-0.132564,-0.205642,0.0451922,0.142135,-0.0512222,-0.0321719,-0.387336,0.0530503,0.335253,0.101119,-0.239188,0.206505,0.0508271,0.401168,-0.483599,-0.318629,0.15178
