Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18
0,-53.9985,0.0609759,-0.236549,-0.381299,-0.137913,-0.110374,-0.0120266,0.116589,0.0495371,-0.166499,0.359714,0.160809,0.0179097,-0.291403,-0.128902,0.149613,-0.331945,0.298283,-0.327775,-0.365696
1,38.0744,-0.371285,-0.370594,-0.0325231,-0.220787,-0.31617,-0.29393,-0.20966,0.0562126,0.23396,0.119484,0.0178354,-0.170788,-0.182207,0.188603,-0.0590778,0.207406,-0.41824,-0.218239,0.0720803
2,-34.8622,-0.574807,0.0446113,0.0391087,-0.0783551,-0.224615,0.179907,0.361641,0.204183,-0.189614,-0.227424,-0.376568,0.0381996,0.0638708,0.0117335,0.238701,-0.223331,0.115573,-0.100804,0.197776
3,-31.5146,0.107459,-0.264205,0.263603,0.301407,0.10505,0.354745,0.0857246,-0.139846,-0.102802,-0.217545,0.0923114,-0.0474596,-0.448574,-0.171835,0.356821,0.0225654,-0.388919,-0.12384,-0.0263153
4,30.5938,-0.155389,0.109062,-0.256809,0.376903,0.202475,0.189496,0.168394,0.192844,-0.213429,0.211821,-0.0535561,0.151394,0.0112286,0.413945,-0.352872,-0.000456733,-0.382474,-0.0587764,-0.227065
5,-28.8159,-0.0263506,-0.0963838,0.0869444,0.393504,-0.263855,-0.377257,0.149485,-0.0412203,0.0593557,0.36971,-0.0846584,0.321449,0.109554,-0.110347,0.34619,-0.0509751,-0.119342,0.419248,-0.0654457
6,24.968,-0.0633542,0.165334,0.293925,0.259054,-0.0157782,-0.386743,0.428296,0.0762248,-0.0245729,-0.0905555,0.468573,-0.247225,0.142165,0.028593,-0.0289897,0.100226,0.104226,-0.376567,-0.0449306
7,22.9957,-0.159285,0.100199,0.208618,0.257422,-0.0516793,0.295002,-0.246317,0.282594,-0.025134,0.51965,-0.0808942,-0.373589,-0.00509255,-0.354478,-0.0935997,0.177216,0.16061,-0.0362994,0.12179
8,-21.8812,-0.250553,-0.348521,0.405909,-0.0221714,0.300214,-0.0243825,0.025994,0.197114,0.133812,0.00327229,0.132468,0.289088,-0.329659,0.153227,-0.263416,-0.0506118,0.372217,0.239395,-0.0354384
9,-20.8713,-0.148541,0.135811,-0.13513,-0.273108,-0.0159519,0.370557,0.228757,0.145464,0.315899,0.114004,0.540467,-0.129854,0.084512,0.0638172,0.224741,-0.0251272,-0.149696,0.385196,-0.0262849
10,19.8892,-0.136203,0.0307578,-0.139809,0.218648,-0.371299,0.309402,-0.0816403,-0.173023,0.262661,-0.137055,0.187026,0.50816,0.0714926,-0.11828,-0.110279,0.347031,0.205577,-0.255371,-0.0529623
11,16.9638,0.125235,0.304009,0.151274,0.0609784,-0.270785,-0.00648995,-0.245896,0.104123,-0.00144336,0.0576825,0.250061,0.215468,-0.203115,0.0936252,-0.129305,-0.574145,-0.142792,-0.114588,0.42241
12,-15.3935,-0.314818,0.0136175,-0.139229,0.145726,-0.109037,-0.137609,-0.431539,0.107851,-0.417265,-0.381743,0.298605,-0.0993384,0.0240257,-0.195811,-0.0325423,-0.069571,-0.0087902,0.293105,-0.285873
13,13.2395,0.351668,-0.222298,-0.0235607,-0.130209,-0.445216,0.0650775,0.347308,0.207788,-0.363773,-0.0542157,0.049729,-0.0199226,-0.113663,-0.0828697,-0.354357,0.246871,-0.0227369,0.251006,0.187594
14,12.6206,0.0150574,0.133872,0.122675,-0.342229,0.229884,-0.11926,0.0255159,0.414778,-0.0357066,0.0183126,-0.00174011,0.416298,0.0970495,-0.501525,-0.00927851,0.0971779,-0.335863,-0.187642,-0.128504
15,7.97845,-0.0773955,0.477658,0.224911,-0.141361,-0.250734,-0.0293965,0.140159,-0.235589,0.15033,-0.0077136,-0.218884,-0.105124,-0.412573,-0.0832443,-0.223629,-0.0184288,-0.0600848,0.132503,-0.475524
16,-7.19891,0.329469,-0.00629454,0.0134363,0.16786,-0.195216,0.0184833,-0.131379,0.634169,0.33116,-0.266364,-0.182891,-0.0905362,-0.0103973,0.230742,0.195519,-0.0162244,0.090181,-0.0365134,-0.28566
17,-3.41529,-0.0740368,0.0709129,-0.506322,0.25851,0.201091,-0.219975,0.184233,0.106001,0.343201,-0.183056,-0.0653499,-0.103726,-0.345095,-0.349694,-0.153709,-0.0249533,0.0117575,0.0988507,0.300725
18,2.34365,0.012166,-0.377257,0.107444,0.0898218,-0.0830282,0.140551,0.104989,-0.10969,0.276134,-0.0940898,-0.0540811,-0.145594,0.411956,-0.280442,-0.385362,-0.471847,-0.159418,-0.0166671,-0.183845
