Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19
0,52.2088,0.203815,-0.299745,-0.169262,-0.340637,-0.205812,-0.229306,0.25027,-0.365182,0.203767,0.0475476,0.273084,0.276736,0.275511,0.0765512,-0.139088,0.164395,-0.109252,-0.155167,-0.0788409,-0.260176
1,46.1983,0.170975,0.184721,-0.185436,0.12373,-0.157386,0.159455,-0.270404,-0.150979,0.270487,0.260081,-0.102007,0.134103,-0.326608,-0.22261,0.319724,-0.0370622,-0.432603,0.0241677,-0.24407,-0.254013
2,-45.3226,-0.090417,-0.305354,0.287297,0.18542,0.311149,0.145155,0.0470065,0.225683,0.0619413,0.0766294,-0.191753,-0.0301191,0.219381,-0.0634869,-0.205281,-0.142631,-0.358628,-0.48903,-0.141103,-0.246851
3,-35.3479,0.133633,0.10015,-0.388438,0.550615,-0.268412,-0.197447,0.0881667,0.254179,0.0735163,0.135725,0.159785,-0.163616,0.183802,-0.0460169,-0.053434,-0.118307,0.110599,-0.164045,0.350936,-0.208476
4,32.1219,-0.413791,0.0809258,0.167291,-0.0452135,-0.218143,-0.0374963,-0.139911,-0.119584,0.0922626,0.630922,-0.0852012,0.0585116,0.347646,-0.145476,-0.222425,-0.0713176,-0.0387318,0.225936,0.0952324,0.184053
5,-30.9415,0.0311925,0.0580749,-0.377602,-0.0403381,0.102213,-0.0571122,-0.191775,-0.043247,0.40351,-0.379944,-0.350181,-0.247005,0.270967,-0.14164,-0.306738,0.140146,-0.168609,0.128482,-0.0617636,0.228703
6,30.2765,-0.126287,0.0812334,-0.141584,-0.13133,0.159801,-0.271245,0.467644,-0.119076,0.0456905,-0.0326048,-0.00904569,-0.0961033,-0.113527,-0.229513,0.0607414,-0.702396,-0.0919601,0.0774832,-0.10992,0.0809494
7,-25.1615,-0.218871,-0.288508,0.0363454,0.265537,-0.196327,-0.108943,-0.0822701,0.328802,0.271799,-0.17461,0.224784,0.245315,-0.0712685,0.315352,-0.0716864,-0.161136,-0.0333764,0.345799,-0.395952,0.0597205
8,-23.8652,0.151343,0.065632,0.119378,0.0655101,0.369817,-0.370303,0.0166087,0.121018,0.2199,0.292246,0.327618,-0.134443,-0.306249,-0.268544,-0.234151,0.322453,0.123308,-0.040679,-0.207606,0.146954
9,20.8245,-0.0835671,0.246846,-0.00657983,-0.00204137,-0.17998,-0.327635,0.0634495,0.134898,0.07098,-0.00777609,-0.431195,0.38873,0.0241381,0.0296072,0.173081,0.0841926,0.277963,-0.457963,-0.248552,0.201645
10,-17.9823,0.216747,-0.423248,0.0988897,-0.0629403,-0.422999,-0.0410442,-0.174577,0.123654,-0.211344,-0.121233,0.0780394,-0.0341769,-0.0522691,-0.530136,0.0285157,-0.0955984,-0.0870794,-0.131397,0.0185383,0.384993
11,-15.8469,0.358881,0.234504,0.289181,-0.279793,-0.0188001,0.00254166,-0.044282,0.310356,0.314981,0.0575795,0.187796,-0.216087,0.373803,0.18974,0.376045,-0.147814,-0.0961765,-0.0115258,0.0054716,0.150899
12,-12.576,0.201599,0.434819,0.121277,-0.0539078,0.0579647,0.120473,-0.0159696,0.215523,-0.0983706,-0.216639,0.140806,0.556296,0.104019,-0.284951,-0.379408,-0.117105,-0.0726479,0.142651,0.101704,-0.128625
13,10.9014,0.0605846,0.190999,-0.156303,-0.114253,-0.250086,0.471134,0.0736341,-0.0334703,0.0624771,0.120368,0.165043,-0.15841,-0.220018,0.25084,-0.431694,-0.171466,0.0745105,-0.344985,-0.208674,0.255708
14,9.10371,-0.421187,-0.0816378,-0.40955,-0.486562,0.119436,0.0686821,-0.192733,0.45186,0.0591277,0.0501101,0.185464,0.0605625,-0.0918371,-0.122644,0.122947,0.0309809,0.0293384,-0.152081,0.154382,-0.140396
15,-8.51504,-0.147549,0.0842839,0.127998,-0.0604821,-0.331307,0.19906,0.612721,0.274788,0.0768298,-0.053103,-0.131995,-0.202901,-0.046593,-0.228363,0.0284913,0.382803,-0.0856689,0.188772,-0.109787,-0.163549
16,-5.5745,0.243751,-0.181132,-0.0114085,-0.115803,0.00933516,0.170027,-0.131683,0.0539449,0.0737129,0.121044,-0.215992,-0.103434,0.114104,-0.200087,-0.0582587,-0.204993,0.640253,0.172737,-0.296012,-0.376427
17,4.21516,0.296659,-0.312386,-0.19762,0.046344,0.234902,0.263056,0.297407,0.157831,0.185726,0.284906,-0.240824,0.345323,-0.0903657,0.0823962,0.0594849,0.0212477,0.0196546,0.161637,0.288896,0.337105
18,-2.84207,-0.263843,-0.0118755,0.175094,0.212995,0.0625129,0.316519,0.0444695,-0.299938,0.484659,-0.243044,0.269323,0.118717,0.0553361,-0.280876,0.216217,-0.00477426,0.285584,-0.179917,0.164625,0.0885383
19,-0.752374,-0.0310761,0.0614849,-0.332881,0.189326,0.210601,0.215761,0.0984525,-0.0187937,-0.365656,0.081885,0.248063,0.0585011,0.438576,-0.134263,0.232636,0.13434,-0.019349,0.0299533,-0.464963,0.205612
