Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20
0,-45.7984,0.331974,0.102202,-0.213513,-0.258532,0.22293,0.0551791,0.315549,0.225826,-0.228316,0.220521,-0.0504299,-0.0171343,0.0211916,-0.345878,0.194065,-0.0240483,-0.217396,0.459445,0.0901502,0.185313,-0.0296212
1,43.6564,0.0330557,0.337919,-0.192024,0.121431,0.433572,0.0048477,-0.0946156,-0.0060387,-0.139451,-0.124662,-0.0255137,-0.354194,-0.050308,0.326888,-0.0734798,0.338613,-0.34233,-0.0581893,0.142774,-0.316097,-0.0684727
2,37.6335,-0.205474,0.0183411,0.0552659,-0.249332,-0.0265578,-0.295984,0.375664,-0.207706,-0.178383,0.110433,-0.230368,0.375373,0.429409,0.170096,0.158785,0.220908,-0.130883,-0.224721,0.0879822,-0.0960532,-0.0985972
3,-37.2161,-0.173251,-0.143804,-0.13733,-0.299222,0.0615042,-0.33391,-0.143803,0.0908064,-0.0214318,0.0278512,-0.323168,-0.140696,-0.105283,0.01324,0.0163242,-0.0238534,0.161596,0.28008,-0.524201,-0.395801,0.15212
4,-32.6376,-0.388714,0.0689277,-0.210308,-0.153043,0.0428811,0.263178,0.275522,0.454973,-0.0825033,-0.111362,-0.11448,0.0726847,-0.371024,0.108767,0.161356,-0.239609,0.165171,-0.291758,0.15729,-0.0740599,-0.0965467
5,31.2183,-0.242552,0.344183,-0.0811828,-0.0361778,-0.00526837,-0.14167,-0.442176,-0.122872,0.0988575,0.19325,0.154134,0.182954,-0.0898666,0.0526238,0.381873,-0.169631,-0.0910464,0.166445,-0.0510273,0.115808,-0.492228
6,-31.0493,-0.0154843,0.207399,0.36216,0.124814,-0.226555,-0.182736,0.0439,-0.148313,-0.183017,-0.328903,-0.335029,-0.291601,-0.089724,-0.399987,0.186684,-0.156509,0.0216266,0.0427275,0.271891,-0.201126,-0.135499
7,-28.7515,-0.0379992,0.0448193,-0.387643,0.212097,-0.134163,0.00922473,-0.253889,0.0853398,-0.050539,-0.364896,-0.334446,0.172567,0.0479568,-0.15255,0.262181,0.322009,-0.08697,-0.0901667,-0.113869,0.372357,0.262338
8,28.3569,-0.0976006,-0.0325083,0.362613,0.169045,0.129458,-0.139563,0.0477018,0.30538,-0.0324669,0.18203,0.217773,-0.110407,-0.0371252,-0.235512,0.269418,0.00755851,-0.406411,-0.373794,-0.384824,0.0151937,0.145189
9,27.6036,0.331322,-0.000128722,-0.216325,0.220903,-0.228162,-0.327626,0.116561,0.292777,-0.270858,-0.22364,0.108292,0.0445352,0.106884,0.120032,-0.2356,-0.172876,0.00726062,-0.103885,-0.26617,0.00739104,-0.453727
10,22.6572,-0.0520598,0.277465,0.0620606,-0.188064,-0.245013,0.484882,0.194517,-0.0537643,0.3437,-0.210693,-0.123619,-0.0263589,0.158641,-0.0579311,-0.157237,0.0191241,-0.315858,0.0743148,-0.406164,-0.0750185,-0.192918
11,-19.1045,0.287879,0.288062,0.124651,-0.350588,0.0719401,-0.0881952,-0.170959,-0.0448948,-0.0936797,-0.316568,0.0909983,0.258962,-0.0208795,0.209067,0.0111553,-0.451601,-0.172968,-0.0962288,0.00976158,-0.00354877,0.423874
12,17.0545,-0.207743,0.293416,0.0136046,-0.276035,-0.295856,-0.0982938,-0.27987,0.243168,-0.204304,0.31165,-0.0646867,-0.113809,0.0394093,-0.173007,-0.525557,0.116489,-0.0746787,-0.130599,0.155757,0.167847,0.0859428
13,-14.6948,0.0253453,-0.0902346,0.137073,-0.0275197,-0.0377783,0.181747,-0.133115,-0.00843209,-0.322608,-0.129821,0.229229,0.531617,-0.325021,-0.243569,-0.109026,0.355768,-0.0515411,0.110539,-0.0286792,-0.370359,-0.0839131
14,13.2777,-0.251564,-0.0374767,-0.148885,-0.101349,0.109525,0.11897,-0.155455,0.147533,-0.101408,-0.26818,0.416934,-0.127977,0.625944,-0.26176,0.096715,-0.0757838,0.179143,0.0344985,0.0765822,-0.206274,0.0354473
15,-12.3409,-0.125682,0.21442,0.167472,0.420201,0.315373,-0.110311,0.0138318,0.334977,0.28594,0.0252557,-0.249221,0.393767,0.185956,-0.0705149,-0.258831,-0.13656,0.0330046,0.244012,0.094894,-0.102401,0.0685943
16,-6.80566,-0.305154,-0.492008,0.0621009,0.0928373,0.0144138,0.157671,-0.146862,-0.0413756,-0.315851,-0.0755152,-0.167553,-0.022668,0.0637246,0.177027,-0.132564,-0.307127,-0.491543,0.23275,0.0774309,0.128509,-0.0658565
17,5.75353,0.175789,0.1685,-0.0791085,0.31426,-0.263624,0.379646,-0.104912,-0.0191806,-0.320838,0.438249,-0.168723,0.0303106,0.194485,0.139578,0.205325,-0.176684,0.102202,-0.0404056,-0.0962193,-0.318078,0.181956
18,-4.62576,0.291877,-0.161271,0.43299,-0.250382,0.107899,0.186662,-0.321073,0.384147,0.00554145,-0.0504268,-0.264397,-0.036762,0.175543,0.217771,0.172821,0.210708,0.178145,-0.0466568,0.043511,0.0941349,-0.265487
19,4.35427,0.10149,-0.0462003,-0.124637,-0.0533313,0.485565,0.151142,-0.140995,-0.321598,-0.110631,0.0741534,-0.261779,0.0638105,0.0247809,-0.370201,-0.212874,-0.21091,0.114408,-0.419028,-0.171505,0.0620871,-0.217997
20,-2.56855,0.239945,-0.291321,-0.288766,-0.0951845,-0.187289,-0.0980744,-0.181614,0.126763,0.435158,0.108095,-0.0892795,0.0648265,0.0126406,-0.177662,0.0609044,-0.0883855,-0.339847,-0.211961,0.322819,-0.383609,-0.0557326
