Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21
0,50.4146,0.178947,0.0929693,-0.339214,-0.0898291,0.100222,0.433124,0.10185,0.115709,-0.227635,0.0751925,-0.239521,-0.134932,0.172155,0.198882,-0.0982902,-0.194094,-0.142613,-0.352272,0.114217,-0.13331,-0.434316,-0.0366387
1,-47.1993,0.120631,-0.0606269,-0.229749,0.125642,0.422287,-0.193717,0.356971,-0.402653,-0.0457071,-0.0633889,0.0015876,0.195197,0.229088,-0.138549,0.308226,0.0309133,-0.268487,-0.015813,-0.26831,-0.183954,0.0423588,0.126428
2,42.786,-0.0608351,0.515772,-0.291242,-0.0591726,-0.0557147,-0.0163117,-0.196334,0.00598846,-0.209981,-0.0315464,-0.196656,-0.0852561,-0.065149,-0.307714,0.214764,-0.0699751,0.281469,0.434014,-0.0617812,-0.158936,-0.123282,0.217142
3,-39.4632,-0.0449601,0.30326,-0.0563384,-0.131951,-0.0583159,-0.178462,-0.122651,0.0384118,0.303241,0.182408,-0.272395,0.172972,0.20107,-0.167223,0.087167,0.068395,-0.383234,-0.202503,0.422192,0.303594,0.118513,0.226511
4,35.9983,-0.0353825,0.262352,0.114942,0.193545,0.0714232,-0.18815,0.319958,0.307561,5.88222e-05,0.120747,0.251936,-0.0267823,0.129199,0.0375396,-0.141329,0.562814,0.178081,-0.10489,0.0736236,-0.156299,-0.288636,0.228692
5,-35.7995,-0.0219518,-0.29113,0.0687153,0.0188275,0.167312,-0.083455,0.332119,0.295514,0.0408311,-0.302119,-0.248829,0.0927106,-0.0184948,-0.421427,-0.304876,-0.299244,0.116309,0.110333,0.303045,-0.120293,-0.0031378,0.145552
6,33.9052,0.00586002,-0.230762,-0.347429,0.342765,-0.217683,-0.240383,-0.230947,0.17707,-0.108808,-0.0612442,0.111148,0.308219,0.0909986,0.273495,0.241874,-0.0502061,0.0306358,0.0450741,0.385395,-0.306843,0.0298377,-0.0712016
7,-31.7555,-0.209063,-0.00659203,-0.160576,0.212357,0.24244,0.13073,0.119739,0.248664,0.145248,0.461172,-0.179467,-0.152406,-0.305416,-0.12484,0.066456,0.137869,-0.20113,0.163249,0.0244295,-0.185055,0.20132,-0.411528
8,27.634,-0.496084,0.0719939,-0.0664573,-0.473681,-0.0211268,-0.0222209,0.121206,0.194784,-0.165705,-0.164031,0.35426,-0.130822,-0.0411266,0.0924513,0.0744382,-0.114884,-0.312732,-0.07291,0.0120129,-0.267017,0.213342,0.142563
9,26.912,-0.311619,-0.162685,0.0236322,-0.144665,-0.0489975,-0.0474042,0.137779,-0.0992364,-0.567909,0.319899,0.00347644,0.199715,0.251691,-0.232423,0.063059,0.0616872,0.215123,-0.0445989,0.122076,0.311252,-0.0394773,-0.264484
10,-25.7845,0.14954,0.112346,0.0748783,0.148413,0.1881,0.118658,-0.219304,-0.132184,-0.227119,-0.0570508,0.0443711,-0.349025,0.442371,-0.0492567,-0.2769,0.10846,0.0260091,0.025521,0.224361,-0.182955,0.520468,-0.0338864
11,-21.4319,-0.178179,0.272061,-0.0085838,0.113792,0.0238453,0.129976,-0.0672075,0.0593797,0.362895,0.0559595,0.362591,0.286443,0.412351,-0.159472,-0.1852,-0.363558,0.0416836,0.059984,-0.16338,-0.0668238,-0.130718,-0.303055
12,-17.4385,-0.440242,-0.0375486,-0.00965991,0.367967,-0.349673,0.267234,0.040077,-0.0299453,0.0761619,-0.329991,-0.299287,-0.0670783,0.133709,-0.158217,0.141885,0.182847,0.0416767,-0.32607,-0.220899,-0.0442406,0.0880614,0.0358773
13,17.3219,0.373659,0.199893,-0.12173,-0.192861,-0.214242,-0.162089,0.207365,0.42435,-0.114198,-0.228259,-0.166838,0.163917,0.124169,0.0380432,-0.00986572,0.117908,-0.0389441,-0.00615459,-0.311642,0.0961213,0.296263,-0.356039
14,-15.8788,-0.00785284,0.168781,0.202334,-0.15467,-0.101733,-0.103419,0.0102747,-0.234564,-0.0185108,0.274915,-0.261574,0.359284,-0.18127,0.0823516,-0.209747,-0.0892901,0.224522,-0.318188,-0.062374,-0.522701,0.189407,0.0273614
15,14.1939,0.0956842,0.266238,0.106867,0.326869,0.18758,0.33004,-0.0398688,0.125417,-0.3307,-0.108564,0.246303,0.384027,-0.385438,-0.100295,0.026822,-0.0856942,-0.116252,-0.168806,0.0478398,0.209471,0.185704,0.147064
16,-10.9306,0.0800957,0.189412,0.485584,-0.0583939,-0.105571,0.268991,0.316961,-0.133887,0.0429078,-0.154889,-0.0661932,0.046382,0.0795497,0.143205,0.415838,0.00429879,-0.0467482,0.262211,0.364865,-0.153137,-0.072399,-0.22741
17,8.95441,0.327984,-0.0407236,0.0670687,0.146888,-0.482924,-0.0879904,0.17105,0.00608638,-0.059435,0.293327,0.271138,-0.315737,-0.0390018,-0.406674,0.155469,-0.26394,-0.130547,-0.182346,-0.0102511,-0.121569,0.0169375,0.0738828
18,8.53005,-0.073124,0.208159,0.190987,0.0962121,0.216137,-0.469771,-0.229316,-0.0535362,-0.130738,-0.293197,-0.0432474,-0.217648,-0.165372,-0.132183,0.0512935,-0.0819181,-0.102548,-0.316416,0.072903,-0.0451457,-0.273656,-0.428255
19,-4.95247,-0.0560157,-0.0592316,0.262194,0.143015,-0.209305,-0.0496485,-0.159688,0.0145821,-0.286076,0.0569777,-0.169791,0.146284,0.0840803,0.00118977,-0.320011,0.0738299,-0.582706,0.355924,-0.194247,-0.130725,-0.234881,0.0755466
20,4.80991,0.102833,-0.0192669,-0.327318,-0.200215,-0.203644,0.168299,0.0101832,-0.347134,0.0848133,-0.222809,0.211535,0.139208,-0.224791,-0.317556,-0.274351,0.40356,-0.107492,0.0217444,0.228352,-0.108915,-0.0987042,-0.23492
21,-2.4168,-0.170916,0.281144,-0.221705,0.276432,-0.192371,-0.207191,0.433311,-0.292935,-0.0462673,-0.0299952,-0.0318543,-0.142042,-0.127802,0.333545,-0.320843,-0.235933,-0.0182634,0.132253,0.117992,0.245027,0.096579,-0.0337781
