Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22
0,-42.3112,0.17775,-0.0350191,0.360968,-0.0469199,0.0928939,0.225379,-0.386062,-0.114898,-0.0965845,-0.123325,-0.18493,-0.134087,0.242713,-0.355046,0.049227,0.406148,-0.204464,0.0211401,-0.0376886,0.218873,-0.205022,0.221872,-0.0332633
1,40.092,-0.139411,-0.133664,-0.163827,-0.151627,-0.0765982,-0.0777523,0.147752,-0.177056,-0.107135,0.0819026,0.257888,-0.473611,0.20683,-0.00342011,0.207214,0.10399,0.388379,-0.153312,-0.04209,0.268166,0.206967,0.370799,0.117812
2,-38.1937,-0.266518,0.458816,-0.209522,0.182083,-0.127079,-0.200087,-0.152298,0.00206846,-0.248116,0.0680149,-0.189496,0.0719275,0.322008,0.0603612,-0.32116,-0.0432183,0.168709,-0.163557,-0.077472,0.047577,-0.313381,0.153396,-0.239142
3,37.2279,0.331815,0.0964955,-0.299647,0.164703,0.084288,-0.088913,-0.140424,0.103166,-0.179438,-0.264129,0.28191,-0.0945522,0.270377,0.306666,0.183838,0.147854,-0.266055,-0.20673,-0.210428,-0.0477189,-0.0591442,-0.255078,0.276544
4,-34.9306,0.0684649,0.0413309,-0.155532,0.275375,0.31312,0.148089,-0.089226,0.216965,0.0492922,0.0786969,-0.37584,0.133656,-0.00869982,-0.106701,-0.0434016,0.153957,0.449661,0.114968,-0.292626,0.0903326,0.308398,-0.063938,0.324628
5,33.8937,-0.184557,-0.0168033,-0.0255875,-0.0126066,-0.0799728,0.561481,-0.0527542,-0.10388,-0.160892,-0.00440201,-0.0323717,-0.250357,0.0431331,0.188303,0.10905,-0.211837,-0.030209,0.275572,-0.471283,-0.340211,-0.0247752,0.021208,-0.173576
6,-33.7438,-0.328681,-0.233453,-0.101754,0.21311,-0.0173341,-0.0373069,-0.0418572,0.300077,0.166142,0.00538201,-0.0876462,-0.272374,0.141,0.231331,-0.0138442,0.0164163,-0.154135,0.482995,0.244817,0.313888,-0.250664,-0.0746317,0.144724
7,31.3856,0.0738126,0.533407,0.215561,-0.433525,0.169139,0.00418135,0.308314,0.316593,0.112786,-0.220639,-0.0705105,-0.13164,-0.00757477,0.0745998,0.0901029,-0.160642,-0.00958738,0.0925722,-0.174663,0.291855,-0.0606535,0.00938415,0.0184269
8,30.0837,-0.221688,-0.102553,0.231278,-0.266406,0.432559,-0.228307,-0.0666254,0.0464225,0.14671,0.293739,-0.00400826,0.0827813,0.163802,0.281576,0.0679583,0.174959,0.0323427,-0.0789577,-0.0853532,-0.429595,-0.220623,0.1694,0.193755
9,-29.061,-0.0799599,0.106131,0.261699,0.26303,-0.188372,0.16587,0.132328,0.152943,-0.154739,0.541277,0.0332152,0.214399,-0.0620402,0.198846,0.248047,0.0436709,-0.297694,-0.209803,-0.115928,0.296614,0.118421,0.126599,0.0764518
10,-26.0371,0.246185,-0.0830852,-0.121179,-0.24397,-0.176269,-0.253713,-0.197483,-0.0971174,0.130743,0.22408,-0.429933,-0.282547,-0.222796,0.355592,-0.0870831,0.192372,-0.097366,-0.0480051,-0.183986,0.113398,0.150364,-0.122617,-0.256159
