Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23
0,-53.3635,0.227571,0.241942,0.0302361,0.185741,0.0247229,-0.0686801,0.0789908,0.390898,-0.211792,0.327722,-0.329519,-0.305743,0.181894,0.0681743,0.0187737,-0.236466,0.115523,0.162128,-0.295691,0.0431965,0.295536,0.13041,0.0421882,-0.0807081
1,-42.5785,0.00869492,0.248459,0.0094557,-0.223865,0.282255,-0.206519,-0.218051,0.109173,0.0983055,-0.0843253,0.0709059,0.0642617,0.1545,-0.185326,0.224657,-0.305004,0.341467,0.258309,0.11768,-0.144849,-0.43832,0.196874,-0.167948,-0.0362658
2,41.7874,-0.226266,-0.250678,0.18553,-0.0846623,0.092138,-0.12731,-0.177051,-0.0630833,0.326695,0.131023,0.113555,0.120139,0.308692,0.267166,-0.0546828,-0.302383,0.191411,-0.189768,-0.129206,0.266938,0.229316,-0.20907,-0.0698067,-0.332058
3,38.2678,0.18658,0.0649387,-0.0121016,0.32747,-0.0518445,0.301033,-0.0117627,-0.0467052,0.169388,-0.271696,0.301495,0.0616744,0.27295,-0.102884,-0.0804488,-0.261414,-0.183403,0.19072,0.0013327,-0.241399,0.0522376,0.0588494,0.436175,-0.275904
4,-37.6262,0.232893,0.0868976,-0.128916,-0.206916,-0.177166,-0.31172,-0.212968,0.0773959,-0.206475,-0.146061,-0.144848,0.148577,0.497704,-0.274535,-0.0558357,0.124919,-0.0418192,-0.271087,0.142225,0.0852407,0.0664577,-0.268058,0.240759,0.114378
5,35.5338,-0.0116796,0.31775,0.17154,0.262078,0.402411,0.272303,0.0262825,-0.0761911,-0.0193165,0.0691332,-0.19546,0.49142,0.0999658,-0.0106685,0.0611967,0.13375,0.115476,-0.225244,0.033743,-0.269513,0.201894,-0.139449,-0.179247,0.106935
6,35.1354,0.176068,-0.0186029,-0.268494,0.156531,0.0443618,0.101249,0.0854283,0.0435839,0.0543985,0.295952,0.128967,0.269243,-0.152153,-0.325916,-0.264344,0.0911158,0.296433,0.324318,0.0689983,0.434629,-0.0606383,-0.256445,0.0172849,-0.0834634
7,-30.5698,-0.215183,-0.140557,0.191731,0.175905,-0.10247,-0.0341145,-0.0961727,0.0895465,-0.126151,-0.409659,-0.0932449,0.122831,0.190194,0.0951018,-0.328458,0.353213,0.370523,0.238532,-0.157693,0.0898942,0.028407,0.346683,-0.00996602,0.0608169
8,27.9239,0.0585527,0.366832,0.332015,-0.190118,-0.433028,0.20205,-0.087019,0.05493,-0.00594511,-0.200518,-0.107004,0.129331,-0.160004,-0.177798,-0.0183033,-0.0440153,-0.172612,0.0267661,-0.153016,0.180429,-0.0220099,-0.093466,-0.350549,-0.360846
9,-27.2872,0.05645,-0.236603,0.132363,0.00865692,-0.171548,0.0549201,-0.214196,0.139838,-0.244306,-0.0617068,0.0481246,0.199297,-0.138195,0.156952,-0.138497,-0.456116,-0.00954544,0.253243,-0.0225474,-0.189636,0.0409304,-0.345587,-0.105173,0.464773
