Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24
0,54.3102,0.142904,0.188236,-0.103505,-0.240149,0.14204,-0.0473786,-0.019765,-0.201894,-0.0810727,-0.163246,0.250452,0.0937832,-0.356058,0.279432,0.0891434,-0.00834474,-0.00415413,0.0441911,-0.345807,0.233604,-0.335143,0.308582,-0.149066,-0.114495,0.274904
1,-49.1567,0.258369,0.332004,0.0355926,0.334668,0.0556024,0.0953975,0.255564,0.0170592,-0.16088,-0.151593,-0.165884,0.120464,0.2424,-0.0342418,-0.336353,-0.290232,-0.103377,0.243491,0.0547576,-0.0164321,0.175174,0.153552,-0.145208,-0.0649362,0.361874
2,48.5475,0.0257063,-0.314661,0.140291,-0.0269818,-0.00704203,-0.128793,-0.0800833,0.0835447,-0.329551,0.0877011,0.209795,-0.0999468,-0.115732,-0.285099,-0.393217,-0.119384,-0.0978288,-0.254101,0.104314,0.229582,-0.0667051,-0.0434309,-0.49436,-0.155001,-0.059673
3,42.7008,0.0410561,0.111381,0.164311,0.205792,-0.441063,-0.0589764,-0.00407753,0.170968,0.19983,-0.119704,-0.00764557,0.102841,-0.0376452,0.317266,-0.0818328,0.516974,-0.174772,-0.0480349,0.042874,-0.0121534,0.0717652,0.118624,-0.224572,-0.356724,-0.128934
4,-41.4483,-0.102893,-0.0411986,0.28018,-0.100612,-0.0270257,0.218945,0.363277,0.411917,-0.287311,0.148563,-0.137503,-0.242545,-0.103905,-0.105135,0.0308998,0.180849,-0.0698954,-0.112448,-0.230419,0.0333573,-0.00653012,0.401857,0.248711,0.100527,0.075401
5,-37.3405,0.029335,0.189268,0.0762132,-0.250837,0.148678,0.062519,-0.0367702,0.218875,0.0192091,-0.466912,-0.0512927,-0.0115853,-0.105979,0.00399764,-0.267286,0.247402,0.0684458,-0.0667789,-0.2281,0.0533352,0.225215,-0.424445,-0.115997,0.381701,0.0153144
6,36.988,0.352993,0.0356078,0.081585,-0.0826321,0.348964,0.0827323,-0.0192417,-0.0789937,0.291352,0.426953,-0.0255431,-0.0920803,0.14735,-0.0583568,0.0340218,0.158336,-0.0148727,-0.314844,-0.288265,-0.101262,0.239964,-0.126711,-0.0896311,-0.285765,0.204278
7,-35.1762,-0.00941238,0.143433,-0.213514,-0.195246,-0.213946,0.210266,0.0519458,0.0112246,0.177757,-0.222131,-0.21025,-0.0323309,-0.0223237,-0.301626,0.161771,0.00782656,0.133096,-0.451712,0.355101,-0.138103,-0.206353,0.112718,-0.192677,-0.0088493,0.315446
8,34.9847,-0.198061,0.206868,0.085832,0.00440169,0.0560343,-0.325676,-0.328938,-0.116146,0.056914,0.320167,-0.286094,0.148172,0.18183,-0.0870401,-0.178656,0.263657,0.0702278,0.0040365,0.0137454,0.183644,-0.0961459,0.304889,-0.126463,0.398641,0.110015
9,-32.7048,0.182392,0.0655983,0.368782,-0.189293,0.159993,-0.205552,-0.0760534,0.102248,0.130132,-0.149085,-0.209347,0.23791,-0.158706,-0.0602416,0.319746,-0.268107,-0.381067,-0.10357,0.238315,0.264526,0.207512,0.0976238,0.0851284,-0.0212998,-0.144869
