Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25
0,-55.0517,-0.0808833,-0.0568101,0.295972,0.00797116,-0.121244,0.139869,0.292777,-0.243301,0.225709,0.110508,0.0419726,-0.0595871,-0.12585,0.168376,-0.0896764,0.389454,-0.0326611,0.0417721,-0.429104,0.0064122,0.185668,0.15649,-0.29175,-0.0151614,0.249545,0.239692
1,46.7368,-0.420237,-0.114582,-0.222637,-0.0893765,0.0269749,0.0118052,-0.100185,-0.160115,0.0977219,0.127719,0.0872156,0.274685,-0.207075,-0.21835,0.323914,-0.0415624,-0.265949,-0.330634,-0.00142992,0.398526,-0.168988,0.11436,-0.0768226,-0.084157,0.0605329,0.113556
2,-46.7107,0.191534,-0.0890853,-0.340281,-0.387581,-0.0980884,0.178595,0.0435818,0.021973,-0.0574172,0.452547,-0.267513,-0.0434784,-0.292504,0.0208061,-0.12813,0.157708,0.0787936,-0.265085,0.049434,-0.137261,0.102196,-0.16435,0.00988102,0.308346,-0.0785703,-0.00851821
3,41.4529,-0.045109,0.0167866,-0.203593,0.0524662,-0.560427,0.248827,0.0277609,0.161138,0.283105,-0.0937305,-0.205225,-0.222536,-0.0902514,-0.0894417,-0.01625,-0.300324,0.165637,0.192878,0.104283,0.20644,0.153002,0.0815613,0.000211546,-0.232716,-0.0597957,0.240104
4,-40.7381,0.173026,-0.0503323,0.108514,-0.252399,-0.373989,-0.235307,-0.194593,-0.185711,-0.319159,-0.0135835,0.103465,0.0419541,-0.328876,0.288223,0.0355533,-0.088708,0.0201652,0.0562514,-0.131596,0.0454035,-0.161097,-0.187319,0.104246,-0.389436,0.218979,-0.12292
5,38.2811,-0.039032,-0.148092,-0.0429872,-0.35745,0.0561875,-0.329736,0.143489,0.0334028,-0.0191061,0.120816,0.31552,-0.133425,0.151267,-0.200506,0.0954077,0.0219442,0.315791,0.036828,0.0196077,0.177607,0.489724,0.255424,0.205799,-0.0572002,0.0859405,-0.131388
6,-34.4155,0.136227,-0.235891,-0.0206802,-0.162231,0.206248,0.0465264,0.134217,-0.176017,0.0750436,-0.0225947,0.0297656,-0.155352,0.179477,-0.000714479,-0.273696,-0.0557959,-0.375713,-0.0197242,0.236753,0.0114392,-0.0286854,-0.166169,0.37524,-0.189155,0.211971,0.465049
7,34.0362,0.325734,-0.286536,0.0992458,0.189995,-0.121019,-0.125041,-0.0254656,-0.179176,0.260783,0.0558544,-0.286608,0.253567,0.0230109,0.0339593,-0.0803124,0.161788,-0.246232,-0.0585752,0.262122,0.0976262,0.178845,0.260639,0.0138899,-0.186643,-0.156146,-0.386406
8,-33.3141,-0.119277,0.218975,0.00329626,0.156039,0.0176913,-0.483849,-0.0553291,0.287727,-0.0747935,-0.00462996,-0.35129,0.0412537,-0.0240803,0.0652954,-0.15492,0.16501,-0.0430652,-0.0620593,0.143874,0.316947,0.238973,-0.267822,-0.145164,0.0716917,0.317242,0.154419
9,29.3196,0.18371,0.179312,0.0615969,0.062233,0.225752,0.106084,0.104072,0.277425,0.310306,0.104327,0.0468654,0.108508,-0.232011,-0.0364635,0.207227,0.172677,0.334848,-0.145214,0.256147,-0.181606,-0.205309,0.0518196,0.0979843,-0.351589,0.342559,0.0123009
10,-28.121,-0.266668,0.171314,0.0246834,-0.329765,-0.0623253,-0.0542387,0.351204,-0.180395,-0.00519113,-0.329708,-0.273014,-0.368949,0.103289,0.119773,0.0957548,0.0704143,-0.0487351,-0.216501,0.267732,-0.0807712,-0.19179,0.0934938,-0.126564,-0.0416779,0.0418023,-0.276507
11,26.1455,0.0925323,-0.0302136,0.424192,0.104608,-0.0169269,0.0232161,-0.1826,-0.0596441,0.23971,-0.0825718,-0.0210149,-0.337241,-0.193947,-0.210077,-0.102562,-0.162103,0.0975323,-0.352229,-0.155051,0.251871,-0.0880104,-0.0849847,0.298358,0.319588,0.0999765,-0.166571
12,-25.9236,-0.0613366,-0.432393,-0.168676,0.0616662,0.211318,0.214265,0.095075,0.0977636,-0.191842,-0.200272,-0.00574326,-0.0340247,-0.147011,0.0988425,-0.287427,0.221371,0.280016,0.231536,0.0626289,0.426967,-0.268022,0.0530447,-0.0423956,0.0379801,0.0763224,-0.157476
13,23.6022,0.0393023,0.221778,-0.0266926,0.175733,0.0606894,-0.0163281,0.380111,0.110381,-0.150859,0.35228,-0.0897489,-0.087577,-0.148131,0.255087,0.138852,-0.24382,-0.267297,0.227367,-0.0713921,0.17707,-0.10421,0.327267,0.31909,0.164229,0.105081,-0.106507
