Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26
0,53.9818,0.170199,0.201677,0.114588,0.14511,-0.23023,-0.0526394,0.0916208,0.282983,0.166679,-0.437043,0.0725489,0.0994104,-0.0523964,-0.111482,0.251036,0.21128,0.00286333,-0.0504888,0.204223,0.193265,-0.0262195,-0.0330338,0.170012,0.385959,-0.012125,0.169264,-0.324184
1,-52.2219,0.0151481,-0.120159,-0.0973671,0.243021,-0.0805088,0.266318,0.254091,-0.186034,0.153821,-0.00849548,0.36137,0.0127591,0.361594,0.114326,-0.0467201,0.109393,0.126371,0.106699,-0.153992,0.169971,0.0382642,0.229575,-0.150698,0.223844,-0.321775,0.172809,0.295661
2,43.3954,-0.0415948,0.178804,0.198728,0.138642,0.115702,-0.188523,-0.0794866,0.298821,-0.184962,0.138719,0.0904941,-0.107913,0.0799837,-0.455306,-0.142957,-0.0910728,-0.165494,0.211265,0.244273,0.0599868,-0.0691556,-0.0925776,-0.389016,9.45163e-05,-0.14845,0.286083,0.208491
3,-43.051,0.338493,-0.0902072,-0.0305435,-0.167814,-0.0829024,0.323205,0.257405,0.267345,-0.232661,-0.20319,0.169926,-0.184389,-0.149944,-0.117897,-0.179035,0.281571,-0.258265,-0.102571,-0.303912,-0.169546,-0.153384,-0.0394101,-0.0886646,-0.2455,-0.0265092,-0.0229716,-0.0185675
4,42.419,0.102298,-0.0288559,0.146959,-0.188746,0.004553,0.213916,0.0919367,-0.117861,0.307507,-0.0253426,-0.267695,-0.176532,-0.130768,0.203553,-0.182373,-0.0712602,-0.202378,0.470573,0.0424042,0.0010022,-0.228183,-0.221144,-0.00763355,0.31261,0.236632,0.152373,0.162157
5,-40.3189,-0.275165,0.476717,-0.0863302,-0.0238775,0.149499,0.155814,0.0853638,-0.0989206,-0.274632,0.00219148,-0.110103,0.0238573,-0.120857,0.269085,-0.140008,0.210608,-0.271914,-0.132914,0.121327,0.163534,0.108007,0.0538136,0.306268,-0.0721923,-0.137105,0.319689,0.136284
6,38.7858,0.0456825,-0.133087,0.359969,-0.0391062,0.0995516,0.142679,-0.268195,-0.157716,-0.0341482,0.0654504,0.206369,-0.369404,-0.318436,-0.0215442,0.0924866,0.264773,0.0543642,0.0089542,0.052729,0.421457,0.366199,-0.0227615,-0.0527097,0.0240063,0.0184584,-0.184659,0.033846
7,-34.6745,0.37654,0.0260761,-0.300788,0.189028,0.0687533,0.320315,-0.210283,-0.117809,-0.212221,0.145678,-0.179105,0.0761725,-0.111528,-0.0950786,0.0810004,-0.165806,-0.174583,-0.27113,0.22327,0.0861047,-0.189085,0.120175,-0.124317,0.35224,-0.0247956,-0.21551,0.0905393
8,31.5888,-0.0960652,-0.227562,-0.209123,-0.223678,0.135418,0.117861,-0.20474,0.43053,0.0270692,0.281889,0.101395,0.241095,-0.15278,0.182127,0.226413,0.079653,-0.0601977,0.241687,-0.0646499,0.196308,-0.102978,0.333266,-0.0757405,-0.0161868,0.0635234,0.24324,-0.165452
9,-28.8309,0.262265,0.0770494,-0.18227,-0.122006,0.112767,-0.175412,0.132804,-0.0913351,0.0714567,0.354647,0.104843,-0.137015,-0.0832531,-0.215664,0.194447,0.134987,0.339572,-0.0800811,-0.0722487,0.173161,-0.342385,-0.260297,0.344091,-0.0622661,-0.00894652,0.203076,0.179122
10,-26.8218,0.062473,-0.0183411,-0.0636194,0.448621,0.200096,0.0561834,0.16915,0.125834,-0.000337822,-0.0192856,0.0725751,0.202131,-0.298701,0.087001,0.154394,0.114948,0.152805,0.0242658,0.0392186,-0.289916,0.28187,-0.122036,-0.0910868,-0.0359801,0.441413,0.118025,0.3166
11,26.6576,0.417969,0.179462,0.152597,0.0603013,-0.162805,-0.224749,-0.127536,-0.0800713,0.0979035,0.308037,0.272061,0.37047,-0.202084,0.11962,-0.31922,-0.0962193,-0.199039,0.0907152,-0.198378,-0.0705329,0.203394,-0.0244764,0.125882,0.0579745,-0.145007,0.0151219,-0.0991423
12,26.1708,0.229441,0.102094,-0.177327,0.097866,0.501423,-0.0315056,0.225683,0.1591,0.0983701,-0.1293,0.0910979,-0.146386,-0.0336324,0.267797,-0.215091,-0.189724,0.189202,0.177632,0.268638,0.138783,0.0117039,-0.03026,-0.0369832,-0.17636,-0.206977,-0.220852,-0.268521
13,-25.3322,-0.0798761,-0.114236,-0.013649,0.0426069,0.260504,-0.130958,-0.283638,-0.18367,-0.0596102,-0.226666,0.411818,-0.0392435,-0.0117438,0.109261,0.309619,0.0714669,-0.314113,0.167736,0.0897322,-0.366308,-0.257183,-0.120522,0.182339,0.055823,-0.207466,-0.0717731,0.0774323
14,-22.9175,-0.101949,0.307229,-0.448038,0.22319,-0.155791,-0.00475277,-0.0296347,-0.1941,-0.000353903,0.108298,0.0839466,-0.219861,0.0568125,-0.2437,0.010052,0.192783,-0.136889,0.427781,-0.126799,0.020009,0.0683997,0.0712568,-0.0155894,-0.0474126,0.267811,-0.173025,-0.287576
15,19.0443,-0.189139,0.132033,-0.221088,-0.353893,-0.168241,0.0595624,-0.0220346,0.151251,0.235779,0.0610918,0.112216,0.139622,-0.183331,-0.10844,-0.202409,0.306039,0.192043,0.0137032,0.347519,-0.233843,0.0650281,-0.028308,-0.0656118,0.142219,-0.186625,-0.330984,0.244107
16,18.4086,-0.0192458,0.305893,-0.16683,-0.0877444,-0.281722,0.0676109,-0.0568492,0.0807008,0.168393,0.0549198,0.116909,-0.2174,-0.0786423,0.317537,0.378796,-0.279833,-0.0656339,-0.16609,-0.0917048,-0.000516534,0.0946128,-0.346957,-0.384436,-0.115127,-0.133647,0.083177,0.0165876
17,-17.0536,-0.0205748,-0.319971,-0.0496228,0.0468356,-0.231098,0.22189,0.0967932,-0.164985,-0.34036,0.115264,-0.0483649,0.280319,0.0413632,0.0180084,0.0330662,0.0870603,0.0743835,0.230806,0.295618,0.0538903,0.0742283,-0.505751,-0.0125028,-0.128818,-0.175824,0.0954195,-0.255715
18,16.1981,0.155072,-0.120146,-0.0263857,-0.0271469,0.072686,-0.111768,0.102422,-0.249892,0.15963,0.1485,-0.262741,-0.246348,-0.153375,-0.0500667,0.101074,0.215746,-0.00696879,-0.0778831,0.151335,-0.40514,0.179035,0.265527,-0.187776,0.0245968,-0.264447,0.364602,-0.273644
19,-16.1381,0.277496,0.361338,0.245566,-0.227713,0.150191,0.0079154,-0.0876688,-0.024754,-0.26509,0.0684211,-0.105531,0.128422,0.417424,0.225496,0.197726,0.33045,0.217815,0.142616,-0.0533565,-0.139306,-0.0167597,0.0124124,-0.225825,0.0769827,0.107001,-0.119228,-0.0181807
20,-11.2185,0.217361,-0.179405,-0.0468965,0.0842357,-0.322956,-0.327541,0.167655,0.2316,-0.0965811,0.12726,-0.177301,-0.209845,0.148936,0.243809,0.178966,0.0857048,-0.254947,0.144622,0.248191,0.0760116,0.122181,0.161694,0.203363,-0.127619,-0.0403214,-0.204741,0.316858
21,10.4206,-0.224475,-0.0386281,0.082474,-0.153779,0.0574339,-0.117836,0.48883,0.0483896,-0.322479,0.28984,0.262246,-0.147454,-0.0658156,0.0602188,0.0522961,-0.171217,-0.0587562,-0.0916467,-0.0163429,-0.104028,0.0510637,-0.00589358,0.000624734,0.498422,0.125594,-0.126994,-0.186428
22,-6.83784,-0.0784051,-0.153592,-0.134997,0.271905,0.00975312,-0.0646875,-0.356253,0.304058,-0.0112634,0.149562,-0.0655851,-0.289643,0.200943,0.255745,-0.345728,0.257343,0.0912547,-0.201205,-0.12422,-0.109034,-0.0209579,-0.286941,0.0685307,0.26149,0.000118581,0.0842657,-0.114686
23,-4.63547,0.0864745,0.0139013,0.115757,-0.0865639,0.0189523,0.31667,-0.0266872,0.0211003,0.26889,0.225283,0.302852,-0.0675973,0.397087,-0.0616612,-0.0325117,-0.0762984,-0.182056,-0.219216,0.407768,-0.1242,0.0887374,0.0239086,0.185893,-0.193085,0.336868,0.10734,-0.117267
24,3.71485,-0.099437,-0.0299254,0.0499719,0.0703239,0.340332,0.0555484,0.198035,0.1123,0.339892,0.191254,-0.248025,0.19892,0.155437,-0.187275,0.198237,0.194625,-0.384431,-0.0817685,-0.230011,0.0995108,0.152606,-0.272058,-0.0038934,0.031763,-0.200231,-0.254951,-0.0270676
25,2.00346,0.0672571,0.0853534,0.00306324,-0.0566268,0.0268456,0.338999,-0.127647,0.244295,-0.113729,-0.00160994,-0.117603,-0.157784,0.0558924,-0.204941,0.146816,-0.316243,0.191339,0.2597,-0.166047,-0.250081,0.36426,0.0169729,0.412586,0.11704,-0.242069,0.0345833,0.0644155
26,-0.25537,-0.187418,0.161685,0.409756,0.399974,-0.169025,0.251521,0.0665017,0.0928051,0.0749414,0.291973,-0.0528317,-0.0527499,-0.190054,0.0986595,0.0789182,0.0399575,0.134049,0.0495202,0.0210929,-0.144053,-0.428363,0.153216,0.0678368,-0.161645,-0.160243,-0.197827,-0.108335
