Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27
0,55.7447,0.0278889,-0.292024,-0.223057,0.0369905,0.165277,-0.240409,0.150527,-0.0538099,0.331848,0.122972,-0.213908,-0.20616,0.0240167,-0.114377,-0.00430733,0.485156,-0.0897713,0.0541331,-0.149806,-0.0424906,0.0552848,0.163655,-0.280347,-0.0779062,-0.231071,-0.0227544,0.250459,0.152369
1,-53.4315,0.170382,-0.0729904,-0.145557,-0.0268738,-0.0999213,-0.33701,-0.117633,-0.0580182,-0.00958664,-0.317798,0.0590301,-0.0927373,-0.0740816,-0.106188,0.0299056,0.0313077,0.211132,0.415561,0.315529,0.0979275,0.239893,-0.0958125,-0.0755581,0.336328,0.0464201,0.182731,-0.254833,0.242285
2,50.5565,-0.315148,0.0641652,0.463992,-0.15786,0.1567,-0.266443,0.0317705,0.185513,0.292385,-0.170025,0.150986,0.0228419,-0.372617,0.00911293,-0.059709,0.102028,0.105674,0.00718455,0.0859271,-0.113361,-0.18057,-0.0969289,-0.0888625,-0.314095,0.151248,0.00338025,-0.0872746,0.155751
3,49.1208,-0.0868727,-0.0641548,-0.0559653,-0.106015,-0.193551,-0.0997991,-0.179495,-0.169846,0.105188,0.14802,-0.136788,-0.139362,-0.12736,-0.107267,0.343426,-0.15469,-0.140301,-0.105558,0.245005,-0.223606,-0.390985,0.31382,-0.170205,0.196273,0.0249227,-0.277784,-0.276009,-0.105397
4,-47.5624,-0.0298758,0.242308,0.00595541,0.0556464,-0.245415,-0.0730073,-0.26942,-0.085786,0.30548,-0.149819,0.248955,0.232283,0.391759,0.107049,0.263071,0.119471,-0.0277902,-0.0690831,-0.13116,-0.156784,0.227299,0.113071,-0.138649,-0.00849083,0.330128,-0.103479,0.21597,0.119308
5,43.4783,-0.00242766,0.29962,0.190764,0.0897327,-0.32982,0.0963688,0.153202,-0.0778929,-0.0166102,0.34734,-0.0720371,0.0461089,0.199604,-0.479354,-0.00059448,0.138966,0.113764,0.0721504,0.236657,-0.18644,0.0697145,-0.171429,-0.125978,-0.229766,-0.181637,0.199257,-0.123441,0.0352779
6,-40.5847,-0.16189,-0.191938,-0.153288,0.353431,0.070365,0.0994646,0.113899,-0.203965,0.157617,-0.195351,0.170352,0.01517,-0.00709862,0.0830689,0.147351,-0.183284,0.285694,0.219218,0.248722,-0.303746,0.0264986,0.141886,0.274044,-0.278356,-0.234314,-0.0273996,0.145224,-0.175066
7,-36.4527,-0.218815,0.0601772,0.311503,0.37606,-0.0897864,0.138293,0.314159,-0.0834564,0.0758429,-0.0491367,-0.0750039,-0.396921,-0.162547,0.0444727,0.148615,-0.0228312,-0.048223,-0.0167305,-0.194993,0.0724489,0.282631,0.151256,-0.103426,0.281685,0.213537,0.193769,-0.0748041,-0.165626
8,35.1686,0.0289947,0.26177,-0.0613387,0.0511763,-0.0924497,-0.382943,0.0292283,0.112409,-0.192591,0.139836,0.324642,0.15147,-0.185696,0.0752048,-0.057661,0.194397,0.234332,0.0480315,-0.157575,0.0813944,0.0408862,0.236575,-0.149543,0.0672086,-0.23168,-0.109832,-0.0340514,-0.499246
9,32.4875,0.050903,0.27752,-0.104876,-0.283076,0.0065598,0.192743,0.0555819,-0.254145,-0.0709564,0.00677822,0.22844,-0.475297,0.0711338,0.220982,-0.0452864,0.0398126,-0.0937876,0.398595,0.0799837,0.128513,-0.20685,-0.0309161,-0.215479,-0.239509,0.131942,-0.0139135,0.142987,-0.0866886
