Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28
0,-55.3418,0.141822,-0.0403604,-0.211422,-0.222504,0.457713,0.252841,-0.181762,0.210627,0.0793901,0.0461985,-0.107302,0.00448566,-0.205543,-0.173753,0.072725,-0.163469,0.113059,-0.266022,0.109038,0.127236,0.143485,0.208835,0.283806,-0.0852525,-0.106413,-0.205023,-0.267904,0.139978,-0.0207952
1,54.8564,-0.228766,0.156047,0.00984706,-0.300592,-0.0904543,0.357457,-0.194713,-0.0307146,0.271134,0.00384069,0.195641,-0.0937678,-0.0697052,0.183773,-0.421139,0.0885284,-0.0931714,0.192695,0.0450723,-0.143468,-0.130749,-0.00444973,0.0286576,-0.298385,0.0348877,-0.20821,-0.0619741,-0.227229,0.195417
2,-50.5219,0.122618,-0.380731,0.299225,-0.20421,-0.066299,-0.150817,-0.0240403,-0.138439,0.0591727,-0.00443622,-0.143732,-0.155531,0.107095,-0.102528,0.0869777,0.258408,0.22624,0.248042,0.0912386,-0.0804799,-0.137826,0.399143,0.0510392,-0.160966,-0.181719,0.024081,-0.019758,0.247254,0.296197
3,50.4429,0.111403,-2.22764e-05,-0.239593,-0.0822305,0.128834,0.115039,0.0119682,-0.300328,0.0970639,-0.14353,0.215556,0.275163,-0.163122,-0.16225,0.231861,0.0406444,-0.0282171,-0.190434,0.00166399,-0.163083,-0.114951,-0.247473,-0.143081,-0.0720733,-0.254927,0.0711449,0.367854,0.083861,0.408072
4,-46.7089,-0.142565,-0.126662,0.144389,-0.205513,0.114561,0.0069843,0.0329869,-0.0996962,0.389196,-0.0210739,-0.151503,-0.232512,-0.259708,-0.0173399,0.0240206,0.107868,0.047204,-0.288591,0.0804225,0.0509001,-0.293468,-0.0497707,0.100232,0.276403,0.227996,0.412789,0.11196,-0.193668,-0.159427
5,-44.4196,0.12728,-0.0777165,-0.0281311,-0.0133604,0.292623,0.0215099,0.26859,-0.220548,0.190802,0.33753,-0.102701,0.123865,-0.0252138,-0.0586289,0.000631957,0.133199,-0.291044,0.192521,-0.340785,-0.20298,0.106248,0.190616,0.0128265,-0.173947,-0.0986442,-0.0618466,0.165494,-0.16696,-0.38198
6,43.5359,0.317012,0.28389,-0.0625873,0.277829,-0.101053,-0.0980715,-0.0388292,0.126712,0.185379,-0.0870295,0.0651569,0.128241,-0.172772,0.18188,-0.161479,-0.0200716,0.095954,0.0175296,0.362135,-0.010407,0.0121178,0.307151,0.0618781,-0.261726,-0.212538,0.386669,0.14096,-0.0447149,-0.155671
7,38.2322,-0.321827,-0.0552407,-0.181161,-0.135685,0.204557,-0.0963919,-0.0884979,-0.266771,-0.168477,0.00635316,0.328637,0.370041,0.0978709,0.114351,-0.134871,0.0400006,0.288256,0.202549,0.047917,0.152023,0.072692,0.238498,0.260318,0.237943,0.131744,0.111238,0.141131,0.0305942,-0.0977426
8,-37.911,-0.0410003,0.0274636,0.0660703,0.205658,-0.0569636,0.45407,0.162542,-0.0978726,0.122016,0.0222751,-0.416265,0.0984147,0.196447,0.265008,-0.118294,0.013986,0.23274,-0.0227622,-0.228942,0.172872,0.183724,-0.112031,0.237789,0.115735,-0.23796,0.149928,0.0555402,0.0315696,0.21843
9,35.7219,-0.0477224,-0.108257,-0.267522,-0.022685,0.0742807,0.106149,0.242678,0.39267,-0.0770092,-0.00373425,-0.0811034,0.0714223,0.129458,-0.206287,-0.0592776,0.329077,0.198923,0.00378211,0.0529923,0.305547,-0.0709588,0.145963,-0.374182,-0.0747621,0.0557048,-0.0114086,0.144832,-0.389007,0.109913
10,32.9474,-0.286281,-0.161786,-0.147273,-0.0163207,-0.2056,0.237672,0.112864,-0.2159,-0.175976,-0.0203539,-0.0764518,-0.286905,0.00941285,-0.158707,0.0872166,-0.107403,-0.36045,0.0337889,0.427588,0.227156,0.224225,0.0702708,0.101442,-0.152901,-0.0998346,0.0497514,0.251689,0.0556868,-0.12071
11,-31.1117,0.157717,-0.213856,-0.300061,0.0634881,0.0142712,0.0725117,0.21079,0.110717,0.115301,-0.104402,0.345969,-0.242922,0.012665,0.22203,-0.0142589,0.43185,-0.172517,-0.0016533,0.0175045,-0.164977,0.316466,-0.0331006,0.0777354,0.214002,0.0564114,0.150129,-0.258876,0.153955,0.0854517
12,30.6824,-0.0641853,-0.163185,-0.157784,0.206014,-0.223647,0.115593,-0.234788,-0.160522,0.0369282,0.467378,-0.0687752,0.285873,0.0739156,-0.283852,0.0167645,0.14748,0.0684168,-0.0441081,0.208624,-0.152417,-0.0652715,-0.166608,-0.0140651,-0.0942107,0.0773852,0.215077,-0.415077,-0.0536769,-0.037768
13,28.0374,0.0457811,0.131695,0.09228,-0.164208,-0.0818952,0.309895,0.261862,0.289255,-0.22804,0.436108,0.182675,-0.0655311,-0.0546269,-0.0624795,-0.0456971,-0.145069,0.114081,-0.0166777,-0.061499,-0.205956,-0.114882,0.0698033,0.00752844,-0.0126895,0.229083,0.227629,0.236206,0.374809,0.0432465
14,-26.189,0.0926493,-0.329524,-0.0985201,-0.0632904,0.14218,-0.00536604,-0.0344735,0.0818134,-0.292695,-0.149082,-0.181647,0.0973941,-0.114274,-0.0489689,-0.489631,-0.290188,-0.302505,0.148902,-0.0585729,-0.126003,-0.16097,0.00521887,-0.0886989,0.17683,-0.166837,0.307523,-0.115049,-0.0476675,0.123427
15,22.7972,-0.175359,-0.00848621,-0.202537,0.397122,0.115416,0.0411922,0.349188,-0.199771,0.0356021,-0.301364,0.015896,-0.131152,-0.109571,-0.132034,-0.0266177,-0.161893,0.158417,0.0690357,-0.16408,-0.0306643,-0.297621,0.0984772,0.0826914,-0.332321,0.289275,-0.00242001,-0.224428,0.137798,0.0370824
16,-22.1007,0.265511,-0.0148143,-0.283335,0.12652,-0.00836237,0.0262029,-0.328053,-0.231293,-0.0721126,0.172935,0.085769,-0.350218,0.407186,0.114372,-0.104698,-0.0770584,-0.0532481,-0.323015,-0.190341,0.0838303,-0.239691,0.257677,-0.0295329,0.0297971,0.0632648,-0.0147788,0.153634,-0.0651531,0.0460428
