Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29
0,57.3654,-0.170784,-0.0217341,0.0711596,0.0789108,0.10965,0.00697248,-0.282619,-0.141431,-0.141873,-0.0261484,0.283237,0.371156,0.0447403,0.217218,0.0697333,0.0656641,-0.338265,0.120924,0.0545399,-0.105839,0.391213,0.0324825,0.169049,-0.112578,-0.197704,-0.251609,-0.138458,0.277944,-0.106836,-0.0341011
1,-55.3514,0.216452,0.220167,-0.04889,-0.121938,-0.10792,-0.087172,-0.140351,-0.185963,-0.181005,0.180261,0.0631108,-0.0334786,0.032468,0.442286,0.209152,0.241546,0.242412,-0.217449,-0.176852,-0.0056898,-0.245669,-0.0298574,-0.282811,-0.112847,-0.297234,-0.170619,-0.0162526,-0.0524487,-0.00851601,-0.181393
2,51.3526,0.00451294,0.087898,0.375906,-0.345048,-0.263286,0.255288,-0.0345574,-0.0156089,0.175912,0.164173,-0.0117726,-0.0561298,-0.0651164,-0.178539,0.236742,0.068961,0.062726,0.213398,0.0074121,0.219927,0.252347,-0.236721,-0.180396,0.15963,-0.0430582,0.169096,-0.135825,0.244431,-0.0737355,-0.219405
3,-49.2784,0.046548,0.234092,-0.22369,-0.093572,-0.113925,0.235388,0.112573,0.32507,0.0350202,-0.0517531,0.0863619,0.255629,0.362583,-0.18229,0.0643343,-0.145223,-0.0451848,0.000805533,-0.0266188,0.117315,-0.071514,0.131702,0.0431979,0.0877949,-0.176929,-0.258507,0.427929,0.116284,0.175646,-0.238126
4,48.0926,0.0379033,0.226143,0.00790631,-0.314688,-0.0947159,-0.0528573,-0.19951,0.0773798,-0.214919,-0.200531,-0.205794,0.288645,-0.215517,-0.122788,-0.202231,0.0790188,-0.187821,0.0104456,0.185025,0.272533,0.11275,-0.023704,-0.19809,-0.148572,-0.055135,-0.0414962,0.0500484,-0.458042,-0.0723448,0.171035
5,-42.0118,0.292786,0.121126,0.0553657,0.190083,0.280233,0.0450553,0.00111168,0.0141487,0.105342,-0.0495509,-0.118344,0.227234,-0.102096,-0.15534,0.00805837,0.0892591,0.0916425,-0.210553,-0.166554,-0.393378,0.292045,-0.130227,-0.215872,0.137915,0.113082,0.036967,0.27556,-0.0354105,-0.37661,-0.146978
6,41.3992,0.208858,0.0830982,-0.257537,0.229868,0.0177418,-0.00126484,0.0377877,-0.0685828,-0.245872,0.101803,0.190814,-0.104043,-0.240133,-0.311398,0.285537,-0.0588348,-0.187213,0.228791,-0.166343,-0.0329687,0.0306125,-0.370668,0.0985045,-0.186317,-0.240121,0.203289,0.0639751,-0.125778,0.21905,0.0200817
7,-37.4229,0.288277,-0.105022,0.184963,-0.199556,0.284901,-0.011669,0.264627,0.12816,-0.250501,-0.482486,0.106139,0.00302912,0.0466048,-0.0413474,0.00294085,0.194394,-0.135729,-0.165389,0.187015,-0.0149602,-0.196858,-0.0751112,-0.0676273,-0.0710451,-0.0753269,0.175684,-0.149822,0.319146,0.111991,-0.0848871
8,-36.497,-0.176711,-0.203918,-0.063792,-0.110192,0.0813055,-0.0455833,0.305694,0.274984,-0.111375,0.202595,0.0468839,0.0876391,-0.178096,0.0658743,-0.20583,0.119618,0.0738872,-0.190853,-0.43078,0.25749,0.161578,-0.222592,-0.053327,0.0686381,-0.147804,-0.12137,0.0655064,0.202166,-0.0331527,0.34258
9,34.405,0.133489,0.162253,0.0195848,0.16773,-0.151173,0.019363,-0.0323007,-0.188502,-0.380001,-0.0713586,0.159402,-0.0334942,0.219305,-0.0879223,-0.183039,-0.205242,-0.125017,-0.139548,-0.407628,0.283874,0.104269,0.251337,-0.0804177,0.20035,0.223387,0.206657,-0.212592,0.0203055,-0.10787,-0.0877898
