Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30
0,56.8336,-0.142975,-0.375048,0.0505597,0.0101173,0.103474,-0.17247,-0.140773,0.0368518,-0.213164,0.0727575,0.39624,0.319178,-0.122001,0.0140485,-0.193057,-0.0075026,0.0433987,-0.00152101,-0.15257,0.0818847,0.438667,-0.0561704,-0.194363,0.00578912,0.222457,0.144391,0.154176,0.187505,0.0587254,0.111899,0.0457294
1,-56.2735,0.18213,0.075233,0.275436,0.018057,-0.00662441,-0.027968,0.148455,-0.15457,-0.318843,0.038846,0.131701,-0.0408377,-0.0734553,-0.420847,0.0429136,0.147449,-0.286782,-0.246323,0.228961,-0.0695681,0.167487,0.0250157,0.0566214,0.301025,-0.145691,0.248352,-0.162637,-0.0808498,-0.26457,-0.00415606,0.036874
2,-54.0485,-0.183575,0.190375,0.147433,-0.138046,0.451387,-0.0844791,-0.10172,-0.22808,-0.304201,0.0477504,-0.171949,-0.119635,0.363059,0.0816397,0.0915374,-0.100706,0.0765989,-0.142021,-0.218462,0.254154,0.0239734,-0.0818907,-0.129317,0.140124,-0.0594429,0.0108191,0.117924,-0.2913,0.171887,0.0794118,0.00749068
3,52.8625,0.0966779,0.0244587,-0.317215,0.45843,0.188893,-0.00065326,-0.18458,0.0327953,-0.155586,-0.0126885,-0.123234,0.212415,0.0639492,-0.258899,-0.19018,-0.193484,0.0229728,-0.0355229,0.0527734,-0.0992515,0.084562,-0.072672,0.355415,0.0780281,0.095678,-0.317336,-0.194293,-0.123943,0.0886277,0.221265,-0.00101913
4,-50.4797,-0.225988,-0.249649,0.19184,0.00779977,0.0856075,0.221562,0.211317,0.140814,0.0574546,0.0651225,0.11058,0.190161,0.090069,0.21872,-0.0728064,-0.194123,-0.105385,-0.19671,0.217586,0.460467,-0.119498,0.174876,0.297356,0.191673,-0.111384,-0.158161,-0.13414,0.109453,0.000974889,-0.154998,-0.0579481
5,44.1808,-0.119842,-0.0748422,-0.0204826,-0.154515,-0.133896,-0.217162,-0.0886613,-0.189512,0.00312266,-0.0902905,0.0608065,0.28174,0.332486,-0.132089,0.0607345,0.00527592,-0.207672,0.463699,-0.231094,0.00825607,-0.274037,-0.0693421,0.268186,0.204525,0.107028,0.0634904,0.0441423,0.0302601,-0.294998,-0.0621476,-0.097055
6,-43.3262,-0.128463,0.0907093,-0.138377,-0.0646153,-0.059507,-0.321402,0.243209,-0.0401606,0.157711,0.196217,0.116279,0.124751,0.173842,-0.204747,0.353297,-0.236513,-0.0362753,-0.0980207,0.0517349,-0.134701,0.198647,0.261034,-0.186317,-0.0644682,0.210504,-0.171883,-0.220673,-0.0855089,0.18821,-0.29348,-0.0967083
7,-43.0153,0.234276,-0.109384,0.161224,-0.191247,0.0773496,0.00960548,0.0774154,0.00966399,-0.0916861,0.054953,-0.132891,-0.28359,0.0918782,0.0517228,-0.224084,-0.227553,0.0640874,0.122583,-0.00759899,-0.148236,0.0684615,-0.0557404,-0.173485,0.19285,0.15566,-0.194853,-0.221458,0.328141,-0.094046,0.105884,-0.529696
8,39.9362,0.0905608,-0.393712,0.093143,-0.0903598,0.0250917,0.292203,-0.0221556,0.122197,0.196778,0.0375209,-0.0111946,0.247724,0.218181,-0.142898,0.119433,0.0590106,-0.0116903,-0.0250318,-0.0659971,-0.335959,-0.14385,-0.171049,-0.303856,0.272633,-0.26479,-0.0708516,-0.0760046,-0.128865,0.257836,0.112314,0.141126
9,-34.7578,-0.210916,0.140582,-0.300394,-0.29279,-0.0289269,-0.0338681,0.327058,0.0111303,-0.00421394,0.0351853,-0.247038,0.0833142,-0.0183107,-0.0155523,-0.0571603,-0.0799982,-0.0532307,0.0806137,0.176807,-0.0277254,0.236882,-0.410641,0.191088,0.0969634,-0.169967,0.265637,-0.00788358,0.2716,0.271922,0.0862571,0.0675671
10,33.5607,-0.211638,0.0165201,0.0465506,0.157025,-0.445553,0.093661,-0.255736,-0.190628,-0.0801454,0.232047,0.135413,-0.0360267,-0.0553738,-0.122558,0.0880618,-0.0505355,0.333227,-0.0732768,0.18286,0.149279,-0.0931134,-0.439486,-0.0615721,0.0722648,-0.0371028,-0.0256144,0.012855,-0.0939312,0.0592255,-0.146826,-0.302876
11,-32.9557,0.0663645,0.106025,0.0609574,-0.221259,0.0551026,0.0609214,-0.292702,-0.270077,0.012986,0.520726,-0.196626,0.235387,-0.35988,0.114342,-0.137271,0.0463596,-0.228314,0.115725,0.129194,-0.0799971,-0.122335,0.241045,0.0311635,0.0973255,0.10186,-0.00820401,0.0268982,-0.0495172,0.225842,-0.0154004,-0.0190819
