Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31
0,56.7901,-0.0623989,0.119145,0.00581485,-0.236589,-0.202167,0.187932,-0.152506,0.0106463,0.0266182,-0.159062,0.00970661,-0.07691,0.0686531,-0.303715,-0.0316293,-0.0062982,-0.272953,0.159236,-0.0176075,-0.16439,0.237078,0.310722,-0.274133,0.257043,-0.264311,0.204599,0.134449,0.186992,0.0749854,0.32014,-0.0477829,8.70246e-05
1,-55.3184,-0.361777,-0.0502324,-0.270542,-0.182568,0.102778,-0.197857,0.0413634,0.0315424,0.162073,-0.183981,-0.327694,0.253349,0.0374216,0.0655222,0.0174247,-0.439663,0.033574,0.0166722,-0.081707,0.0502039,-0.267943,0.0931833,-0.0244084,0.0632291,-0.265451,-0.277701,0.0161655,-0.093804,-0.0554518,0.116401,-0.0792605,0.0380417
2,-52.4237,-0.15094,0.204478,0.0273958,0.0115187,0.286745,0.271063,0.00621282,0.0260232,-0.229627,-0.366148,0.159637,0.0612494,0.114885,-0.117668,-0.130492,0.11371,0.04217,0.0273821,0.0260796,-0.251711,-0.124238,-0.0349036,-0.25328,-0.18978,-0.0376439,-0.0726289,-0.0385674,-0.054496,-0.233539,-0.338942,-0.264616,0.266642
3,49.7947,0.137352,-0.505331,0.271764,0.165558,0.12959,0.0509625,0.0380946,0.377164,-0.0649374,0.116935,0.216966,0.261405,0.13348,-0.11104,0.113439,-0.00642587,-0.160537,-0.0709622,-0.18343,-0.145537,-0.130347,-0.0614985,-0.142561,0.136022,-0.240885,-0.155105,-0.13603,0.0182531,0.00934622,0.093512,0.159891,0.0671558
4,-48.5296,-0.209381,-0.189141,0.132412,0.24269,-0.0935245,-0.326405,0.094506,-0.0588094,-0.0266815,-0.115032,0.0912616,0.07713,0.173332,-0.0662353,-0.107176,0.110193,0.17807,0.468461,0.229668,-0.0417561,-0.285885,0.108554,0.136227,-0.153604,-0.0397816,0.283826,0.000442078,0.296478,0.085228,0.0766399,-0.0709861,-0.0213852
5,47.9175,0.114441,-0.0964591,0.0730244,-0.158463,0.280857,0.092045,-0.150784,-0.0534535,-0.101988,-0.0293789,-0.382746,0.171823,-0.339081,-0.0398161,0.136416,-0.00545001,0.171407,0.273444,0.0100171,0.0413202,0.159066,-0.000420919,-0.187219,-0.274723,-0.0944155,0.131941,-0.0612601,0.194101,0.00423147,-0.123574,0.431742,0.0223754
6,44.2998,0.0459024,-0.152898,-0.0273393,0.252252,-0.0684626,0.232205,-0.127755,-0.0524193,0.0758029,0.0892711,-0.287181,-0.102458,-0.121615,-0.172673,-0.513239,-0.0527766,-0.0499418,-0.075219,-0.04785,-0.132174,-0.0954724,0.302104,0.169119,-0.0634023,0.169878,-0.249468,-0.117817,0.109882,0.233108,-0.0210746,0.0288933,0.285287
7,40.3774,-0.2732,-0.092043,0.184217,-0.100571,0.00920712,0.244094,-0.166674,-0.116959,0.197155,0.416891,-0.036412,-0.244315,0.163366,-0.211333,0.169135,-0.183838,0.0948842,0.197141,0.184927,-0.191913,-0.131081,-0.261151,-0.0182552,-0.0456317,0.145805,-0.0566378,0.204587,-0.160235,-0.19132,0.0879966,0.0796396,0.122045
8,-39.7048,0.215592,0.146265,0.101011,0.246065,-0.00383839,0.0513791,-0.397478,-0.178805,-0.153652,-0.135957,-0.146638,0.262792,0.0228299,-0.204319,0.295158,-0.00309611,-0.223403,-0.0941156,0.329449,0.179884,-0.181779,-0.138979,0.0794383,-0.0403088,-0.00822019,-0.214809,0.108268,0.0530612,0.137178,0.123437,-0.201004,-0.107469
9,-37.5783,-0.0568298,0.249404,0.000367352,-0.0639044,-0.0351132,-0.181296,0.0766006,0.215422,-0.31306,0.342763,-0.170605,-0.0320104,-0.283802,-0.0100792,0.0068222,-0.0467265,-0.340075,-0.0460994,-0.183798,-0.32648,-0.337692,-0.0798642,-0.0379591,-0.219054,0.0251011,0.21623,0.0429845,0.0306186,0.0843509,0.0397963,-0.137881,-0.0987079
10,-36.7934,-0.125744,-0.0741469,-0.0179821,0.104816,0.292387,0.0828878,0.0835147,-0.197763,-0.0316983,0.237605,-0.100721,0.016778,0.149343,0.183776,-0.158524,0.254426,-0.0699271,-0.0701957,-0.120634,0.27086,-0.135846,0.148836,-0.446749,0.0585168,0.17751,-0.100945,0.276717,0.244705,-0.111814,0.127395,-0.0522616,-0.253265
11,36.7322,0.0450549,0.00798425,0.174223,-0.125958,-0.0766238,0.0772762,0.389059,0.02224,-0.25282,-0.0685398,-0.289842,-0.181452,0.341322,-0.29477,-0.0769138,-0.173416,-0.114205,0.0539767,-0.124377,0.331173,0.125708,-0.238712,0.0817817,-0.130972,0.0502496,-0.0620256,-0.274059,0.147457,-0.0929936,0.0637848,-0.0643761,-0.0723903
12,33.2053,0.141796,-0.227875,-0.246809,0.0468269,0.126629,0.028796,-0.18696,0.155115,0.200594,0.113748,-0.00909313,0.102061,0.0867542,0.122761,-0.12868,-0.28018,-0.149119,-0.0714589,0.281175,-0.00255768,0.205144,-0.0329196,-0.158115,-0.219276,0.137133,0.353503,-0.278865,0.0463653,-0.196375,0.0808416,-0.337619,-0.047107
13,31.3722,0.00665123,0.0201585,0.206184,-0.059319,0.470913,-0.0592567,-0.0826142,-0.0248012,-0.145345,0.00309115,0.0245236,-0.33605,-0.146992,0.164336,0.0386846,-0.118694,-0.107852,0.0362763,0.0916037,0.263347,-0.155046,0.0677258,0.147819,0.402855,-0.0495517,0.211334,-0.132705,0.0270123,0.041815,0.0818884,-0.104357,0.365627
