Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32
0,61.7965,0.0239102,-0.144866,-0.0732913,-0.357669,0.065674,0.150054,-0.0030375,-0.0252905,-0.0972374,-0.120176,0.0140684,0.246119,0.157947,-0.0651092,0.130959,0.16532,-0.209728,-0.258878,-0.163283,-0.295216,-0.0942961,0.179405,0.0445405,-0.170613,-0.208885,0.145081,-0.213659,0.246865,0.221507,0.257048,-0.217792,0.124185,-0.114331
1,60.3183,0.195426,-0.18092,0.178663,-0.0790751,0.0197331,0.212492,-0.0729109,-0.238083,-0.129179,0.268448,0.283382,-0.114545,-0.0286424,0.258447,-0.0189992,0.0857765,-0.0596428,-0.20637,-0.195702,0.114862,0.000646734,0.00651787,-0.325163,0.36475,0.27335,0.245726,0.0307329,0.173897,0.0496289,-0.0884319,0.0417294,-0.104561,0.0123063
2,55.7752,-0.120593,0.21616,0.0642641,0.0869445,-0.000895707,0.188649,-0.137003,-0.328827,0.189049,-0.204108,0.0537946,0.0700074,-0.423866,0.0675053,-0.00871085,0.00151438,-0.187915,-0.0687911,0.130796,-0.0597487,0.200109,-0.0279501,-0.169018,-0.217526,0.0873413,-0.0966705,0.410659,0.174763,-0.0743075,0.220813,-0.195798,0.073693,-0.0585634
3,-54.044,-0.383043,-0.103911,-0.134545,-0.0803304,0.138822,-0.0531798,0.0584882,0.0818019,-0.278478,0.0278315,-0.111801,-0.248878,-0.20002,0.384919,0.135472,-0.235312,0.085575,0.00247453,0.155082,0.366218,0.107939,0.133169,-0.0722022,-0.0420307,-0.186474,0.087972,-0.154967,0.0760271,0.122007,0.191371,-0.194874,-0.0711542,0.0483721
4,48.8766,0.164324,0.0952058,0.246052,-0.0450874,0.181523,0.152703,0.409844,0.214536,-0.198695,-0.0589214,0.148887,0.236866,-0.187501,-0.0531468,-0.133217,-0.266186,0.238279,0.134856,0.00524599,-0.0658441,0.188054,-0.0336035,-0.0428143,0.0788236,0.221303,-0.195632,-0.108347,0.0457489,0.265739,0.0530962,-0.0550995,0.263349,-0.111872
5,-48.5624,0.161868,-0.354311,-0.192437,0.219266,0.0086394,-0.444959,0.286103,-0.0122517,0.0049995,-0.278982,-0.0955877,0.0101247,-0.0639924,-0.000114172,0.144672,0.0555595,0.0287132,-0.355118,-0.0866448,-0.032176,0.259534,-0.103586,-0.0872053,0.184404,0.0111029,0.111364,0.184965,-0.123304,-0.048789,0.0245692,-0.0901242,0.157395,-0.121998
6,-45.6841,0.037318,0.28636,0.018753,-0.0478725,0.0122109,-0.0974288,0.0901384,0.204459,0.141075,0.0463316,-0.220174,-0.091229,-0.225413,0.157428,0.0489835,0.00319181,-0.161272,-0.00732645,-0.469068,0.152838,-0.314385,0.348938,0.118354,0.0403067,0.105294,0.109717,0.223975,-0.0658451,0.0839006,0.0155899,0.101124,0.310886,-0.00902472
7,-44.9343,0.142925,-0.0691682,0.028279,0.137329,0.182697,0.0547462,0.251466,-0.115194,0.0145219,-0.151463,0.319071,0.112536,0.0479037,0.0500556,0.455418,-0.0325875,-0.269131,0.106203,-0.0527687,0.301834,-0.287776,-0.238369,0.162541,-0.120087,0.039315,-0.14012,-0.0461198,-0.0345508,-0.0659997,0.13108,0.01579,-0.0666392,0.287327
8,42.1089,-0.0932268,0.0743016,0.00940206,-0.133865,0.238735,-0.203575,0.222649,-0.222827,-0.0510296,0.134899,0.0271815,-0.186397,-0.00511906,-0.144973,-0.136279,0.331343,0.092885,0.10101,0.224918,-0.0174728,-0.181171,-0.0457392,-0.263669,-0.123553,0.0840147,0.160746,-0.157994,-0.00584047,-0.267594,0.217997,0.142258,0.413588,0.0817824
9,-39.7188,-0.0858996,-0.0985249,-0.0841588,0.0372189,0.286726,0.160864,0.0730112,0.300785,0.359605,-0.0471117,0.148295,-0.0360735,-0.334063,0.0951459,-0.269287,0.306002,-0.0300172,-0.215038,0.0478236,0.099051,-0.0630034,-0.268961,0.136244,-0.0699075,-0.12006,0.0857725,-0.163626,0.0337991,0.10832,-0.12268,0.185527,-0.136439,-0.201042
