Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33
0,-64.3836,0.0425921,0.263743,0.244921,-0.320646,0.0698739,-0.0446874,0.260644,-0.0218736,0.0098987,-0.286826,0.000790358,-0.145291,0.00487402,0.149511,-0.152696,0.157744,0.330164,-0.22591,0.141705,-0.140562,0.120968,-0.0604641,0.0840752,0.0100434,-0.0296003,0.104804,0.0410991,-0.352291,-0.354278,-0.115661,0.0199619,0.0272489,-0.10297,-0.0533427
1,59.3561,-0.148422,0.1443,0.00884426,-0.0150483,-0.34389,-0.0638322,0.0577354,-0.26383,0.272493,0.1548,0.0876466,-0.155406,-0.0859463,-0.0661225,-0.30886,-0.0816426,0.0291888,0.261231,0.315333,-0.0794014,-0.146575,0.025206,0.0442729,-0.279038,0.115163,-0.0141059,-0.22826,0.123271,0.0831922,-0.165012,-0.0956338,0.108227,-0.224856,-0.233663
2,57.2547,0.351126,-0.188004,-0.223606,0.0821945,-0.00334616,0.200224,-0.297521,0.107679,0.0322068,-0.00299532,-0.271915,-0.248311,0.0774781,0.305487,-0.219349,-0.152119,-0.0416784,0.17794,0.117381,-0.0145729,-0.069281,0.137672,-0.133275,0.196598,0.091755,0.0517053,0.154656,-0.113622,-0.259679,-0.050883,-0.129153,-0.0368117,-0.267052,-0.0481669
3,-52.2635,0.243268,-0.00666545,-0.132404,-0.178508,0.0621894,0.0745052,0.169946,0.013098,0.260173,0.00246934,0.0974556,-0.212752,-0.286659,-0.309224,-0.187392,0.183511,-0.0569244,0.267027,-0.0900404,-0.242045,0.0381496,0.0590731,-0.129512,0.0590007,-0.264746,-0.098501,0.112328,0.00595694,0.0222036,0.173836,0.132838,-0.385635,0.165279,0.0243782
4,49.0778,-0.0814824,0.0352498,-0.0651478,0.141898,-0.202436,0.0567086,0.0426729,0.282893,-0.101494,-0.216787,0.0664379,0.127614,-0.374155,-0.147646,-0.0210351,-0.0134226,0.200158,0.13051,-0.0479932,0.302202,-0.209566,-0.175377,-0.0773562,-0.144544,0.328242,-0.0634591,0.0405684,-0.229859,-0.0702994,0.208421,0.100153,-0.152138,-0.265216,0.175661
5,-48.2905,0.0347478,0.271074,0.233104,0.0274474,0.0239618,-0.128565,0.071042,0.278428,-0.162058,0.251802,-0.312616,0.0324924,0.12543,-0.0666373,0.00541522,0.0156633,-0.160639,0.268522,0.16119,-0.0360189,0.258192,-0.242115,0.127192,-0.155849,-0.0467524,0.245387,0.186448,0.223516,-0.101575,0.27216,-0.00282009,-0.107582,-0.162102,-0.0366131
6,-47.7225,0.0604821,-0.101943,0.15069,0.414624,-0.196197,0.123672,-0.0810613,-0.302331,-0.0628321,0.0911969,0.183041,-0.196592,-0.0381917,-0.31424,0.0994428,0.218458,0.0194255,0.00189512,0.174406,-0.0582902,0.182312,-0.234872,-0.105544,0.242296,0.0799938,0.250719,0.110783,-0.163439,-0.129293,0.0234034,-0.141165,0.1657,0.120846,0.131866
7,46.2228,-0.135662,0.282226,-0.0126463,-0.130576,-0.225427,0.0994257,-0.242759,-0.05108,0.255779,-0.0475223,-0.058437,0.0949342,-0.000470531,0.300137,0.126746,-0.0694287,-0.163185,0.0670382,-0.166455,-0.141384,0.162972,-0.45245,-0.187408,-0.00605591,0.00149727,-0.174882,0.0189366,-0.231354,0.11113,-0.0203506,-0.281452,-0.164669,0.141657,0.0503389
8,43.8288,-0.111886,-0.0578782,0.0904176,-0.332421,-0.0806576,0.208027,-0.0576921,0.0174797,-0.0139219,0.00380484,0.338634,-0.0812694,0.228685,-0.156304,0.0333754,-0.343153,-0.171809,0.00685019,0.132344,-0.0123569,0.29465,0.0856133,-0.11314,-0.0216969,0.158508,-0.175252,0.328267,-0.0263848,0.0316149,-0.00490534,0.326964,0.111449,-0.181623,0.150576
9,39.3857,0.309338,0.0488521,0.262022,0.14784,-0.191656,-0.23226,0.0263912,-0.0508377,-0.175601,-0.28551,-0.0699784,0.00546349,-0.126375,-0.0153838,0.202473,-0.215335,-0.216712,0.00767134,-0.0433171,-0.0862595,0.162237,0.219147,-0.29865,-0.0950483,0.154315,0.0950699,-0.162223,-0.0635251,0.0528063,-0.173418,0.174645,-0.204266,0.0862458,-0.303252
10,-38.8355,-0.295078,-0.0901537,-0.174242,0.124853,0.205147,-0.181101,-0.191781,0.319863,0.178981,-0.105846,0.313433,0.0694568,0.068851,0.00527393,0.0859737,-0.0678979,-0.0865019,0.21981,0.139197,-0.295524,0.056432,-0.0320469,0.165439,0.140095,0.0762171,0.201335,-0.290044,-0.156183,-0.242187,0.015727,0.157384,-0.0610124,0.0777175,-0.140678
11,-35.1351,-0.0491796,-0.257307,0.249576,0.0518165,-0.00602419,-0.359132,0.195644,0.15285,-0.0687568,-0.00702909,-0.0113026,-0.029563,-0.000138315,0.0980041,-0.152091,0.0371199,-0.0276588,0.306871,-0.0696586,0.043842,0.0388664,-0.230854,-0.208203,0.297928,-0.248238,-0.283263,-0.103357,-0.0220945,0.0720629,-0.274713,0.0613376,0.200557,-0.185043,0.187928
12,33.4954,-0.109738,-0.143195,0.0505292,-0.306658,0.0638788,-0.124053,-0.0811746,0.0339333,-0.00616953,0.213402,-0.209926,0.0133716,0.0180618,-0.187241,-0.1244,0.121241,0.0640572,-0.138255,0.178554,0.169765,0.257347,0.125474,-0.149004,0.305891,0.322334,-0.0662981,-0.324217,-0.167753,0.204032,0.227046,-0.181821,-0.172742,-0.01445,-0.0936072
13,-32.58,0.131881,0.0447846,-0.0948885,0.0519787,-0.173138,-0.307338,0.0828235,0.1038,0.291758,0.0941117,0.132491,-0.289672,0.140523,0.128461,0.235293,-0.243083,0.418627,0.102932,-0.0296265,0.35867,0.211112,0.123183,0.0949791,0.000927687,-0.0493635,0.110567,0.0526807,0.026318,0.0583719,0.0221533,-0.0757176,-0.108581,0.178591,0.158458
14,30.4688,-0.234933,0.100666,-0.00126017,0.302535,-0.138401,0.0113065,-0.0597745,0.230096,0.154273,0.24961,-0.286693,-0.260036,-0.140229,-0.0330865,-0.0143013,0.0525937,0.036087,-0.277401,-0.164057,-0.123817,0.186921,0.16626,-0.0681897,-0.108532,-0.0249612,-0.357208,-0.0141084,-0.0666671,-0.216904,0.0517571,0.260612,0.211139,0.0760749,-0.0855089
15,-30.2999,0.217711,-0.0887744,0.0265552,0.161065,0.134162,0.202916,0.249867,0.0532924,0.120288,-0.0384777,0.122984,0.173507,-0.193444,0.176836,0.218559,-0.0939886,0.090358,-0.0844245,0.230072,-0.281358,0.278521,0.0811837,-0.0432816,-0.0915,0.0070546,-0.209377,-0.253437,0.194469,0.00038427,0.203736,-0.265511,0.0761217,-0.238806,0.211164
16,29.6812,0.0252855,0.0272758,-0.148403,0.0178887,-0.0484536,0.148605,-0.039918,0.0309748,0.267064,-0.112151,-0.0637842,0.444678,-0.0449015,0.0106519,-0.309602,0.113806,0.0727908,-0.0210649,0.0369271,0.274398,0.359079,-0.0207779,-0.281898,-0.0111883,-0.0650521,0.27109,-0.0450519,0.238614,-0.117741,-0.185413,0.21178,0.129938,0.11829,0.0250904
17,26.3084,0.0415644,-0.146848,0.0214698,-0.138063,0.186312,-0.302092,-0.162162,0.0909056,0.146629,-0.213579,-0.117013,-0.163948,-0.165884,-0.100445,-0.0919838,0.129614,-0.208058,0.0119357,-0.0728022,-0.0932599,0.0775381,0.0700137,0.0580842,-0.363077,0.318574,0.098939,0.131208,0.0383319,0.0351111,-0.116851,-0.240095,0.259885,0.140611,0.364349
18,-25.0517,-0.127861,-0.17246,0.173712,0.0132423,-0.100127,0.1717,0.141728,0.362939,-0.0649217,0.132507,0.305646,0.0260951,0.0296311,0.0200153,-0.12408,0.0681959,-0.189491,-0.0346927,-0.0808936,0.176103,0.0314195,0.234201,-0.137829,-0.242558,-0.236625,0.108158,0.0757829,-0.208708,-0.0759698,-0.061023,-0.459292,-0.0375167,0.066911,-0.208292
19,24.6107,0.0591665,0.348446,-0.00875187,-0.0438192,-0.000598559,-0.135252,-0.0265432,0.0077191,-0.0744435,0.259102,0.0272964,0.269958,-0.0737895,-0.11076,-0.13085,-0.303381,0.141117,0.0849255,-0.205818,-0.282496,-0.155214,0.278821,-0.215961,0.161353,-0.0477049,0.22765,0.0176476,-0.216572,0.0419647,0.11971,-0.0940746,0.291997,0.00237876,0.21339
20,-22.1853,-0.00816738,-0.383174,0.334036,0.0615285,0.0838122,0.147556,0.151815,-0.152201,0.232507,-0.0605647,-0.252055,0.196189,0.034626,-0.0127752,-0.134846,-0.34497,0.133379,0.197277,-0.0499803,-0.0107748,-0.0355518,-0.0840344,0.191606,-0.0859229,0.0645134,-0.0451452,0.0992543,-0.210684,-0.0183135,0.239248,0.0453937,0.109453,0.304959,-0.166247
21,-19.805,0.167415,-0.124487,-0.0114243,-0.173395,-0.393102,-0.0717848,-0.22064,-0.128813,-0.0517355,0.031068,-0.0126601,0.215065,-0.111265,0.130471,0.118171,0.277874,-0.14444,0.157227,0.00533935,0.0626006,0.157764,0.235151,0.398411,-0.0590273,-0.244966,-0.029738,-0.106857,-0.270782,-0.0379576,0.164107,0.154919,0.136169,-0.102948,0.107739
22,18.2936,0.00963936,-0.0764278,0.282318,-0.0786767,-0.152963,-0.0238886,-0.0530354,-0.0423363,0.0400122,0.0267211,0.150777,-0.132013,0.239991,0.29409,-0.118159,0.134302,-0.0708302,-0.0663752,-0.0522744,-0.0157359,-0.288975,0.00267784,-0.29929,-0.0972661,0.0819647,0.0950913,-0.258846,0.20862,-0.219409,0.413514,0.176211,-0.0557795,0.150413,0.252753
23,-17.7837,0.331769,-0.173174,0.190007,-0.105003,0.018769,0.0811043,-0.224093,0.20333,-0.0439313,0.451215,0.212046,0.038304,-0.182982,0.10471,-0.0745599,0.0284423,0.250733,-0.136795,-0.146089,-0.165433,0.00740797,-0.268586,0.133313,-0.119394,0.173944,0.0879115,-0.0500291,0.022895,0.145094,-0.267512,0.178774,-0.0728502,0.013962,-0.0771401
24,13.9492,-0.069492,0.0319934,-0.062186,0.00686352,-0.150879,0.248772,0.0202382,0.15558,-0.224687,-0.321809,0.0332931,-0.239739,0.112926,0.092944,-0.148391,0.135107,0.208706,0.206695,-0.322126,-0.17252,0.219724,0.0297142,0.0815076,0.0784332,0.0983824,0.124186,-0.0990386,0.142788,0.37961,0.181214,-0.0175251,0.247703,0.00890394,-0.175852
25,-13.3558,-0.0711785,-0.013745,0.135774,-0.0202257,0.173625,-0.0336004,-0.210926,-0.235014,0.0131107,0.0427832,0.0598736,0.151904,0.181744,-0.125736,0.193415,0.235648,0.313885,0.331559,-0.345893,-0.024082,0.0943728,0.170016,-0.141487,-0.130786,0.129963,-0.19998,0.0690005,0.126853,-0.315748,-0.074948,-0.131898,-0.10352,-0.201295,-0.138454
26,12.8711,0.174544,0.0823208,0.0111249,0.290254,-0.00975368,-0.13761,0.22628,-0.0583647,0.334492,0.0146094,0.142115,0.125657,0.293317,0.00311946,-0.245588,0.115382,-0.266232,-0.206599,-0.333983,0.000762061,0.0519942,0.0220115,0.218478,0.125088,0.243607,0.00125856,0.0845843,-0.112032,0.105857,0.055302,0.0182541,-0.12606,-0.309448,-0.00413304
27,-9.38968,0.23257,-0.0915714,-0.128264,-0.178992,-0.420723,0.0389735,0.120273,0.290543,0.0446179,-0.0894784,-0.152855,0.14106,0.356759,-0.40809,0.123267,-0.0152545,0.0528041,-0.0790101,-0.016373,-0.184322,-0.168338,-0.114583,0.0653896,0.0536966,0.0554542,-0.125121,-0.138091,0.115179,-0.214296,-0.144076,-0.149176,0.069547,0.108153,0.0263488
28,-7.34736,0.0765215,0.24756,0.423881,-0.0263213,-0.00453258,0.0867211,-0.198666,0.24584,0.315569,-0.129475,0.0774348,0.0554513,-0.174682,0.012228,0.148112,0.148753,-0.0421922,0.0449821,0.160442,0.123953,-0.233117,0.177045,0.097441,0.379722,0.0737494,-0.106365,0.188569,0.213628,0.0889637,0.00633196,-0.0472608,0.161947,0.0608093,-0.150182
29,6.58683,0.0792114,0.285561,0.233102,0.161951,0.158963,0.279647,-0.204688,0.0156952,-0.121948,-0.0754212,-0.00760598,-0.0954169,0.123806,-0.185519,-0.251748,-0.158479,-0.0424318,0.106389,-0.0253447,0.171649,0.0804242,0.0895881,0.25737,-0.0378432,-0.0884738,-0.163787,-0.39197,-0.0602663,-0.0392389,-0.193176,-0.0327833,-0.18092,0.120733,0.336873
30,4.70582,0.0211813,-0.0535336,0.0653755,0.230984,-0.00532285,-0.149717,-0.317505,0.104449,0.0460647,-0.183338,-0.0271128,0.131883,0.302744,-0.0878066,-0.126132,0.133338,0.281281,-0.133292,0.320957,-0.197001,-0.0694041,0.0522607,-0.152083,-0.236334,-0.254159,-0.0898416,0.179821,-0.141289,0.368604,0.0715487,0.0463873,-0.137717,-0.0639813,0.0396837
31,3.20947,0.325887,0.20169,-0.218007,0.0522207,0.116862,-0.202072,-0.00126783,-0.00486128,-0.234933,0.0349655,0.273299,0.0813671,0.0767619,0.0754932,-0.209662,0.0578464,-0.0349279,0.0907635,0.163583,0.138221,0.0609839,-0.127705,-0.0238412,-0.0746317,0.148268,-0.415573,0.0603382,-0.0509394,-0.105385,0.183255,-0.0450774,0.243446,0.327916,-0.236223
32,-2.29774,-0.038749,0.0867261,-0.0594535,0.0697146,0.0383868,0.218578,0.337294,0.0737193,-0.00922893,0.19659,-0.134045,0.0713009,0.185532,0.203959,0.177887,0.320595,-0.0138708,0.29816,0.194225,-0.0724755,-0.0876952,0.202104,-0.0772255,-0.0592119,0.302475,-0.00559158,0.0465761,-0.226918,0.16833,-0.258305,0.171251,-0.0437315,0.215885,0.183683
33,0.896353,-0.242585,-0.0835246,0.0270902,0.0805917,-0.287562,-0.133452,0.0216886,-0.0458161,-0.246033,-0.020864,0.0438585,0.1713,-0.140167,0.181535,-0.282714,-0.0563844,0.0890655,-0.0464437,0.0685067,-0.227047,0.105344,0.18466,0.205478,0.201559,0.148943,-0.116893,0.274255,0.260323,-0.127693,-0.0905994,-0.123798,-0.340806,0.209927,0.150555
