Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34
0,-63.952,0.242576,-0.109893,-0.390704,0.303013,-0.0512462,0.185724,-0.208448,-0.034156,0.306855,-0.114127,0.0150474,-0.0955165,-0.0389131,0.130088,0.189625,-0.090007,0.0311936,-0.236352,-0.22057,-0.167513,-0.0680511,-0.228303,0.0886552,-0.291901,-0.0949445,-0.0774472,-0.239712,0.00969866,0.0765191,0.105606,-0.0221531,0.200244,-0.0133468,0.080639,0.0602892
1,60.6058,-0.214067,0.0674027,-0.13593,-0.0621144,-0.228511,-0.153487,-0.160998,0.101762,0.105069,-0.266294,-0.321969,0.0853961,0.0324986,0.159002,-0.112935,-0.149047,-0.155018,0.0014699,0.167809,0.0732958,-0.0352587,-0.279235,0.0969729,0.0671429,-0.401101,-0.0137168,0.160216,0.19086,0.0728113,-0.258095,0.12241,-0.203021,0.131978,0.0254466,0.202457
2,-57.2744,0.0426627,0.00228858,0.00390297,-0.177458,-0.175007,-0.0155209,-0.237106,0.259172,0.0615243,-0.0891701,-0.241733,-0.0740454,-0.00711925,-0.0446446,-0.246278,0.110249,0.137387,0.0622274,0.228315,-0.295129,-0.0353564,0.206678,0.106621,0.132694,0.054164,-0.160113,-0.18522,-0.182452,0.251505,0.305278,-0.145022,-0.00402896,0.162395,0.296509,-0.197574
3,-54.5299,-0.121887,-0.191885,0.261174,0.211004,-0.054457,0.0835071,-0.373444,-0.189306,-0.121319,0.123189,-0.138294,-0.0383088,-0.179875,0.192598,0.0689034,-0.307691,0.0466682,0.115816,-0.148587,-0.0674435,-0.0440425,0.0673205,-0.259507,0.208025,-0.00152465,-0.177451,0.152708,-0.220054,-0.049235,-0.210845,-0.151127,0.23376,0.20866,0.0161731,0.0170396
4,54.4914,-0.000488201,0.0289146,0.249265,0.0762481,-0.38324,-0.084578,-0.215929,-0.267004,0.146413,0.139372,-0.0691996,0.0422731,0.0408102,-0.291909,0.0946117,-0.220278,0.0486622,-0.088196,0.140386,-0.0151431,0.474248,-0.145306,0.243952,-0.106609,0.184029,0.0948438,-0.00847483,0.0463818,-0.0125139,0.0865954,0.119481,-0.0665015,-0.0477415,-0.125369,-0.176253
5,51.7649,-0.0914463,-0.133344,-0.100851,-0.0723948,0.0387212,-0.279535,0.023833,-0.0950706,0.235905,0.157307,-0.259359,-0.0922544,0.336844,-0.0710797,-0.170729,0.0517173,0.023715,-0.1361,-0.0964096,0.00238324,0.0471505,0.0579655,-0.29017,-0.238479,0.0780846,0.22204,0.118703,0.158633,-0.195219,0.0288511,-0.460906,0.0485836,0.169833,0.0856779,0.0554137
6,-49.7458,-0.0554217,0.099818,-0.257071,-0.0710345,-0.179712,0.12302,0.0231175,0.0427224,-0.112826,-0.158915,0.0620921,-0.426379,-0.0179633,0.21437,-0.0658556,-0.105731,0.187881,-0.208931,-0.127072,-0.021355,0.199276,0.338147,0.0678066,0.118258,0.0115434,0.161218,0.216296,0.196199,-0.0439853,-0.235543,0.0415241,0.0657478,-0.121367,0.00472551,-0.350434
7,-47.6099,-0.265066,-0.177577,-0.0850283,0.09515,-0.168792,0.166145,0.0864977,-0.124773,-0.193284,-0.288459,-0.0599466,0.233636,0.221632,-0.162751,0.0753469,0.22041,0.0630729,-0.067209,0.0606856,-0.150871,0.00183484,-0.0133889,-0.424461,-0.0955317,0.137452,-0.111637,-0.0143052,0.14409,0.369669,-0.0697055,0.143058,0.109326,0.00500519,-0.163165,-0.129798
8,46.449,0.321241,0.0887711,0.244295,0.0625325,0.149967,-0.109408,0.122665,-0.107176,0.0175975,-0.292059,-0.0518531,0.0310532,0.021913,-0.0199008,-0.263906,-0.298356,0.309169,0.214251,-0.049275,-0.0239502,-0.136391,-0.153525,-0.0504469,0.00650729,0.0349128,0.197825,0.177938,0.267549,0.15321,0.160719,0.155546,0.292709,-0.0437134,0.146786,0.00749944
9,-44.0421,0.127804,0.171931,-0.0150871,-0.15254,-0.100899,0.260036,-0.0445171,0.0921453,0.0247491,-0.0958316,-0.0142154,-0.111958,0.0816162,-0.332432,0.0578159,-0.0192257,-0.025357,0.18837,-0.384647,0.149028,0.100566,0.1166,0.0832863,0.107233,0.235914,-0.140224,-0.113587,0.238302,0.0754855,-0.149718,-0.0350005,-0.0412702,0.381691,-0.0105632,0.358662
