Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35
0,64.2386,-0.122888,-0.00882219,-0.00377473,-0.014423,-0.190327,-0.246114,0.191548,-0.134096,0.21173,0.144352,0.00940415,0.235507,0.217958,0.182213,-0.0998522,-0.0319118,-0.124911,0.133452,0.196621,0.0814143,0.0687879,0.119218,-0.0982031,-0.326785,-0.319704,0.242393,-0.00249479,-0.153237,0.263543,-0.197842,-0.0431848,0.0706986,-0.05423,-0.213392,-0.20845,-0.119572
1,-58.2539,-0.0292763,-0.0666028,-0.169861,0.263816,0.150055,0.130339,-0.0328984,-0.0783602,0.220257,-0.265816,-0.116937,-0.2505,0.227288,-0.03188,0.11938,0.28062,0.203419,0.214381,0.0322466,0.167431,0.250404,0.193367,-0.00746598,-0.124776,-0.0515486,-0.183252,-0.177029,-0.237017,-0.0227272,-0.0454596,0.0457329,-0.3112,0.133174,-0.108497,0.140272,-0.0408638
2,-56.9402,0.280423,-0.0706566,0.237979,0.247061,0.310728,-0.232323,0.128805,-0.20885,0.105356,0.105254,0.182407,-0.240283,-0.0898838,-0.0574848,-0.151785,-0.0358768,0.0643205,-0.0333847,0.175304,0.00166193,-0.00488292,-0.291163,-0.117436,-0.00540328,0.0972268,0.126266,-0.249291,-0.0800113,-0.194137,-0.239082,0.0643438,0.0874992,-0.280746,-0.0948139,0.0859391,0.0931493
3,56.0426,0.0448786,-0.192495,-0.218788,0.214723,0.147125,-0.155665,0.169475,0.217527,0.0410435,-0.315941,0.0389718,0.209428,-0.213311,0.123509,-0.0779777,0.059541,-0.156161,0.0380787,0.327683,-0.0716576,-0.137725,-0.0169647,0.23759,0.112643,0.141712,0.0244465,-0.21435,-0.0732715,0.081933,0.00554152,-0.184457,0.185191,0.369531,0.111149,-0.0701379,-0.0123
4,52.567,0.08742,0.0125604,-0.295892,0.0205159,0.0558339,-0.170065,-0.17558,-0.272839,-0.162884,-0.110361,0.420627,0.204014,-0.00935543,0.205558,0.088942,-0.110929,0.188862,0.0994978,-0.136054,0.180166,0.0070313,-0.120897,0.199479,0.0891564,-0.110029,-0.000299804,0.0581615,0.248028,0.105778,-0.129077,0.0783194,-0.0526141,-0.0140985,-0.0664751,0.300632,-0.28178
5,-51.904,-0.0477394,0.00251693,-0.0564846,0.0111087,-0.127293,0.0623924,-0.125294,-0.106349,0.159567,0.0347141,-0.148042,-0.266325,0.134239,0.121758,0.251202,-0.184861,0.0763168,-0.0539189,0.109823,0.0225132,0.146632,-0.251682,0.216648,0.170609,0.23822,0.0481113,0.118595,0.0951311,0.238493,-0.0532845,-0.379174,0.171542,0.0398,-0.375393,-0.0303989,0.238644
6,-46.8806,-0.356729,-0.364995,0.166791,0.117073,-0.100592,0.110724,-0.157477,-0.165587,-0.200469,-0.052361,0.0266851,-0.021049,0.0174127,-0.190385,0.0969019,-0.204833,0.353975,0.178478,-0.113548,-0.138804,-0.270052,-0.0927077,0.0937619,-0.049833,-0.170949,0.0702877,-0.276041,-0.121079,-0.0439738,-0.0273688,-0.0637158,0.112504,0.0434249,0.0574938,-0.239231,-0.049656
7,44.9364,-0.195423,0.199868,0.291727,0.339006,-0.0768011,-0.166105,0.108326,-0.272044,-0.0625226,0.236409,0.0948357,-0.119348,0.0077799,0.0300398,0.334566,0.235406,-0.18983,-0.0448675,0.107837,0.114138,-0.159861,0.0746441,0.167605,-0.0258358,-0.0786232,0.0765069,0.0355788,0.159087,0.00371263,0.180709,-0.0763646,-0.11395,0.206089,0.261368,0.133293,0.100061
8,-42.8317,-0.0319783,0.0823212,0.148224,-0.137886,-0.208972,0.0236203,0.00392062,-0.00595373,-0.045181,0.0557638,0.170451,0.089404,-0.361004,-0.21785,-0.0684667,0.23218,0.382686,0.208173,0.33434,-0.103885,0.0931702,-0.0443378,-0.112331,0.013502,0.0546852,-0.0529492,0.198688,-0.043988,0.242879,-0.136675,0.19114,-0.0244344,0.235966,-0.09829,0.123769,0.223359
9,-41.6209,0.224955,-0.25661,0.113937,-0.0498149,-0.0734494,-0.0593756,0.124037,0.165864,-0.158078,0.149018,-0.164331,-0.193165,0.147314,0.0508193,-0.084505,-0.0113067,-0.0632658,0.328662,0.0183289,0.242639,-0.0307231,-0.014609,0.0385024,0.540404,-0.309363,0.130848,0.0369697,-0.0566728,0.0600153,0.152954,0.191675,0.0299848,0.103404,-0.0800621,0.0894389,-0.0123459
