Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36
0,64.523,0.00188058,-0.0332406,-0.101792,-0.131563,-0.271673,0.18526,-0.201762,-0.0920158,0.0948236,0.263978,0.10334,-0.0788518,0.0133204,-0.0183934,-0.175365,-0.0574462,-0.171069,-0.27792,0.0726938,-0.298824,-0.181178,-0.188995,0.072504,0.235196,0.173381,0.0452167,0.18684,-0.223354,-0.0105451,0.0812839,-0.245853,0.00851634,0.0282625,0.231081,-0.303409,0.137854,0.0646474
1,-61.5551,-0.184536,-0.214136,0.121965,0.182316,0.0577964,0.046708,0.0395826,0.0470601,0.0807844,-0.0956865,0.144021,0.38479,0.0127415,-0.102861,-0.15432,-0.195123,0.256688,-0.163343,-0.0453453,0.00324677,0.0392986,0.0727268,0.216519,0.0104185,-0.201346,0.00212863,-0.281907,-0.178917,0.243196,-0.0758508,-0.335835,0.0990249,-0.277287,0.117948,0.0688236,0.108709,0.101129
2,-58.3268,-0.018139,0.187386,-0.051421,-0.118759,-0.100845,0.135837,0.0520238,0.109796,0.113285,0.278394,-0.321513,0.146658,-0.184571,0.0921323,0.11217,-0.195718,0.0359733,-0.1814,0.0537687,-0.0375563,0.0167264,0.153174,0.368345,0.168479,-0.00907244,0.105794,-0.04832,0.128279,0.197003,0.120544,0.0973769,-0.280213,0.183859,0.0474364,0.359972,-0.075999,-0.163229
3,58.2933,0.197205,0.196002,0.0210535,0.0958286,-0.153019,-0.03805,0.354091,-0.255104,0.31841,-0.16878,0.248243,-0.132202,0.055772,0.00694646,-0.101182,-0.0916532,-0.157757,-0.0483546,-0.109196,-0.143642,0.198808,0.174039,-0.071163,0.0219202,-0.0950303,0.245493,-0.0669406,-0.221071,0.13209,-0.219048,0.152556,0.0897731,0.156565,0.153243,0.0277654,-0.0628493,-0.244346
4,-56.298,0.263399,-0.230528,0.279659,-0.225608,-0.105606,-0.113819,-0.0898583,0.263594,0.142921,-0.0652177,-0.0494591,-0.120164,-0.265969,-0.331369,-0.00568355,-0.0792998,-0.165466,0.201803,-0.0100732,-0.0903801,-0.111049,-0.0639626,-0.01733,0.117495,-0.0110821,0.145075,-0.194425,-0.240966,-0.0919677,-0.0718486,-0.0056068,-0.0160568,0.0831541,-0.239669,0.247967,0.159507,0.17071
5,51.1241,-0.116027,0.0260051,0.266669,-0.0280115,-0.0637504,-0.142052,-0.0117941,-0.0267467,0.0241973,0.319956,-0.0998424,-0.230657,0.055215,0.0164267,-0.0152996,-0.060633,0.270094,-0.267777,-0.373,0.0386411,-0.0716174,0.129898,-0.121963,0.0665124,0.032023,-0.205544,-0.080662,0.168188,-0.11726,-0.317827,0.136371,0.236185,0.159078,0.156694,0.0707755,0.169075,0.195616
6,-48.0893,0.108333,-0.208411,-0.132867,0.0527072,0.0879877,0.192928,-0.190327,-0.252542,0.0388531,0.0341469,-0.13554,0.187796,-0.316175,0.206007,0.162747,-0.0422981,0.0116115,0.0716468,-0.29842,-0.250554,0.286593,0.215936,-0.041915,-0.00424216,-0.0855091,-0.0471351,0.0500602,-0.10358,-0.140918,-0.234568,0.0515949,-0.234262,-0.0320404,-0.178773,-0.237283,0.0495586,0.133659
7,-47.2799,0.114124,0.0295203,-0.0497145,0.0467007,-0.135512,0.146931,-0.0370204,-0.125649,0.110135,-0.102362,-0.111258,0.054969,-0.0904755,-0.247831,-0.212175,0.0630935,-0.1344,-0.275654,0.147426,0.00489969,-0.0891462,0.241912,-0.115636,0.0930714,-0.34537,-0.248559,-0.196619,0.293631,-0.360224,0.132553,-0.135019,0.125207,0.0232834,-0.166848,-0.049612,-0.15895,-0.141892
8,-46.6669,-0.0791974,0.26062,0.193853,-0.0502904,-0.0452874,0.160244,0.0322788,-0.00705615,0.0127904,-0.128032,0.0344498,-0.0705899,-0.25838,0.254651,0.168715,0.0736195,-0.247263,0.0294628,-0.176266,-0.0500006,-0.290252,-0.0544265,0.106456,-0.422822,-0.293038,-0.18069,0.0335824,-0.0416233,0.040449,0.116581,-0.121571,0.0622967,-0.0244188,0.0908987,0.0542533,0.351674,-0.0708342
9,45.2189,0.0351535,0.063124,-0.0567087,0.0855058,-0.00108089,-0.0530452,0.0546917,-0.252542,0.0633131,-0.00540905,-0.0188655,-0.207918,-0.115147,-0.161679,-0.00348096,-0.0871157,0.120908,0.158369,0.155953,-0.170454,0.352033,0.172605,0.287748,-0.0801171,0.218622,-0.195718,0.0686615,0.0173139,-0.0250697,0.414228,0.0383242,0.317395,-0.0509793,-0.00697095,0.105466,0.216439,0.240581
