Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37
0,-64.0068,0.0324232,0.0118655,-0.261703,-0.0273597,0.0347818,-0.164761,0.175404,-0.162844,-0.0162424,-0.0960494,-0.000330881,-0.0444325,-0.155688,0.22764,-0.220352,0.0610801,-0.144223,0.267,-0.027385,0.165194,-0.290922,0.0337597,-0.166289,0.0754723,0.0878478,-0.0727805,0.150911,-0.184221,0.165923,-0.209981,-0.0833429,-0.121443,-0.142394,0.283303,0.0638162,-0.347154,-0.159862,-0.226157
1,-63.1564,0.0243871,0.21531,0.100287,0.159437,0.0322314,0.186764,0.173078,0.246859,-0.2715,0.269433,-0.0210189,-0.219187,0.193018,0.162557,-0.145952,-0.203951,-0.335231,-0.056117,-0.0918228,0.0103796,0.013113,-0.285274,0.0493812,-0.00432825,-0.206218,0.13428,0.200435,0.275683,0.0532044,0.00985623,-0.0329716,-0.233504,-0.132513,-0.0195285,0.0348754,-0.0780167,0.0108571,-0.0259217
2,62.2421,-0.0235721,0.261332,0.0793638,0.25113,0.0362544,-0.348019,0.0936227,0.127611,0.0162064,0.235031,-0.126947,-0.000571773,0.131019,0.0512617,0.117535,-0.19265,0.272135,0.145437,0.106385,-0.21486,-0.155047,-0.111083,0.0358849,0.0307075,0.0369873,-0.386445,-0.241648,-0.107456,0.303512,0.0187427,-0.0510721,0.0748296,-0.138775,-0.102327,0.00108756,0.0882488,-0.147599,-0.00551679
3,56.3703,-0.210715,0.0794319,0.207704,0.0789711,0.0223513,-0.289827,0.211619,-0.0155453,-0.0290222,-0.164593,0.160176,-0.2069,0.0570751,-0.178187,0.144599,0.109583,-0.184938,-0.113206,0.345315,0.109579,-0.217327,-0.10752,-0.12276,-0.0502943,0.110116,0.19676,-0.192079,0.0991406,-0.120122,-0.381392,-0.122046,0.0199692,0.107816,-0.0462339,0.159756,0.00326595,0.134402,0.145957
4,-55.1879,-0.117458,0.00836328,0.061329,0.176078,0.237881,0.226702,0.078603,-0.189114,-0.0436674,-0.102617,0.238445,0.265088,-0.0642145,0.0142095,-0.214842,-0.0345457,-0.168842,-0.0499406,-0.068586,-0.0441879,-0.212561,-0.0234456,0.292904,-0.277559,-0.138769,0.13322,-0.190716,-0.105926,0.203817,0.0336763,-0.227387,0.340456,-0.107774,0.0600208,-0.0783879,0.196515,-0.00655053,-0.0952446
5,51.2356,0.167959,-0.0114082,0.145826,-0.0848253,0.0915311,-0.0437065,0.211746,-0.0989142,0.33561,-0.0598316,0.210548,-0.27174,-0.0829196,0.118847,0.0436031,-0.206733,0.252189,0.199901,0.101836,-0.242449,-0.0528085,0.00265086,0.0100906,-0.0565987,-0.415723,0.134938,0.099243,-0.0309396,-0.104725,0.00928569,0.0251276,-0.180869,0.165266,0.224264,-0.0931153,0.18852,0.121587,-0.128881
6,-51.0029,-0.221097,-0.0936286,0.13422,0.245583,-0.225699,-0.0148669,0.0874905,0.072448,-0.0569642,-0.23756,0.0297573,0.205045,-0.0165277,0.195251,-0.136018,-0.126816,-0.00242152,0.291077,0.167647,0.0158073,-0.109872,0.161411,-0.0263799,-0.0486619,0.0851825,-0.00519776,0.0405099,0.324256,-0.140455,0.299723,0.350482,0.0393084,-0.000571951,0.128124,0.267783,0.10835,-0.129535,0.0737678
7,49.91,-0.29303,0.310801,-0.0207599,0.202507,-0.26873,0.0431051,-0.00764289,0.160006,0.303882,-0.118327,0.00388619,-0.110156,0.00350166,-0.411692,-0.21597,0.0530869,0.00876318,0.024729,-0.0681561,-0.0976196,-0.0533371,0.177754,0.142816,0.121184,0.062341,0.157899,0.232619,-0.138399,0.108554,-0.0456454,0.148548,-0.0626982,-0.179471,-0.0322785,-0.256758,-0.0338024,0.100052,-0.0473079
8,-45.6598,-0.239928,-0.230497,0.0724517,-0.167186,-0.197186,-0.0110017,0.343368,-0.178437,-0.12001,0.158058,-0.122987,0.0153925,0.131988,-0.24339,0.122946,-0.177356,-0.0298339,0.028029,-0.233902,-0.167679,0.0333406,0.238686,0.274705,-0.0685352,0.108147,-0.150968,0.0252257,0.160351,-0.132749,-0.158085,-0.198578,-0.0737773,0.1135,0.0608461,0.037237,-0.027381,-0.133746,-0.285839
9,44.9147,-0.135935,-0.177074,-0.276287,-0.0294449,0.17151,0.019698,0.123543,-0.348872,0.310529,0.123506,0.135828,0.0676233,0.0679558,-0.103986,0.102918,-0.120693,-0.28494,0.00675993,0.114154,-0.00907576,0.136632,-0.120351,0.00688005,0.0649013,-0.0473473,-0.0220544,-0.10567,0.0264709,0.18893,0.00342793,0.396603,-0.239654,-0.169102,-0.286981,0.11002,0.0561378,-0.0808928,0.0367203
10,43.0956,-0.171241,0.191511,-0.0906846,-0.203078,-0.202138,-0.123875,-0.107397,-0.128463,-0.154398,-0.040122,-0.1341,-0.0723808,-0.215288,0.182503,-0.0231803,-0.347023,-0.143935,-0.236067,0.0786554,-0.0974623,0.097037,0.139352,0.151845,0.30939,-0.139478,0.159668,-0.0109591,-0.287202,0.0307732,-0.00181838,-0.0863389,0.0358455,-0.0122929,0.0984411,0.260183,0.201251,-0.0855793,0.220578
11,-42.4795,0.101238,0.0827553,-0.347349,0.091062,-0.515469,-0.00792382,-0.0802316,-0.158771,-0.0916816,0.151995,0.124896,0.0399027,0.131179,-0.185567,-0.212452,-0.000772009,0.134627,0.00365959,0.0239034,0.105421,0.0488262,-0.147147,-0.0862337,-0.412693,-0.22084,-0.0800537,-0.125277,-0.0352267,0.0417855,-0.0972408,-0.00482405,-0.0880863,0.159795,0.138538,0.139523,0.0472986,0.0726554,0.129015
12,41.4812,0.164713,-0.176245,-0.0198645,0.185659,0.098782,-0.22202,0.116767,-0.0331756,-0.0853249,0.222931,-0.0852075,0.0236939,0.0421158,0.0839936,-0.214884,0.341847,0.115022,-0.118889,0.0301493,-0.161338,0.054836,0.226469,0.21927,0.0169374,-0.11294,0.0368016,0.0715561,-0.0827604,-0.22757,-0.13244,0.123168,0.0179589,-0.379231,-0.0266344,0.28909,0.0465629,0.313613,-0.00281703
13,-38.2253,0.288394,-0.0126325,-0.273646,-0.138043,-0.147576,-0.194048,0.153645,0.351414,-0.149077,0.0413667,0.186832,-0.0849355,-0.0345908,-0.125795,0.17788,0.0698907,-0.235147,0.215509,0.106026,0.126456,-0.0861953,0.102984,0.207431,-0.0250258,-0.0710202,0.179896,-0.105922,-0.154368,-0.148587,0.2261,0.0437143,0.128888,-0.0374147,-0.199855,-0.0976545,0.127639,-0.206916,-0.178256
