Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38
0,-66.5725,0.0510012,0.0694212,-0.265325,0.10313,0.329904,-0.00485085,0.265517,0.117538,0.262818,-0.220794,-0.161181,0.164989,-0.174705,-0.177343,-0.0834974,0.209601,0.16294,-0.140384,0.170459,0.0141296,-0.114202,-0.0394892,-0.0669732,0.291808,-0.0051044,-0.0515525,-0.087449,0.326758,0.0303466,-0.0527473,0.100893,0.0341573,0.209724,0.190504,0.0680848,0.144908,0.07925,0.0999941,0.0194548
1,61.8241,0.287236,-0.0547361,-0.0259922,0.270123,0.155913,-0.131432,0.063282,0.0280038,-0.0889832,0.103197,0.12393,-0.259589,-0.0310505,-0.162156,-0.00372208,-0.154222,0.0386014,-0.0985285,-0.122417,-0.154045,0.148743,-0.355827,0.340293,0.095808,0.178129,0.0345597,-0.270913,-0.127676,0.00410306,0.280741,-0.101825,0.0177246,0.0871461,0.193513,0.0525679,-0.125735,-0.0864398,-0.0247414,0.186154
2,60.3644,-0.00178363,-0.110057,0.227554,0.272796,0.284359,-0.221942,0.0669935,-0.224446,0.0934637,-0.0492748,0.00915505,0.0927673,0.166169,0.145164,0.151393,-0.0847558,0.00473057,0.276691,0.10375,-0.155505,-0.175059,-0.131823,-0.0134729,-0.00524161,-0.168751,-0.426016,0.143535,0.0184068,0.238988,0.0811676,-0.239608,-0.129332,0.0143377,-0.127374,0.105419,0.0878685,0.0127113,-0.00413671,-0.118795
3,-56.6398,0.0742801,0.063279,-0.166445,0.121094,-0.271281,-0.0663655,-0.229078,0.258248,-0.130872,0.0767741,-0.144529,0.231383,-0.123973,-0.080182,0.17465,-0.0639244,-0.222504,0.00679049,0.00347047,0.0457095,-0.0468923,-0.121254,0.201996,0.348162,0.0583578,-0.188544,-0.120737,0.0168542,0.214685,-0.0237436,0.125773,-0.100424,-0.28067,-0.225025,-0.111603,0.278466,-0.0845859,0.0912979,-0.0725079
4,55.9896,-0.0630418,0.282688,-0.206293,-0.0832296,0.184471,-0.173156,-0.135608,-0.281713,-0.156994,-0.120219,0.0882892,-0.215213,0.156568,-0.0522476,-0.00901996,-0.0526937,-0.329257,-0.183251,0.0677846,0.00714649,0.274472,0.161588,-0.0606417,0.0808331,0.0826227,-0.0528725,0.0851864,0.0989525,-0.0509351,0.0807468,-0.149739,-0.0807046,0.0305927,-0.0091496,-0.0915092,0.390736,0.232711,-0.155951,0.134145
5,-53.1913,-0.177453,0.213895,-0.260179,0.196452,-0.12573,0.0635096,-0.0328055,-0.0366428,0.0608427,-0.262867,0.0817569,-0.266318,-0.301119,0.32773,0.252096,0.0935463,0.127213,0.0853631,-0.0586022,-0.151068,0.0826848,-0.0733151,0.270371,-0.0490149,-0.210572,0.0286193,0.242342,-0.115255,-0.0307009,-0.159881,0.0199247,0.109766,-0.0942861,0.118107,0.177624,0.0828023,-0.0183724,0.112735,0.0745895
6,53.069,-0.0442848,0.0857123,-0.155028,-0.0997058,-0.0645225,-0.134679,-0.196433,0.206362,0.0921054,-0.0305619,0.157313,-0.127702,-0.0819486,-0.11433,-0.217742,-0.0604728,-0.0682318,0.245502,-0.138645,-0.20321,0.0717372,-0.101253,-0.328626,-0.0260018,-0.132088,-0.0296856,-0.0446153,-0.0830194,0.124392,0.0451278,0.119941,-0.200168,0.182983,0.274914,0.0992471,0.115825,-0.257001,-0.210432,-0.374929
7,-50.3055,0.105135,0.223283,-0.0170876,0.168616,-0.0366222,0.0506523,-0.101796,-0.0583207,-0.061979,-0.231906,0.12385,0.185339,0.220956,0.263241,-0.145423,-0.128659,0.0352209,-0.0183921,-0.244955,0.159385,0.0194486,0.152546,0.20895,0.154709,-0.125219,-0.240648,-0.167997,0.208891,-0.326132,0.0490929,0.0995452,-0.0293666,0.0301582,0.124447,-0.100136,-0.279409,0.0302208,-0.0597645,-0.27815
8,-48.4415,-0.298022,0.0652697,0.150474,-0.196921,0.0991984,-0.164192,-0.116531,0.139994,0.0831502,-0.213916,0.475708,0.0190953,-0.130591,-0.123975,0.0636695,0.0598436,-0.0200136,-0.0207416,-0.0662185,0.0425449,-0.219746,0.0545169,0.0910412,-0.132392,0.220793,0.00440286,-0.224949,0.12593,0.105519,0.226546,-0.0481718,0.100495,-0.240807,-0.0171599,0.172508,-0.0347511,0.187087,0.21944,-0.0975523
9,48.2505,-0.191683,-0.173906,-0.15925,0.0610329,-0.0672146,-0.383935,0.378439,0.100077,0.0298834,0.176794,-0.0712062,0.00852983,-0.229827,0.42335,-0.0633379,-0.0849534,-0.212281,-0.119194,-0.106398,0.153402,-0.0373341,-0.167064,-0.142469,-0.0706268,-0.0119862,0.0530912,-0.152993,-0.0141875,-0.221277,0.0784065,0.00899248,-0.0995457,-0.0155597,-0.103501,0.0514557,0.0285496,0.211472,-0.115932,-0.0724247
