Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39
0,69.2115,0.124854,-0.00629006,0.0627991,-0.161045,0.342993,-0.136901,0.181659,0.250271,0.225363,7.1338e-05,0.0853337,0.126944,0.12165,-0.00446168,0.0801634,-0.263118,-0.190328,0.0551047,0.137363,0.0888356,-0.0249314,0.164688,-0.0813268,-0.268382,0.043818,0.0356148,0.0697419,-0.158177,-0.0467365,0.219828,-0.0785473,0.205596,-0.322382,-0.108433,0.0965288,-0.209774,-0.11294,-0.228235,0.0140424,0.139022
1,-68.0102,0.137957,0.0178558,0.204998,0.157291,0.163554,-0.0332663,-0.00448935,-0.127973,0.0985293,0.0740043,0.1441,-0.111624,-0.162761,-0.137312,-0.163318,-0.0103483,0.21582,-0.13312,-0.252977,-0.0655087,-0.229753,0.170252,-0.0316063,-0.198108,0.307666,0.058009,-0.0816086,0.287714,0.27875,-0.0203793,-0.0830539,0.30404,-0.0802484,0.082529,0.050018,0.256196,0.0165649,-0.08935,0.0504975,-0.19333
2,64.4261,0.073201,-0.14398,0.128591,0.0104354,-0.00660997,0.212157,-0.263591,0.0899625,0.00815044,-0.0373641,-0.0852753,-0.0303605,0.179537,0.195912,0.11423,-0.0456246,0.0347907,0.195351,-0.113918,-0.232521,0.0851653,0.320579,-0.0241317,-0.133114,0.152102,0.204698,0.168032,-0.0934177,0.264891,-0.207098,0.160805,-0.239311,0.0180796,0.283767,0.256074,-0.228448,-0.0455949,0.0380969,-0.0640964,-0.00790719
3,-63.8609,-0.0687614,-0.046373,-0.135452,0.20374,-0.0330626,-0.10396,-0.29178,-0.059908,0.0394868,-0.140131,0.282491,0.202303,0.195425,-0.0627384,0.349533,-0.198471,0.143543,-0.131434,-0.0314761,-0.0303392,-0.122365,-0.0656588,-0.24416,0.000364833,-0.119749,0.0370121,-0.13104,-0.0114308,-0.0817346,0.316337,0.172517,-0.00480494,0.133335,0.138793,0.0582795,0.0466723,-0.230053,0.0427776,0.267579,-0.17268
4,58.9033,-0.159578,-0.151595,0.267333,-0.0710166,-0.131295,-0.106771,-0.00778283,0.267465,0.0731222,0.335466,0.143615,-0.271917,0.187616,-0.117692,0.175082,0.144656,-0.264688,-0.121405,-0.141679,-0.0781787,0.143967,-0.0450268,0.0827051,0.0662465,0.0353237,-0.318787,-0.182812,-0.0403183,0.142851,0.207651,0.196257,-0.000768437,-0.077025,0.102874,-0.0407453,-0.0151943,0.195341,-0.00687702,-0.0454097,-0.134634
5,-53.9653,0.143138,-0.209002,-0.227765,0.105156,-0.322492,-0.0836964,0.28508,0.0271889,0.167246,0.0842974,-0.130545,0.0808244,-0.0529775,0.15859,-0.114366,0.145235,0.0738822,-0.238824,-0.209231,0.0683195,0.035662,-0.0678762,0.0203116,-0.250143,0.015585,-0.0716557,0.048584,0.167324,-0.159171,0.0339095,0.162048,0.0661104,-0.202181,0.285018,0.0513438,-0.198174,-0.196384,0.225891,0.0609488,0.170624
6,53.7997,-0.0379018,-0.216322,0.245196,0.409156,0.15591,0.356516,0.290719,-0.0433839,0.308711,-0.24474,0.0143385,0.102604,-0.0553947,-0.0226397,0.0416615,0.0333952,-0.0502691,-0.280539,0.142033,-0.0941881,0.115625,-0.00875769,0.144134,0.0344006,-0.176581,-0.0699118,-0.010982,-0.151719,0.0429953,-0.0405324,-0.00725422,0.0494584,0.201786,-0.0257824,-0.0138386,-0.0468548,-0.0850681,-0.0286,-0.190999,-0.121995
7,48.6742,0.252632,-0.00824785,0.0107923,0.048988,0.141697,-0.0856238,-0.0183316,-0.192216,0.107953,0.0331472,0.218394,-0.0985801,-0.00159998,0.354666,-0.208737,0.102668,-0.0165636,-0.0672424,-0.228823,-0.189358,-0.0547139,-0.023034,-0.181674,0.22156,0.0582296,0.0514995,0.132663,-0.343497,-0.193406,-0.0224085,0.337076,0.0184586,-0.0207001,-0.127979,-0.263001,-0.0536985,0.15484,-0.158546,0.0924126,0.0136533
8,-46.5546,0.112594,-0.212246,0.200597,0.0655804,-0.135842,0.0708964,-0.232917,-0.0909197,0.149501,-0.0484038,-0.0962687,-0.122362,0.05024,0.0987826,0.124515,0.0174438,-0.154793,0.0325745,0.031741,0.360636,0.0434039,0.137579,0.316831,0.251333,0.32246,0.0234554,0.189378,0.0676959,-0.292223,0.0966488,-0.169967,0.0393602,-0.00981254,-0.0191059,-0.0254089,0.136577,-0.155373,-0.0708056,0.274033,0.0102454
9,-45.6945,-0.238656,0.0320375,-0.110598,0.126804,-0.132668,0.148893,0.107609,0.127367,-0.0382036,0.151476,0.03616,0.179359,-0.02211,-0.191415,0.029441,-0.0841629,0.133995,-0.104037,-0.28939,-0.119238,0.0287037,0.176813,-0.0515597,0.243057,-0.0499376,-0.0377129,0.408842,-0.0129649,-0.0475719,0.0127839,-0.0544544,-0.231444,-0.394581,-0.202767,0.0632618,0.1953,-0.100714,-0.185083,-0.0649626,-0.0695934
