Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40
0,73.2368,0.189063,-0.061086,-0.027232,0.225827,-0.384663,-0.0253519,-0.145817,-0.103272,-0.054561,-0.158747,0.0623919,-0.0378134,0.0894723,0.23618,0.0494854,0.0257124,0.0396476,0.079536,0.140515,0.182646,0.192306,-0.189991,0.157118,0.264159,-0.0677361,0.139385,0.0108311,-0.144813,0.100502,0.220022,0.116049,-0.18536,-0.345385,0.155705,-0.1055,0.142032,0.124294,0.00975542,0.00971626,-0.235822,-0.0421511
1,-69.1673,-0.0429763,0.046165,-0.0391731,-0.0340941,0.142915,-0.0595599,0.0874532,0.164417,-0.0854451,0.0421922,0.145902,-0.0704038,-0.21777,-0.317336,0.157547,-0.0265035,-0.0119383,-0.235182,0.233241,0.10439,-0.0569706,0.00597178,0.189965,-0.213177,0.276366,0.224933,0.250984,0.156065,-0.122786,0.13923,0.130466,-0.0270218,-0.109428,0.280093,-0.154845,0.0683938,-0.0365485,-0.165382,0.176553,-0.236642,0.136599
2,64.9083,0.172988,-0.267972,0.0631093,-0.176766,0.227995,0.106367,-0.0929426,-0.0478476,0.0615554,0.000496763,-0.124869,-0.161298,0.0721452,-0.261248,-0.256828,-0.220789,0.0871682,0.0496177,0.0408503,0.0795948,0.116699,0.0945187,0.194696,-0.0418288,-0.230317,-0.0922645,0.0217129,0.05411,0.146059,0.117558,0.168124,0.173977,-0.175942,0.0910721,0.257475,-0.257721,0.176139,-0.179788,-0.0378853,-0.113374,-0.258326
3,61.3536,0.0578956,-0.107901,-0.202366,0.0993714,-0.00774451,-0.150086,-0.000463466,0.227556,-0.173359,-0.0851183,-0.110352,-0.0319372,0.0595556,0.0619736,-0.0310227,-0.126957,-0.424923,-0.20463,-0.150206,0.0654893,-0.0623592,-0.104521,-0.150876,-0.0920317,-0.0688475,0.179844,-0.202398,-0.115568,0.12505,0.307459,-0.193838,-0.0163927,0.0290323,-0.0112736,0.0866288,-0.186114,0.0256618,-0.189786,0.372373,0.177671,-0.00909074
4,-60.7115,0.109052,-0.011659,-0.0538132,0.120433,-0.142461,-0.111106,0.115228,0.153491,0.0426953,0.0550865,0.0626789,-0.0312656,0.0290364,-0.000191218,-0.0788533,0.0752953,0.0626232,-0.292992,-0.304722,0.0713871,-0.145227,0.192475,-0.167777,0.156037,-0.0561027,-0.0252095,-0.0682582,0.423597,0.0842448,0.0942805,0.211708,0.308281,0.00697446,-0.0331051,-0.165052,0.235253,0.371351,0.0300077,-0.114009,-0.028078,-0.0145037
5,-59.0449,-0.0327453,-0.178779,0.15225,-0.192191,-0.242744,-0.221343,0.0280818,0.231068,-0.246098,0.0629598,0.0428494,0.251394,-0.105517,-0.0751113,-0.156943,-0.111561,-0.0379727,-0.0234292,0.021674,-0.26501,0.201447,0.174834,0.252162,0.043537,-0.0222662,0.0431211,-0.285706,0.0436016,0.206452,-0.063881,0.172071,-0.186629,0.127656,0.0393609,0.138017,0.0291601,-0.0615338,0.0958679,-0.0791359,-0.0615854,0.306939
6,-55.321,0.251195,0.0484441,0.0384466,-0.287364,-0.143212,0.149312,-0.0666702,-0.0386946,-0.0487605,-0.14891,0.0259369,0.247006,0.00738878,-0.195384,0.0318087,0.322487,-0.164287,-0.0443773,-0.181143,-0.142135,-0.124686,-0.261721,-0.0606638,-0.157298,-0.0667999,-0.00631,0.140292,0.12412,0.231917,-0.0402508,-0.258573,0.0744093,-0.180014,-0.173853,0.0542823,0.0025926,-0.0796244,-0.0400316,-0.0624895,-0.362054,0.0439213
7,55.0696,-0.142692,0.308239,-0.0828468,-0.240767,-0.180741,-0.0887207,0.175642,-0.00601554,0.107018,-0.130236,0.0195297,-0.110531,0.046375,-0.129846,-0.0723685,0.130251,0.000744529,0.0443637,0.0233422,0.059661,-0.119846,-0.053192,-0.186984,0.159091,0.118039,-0.203652,-0.115572,-0.25684,0.0440526,-0.0207392,-0.0164704,0.00547025,0.0359276,0.446289,0.164293,-0.200734,0.286843,-0.177642,-0.1266,-0.0375163,0.2149
8,51.0629,0.042935,-0.281546,0.085867,-0.0395994,-0.241785,-0.107558,-0.0709368,-0.108316,0.372036,0.151787,-0.0568719,-0.262213,0.0031046,-0.0893457,0.00607804,-0.0896778,-0.16584,0.198664,-0.165827,-0.0784437,0.0103113,-0.0937585,0.20828,-0.259833,0.136015,-0.0420149,-0.124255,0.0533487,-0.199764,-0.0876903,-0.256784,-0.000908265,0.03661,0.0491828,-0.205396,0.0173858,0.291025,0.155407,0.149892,-0.0628814,0.140094
9,-50.6969,-0.0237332,-0.0931195,0.290748,0.18256,0.0119518,-0.284478,0.171432,-0.102938,-0.0352151,0.120322,0.0532576,0.0286364,-0.14884,-0.0680025,-0.0474098,0.230649,0.241261,-0.0896772,0.0205578,-0.0197115,0.176371,-0.128195,-0.070431,-0.00569552,-0.236058,0.376243,0.170524,-0.102653,0.0352225,-0.122136,-0.184874,0.0136006,0.0457781,-0.101303,-0.115173,-0.304962,0.228598,-0.210778,-0.105567,0.11655,0.0565525
10,-49.1319,0.0174236,-0.0285326,-0.249302,-0.218425,0.0472211,-0.0604479,-0.39933,0.0520846,0.170761,-0.0914945,-0.233509,-0.162491,-0.0919873,-0.0150477,0.0866473,-0.0344493,0.134817,-0.259334,0.312749,-0.0377153,-0.135083,0.141065,0.0192471,0.177762,-0.165324,0.0868843,0.139865,-0.169848,0.213799,-0.00632952,-0.125586,0.0495473,0.133786,-0.18442,-0.135454,0.0367461,0.1054,0.16627,-0.00350008,-0.00099585,0.269616
11,46.4178,-0.22896,0.0557601,-0.0597246,0.00265579,-0.0700297,-0.292437,0.242482,0.177922,0.00630323,-0.0312864,-0.246536,-0.213433,-0.200476,0.281817,0.16876,-0.0130452,0.0282477,0.126141,0.150872,-0.0576733,0.123156,-0.199015,0.0758151,-0.130803,-0.121441,-0.161794,0.171866,0.295097,0.203989,0.0675341,-0.158444,0.196764,-0.0779912,0.0682676,0.252888,0.0572168,-0.076116,0.130868,-0.0648307,-0.0405982,-0.0984599
12,42.319,-0.171652,-0.00324264,0.141805,0.0203078,-0.0512349,-0.0256698,0.280076,-0.0467957,-0.0175338,-0.448072,-0.0556178,-0.119888,0.204383,-0.115782,0.161349,-0.30427,-0.106603,-0.228522,0.066926,-0.243454,0.0146162,0.0500942,-0.150342,-0.0471809,-0.116227,0.010879,0.0117238,-0.0427278,-0.265339,0.0181424,0.10122,-0.154958,-0.0805995,-0.249917,-0.0481967,-0.115431,0.104709,0.151792,-0.137884,-0.239704,-0.0566326
13,-40.8035,-0.192731,0.218912,-0.0201548,-0.0862785,0.1205,-0.020183,0.035298,-0.410013,0.0900838,-0.0866996,-0.135158,0.22439,-0.231828,0.018116,0.26259,-0.105418,0.0813343,0.227725,-0.257738,-0.0664259,0.0446693,0.177902,0.0664442,-0.0882462,-0.121925,0.177243,-0.202902,-0.0540958,0.114367,0.28636,0.137816,0.179129,-0.121386,-0.0478391,-0.0702427,0.0660735,0.062277,-0.0982576,0.15351,-0.0354252,0.167428
14,-38.8032,-0.078329,-0.20929,-0.119547,0.0840732,-0.0306613,0.0312649,0.0813544,-0.0286279,0.201312,-0.351072,0.421277,0.032276,-0.0199123,-0.0910138,-0.196741,-0.0821815,0.266121,-0.148236,-0.119875,-0.0808802,0.139764,-0.15007,0.0622109,-0.0889865,0.173151,-0.116589,0.0852756,-0.133545,0.153805,0.215655,-0.0781355,0.229867,-0.0632851,-7.01056e-05,-0.00304028,-0.000438787,-0.193538,0.158371,-0.010058,0.266614,0.140847
15,35.7966,0.107621,-0.0399101,-0.165504,-0.0579574,0.0418715,-0.227628,-0.0828631,0.264631,-0.0834496,-0.287265,-0.0930623,-0.00493976,-0.232574,0.0392478,-0.184632,-0.0463799,0.257142,0.165745,-0.246353,0.166868,-0.114603,0.146597,-0.100181,-0.127636,-0.0693351,0.205955,-0.149562,-0.145893,-0.276251,-0.243893,-0.123224,0.0463692,-0.187697,0.137414,-0.0695586,0.0261388,-0.167642,0.0888207,-0.108664,-0.16565,-0.116634
16,35.5665,-0.101985,-0.0060403,-0.279569,0.26624,0.0654042,0.338461,-0.0186722,-0.153294,0.0317829,-0.0453854,-0.172081,0.122409,-0.310173,0.0105235,-0.0625883,-0.135517,-0.0820992,-0.210632,-0.0188851,0.120884,0.124677,-0.121584,-0.00186147,-0.08049,0.189179,0.0955486,-0.172403,0.212485,0.174927,-0.267538,-0.0571008,-0.207554,-0.0742883,0.0640112,0.0687799,-0.175339,0.189715,0.103105,-0.257957,-0.00477338,0.0458756
17,-34.0575,-0.00260798,-0.0620511,0.239345,0.00407475,0.00626693,0.122699,0.100481,0.217881,0.146231,0.125289,-0.0515018,0.18805,0.000804766,0.0197704,0.182441,-0.0550809,-0.0631698,-0.0652112,-0.076418,0.308953,0.0537984,-0.115258,-0.159246,-0.154007,-0.0549293,0.0529085,0.103547,-0.364284,0.19178,-0.162321,0.288712,0.193357,0.0870316,0.0979383,0.0566873,-0.0344496,0.0651802,0.415793,0.172465,-0.134058,-0.00746042
18,32.0633,-0.300731,-0.0044411,-0.0174358,-0.132681,-0.112779,-0.0609954,-0.0466576,0.0278459,0.0295748,0.0998606,0.213049,0.0806436,-0.321221,-0.0688331,-0.34224,-0.0951538,-0.10513,0.275688,0.156771,0.0366532,-0.189832,-0.0403424,-0.2119,0.118436,0.181484,0.114127,0.109242,-0.0152132,0.0640554,0.188659,0.0387852,-0.0897625,-0.023635,-0.32006,0.0158547,-0.0141828,0.195359,0.127799,0.0709548,-0.101521,-0.291815
19,-31.7907,0.145284,0.0365601,-0.132009,-0.0956945,0.0267555,-0.0316641,0.0103606,-0.0530522,-0.228329,0.0831046,-0.147889,-0.0107426,0.204667,0.125641,-0.0543452,-0.111204,0.303614,0.0274965,0.0759015,-0.024719,0.120343,-0.338563,-0.0486654,0.0396771,0.403529,0.153844,-0.141263,0.0305324,-0.188808,-0.00560873,0.0957332,0.323289,0.134208,-0.261854,0.159452,-0.08331,0.0966186,-0.0142571,0.0961258,-0.193546,0.167385
20,30.6119,0.0403184,0.0171239,0.208089,0.163259,-0.0831622,0.0734594,0.108471,-0.0724044,0.0418687,-0.221575,-0.117973,-0.186724,-0.0334812,-0.136282,-0.0626234,0.0642433,0.231654,0.0807171,-0.0926407,0.107238,-0.437089,-0.075703,0.128756,0.178832,-0.046844,0.122289,-0.00459462,0.237742,0.0893076,-0.0960435,0.103179,-0.221908,0.0573863,-0.0495756,0.274166,-0.0752241,-0.117049,0.123449,0.384062,0.0791344,0.16053
21,-28.4446,-0.111548,-0.312959,-0.0895143,-0.124329,0.0815169,-0.190178,0.170132,-0.338755,-0.0650677,-0.0451,-0.171049,0.012793,0.0917751,-0.0934944,-0.168032,0.227503,-0.11027,0.00587759,0.246308,0.181396,0.00069642,-0.106515,-0.214628,0.0291629,-0.0478713,-0.0901798,-0.219711,0.140944,0.101204,-0.0531926,0.160068,0.0577654,-0.00395827,0.103147,-0.386772,-0.0435671,-0.282925,0.110645,0.076061,-0.0428105,0.0106268
22,26.0075,0.376563,-0.0480065,0.109158,0.104813,-0.0146429,0.0344135,0.10819,-0.176724,0.205258,-0.07741,0.0798704,-0.0703385,-0.234747,0.0575027,-0.132471,-0.237233,-0.235927,0.0876996,0.243965,-0.0874297,0.0539351,0.0562726,-0.363248,0.0185695,-0.0700977,0.161686,0.0466156,0.0192467,-0.0351106,-0.0851788,0.000345037,0.151057,0.139328,0.0974616,0.222177,0.309587,-0.128143,-0.171913,-0.0424587,-0.0418943,0.198817
23,-25.6331,-0.205616,-0.194912,-0.054931,0.229998,-0.217918,0.231469,0.0524569,0.109835,-0.0139907,0.0571149,-0.0717037,-0.101281,0.0828535,0.0508333,0.0042731,-0.11279,0.176798,0.142921,-0.0248748,-0.00424273,-0.270895,0.0074801,0.000991091,-0.227275,-0.0327382,-0.00251005,-0.0148629,-0.134274,0.243507,0.0794304,0.0370633,0.022295,0.328558,-0.0379125,-0.179638,0.00681918,-0.159714,-0.380766,-0.211826,-0.291771,0.0216952
24,-22.2365,0.0833479,-0.125532,-0.2062,-0.0472366,0.0390566,0.129876,0.337681,0.117289,0.146078,-0.0443658,-0.179429,0.201281,-0.11138,0.231916,-0.15942,0.0713313,0.0907429,-0.0473174,0.0326495,-0.385782,-0.0138054,0.00678846,0.0882374,0.0777816,0.0185927,-0.144915,0.153215,-0.146289,-0.00681194,-0.232478,0.11789,-0.0778267,-0.125937,0.00677959,-0.161117,0.0690861,0.166245,-0.215385,0.385001,-0.00982749,-0.099805
25,21.3068,0.134305,0.0389112,-0.057055,-0.00880723,-0.0966928,-0.0110422,0.23905,-0.00720045,-0.177761,0.181492,-0.209638,-0.126295,0.185811,-0.354167,0.108106,-0.24905,0.0840922,0.171197,-0.0725278,-0.0550381,0.0489611,0.150728,-0.154084,0.0985504,0.25459,0.123763,0.136761,-0.108154,0.341816,-0.101919,-0.174087,-0.0495931,-0.274025,-0.0164313,-0.117285,0.165272,-0.0518606,0.0706817,-0.0496529,0.220416,-0.0583718
26,-20.8996,-0.0234825,-0.0835442,0.0426666,0.275468,0.394334,-0.283644,-0.198439,0.0824617,0.143787,-0.279581,-0.106776,0.178401,0.2632,-0.0488391,-0.00451228,0.168478,-0.03949,0.236808,-0.0470932,-0.134407,0.0915467,0.0833455,-0.0950392,-0.00642624,0.279084,0.0327547,0.133684,0.0701091,0.200876,0.0415254,-0.000284896,-0.15239,0.193687,0.113418,0.0716179,0.0945503,0.169391,0.0155614,-0.0144922,-0.164917,-0.018527
