Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41
0,-70.2076,-0.0539011,-0.109219,0.152339,0.0061207,-0.292113,0.0268451,0.227687,0.126766,-0.112999,0.152716,-0.341105,0.000107809,-0.211111,-0.0434007,-0.0461305,-0.0960269,-0.107803,-0.0177183,0.0488322,-0.121704,-0.212661,-0.213105,-0.163476,-0.0698377,0.0580205,-0.231907,0.0221127,0.0889206,-0.064724,0.0583046,0.13869,-0.000500358,0.0645873,-0.202509,0.13531,-0.115419,-0.0976817,-0.0730287,0.200713,0.401648,-0.244105,0.0331157
1,69.3059,-0.18114,0.165733,-0.307103,-0.0887215,-0.147384,-0.149268,-0.193859,0.123825,0.0450122,-0.0555455,-0.0981662,0.0774068,-0.0541883,-0.226728,0.119723,0.147877,0.179638,-0.140441,-0.178865,0.0875924,-0.00942897,0.0174153,-0.168332,-0.0777575,-0.071533,0.0936537,0.193842,-0.111156,0.146051,0.175832,-0.0134965,-0.0174326,0.0822093,-0.351528,0.217106,-0.169833,0.311713,-0.133642,0.030652,-0.113719,-0.01373,-0.225739
2,-65.9044,-0.0716891,-0.227996,-0.0161721,0.285928,0.0918587,0.120783,0.168185,0.220728,-0.00774334,0.142336,-0.0378062,0.192652,0.253143,-0.425655,0.0652681,0.0273843,-0.117714,-0.152137,-0.0533891,0.0290174,0.130499,0.186015,-0.152124,-0.105064,8.19325e-05,0.0503961,-0.253478,0.208197,-0.0202018,-0.081526,-0.156921,-0.0415937,-0.20073,0.0418432,-0.171905,-0.0614569,0.0806201,-0.188164,0.231536,-0.0171668,0.0900755,-0.0484313
3,-64.63,0.286614,-0.0397887,0.060447,0.163663,-0.0511377,0.0803994,-0.27642,-0.24179,0.228194,0.128951,-0.0413841,0.215291,-0.129034,0.102096,0.0299493,0.227046,0.0526157,-0.0317199,0.0618984,0.0664598,-0.207881,0.187881,-0.161169,-0.0944407,0.385525,-0.123478,-0.127142,0.0632915,-0.109376,-0.162963,0.141476,-0.212083,-0.0160262,-0.214769,0.0592065,0.134218,0.112931,0.0743701,-0.0148648,0.0216882,0.209933,-0.0406472
4,63.3541,0.04534,-0.107775,0.0972196,0.148843,0.0987856,0.132055,-0.0888027,0.192672,-0.283801,-0.0985289,0.0595839,0.26092,-0.125804,-0.0639523,0.0331962,0.203777,-0.1659,0.359844,-0.155996,-0.211344,-0.0878596,0.14342,-0.0274625,0.168513,-0.196105,0.304354,0.166034,-0.228716,-0.00532427,-0.0762531,0.123602,-0.232082,0.190249,-0.0101788,0.0229087,0.0281746,0.0663342,0.00380604,0.00850932,0.146782,0.0292508,0.155526
5,-58.6769,-0.0767316,0.178453,-0.0576322,0.192187,0.031883,0.0577995,0.197635,-0.197825,-0.10406,-0.279683,-0.161413,0.0684219,0.146353,-0.0124149,-0.115538,0.0606207,-0.250404,0.0400682,0.159962,0.229567,-0.0838515,0.190885,0.12309,-0.118056,-0.0605022,-0.180624,0.00715897,0.0303942,-0.135879,-0.147516,-0.334834,0.013952,0.405622,-0.0610373,0.146645,0.0286201,0.171245,0.132062,-0.0100204,-0.0505771,-0.187444,-0.0314575
6,55.4345,0.137557,0.00271535,0.0050677,-0.153354,0.203393,-0.0373291,-0.159059,0.0401561,-0.0992256,0.0268807,0.128518,-0.0181385,0.0359117,0.21174,-0.245435,0.190923,-0.188103,0.109362,0.0746318,0.275922,-0.19494,-0.0231575,-0.130531,0.0415322,0.00519137,-0.0951046,0.265242,0.0720512,0.128975,0.0861262,-0.169323,-0.107266,-0.161997,0.0754686,-0.168522,-0.24775,-0.0768186,-0.0699714,0.434055,0.0149111,-0.0526797,-0.241904
7,-53.5581,-0.0538297,0.0998369,0.175325,0.051803,0.0214342,-0.273474,0.0286446,0.233881,0.269834,-0.106849,-0.160976,-0.114509,-0.247968,0.0469772,0.0021128,0.242544,-0.0744774,-0.141906,0.0456699,-0.194978,0.14178,0.0655255,-0.0193336,-0.0514622,0.15923,0.0445219,0.00140899,-0.144515,0.157312,-0.268902,-0.0686123,0.171203,0.234217,0.376361,0.0339343,-0.0255128,0.0063027,-0.0429758,0.167488,0.105886,0.187419,-0.173436
8,50.8457,0.0425734,0.328677,0.0835767,-0.148087,0.18018,0.0796297,-0.0684034,0.027261,-0.0338771,-0.0325079,-0.404168,0.1628,0.0781415,0.0803169,0.0542769,-0.12839,-0.206081,0.118773,0.0016249,-0.00655726,-0.139285,-0.213967,0.0761388,-0.102837,-0.20898,-0.063203,-0.293935,0.0330765,0.372056,-0.0897324,0.216338,0.0275065,-0.0953302,-0.0428414,-0.139552,0.0323974,0.201946,-0.0573932,-0.00905816,-0.108677,0.19487,0.0143536
9,-49.0148,0.158164,0.0890693,-0.0387717,0.0308532,0.105374,-0.115671,0.062178,-0.0245525,0.00209529,0.139549,-0.19142,9.95058e-05,-0.181273,-0.256597,0.219719,0.104697,-0.0444917,0.351182,-0.0429671,-0.0140086,0.00848773,-0.0266182,-0.125024,0.238305,0.101332,0.0143685,-0.0489237,0.11249,0.086626,-0.00287485,-0.309382,0.175361,-0.129619,-0.0917521,-0.0554235,-0.183847,-0.220584,0.351548,-0.29728,-0.0177768,-0.0648242,-0.185205
