Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42
0,-73.9613,-0.164577,0.0555448,0.0295079,-0.152477,-0.104821,0.035731,-0.162219,-0.102575,0.0523914,0.184968,-0.237917,0.151535,-0.0695104,0.117453,-0.182744,-0.0210847,-0.190603,0.191595,0.127363,-0.229032,-0.0786195,0.0115761,0.154917,-0.168593,0.102195,-0.166366,-0.0869906,0.0554406,-0.282735,-0.140973,0.156405,-0.172256,0.162533,0.0962768,0.213968,-0.0332154,-0.161252,-0.321348,0.0581647,-0.231793,-0.0771283,-0.0738394,0.210008
1,-68.1586,0.0353589,-0.176252,-0.172957,0.0811464,0.029626,0.0215627,-0.0573946,-0.216003,-0.0937432,0.0272359,0.189583,-0.0257633,-0.140379,0.161042,-0.140565,-0.11226,0.0250434,0.00641967,-0.0690911,-0.0836669,0.126052,-0.0308,-0.0343195,-0.185484,0.247754,0.199605,-0.203386,-0.123044,0.119982,0.231842,-0.269232,-0.0842054,0.273407,0.291775,0.147445,0.0196569,0.0653963,-0.0267679,-0.272863,-0.193093,0.0100514,0.13828,-0.25976
2,67.456,-0.0305829,-0.0897411,0.0412405,0.0193058,0.327347,-0.0276646,-0.11357,-0.129381,-0.0559299,-0.0691543,0.116959,0.138394,-0.144897,-0.128536,-0.0737553,0.285097,-0.158176,0.23959,0.0404304,-0.0167257,-0.271673,0.0492184,-0.0196575,0.0646389,-0.0550649,-0.222994,-0.244388,-0.237543,0.0178328,-0.04676,-0.0625225,0.181489,-0.00434521,-0.0905037,0.213677,0.16384,-0.0358166,0.106696,0.310986,0.0521027,0.21253,0.034951,-0.27168
3,-64.8334,0.163604,-0.142941,-0.115516,0.381999,-0.0971013,-0.130996,-0.175078,-0.159514,0.0125361,0.0549059,0.0288024,0.0762249,0.140537,-0.0635227,-0.00134272,0.0105779,-0.180511,0.0250418,0.0986676,-0.115311,-0.0463609,-0.413005,-0.0334923,0.181444,-0.162736,0.00359869,0.146994,0.0671209,-0.336211,-0.180095,-0.0399796,0.125029,0.0278847,0.0887969,-0.211183,0.177264,-0.0106067,0.0965502,-0.106017,-0.131874,-0.208206,-0.0499509,-0.173852
4,61.8881,0.181706,0.145432,-0.0739474,0.196651,0.171908,-0.164593,-0.193783,-0.129896,-0.240013,-0.2202,-0.228049,-0.14983,-0.25754,-0.0191209,-0.172697,-0.085131,-0.0502406,0.0364026,-0.0997721,0.00872445,0.0394672,0.0701755,-0.0227809,0.0820191,-0.0405665,-0.0974783,0.250603,0.111877,0.206226,0.130475,-0.0307286,0.00387741,-0.0118198,0.269388,-0.133223,0.049567,-0.385364,-0.0599495,0.106584,0.0371935,0.12343,0.0504574,0.237036
5,57.5471,0.0414464,-0.215995,-0.301163,-0.115699,0.083278,-0.0494149,0.0425249,0.149365,0.150518,-0.0260017,-0.184816,-0.0727452,-0.0966022,0.0721963,-0.0278502,0.0979505,0.21248,0.132327,0.202402,-0.380663,-0.302141,0.162854,-0.280075,-0.143329,0.0294164,-0.0531655,0.0154107,0.0823377,0.135765,-0.153722,-0.00292906,0.0347601,0.0491146,0.0851538,-0.311004,0.0641343,0.126802,-0.0422602,-0.160651,0.177698,0.0149948,-0.141266,-0.0332902
6,56.7214,0.16564,0.0985002,-0.135472,-0.198011,-0.121423,0.0388828,-0.254948,0.256751,0.0235717,-0.0708658,-0.103186,0.13394,0.0218488,-0.296756,0.0335834,-0.202263,-0.078871,-0.162329,-0.0350765,0.0857923,0.0364456,0.0510605,-0.156349,0.0530209,0.192101,0.101101,-0.106065,0.128628,-0.150937,-0.292306,-0.333121,-0.257517,-0.0817085,0.13741,0.132473,0.172749,-0.0311852,0.0772357,0.10328,0.0828305,0.213643,-0.0560804,-0.119981
7,-54.3737,-0.0696401,0.0516412,-0.0350952,-0.135369,0.147279,0.12909,-0.143541,0.0830729,-0.159062,0.0794772,-0.0639716,0.237201,-0.0912907,0.10471,0.148689,-0.13212,0.0269161,0.107767,-0.202697,0.191711,0.0197263,0.171444,-0.184495,0.125143,0.0235221,-0.0651756,0.230089,0.0858103,-0.114206,0.219772,-0.0759785,0.312191,0.260715,-0.135193,0.0463166,0.222394,0.112001,-0.0233927,-0.118545,-0.114275,-0.139539,-0.399168,-0.00483347
8,53.3443,-0.280246,0.00165684,-0.028576,0.0750851,0.128808,-0.0352383,-0.068859,0.29829,-0.247201,0.124272,-0.00338888,0.249227,-0.289415,-0.0156895,0.0216919,-0.1109,-0.143387,0.2073,-0.00396334,0.0471882,0.275654,-0.240578,-0.0443037,-0.192081,-0.156179,0.148802,-0.0204599,-0.0707753,0.249179,-0.301486,0.171666,-0.0455551,-0.0814229,-0.00124483,-0.142762,-0.183764,0.0114928,0.0924126,-0.0802133,-0.0333805,0.0677794,-0.0598334,-0.0885266
9,-49.0979,-0.080845,0.457689,0.00158245,-0.152399,0.0181225,6.36314e-05,-0.0414967,-0.125033,0.00596457,-0.043824,0.244161,0.165221,0.28915,-0.0761328,-0.144716,-0.144349,0.324293,0.218786,-0.111935,-0.144158,-0.100925,-0.091687,-0.0796656,-0.0169369,-0.124975,-0.096801,0.0865837,0.218674,0.016997,-0.035454,-0.0030878,0.0709017,0.148267,0.164416,-0.0333036,-0.303852,-0.0591064,0.0405062,0.0568162,0.0567421,0.020624,0.0806562,-0.252192
