Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43
0,73.9084,0.305199,0.153218,-0.0457017,0.168062,0.00166258,-0.0319265,0.1508,-0.0915799,0.0841452,-0.0272643,0.0147742,0.224102,0.102698,0.168198,-0.301496,0.0636313,0.0315085,0.174502,-0.114056,-0.159991,0.022381,0.191813,-0.0934278,-0.0803556,0.278229,-0.00856589,0.136425,-0.038845,0.109634,-0.168949,0.0766799,-0.0930994,-0.0822819,0.326955,-0.121562,0.000110606,-0.077617,-0.273614,0.133099,-0.139401,0.176802,0.0730163,-0.167101,-0.206403
1,67.6388,-0.182761,0.110874,0.0820893,0.200161,0.276487,-0.230549,-0.165676,-0.121671,-0.164086,0.0131634,0.137147,0.0474821,0.137402,-0.135198,-0.124942,0.271659,0.148805,0.229286,-0.0998148,-0.0186084,0.207689,0.00431367,-0.0210009,0.0912258,-0.00742979,0.00205252,-0.0557623,0.18225,0.167148,0.232159,-0.116083,0.163576,-0.0770002,0.215564,-0.16939,-0.0583144,0.149521,-0.02381,-0.0741767,-0.035875,-0.151138,-0.0859692,0.31994,0.136866
2,-65.4121,0.00343554,0.062697,-0.0467981,-0.0655627,-0.0611272,-0.0308597,0.031077,-0.0146253,0.193897,-0.244272,0.0682499,-0.0920263,-0.120109,-0.23407,-0.283917,0.0757974,-0.145021,-0.0186167,0.146051,-0.201683,0.120385,0.112052,0.096528,0.139906,-0.0298175,-0.0630374,0.0679827,-0.034396,-0.0923093,0.171828,0.151052,-0.0706498,-0.330471,-0.0378583,0.225602,0.225118,0.173777,0.0244528,0.357687,0.111609,0.0917001,-0.271546,0.0040676,0.190578
3,63.0221,-0.232561,-0.0642782,0.0525716,-0.0926655,-0.144555,0.170153,-0.0859484,-0.134823,-0.178521,-0.116583,0.0861485,0.262583,0.111179,-0.0465147,0.000518208,0.0440443,0.197671,-0.0459324,-0.143027,0.27824,0.00757068,-0.028828,0.122261,0.10584,-0.0659751,0.0440914,-0.238957,-0.319153,0.297997,-0.189787,-0.0131263,0.0366203,-0.297897,-0.00314872,0.0567209,-0.0654172,-0.0411261,-0.0166463,0.0509704,0.145536,0.245899,-0.212933,-0.0772446,-0.158958
4,-59.3141,0.0732352,0.199686,0.0983582,0.0495563,0.175444,0.129602,-0.0306775,-0.129429,-0.089685,-0.0211722,0.349247,0.0314881,-0.126033,-0.0727471,0.168372,-0.124476,-0.255112,0.0334481,-0.0653264,0.29189,0.171237,0.219014,-0.333527,0.0930459,-0.27981,-0.23665,0.0733515,-0.118635,-0.073408,-0.0737009,0.0844851,-0.123699,-0.0525322,-0.0165635,-0.148484,0.281407,-0.0257683,0.0509291,0.00804535,-0.0530415,-0.0830275,0.112806,-0.00289331,-0.1048
5,-58.6057,0.0368038,-0.0188919,0.0171363,-0.0807895,0.0534128,0.180803,-0.216432,0.250854,0.0109097,-0.24494,0.0571095,0.082865,-0.219122,-0.150134,-0.0901692,-0.197327,0.0878201,0.144241,0.166687,0.00815537,0.0948628,-0.000826356,0.0451313,0.386459,0.197562,0.154626,-0.226267,-0.181533,-0.280654,0.0362809,-0.120383,-0.0737844,0.120428,0.151333,-0.0424569,-0.0992679,0.123384,-0.247849,-0.186392,-0.133041,-0.0572891,0.0974162,-0.0205308,-0.0554355
6,57.4162,-0.0408013,0.251837,0.206935,-0.145104,-0.302926,-0.181068,0.0311799,-0.15536,-0.0321715,-0.461736,-0.0147548,0.0889979,-0.0577713,0.0228903,-0.108823,-0.027341,-0.166447,-0.150493,0.0796652,0.0657324,-0.128574,-0.0989092,-0.187748,-0.0851703,0.0363416,0.125117,-0.0703044,0.0347386,0.238537,-0.0361873,-0.0214668,0.11123,0.0809962,0.14515,0.170182,0.0705734,-0.114004,0.0778262,-0.148056,-0.261691,-0.177386,0.111849,0.0194129,0.207767
7,-56.2289,-0.172132,0.00370297,-0.0521555,0.24898,-0.134696,-0.25709,0.133466,-0.037547,-0.164804,0.102308,0.0598303,0.0367753,-0.113195,-0.140666,0.0959901,0.209609,-0.156686,0.0309799,-0.126873,-0.228353,-0.179106,-0.130518,-0.265959,0.0206819,0.0253275,-0.0844011,-0.125349,-0.247208,-0.238276,-0.0882881,-0.0828848,-0.0748707,-0.11769,-0.049516,0.00851557,-0.214052,0.30314,0.0669281,-0.090184,-0.107228,0.0101075,-0.0170191,-0.341128,0.0570378
8,54.7994,0.187303,-0.147906,0.216027,-0.0351183,-0.101905,-0.14858,-0.270852,-0.0748468,-0.0426287,0.10948,0.232426,0.136509,-0.0176176,0.096632,0.0594068,-0.118466,-0.200038,0.197499,0.176037,0.204407,-0.200698,0.176658,0.237187,-0.168665,0.120776,0.0876414,-0.0454074,0.00185049,0.0309924,-0.01623,0.123988,-0.0696889,0.113239,0.0753347,-0.101895,-0.221452,0.311318,0.204067,0.279923,0.0248322,-0.0232463,-0.0271946,-0.0157871,0.138874
9,51.1654,0.0664744,0.159797,0.055363,-0.0766402,-0.0917006,0.0362884,-0.0320136,-0.223202,0.0774319,0.0558739,-0.163587,-0.00660571,-0.29754,-0.180799,0.211896,-0.182613,-0.107173,0.0620746,-0.00987134,-0.157367,0.260761,-0.0836955,0.0279771,0.039414,0.139937,-0.103143,0.14794,0.0400581,0.320385,0.0358947,-0.101287,-0.0338285,-0.162582,-0.0402957,-0.0586848,-0.271985,0.109051,-0.0186696,-0.102998,0.276836,0.221968,0.34009,0.0533433,0.0762912
