Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44
0,79.9277,0.178563,-0.109983,0.263289,0.0468048,-0.0308191,-0.112546,0.206516,0.0721108,-0.115285,-0.0518917,-0.00813346,0.0781467,-0.0511468,0.00324721,-0.136586,-0.211932,-0.0267029,0.0639688,0.0876709,0.165126,-0.103494,-0.0894606,0.233439,0.111328,0.309489,0.178876,0.211838,-0.348656,-0.000501687,0.183263,-0.00346337,-0.133245,0.000145401,0.0617636,-0.0820488,-0.0476409,0.166363,0.212347,-0.263045,0.081921,0.195665,-0.0148583,0.158635,-0.0924174,0.173378
1,-71.1346,-0.22137,0.198206,-0.0983628,-0.055171,-0.0488881,-0.0438763,0.0556392,-0.0904547,-0.259313,-0.249385,-0.133341,-0.189211,0.0373231,0.0263015,-0.299292,0.114108,-0.00352904,-0.188091,0.0580052,-0.224489,-0.0282398,-0.174044,-0.0938135,0.09844,0.140279,-0.0985778,-0.0710676,-0.0183005,0.0614032,0.0710655,-0.0389874,0.0640905,-0.204168,0.00662327,0.00384601,-0.365002,0.0017244,0.25914,0.00206431,0.211572,-0.0731585,0.0698594,-0.232366,-0.231336,-0.0557125
2,-68.9172,-0.0381976,-0.0634072,-0.0104793,-0.178575,0.218218,0.0559989,-0.155911,0.255083,-0.199662,0.029615,-0.124188,-0.1758,-0.0625227,-0.0294182,-0.0547198,-0.0914941,-0.239224,0.202993,-0.222564,0.128116,0.0549735,0.134515,0.10145,0.213749,0.246181,-0.0523301,-0.154578,-0.00266749,0.178226,0.113814,0.00460163,-0.0574386,0.0508992,-0.162124,0.0150887,-0.0246789,-0.027273,-0.182015,0.176077,0.0428635,0.158142,-0.363942,-0.282429,0.0928893,-0.011638
3,67.6159,0.1107,0.0343681,0.0552166,0.0274763,0.0350856,-0.263978,-0.0463107,-0.161939,0.179166,-0.0644347,0.17135,-0.125897,-0.239186,-0.14179,0.110286,-0.145267,0.0349086,-0.0230646,0.00426136,-0.0068754,-0.147718,-0.380788,-0.150867,0.0880105,0.105678,0.0870933,-0.150107,0.210731,-0.168038,0.208328,0.0171456,0.232824,0.206715,-0.144364,0.239706,0.0660576,0.0322493,-0.145236,-0.108463,0.291721,-0.0682122,-0.135945,-0.0624402,-0.00442671,0.0949412
4,-63.182,-0.20784,0.302906,0.113768,0.0512198,0.0990995,0.147531,-0.189147,-0.0459122,0.0850454,0.117947,0.270067,0.00961729,0.0770303,-0.183304,-0.0319224,-0.11349,-0.00171061,0.0531308,-0.0506693,-0.227531,0.0923895,0.0318947,-0.00615853,-0.0866738,0.0506859,0.239647,-0.103463,0.0474231,0.0690847,0.245715,-0.197456,-0.091375,0.0358862,0.337489,-0.331969,0.084965,-0.0787823,-0.0748925,-0.241397,0.0371296,0.166686,0.0787473,-0.183413,0.0138248,-0.0284177
5,61.1579,0.0410559,-0.189765,-0.166146,0.0100176,0.225865,0.0909737,-0.00105381,-0.213162,-0.0555948,0.069312,0.0513484,-0.340416,-0.0825152,0.0579651,-0.190183,0.0469067,0.22744,-0.199789,0.0568106,0.164332,-0.0572262,-0.0827299,0.205348,0.135232,-0.135342,0.0772353,-0.157218,0.0955048,0.107787,0.175341,0.381177,-0.0876403,-0.00938725,0.110511,-0.078264,0.0823714,0.0512662,-0.0776366,0.0919616,-0.134249,0.169088,0.296492,-0.028384,0.0561071,0.167943
6,-59.6082,-0.0353316,-0.00196974,0.00240585,0.19249,0.0513026,-0.010846,-0.0606502,-0.0344317,-0.199185,0.132396,-0.101031,-0.233606,-0.151806,0.270353,0.188803,-0.1224,0.116773,0.0096418,-0.0738062,-0.0758568,0.254325,-0.0964849,0.204437,0.102338,-0.123982,-0.0671085,-0.00553222,-0.162757,-0.0843745,-0.226942,-0.0493681,-0.0501785,0.110361,-0.0780209,-0.0513254,0.110592,0.25208,-0.118856,-0.365882,0.0703671,-0.153188,0.0408866,-0.145415,-0.133564,-0.332298
7,57.4245,-0.0655124,-0.288496,0.00416993,-0.304671,0.143926,0.0292784,0.0951235,-0.0218531,0.125028,-0.25689,0.138004,-0.0985954,-0.165951,-0.266813,0.232375,-0.0715834,0.251835,-0.0279522,-0.00292025,0.155311,-0.0296871,0.158496,0.0547174,-0.240348,0.0334202,-0.0540872,0.0534491,-0.0044835,0.0324924,-0.213907,0.0547203,-0.00410916,-0.113187,0.134015,-0.15194,0.0370293,-0.0985513,0.0921286,-0.00126827,0.225394,0.0517754,-0.113848,-0.118199,-0.326527,-0.167309
8,56.6022,0.173736,-0.206032,-0.0587689,-0.106008,-0.207823,0.0851193,-0.0930446,-0.242113,-0.161365,-0.326523,0.122281,-0.0392379,0.187744,-0.0666655,0.0666259,0.0315651,-0.0790514,0.176951,-0.105834,0.227479,0.244606,-0.0952299,0.0740567,0.0243533,-0.0406729,0.0660112,-0.157812,0.0810865,-0.284148,0.0832107,-0.34925,-0.25041,-0.0245834,-0.0239854,0.0974605,0.0274399,-0.00268657,0.157292,0.0206996,-0.0504712,-0.027293,0.183154,-0.150317,0.138985,0.00281137
9,53.791,0.250481,0.0719694,-0.194371,-0.0874347,-0.152893,0.11657,0.0687183,-0.0876381,0.0425155,-0.106541,-0.20404,0.131268,-0.274521,-0.0686451,-0.0790073,-0.0749206,0.0784352,-0.0791347,-0.108687,-0.177289,0.147032,-0.000175048,0.0211991,-0.168414,-0.115108,-0.303995,-0.235932,-0.201804,0.218477,0.136893,-0.0913327,-0.0131769,0.337355,0.0540108,0.0143026,0.0995732,-0.0703078,0.0895463,-0.11637,-0.174212,0.0490365,-0.132833,-0.0403892,-0.142914,0.253778
