Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45
0,-76.0978,0.0749546,-0.131977,0.173725,0.0905707,0.0412178,0.0937378,0.0155098,0.254503,0.0531267,-0.268012,0.0594812,0.0260069,-0.244825,-0.166932,-0.0254733,0.0287253,0.228626,-0.21939,0.12168,-0.128738,-0.0419138,-0.0308254,-0.135776,0.0897206,-0.267235,0.00457713,-0.0952216,0.0569692,-0.0766565,-0.166094,-0.0696977,-0.289694,-0.252655,0.0315866,-0.0832208,0.0309818,0.244075,-0.0558661,-0.110133,0.134754,-0.068531,0.0760747,0.293122,-0.0439242,0.21653,0.130584
1,75.659,0.235632,-0.0660681,-0.00495655,0.0194801,-0.171291,-0.125389,-0.195085,0.114829,0.0259308,0.0218184,-0.128117,0.203894,-0.184351,0.077333,0.0147861,-0.178394,-0.188756,0.0061385,0.0448852,0.105731,-0.171905,-0.100379,-0.0434711,0.0463272,0.176974,0.00674156,-0.0621923,0.240634,-0.190458,-0.195479,0.305584,-0.114392,0.0286214,0.20198,-0.0135531,0.176153,0.0792371,-0.00959111,0.00553579,-0.0784947,0.0989401,-0.29631,-0.0595954,0.34393,0.082897,-0.184262
2,-70.4817,-0.0883376,-0.0494573,-0.0464633,-0.0685236,0.0196799,0.078323,0.355654,0.0920055,0.222567,-0.0836269,0.077394,-0.128135,-0.177378,0.274308,0.0930882,-0.139381,-0.0900894,-0.0719336,0.00260354,-0.261061,-0.00620084,-0.235175,-0.0945726,0.0719538,0.146021,0.152611,-0.262956,-0.00637076,-0.10772,0.0537998,-0.296439,-0.189079,0.131985,0.0947097,0.0489644,-0.0951131,-0.0629661,-0.0119926,-0.0985104,-0.16854,0.156763,0.12693,-0.0928972,0.0388334,-0.189955,-0.240584
3,69.3754,-0.00335636,0.259861,0.0155634,0.297036,-0.0469061,0.16081,-0.109012,-0.0173081,-0.0314051,0.053472,-0.133373,0.0114169,0.131455,-0.12419,-0.000225311,-0.142616,-0.118409,0.0578702,0.18732,0.159368,0.163551,-0.0312564,-0.355256,0.193401,-0.131976,-0.0257827,-0.306744,0.000499686,0.210311,0.187852,-0.0577234,-0.093531,-0.0803248,-0.215854,-0.00459038,-0.0960252,0.0669661,0.106084,-0.0699057,0.163063,0.190281,0.041841,-0.247659,0.172376,0.086659,-0.0997681
4,-66.5742,-0.172225,-0.071573,-0.00461524,0.0191639,0.0477309,-0.260752,-0.144628,-0.130514,0.0636844,-0.00703256,0.114407,0.210324,0.15043,-0.106931,-0.107628,-0.00966271,0.0190398,-0.256774,0.106535,0.113931,-0.00826238,-0.20248,0.122183,0.0104618,-0.04265,0.245536,0.0600653,-0.064479,-0.320067,0.244202,-0.0567543,-0.20547,-0.114112,0.229435,-0.0877627,-0.2328,0.000134503,0.0146424,0.054502,0.00887388,0.0352056,-0.0253621,-0.373185,-0.055206,0.0515407,0.218263
5,65.1002,-0.203062,-0.0791026,0.171772,0.0143955,-0.19145,0.158417,0.0726059,-0.0459153,0.248251,0.152019,-0.0799492,0.152535,-0.123031,-0.13525,-0.250108,0.026604,0.0131458,0.130104,0.228158,0.0414973,0.258993,0.101456,0.092687,0.0495776,0.249975,-0.170832,-0.0622464,-0.189267,-0.0243165,0.00739851,-0.0412509,0.0159724,-0.105057,-0.0109159,0.0895506,-0.00544394,0.0971904,-0.0630187,-0.138537,-0.365153,0.179492,-0.268955,0.1211,-0.111194,0.00691358,0.180356
6,58.5108,0.247438,0.329078,0.198349,-0.121176,-0.213884,-0.205436,0.0426179,0.179222,-0.125414,0.109862,0.121502,0.126236,0.159565,-0.141886,-0.281183,0.17545,-0.0245689,-0.170503,0.0968237,-0.122443,0.182291,-0.169501,-0.144718,0.0067144,-0.0655484,-0.117619,0.0623211,0.119734,-0.115894,-0.0329818,-0.0236212,-0.0161789,0.276826,-0.0474654,0.0876781,0.050186,-0.0799797,-0.0349174,-0.180106,-0.172061,-0.171407,0.132339,-0.0236242,-0.141698,-0.0285341,-0.157661
7,-58.3125,-0.155426,-0.0483987,-0.103844,-0.175092,-0.0328898,0.0653729,-0.150631,0.167192,0.0449711,-0.121866,0.262906,0.0285989,0.0900575,0.0571332,0.0863897,0.011124,-0.131212,-0.12919,-0.104877,-0.370048,0.137068,0.0318238,-0.228135,-0.207542,-0.0687779,-0.282263,0.106845,-0.111825,0.0294131,0.158659,-0.0112526,0.0670361,-0.11163,0.0543766,0.232879,-0.00660167,0.0711447,0.297783,0.044547,0.0124998,-0.0606704,-0.322238,-0.0933236,0.172585,0.151232,-0.00950275
8,55.7294,-0.0702253,-0.0714362,-0.198555,-0.104564,0.0467445,-0.0604265,-0.092405,0.131088,0.114738,-0.0625526,-0.135915,-0.134187,0.0828498,-0.198291,-0.12034,-0.12598,0.061546,0.0280351,0.168441,-0.0661273,0.0749498,-0.35341,-0.0434229,0.0849574,-0.0134318,0.00505576,0.130283,0.256464,0.0300537,-0.219067,0.0169327,0.293866,0.0565949,-0.0699658,0.0410939,-0.220288,0.113265,0.225327,0.290462,-0.139608,0.207888,0.190766,0.145957,0.115206,-0.103894,0.178251
9,-55.4048,-0.0769747,-0.0511488,0.0731634,0.0670627,0.129727,-0.0649225,0.00495534,0.227681,0.0759808,0.0977989,0.00172337,0.0128698,-0.0157251,-0.265549,0.011272,-0.0828136,0.171629,0.0279135,-0.330916,0.0879328,-0.185231,-0.122386,0.0820391,-0.0930892,0.108597,-0.160349,-0.305153,-0.0572016,-0.153746,0.102513,0.173784,0.0288315,0.0971311,-0.200721,0.299131,-0.322837,-0.249705,-0.11079,-0.151938,0.0633553,-0.0889578,0.00894442,0.0934098,0.181617,0.0776695,0.0576598
