Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46
0,76.7673,0.28468,-0.222054,0.040893,0.0801111,-0.102574,0.0624216,-0.144632,0.0167342,0.174544,-0.0586828,-0.0967487,0.116013,-0.12001,-0.0607976,-0.225665,0.162803,0.0516292,-0.0366364,-0.19512,-0.0119804,0.114653,-0.144137,0.00167447,-0.175122,0.209637,-0.115614,0.12418,0.195765,-0.26798,0.0717601,-0.114557,-0.203582,-0.124316,0.0376907,0.0398924,-0.178514,0.0562925,-0.174955,0.298349,-0.208619,0.0261728,-0.0352359,-0.0731968,0.107273,-0.22924,-0.0115027,-0.190155
1,-68.2935,-0.175495,-0.081901,-0.0864271,0.0405372,0.184004,0.232179,-0.09068,-0.0322439,0.154713,-0.0781986,0.291845,0.0314933,0.0688085,0.0872428,0.250137,0.0907357,-0.16352,-0.135549,-0.0637126,0.155185,-0.105038,0.0225771,-0.246129,0.0141093,-0.10013,0.117129,-0.0271868,0.236053,-0.0498549,-0.0109248,-0.197265,-0.197194,-0.206677,0.305388,-0.0195244,0.000812791,0.0745574,0.190285,0.00451749,0.218415,-0.0695108,0.240588,-0.104155,0.0558622,0.0217394,-0.0984691,-0.195196
2,67.2656,0.124915,0.105489,0.214658,0.0391854,-0.188958,0.215331,-0.133974,-0.0201785,0.123649,-0.159325,0.225804,-0.0685404,-0.174657,0.222452,-0.183121,-0.134942,-0.152816,-0.0544953,0.210739,-0.0306543,-0.0431693,0.188453,-0.0652245,0.180801,-0.0520437,0.000397198,-0.175407,-0.0981519,0.0417775,0.0485356,-0.15925,0.00659069,0.0835889,0.0769365,0.0988538,0.246496,0.174034,-0.0281408,0.0271172,-0.279,-0.0329163,-0.0272986,0.0868125,-0.283999,-0.269914,-0.139104,0.0566274
3,-66.1096,0.0281976,-0.234096,0.010221,0.201486,0.0250323,0.104185,-0.186833,0.04599,-0.23034,0.0630503,-0.17401,-0.207673,0.132089,0.240075,0.0951361,-0.0806503,-0.268044,-0.184895,0.159171,-0.226015,-0.0997462,-0.0783623,0.0588454,-0.329161,-0.253241,-0.157762,0.121008,-0.147983,-0.0374496,-0.0265806,-0.0885148,-0.0151439,-0.020913,-0.151385,0.129892,-0.0710119,0.017219,-0.0515779,0.056827,0.0599147,-0.129236,0.238885,0.0360848,0.00462058,-0.0896944,0.195831,0.107258
4,63.7239,-0.0137614,0.212719,0.275677,0.144291,0.0735889,-0.0797293,-0.165836,0.0291799,-0.0982612,-0.132544,-0.0963051,-0.209271,0.244168,-0.0608968,0.223779,-0.0875677,0.248199,0.227126,0.176703,-0.129849,0.167644,0.0222652,0.0757435,0.0961375,0.205631,0.0609859,0.0334774,0.045,-0.023819,0.127317,-0.0931231,-0.223413,-0.304419,0.0853477,0.0335385,-0.104165,-0.0581121,0.296833,0.130082,-0.0735846,0.0606443,0.00736882,-0.0594769,-0.141081,-0.0706214,0.101184,0.136885
5,-61.5317,-0.116482,-0.150727,0.0186202,-0.00488199,-0.0137789,-0.0283306,-0.302256,-0.375119,0.106128,0.287482,-0.0032679,0.182946,-0.209296,-0.116327,0.163346,-0.0827217,0.0510669,-0.178847,0.0200036,-0.0194634,0.116219,0.188863,0.0881241,-0.0385287,0.142446,0.0544474,-0.0854726,-0.101831,0.0272066,0.107629,-0.0825186,-0.211353,0.105365,-0.114748,0.176776,-0.105427,-0.113083,-0.10084,-0.2654,0.00804139,0.229616,0.103365,-0.191475,-0.215737,0.0696747,0.041184,0.0153901
6,59.2698,-0.0296251,0.0664553,-0.0360778,-0.111419,0.398973,0.126224,-0.0175138,-0.0650553,0.0482907,-0.384761,-0.0985082,-0.12837,-0.00683096,0.202552,-0.115023,0.217952,-0.130239,0.221238,0.0768264,0.0762673,0.232386,-0.0117648,0.210535,-0.113989,0.0591051,0.0457448,-0.119808,-0.176767,0.100989,0.113953,-0.0262955,-0.076505,0.116262,-0.0236494,0.127817,-0.0332717,-0.0561201,-0.208607,-0.119071,0.226427,-0.064884,-0.172622,-0.202508,0.00519118,-0.0684298,0.00566191,-0.17199
7,-58.4649,0.0755787,-0.104469,0.35337,-0.15773,0.129829,0.0657026,0.110382,0.0620359,0.1354,0.218043,-0.121262,-0.0807032,0.130575,-0.186173,-0.149113,-0.0174229,-0.122738,-0.243497,0.00636481,-0.0451687,-0.0616828,0.19335,-0.0388054,-0.145189,-0.0763377,0.0417976,0.102471,-0.156041,0.0522215,0.278743,-0.00448463,0.0594838,0.0255763,0.319699,-0.132537,-0.13454,-0.2088,0.104331,0.0801823,0.0646263,-0.130733,-0.26714,0.0683015,-0.193671,0.112616,-0.0362625,-0.142193
8,56.8859,0.198719,-0.239129,-0.244114,0.303066,0.0247568,0.0487949,-0.07858,-0.0619843,0.111577,-0.0556835,-0.110601,-0.0734792,0.0578503,-0.0284627,0.262949,0.113417,-0.0508969,0.0582392,-0.0581751,0.0435627,0.267191,-0.15394,-0.230913,0.13105,0.0274757,0.18769,-0.0818933,-0.180268,-0.129063,0.0270514,0.092437,0.178567,0.174684,0.0307716,-0.242553,-0.166711,0.0400052,0.0658765,-0.0814148,0.0215549,-0.0161605,-0.0927453,0.258699,-0.267725,-0.104354,-0.100526,0.100499
9,-55.4388,-0.213505,0.151444,-0.0510749,0.0901872,0.0602407,0.0601165,-0.121596,0.0179558,0.0282803,-0.17362,-0.231036,-0.0692543,-0.0756792,-0.229702,0.0749703,0.053178,-0.10296,-0.192597,-0.0833562,0.181887,0.0531338,0.243568,0.0436299,0.080397,0.0758645,-0.209274,0.0260449,0.0664447,0.0749806,-0.0864042,0.0257265,0.0569457,-0.0894135,0.153334,0.0931761,-0.0616456,0.332661,-0.333542,0.243747,0.0507908,-0.00395131,-0.0343561,0.206737,-0.115359,0.263393,0.100178,0.21887
