Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47
0,76.5588,0.0487665,0.043036,-0.0117463,-0.301547,0.00457887,0.0961851,0.134587,0.149735,-0.106599,-0.11909,-0.0192147,0.0805264,-0.116804,0.0556608,-0.187186,-0.124039,0.230411,0.148288,-0.0587864,0.00878355,-0.00248211,0.0841393,-0.0428039,-0.336797,-0.08574,-0.0378672,0.172852,-0.234065,-0.218859,0.0161476,0.19277,-0.337617,-0.0893937,-0.154268,0.0759027,0.184628,0.00830577,-0.0415621,0.0151464,-0.24267,0.156318,0.00616421,-0.0737341,-0.25822,0.147029,-0.0410035,-0.049804,0.0818064
1,-75.1146,0.14289,-0.276833,0.116368,0.0473803,0.333927,-0.0237936,0.175477,-0.0646996,0.0044914,-0.0519264,-0.0432199,-0.21826,-0.0152793,0.231929,0.0647975,-0.00540777,0.109309,0.206448,-0.040518,-0.0348451,-0.197709,-0.194145,-0.21269,-0.0144565,0.168544,0.0716027,-0.311826,0.0831684,0.129985,0.0213435,-0.00889727,-0.0856982,-0.0328843,-0.0750541,0.122489,0.0415997,-0.116673,0.177324,-0.174664,0.015947,-0.0571776,0.170405,0.182431,-0.191504,-0.141776,-0.0967576,-0.122741,0.203626
2,69.9349,-0.0463209,0.0748737,0.133913,0.0020451,-0.0465743,-0.153765,0.081956,0.116148,0.0673171,0.056085,0.10262,0.308111,0.105902,-0.181765,0.0546252,-0.24826,0.0269802,0.169536,-0.112466,0.147269,-0.00157272,0.062872,-0.0110054,0.00271522,-0.0724728,-0.0471627,-0.206854,-0.231825,0.238383,0.160843,0.140475,0.0313611,-0.0314521,-0.113561,-0.109616,0.254207,-0.321315,0.0868418,0.234666,0.163143,0.00831128,0.0220084,0.268696,0.169742,-0.0561833,0.0292682,0.184713,0.0910026
3,-68.6284,0.0815303,0.00459926,0.0109181,-0.0577468,0.0070262,0.0854244,-0.114027,-0.0112872,0.0496676,-0.173854,0.367238,0.0516272,-0.209364,0.0083368,0.146654,-0.0213482,0.0957468,-0.181159,0.0324476,0.179837,0.0748177,-0.0620276,-0.0355778,-0.173152,-0.186759,0.197321,-0.0486998,-0.0967227,-0.0733219,0.270971,-0.0484897,0.31975,0.0646678,0.102636,0.203247,-0.0319119,0.205629,0.106065,-0.0242445,0.0117307,0.126232,0.331818,0.086766,-0.0281315,-0.0177802,0.30253,-0.0428064,0.0947363
4,65.478,0.0502943,-0.0538171,-0.252639,0.0227415,0.11774,0.196619,0.138106,-0.0332063,0.00908564,-0.0531775,0.100901,0.131782,0.222141,-0.174198,0.0182251,-0.110131,0.0256178,0.155148,-0.0507468,0.392491,-0.0921654,-0.251511,0.283229,0.161109,-0.0234814,0.102792,0.350145,0.222941,0.0236968,0.103733,0.028621,-0.0412955,-0.0795037,0.196878,-0.127979,0.0233589,-0.017349,0.0226914,-0.207035,-0.0185215,-0.0137896,0.00897564,-0.00172806,-0.0356855,0.0714598,-0.123911,0.0218802,0.223294
5,-60.5068,-0.00297667,-0.130664,-0.0596926,-0.0938191,-0.116576,0.0692829,-0.228074,-0.367676,-0.238388,-0.00796467,0.115017,0.0224497,-0.0711279,-0.0500107,-0.0706967,-0.199686,0.385463,-0.093733,0.045696,0.0920768,-0.00248652,0.0155761,0.0900462,0.0513705,-0.0139116,-0.248449,-0.105841,0.152782,-0.0484521,-0.248611,0.0710028,0.00202835,-0.23532,-0.0323967,-0.145349,0.170655,-0.0408935,-0.0452201,-0.0102348,0.124293,-0.165082,0.128651,0.00224025,-0.0752774,-0.270484,0.10777,-0.0813961,-0.174597
6,60.1123,-0.0993681,0.0520948,0.075513,0.0843283,0.0569068,0.392844,-0.0388942,0.0241314,-0.1829,0.0312337,-0.142108,0.154794,0.094261,0.0376489,0.0278832,-0.177649,-0.0966751,-0.082936,0.016675,-0.00279119,0.180566,0.0925083,0.0593387,-0.0253776,-0.269216,0.0655198,-0.143067,-0.0738199,0.0867651,0.019077,-0.210731,-0.19712,0.262501,-0.0756633,-0.270284,-0.195219,0.0446616,0.037561,-0.0544951,-0.0330398,0.0950339,-0.0297087,0.204518,-0.094361,-0.207655,-0.053498,-0.368729,0.0467302
7,58.0297,-0.211803,-0.161234,-0.204504,-0.307229,0.0556139,-0.136217,-0.149577,0.0738624,0.17918,-0.11408,0.0974388,-0.160549,-0.0727015,0.0529394,-0.184961,-0.058104,-0.00810715,0.088875,0.240915,-0.0828669,0.254709,0.0369102,0.128045,0.0421952,0.0661047,0.0716526,-0.040787,0.0603372,0.0962458,-0.0870938,0.10599,-0.183427,0.347543,0.00988014,-0.137404,0.0140195,0.00140952,-0.0613009,0.0241867,0.319162,-0.0900025,0.177125,0.0379424,0.0666904,0.207114,0.0242535,-0.0533654,0.213787
8,-55.7051,-0.0488673,0.128771,-0.0514666,0.210382,0.172403,-0.141673,0.161769,0.00513865,0.203716,-0.158472,-0.0338975,-0.139859,-0.202798,0.0229827,0.132482,-0.0966402,0.112554,0.00897128,-0.0761963,0.134308,-0.00287074,-0.14084,-0.0422227,0.00190304,-0.114574,-0.158396,0.184032,-0.25686,-0.190063,-0.0322257,-0.14908,0.0293058,0.258295,-0.109647,-0.134967,0.20518,0.106258,-0.0801181,-0.136259,0.293795,0.0192767,0.0377763,-0.0648661,0.0170848,-0.172282,-0.271542,0.0125255,-0.272423
9,-55.2223,0.193015,-0.00737546,-0.181302,0.156098,0.140004,0.123156,0.118964,0.343924,-0.2124,-0.0747668,-0.0256954,0.0463498,-0.0485651,0.0590815,0.0635286,-0.140766,0.110536,-0.240576,0.274,-0.191029,0.144856,0.0841445,0.271413,0.148481,0.0188458,-0.177779,-0.118723,-0.0407682,-0.0359224,0.0499323,0.0376395,0.0263139,0.0260546,0.0301769,0.154945,-0.0390646,-0.223844,0.259127,-0.143352,0.0677097,-0.0461003,0.00361461,-0.0544241,-0.124448,0.103421,-0.0083171,0.286734,-0.113616
