Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48
0,76.9373,0.0250826,-0.309876,-0.127885,-0.134713,0.0265272,0.106382,0.0261168,0.0275825,0.0714283,-0.103727,0.152797,-0.169934,-0.104843,-0.221751,-0.139719,0.0730853,0.0528563,0.0980205,-0.125062,-0.129631,-0.178663,0.145324,0.0430812,0.150615,-0.0252583,-0.098691,0.308114,-0.0650718,0.167862,0.178295,0.0765217,0.205039,-0.155309,-0.197224,0.149969,-0.0817342,0.0504396,-0.277132,-0.0390972,-0.215063,0.0105409,0.0803144,0.0727803,0.218932,-0.0548244,-0.152873,0.107363,0.0890631,0.193622
1,75.3747,0.221624,0.0768495,-0.128479,0.18365,0.198546,-0.0800876,-0.0611922,-0.150233,-0.0117793,0.0872018,0.00454028,0.157922,-0.109556,0.00993175,-0.0544619,0.253155,-0.056244,0.03051,-0.0832619,0.0296831,0.158743,-0.188436,0.26825,0.034289,0.112964,-0.104428,0.238037,-0.0363442,0.121546,0.0893424,0.119791,-0.226559,-0.0604717,0.138791,0.0885257,-0.0102202,-0.319416,0.0251217,0.197244,0.00883612,0.134002,-0.152608,-0.198349,-0.106682,-0.0170217,-0.331977,-0.0476933,0.105409,0.0809265
2,71.3238,0.0890998,-0.0620247,-0.0247347,-0.00906713,-0.169409,-0.0761096,0.174878,-0.13265,-0.161126,-0.0329456,-0.316265,0.0118607,-0.104854,-0.245801,-0.205414,-0.119467,-0.10184,0.129679,0.0898066,0.101621,0.205856,0.283688,-0.100094,-0.102573,-0.220165,0.0406649,-0.0315488,0.184821,-0.0966773,-0.162972,-0.200828,0.0291371,-0.00948971,-0.052351,0.0575212,0.261908,-0.0137101,-0.0457326,0.0271388,0.0632499,0.28958,0.0104262,-0.167202,0.028065,0.0915093,-0.183846,0.0819438,0.206453,0.111548
3,-69.7514,0.116553,0.27078,0.0427078,-0.251521,0.00163076,-0.0151775,0.17312,0.1863,-0.103682,-0.232892,-0.077943,-0.00304146,0.0277188,0.118992,-0.14818,0.24503,0.256045,-0.180051,0.00159365,0.0856109,0.000214745,0.080798,-0.247134,-0.0628439,0.167792,-0.194533,0.0680796,0.233948,0.0993961,-0.119923,0.0503245,-0.0229443,0.0444103,0.109353,0.039032,0.000639783,0.083938,3.88099e-05,0.0260976,-0.113769,-0.168598,0.0287727,-0.25195,0.24561,-0.219201,-0.145085,-0.0980304,-0.00539975,-0.132795
4,65.662,0.214295,-0.225446,-0.315752,-0.0193609,0.131609,0.0704869,0.246527,0.0590268,-0.155203,0.0444146,-0.0671345,-0.130444,-0.10037,-0.0277215,-0.0548259,0.117599,0.0845401,-0.136499,-0.227754,-0.0191544,0.0674964,-0.0570147,0.0484611,-0.180617,-0.211748,0.0969068,-0.0291248,0.0258448,-0.0417641,0.0439461,0.224818,0.208,-0.0552959,-0.161546,-0.294128,-0.00972742,-0.00307019,0.184572,-0.146306,0.161432,-0.169898,-0.00821896,-0.156946,-0.233711,0.0404336,-0.00199389,0.0789518,-0.156655,-0.171589
5,-64.9691,-0.207138,-0.0641351,0.288333,-0.0202629,-0.081709,-0.216155,-0.0719142,0.0134178,-0.0151904,-0.176291,-0.171358,-0.12674,-0.00961422,-0.044817,-0.00185538,0.167504,0.107712,-0.268264,-0.113472,-0.0267171,0.0555211,0.116673,0.102682,0.112221,0.237972,0.210157,0.23451,-0.0158243,-0.0183924,0.118785,-0.115072,0.0656685,-0.106219,-0.0401267,-0.184508,0.258175,0.0144379,-0.0590055,0.150263,0.0263746,0.00735622,-0.269698,0.098499,-0.0720454,0.264972,-0.0969215,0.0550273,-0.237924,-0.106175
6,62.7656,-0.0264647,0.204741,-0.0618896,-0.0138755,0.257474,0.122717,-0.00330422,-0.130831,-0.360687,-0.0971596,-0.157357,-0.0323602,0.106682,0.042386,-0.0959761,-0.0369114,0.0607462,-0.156466,-0.116084,0.181369,-0.168504,0.140623,0.0683473,0.0817197,0.000294873,0.354891,-0.184012,-0.0431357,-0.161505,0.203004,0.127141,0.044058,-0.129059,0.0242282,0.289842,-0.02457,-0.0431466,-0.0225794,0.143381,-0.255636,0.0312245,0.126218,0.0219216,-0.138597,-0.000390801,0.132955,-0.110237,0.0351671,0.163881
7,-60.6472,-0.298363,0.0132077,0.0578786,0.247674,-0.116353,-0.061013,-0.0237954,0.0762363,-0.0511424,0.097,-0.0429053,-0.264936,0.0188288,-0.160213,-0.103373,-0.0206132,0.0508227,-0.0279853,-0.0252118,0.385929,-0.210126,-0.0251998,0.0229491,-0.352963,0.0721613,-0.187497,0.132369,-0.115189,-0.114029,0.104069,0.175954,-0.00673528,-0.021161,0.246041,-0.106412,-0.0655949,0.0935739,-0.191841,-0.169362,0.100109,0.0799921,-0.0323278,-0.045517,-0.145362,-0.173699,-0.037545,-0.0324635,0.168147,0.00496094
8,-57.5142,-0.115506,-0.0667852,0.0689265,0.0073773,0.17178,0.0256804,0.198717,0.138814,0.293452,0.0444423,0.0646427,-0.0525937,0.440756,-0.0868771,-0.112748,-0.0489601,0.0589371,0.111165,-0.171123,0.0448299,0.0628062,0.110339,0.32142,-0.217403,-0.139283,0.0343547,-0.00868755,0.0636713,0.0137275,-0.0416005,0.0141007,-0.0221349,0.0957757,0.0121118,0.0914425,0.0896539,0.0971694,0.149931,0.302752,0.146319,-0.170977,-0.0408517,-0.0512547,0.194427,0.0821831,-0.0196994,-0.210435,-0.0326692,0.202097
9,-56.0543,-0.115644,-0.051154,0.186727,0.147998,0.0940545,-0.096855,-0.00249952,-0.125997,-0.0276251,-0.18397,0.0822904,0.0203502,-0.0317734,0.222941,-0.119997,-0.13025,0.195927,0.137487,0.0727563,-0.179509,0.352398,0.0218394,-0.117892,-0.0372936,0.117715,-0.102512,-0.052855,0.0997144,0.114829,0.238839,0.154053,0.0973557,-0.209173,-0.0534138,0.0493807,-0.109877,0.320783,0.221269,-0.132847,0.0968392,0.152409,-0.0225363,-0.101229,-0.166929,-0.0680859,-0.00654929,-0.0222209,-0.0443872,0.291483
