Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49
0,76.8095,0.10008,0.00565343,0.164043,0.0868987,-0.257338,0.198373,0.0605227,-0.181659,0.127549,0.0120845,-0.0631272,0.0799929,-0.0320813,-0.235494,-0.231858,-0.104913,-0.0496325,0.0464789,0.20529,-0.018016,0.279715,0.295009,-0.277418,-0.105115,0.0354179,0.14341,0.0863832,0.177849,0.0993902,-0.171941,0.0152059,0.139825,0.0201561,-0.135142,-0.0451781,0.263109,0.275644,-0.079867,2.13594e-06,0.039813,-0.156815,-0.0683081,0.0309389,-0.103417,0.0943809,-0.0242678,0.00762817,-0.00895183,-0.0517626,0.132621
1,-72.5198,0.023781,-0.111075,0.247043,0.0324409,-0.17196,0.150666,-0.0898416,0.249287,-0.138835,-0.079643,0.140597,-0.0679335,0.141915,0.0999675,0.102857,0.164917,-0.0116169,-0.185277,-0.164199,-0.0788152,-0.140646,-0.0792548,-0.261422,0.0301348,0.171037,0.0952426,-0.0877041,0.0889845,0.238988,-0.218995,-0.366612,0.0359178,-0.0698817,0.228075,0.0355934,-0.0806095,0.0770909,0.178123,0.102206,-0.0548834,-0.0733052,0.115466,0.0899973,0.0553905,0.154187,-0.0423831,-0.118441,-0.0217568,-0.201939,0.0211152
2,71.3485,0.201959,-0.032101,-0.0631128,0.191951,0.0440575,0.166743,0.063777,0.17432,0.12222,-0.22551,-0.0562299,-0.120696,0.159059,0.00680015,-0.29652,-0.0639336,0.0281225,0.18206,-0.0599617,0.237965,0.0273305,-0.00292311,0.218958,-0.115845,-0.116928,-0.0770181,-0.0894732,0.200633,0.0814952,-0.108404,0.175218,-0.031815,0.0333295,-0.0826597,0.0322963,-0.120485,-0.0535303,0.272456,-0.0750648,0.0406635,0.00500339,0.331076,-0.0503648,0.0155135,0.0349352,-0.0440535,-0.313138,-0.226848,0.071036,0.00176848
3,-66.942,0.0784815,-0.125281,0.069698,-0.0117194,-0.0344419,-0.055349,0.131281,0.20459,0.280235,0.251553,-0.0530748,-0.081482,-0.221121,-0.0260469,-0.0128794,-0.00665803,-0.0883377,0.0532961,0.172919,0.113212,-0.0358426,-0.170656,-0.0107037,0.0899681,-0.12671,-0.111825,-0.026633,-0.28546,0.0315514,-0.402942,-0.0567446,0.0408161,-0.136925,0.156275,0.210414,0.230315,-0.0570325,-0.00312668,0.0577607,0.0266675,0.223963,-0.127875,0.0657085,0.0545079,-0.190468,-0.148153,-0.127061,-0.0705038,0.103911,0.161368
4,65.3946,-0.0289031,0.0725236,0.221423,-0.0489583,0.0394688,-0.140762,0.11141,-0.0603614,0.0613864,-0.0119166,0.177009,0.0540767,0.074815,0.0391198,-0.157922,-0.0425193,-0.340306,-0.0933493,-0.189741,0.0649558,0.0353931,0.112146,0.061547,-0.101237,-0.053261,0.220634,-0.00368391,-0.0586696,-0.129977,0.0878595,-0.132899,0.293777,-0.169085,-0.0431765,-0.167938,0.124393,-0.17216,0.0920764,0.14731,-0.229129,0.23378,0.166389,-0.224402,-0.226556,-0.142106,-0.206355,0.0284683,-0.00920486,-0.0341446,-0.146769
5,-64.5582,0.0944911,0.0429538,0.207993,-0.241361,-0.0334361,-0.101334,-0.115074,0.0632196,0.2163,-0.0595108,-0.209764,0.0518729,0.268988,0.0878903,0.177954,-0.232145,0.145571,0.0620042,0.213151,0.17372,0.00354157,0.100717,0.0467814,0.0953679,0.184297,-0.0536048,0.192972,-0.0620707,-0.0953164,0.0877787,-0.0858273,0.0214886,-0.0620359,0.311821,-0.0716371,-0.0199121,-0.0737364,-0.0351825,-0.0585618,0.0231154,-0.187324,0.111362,-0.0982301,-0.0536357,0.213781,-0.218662,0.144691,-0.196771,0.201842,0.0248446
6,-61.8969,0.23175,-0.16953,-0.0797962,0.212551,0.077308,-0.268333,0.160947,0.0202872,-0.0338762,0.109424,-0.348204,0.157848,0.00729636,0.0932459,-0.0753643,0.283943,-0.189042,-0.213294,-0.157625,0.0174354,0.0521311,-0.174834,-0.102271,-0.0125405,0.00264857,0.152405,0.180856,0.110649,0.101793,0.00357517,0.120995,-0.0337776,-0.08521,0.080585,0.0558612,0.134204,-0.040933,0.0263155,-0.270316,-0.0808174,-0.0942396,-0.0446863,0.0492783,-0.0648282,0.232083,0.0404636,0.0988133,-0.0253133,0.177293,-0.176215
7,-60.1639,0.162732,0.146691,0.0805933,-0.0481598,0.116852,0.154752,-0.206829,-0.0248515,0.0130595,-0.0305996,-0.0250403,0.149367,-0.0163468,-0.0173101,0.051844,-0.14151,-0.0869625,0.0150986,-0.109756,-0.225436,0.276059,-0.146541,-0.0772814,0.0893244,-0.0481566,0.313532,0.147284,-0.0647163,-0.161633,-0.0251948,0.147547,-0.0912242,-0.0279652,0.112603,0.046748,-0.126362,-0.151771,0.377068,-0.141439,0.160543,0.00226347,0.0162407,0.120712,0.0289645,-0.153086,-0.11261,-0.0383209,0.281831,-0.00116562,0.271872
8,60.1341,-0.0417631,-0.0592462,0.130851,-0.136579,0.0110641,-0.125572,0.0818395,0.0983656,-0.203576,-0.0937239,-0.178196,0.132001,-0.0845022,-0.023371,-0.0125205,-0.0465273,0.113748,0.170012,-0.0749507,0.00488274,0.0378496,-0.00497464,-0.241173,-0.397245,-0.0529253,0.220324,0.0522917,-0.195569,-0.0726228,-0.14408,-0.0362355,-0.11262,0.343778,0.0120364,0.051799,-0.0750083,-0.00222618,-0.0589353,0.151197,0.0273889,0.269502,0.238171,-0.0333363,0.0869697,0.0243456,0.227918,0.156431,-0.175294,0.13291,0.0535407
9,55.9195,-0.0839185,0.330646,-0.0134828,0.108443,-0.0190724,-0.0939008,-0.198146,-0.0865929,0.213903,0.183213,-0.0439343,0.0737367,-0.0758908,0.200796,-0.0509531,0.0529162,0.0933941,0.160544,0.0353847,-0.0341169,-0.251806,-0.0424885,-0.0752289,-0.0568436,-0.016272,0.0564762,-0.121641,0.0626858,0.00850807,0.0966432,-0.27155,-0.00182674,-0.0944125,-0.255482,0.13964,0.0203867,0.0232326,0.222531,0.00010413,-0.209952,-0.0144951,0.0341141,0.0481828,-0.188883,0.170754,0.200725,-0.0347619,0.0148323,0.283633,0.286877
