Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50
0,-78.6076,-0.0842558,0.203242,0.131516,0.267812,-0.0821575,0.22742,-0.0427257,0.0797413,-0.0456744,0.168079,0.311317,-0.0317005,0.0326854,-0.180112,0.0985999,-0.0191243,0.0849734,0.0820543,0.102889,-0.221438,-0.06835,-0.126585,-0.282835,0.21882,-0.0537488,0.12042,-0.0294618,-0.164702,-0.0317419,-0.131483,-0.167286,-0.017203,-0.150598,0.17026,0.17797,0.0962853,-0.116404,-0.176412,0.0677668,-0.0450998,0.00862177,0.0710408,-0.0923875,0.0172284,0.0623309,0.322219,0.0665644,-0.165366,0.084588,0.0657512,-0.0335851
1,78.0449,-0.0088928,-0.148227,0.0614339,-0.0366589,-0.127422,-0.207106,0.019351,-0.228962,0.0876705,-0.0574145,-0.145566,-0.127719,0.113079,-0.10622,-0.0358481,-0.148506,0.0500606,0.212602,-0.144543,-0.0866409,0.000903461,0.342109,-0.142402,0.140247,0.0679169,0.204414,-0.0759333,-0.0933697,-0.0914084,-0.105206,0.0727078,0.0187418,0.137213,0.030061,-0.000815401,0.0522679,-0.337502,-0.127683,0.142925,-0.110754,-0.295025,0.0982902,0.0434466,-0.184886,-0.0285778,-0.014235,-0.201355,0.160002,-0.037465,0.0206951,-0.242574
2,72.5287,0.057205,0.00143246,0.295226,-0.097307,0.0562074,0.175885,0.0729323,-0.134421,-0.127875,0.0954143,0.00670348,-0.137419,0.142882,0.102134,0.0479879,0.294862,-0.0471502,-0.178815,0.0174249,0.076623,-0.0157506,-0.130455,-0.178196,-0.0410838,0.160427,-0.219853,-0.0474791,-0.0464552,-0.0739622,0.0893566,0.310195,0.0533772,-0.0889612,0.0358899,0.127748,-0.118591,-0.208275,-0.138799,0.0642039,-0.324061,0.0880192,-0.029409,0.0704508,0.108294,-0.0311388,-0.067298,-0.173437,0.077402,-0.320925,0.0802991,0.0914677
3,-69.7419,0.199257,-0.000278597,0.0601586,0.155645,0.0147746,0.0210364,0.018173,0.102703,-0.103292,0.164446,-0.199745,0.0719599,0.0779913,0.22838,0.151459,-0.0698056,0.112136,-0.021808,-0.0860416,-0.0728028,0.188225,-0.114962,-0.0980453,-0.143704,0.208602,-0.0666288,0.0856818,-0.130328,-0.245612,0.146224,0.0389241,0.125652,0.0282677,-0.196514,-0.165578,0.25607,-0.091235,-0.0126561,-0.0521853,0.162427,-0.148189,0.2899,0.01858,0.0634997,-0.279783,0.0887197,0.310413,-0.00308884,0.0146987,0.0431561,-0.105601
4,69.35,-0.253168,0.0774484,0.0403011,-0.10297,0.0570283,-0.0922888,-0.0238684,-0.0929834,-0.0832711,-0.0334527,0.0105519,0.22468,-0.0386023,-0.0225198,0.336245,-0.127043,0.175949,0.259567,0.0993125,0.102005,0.277229,0.00486561,-0.0881463,-0.200405,-0.0749346,0.0690758,-0.344233,-0.13497,-0.039267,0.211327,-0.0739886,0.0814815,0.0902864,0.0339022,-0.135958,-0.134813,0.0683137,-0.154748,0.093017,0.0986587,0.111312,0.133355,-0.0183917,0.0409189,0.193171,0.00713226,-0.10269,0.00858758,-0.195629,-0.0205032,0.214949
5,67.706,0.136855,-0.092159,-0.0193955,0.0430973,-0.287202,0.199109,0.316788,0.186625,0.105086,-0.0891275,-0.0258958,0.125337,-0.0989662,-0.139725,0.0470183,-0.0104557,-0.0842867,0.00804042,0.211896,-0.0483031,0.0582549,0.1243,0.115547,0.147505,0.341194,-0.0599842,-0.0974879,0.215518,-0.172876,-0.104407,-0.143359,0.287816,-0.01554,0.12124,0.0038607,-0.172635,-0.0706696,0.0636969,0.0672498,0.143451,-0.116802,0.047078,-0.0153095,0.0443142,-0.018214,-0.158165,-0.0587379,-0.205851,-0.164956,0.0612235,0.136503
6,62.166,-0.0535594,0.114841,-0.0951639,0.0173226,-0.0468015,-0.139183,0.137931,-0.136854,-0.028748,-0.138516,-0.0593691,0.0467105,-0.0719126,0.0866405,0.0384006,-0.165539,0.0587037,-0.282585,-0.115411,0.242625,-0.130423,0.0317261,-0.157697,0.0890183,0.112644,-0.153481,-0.0104953,0.196107,-0.144082,-0.0743779,-0.0729977,-0.215431,0.102906,0.168115,-0.0552693,-0.110131,0.178868,-0.0807592,-0.0731915,-0.0888543,0.0500462,0.179131,-0.105328,-0.181045,-0.0541557,0.300596,0.035667,0.0543897,-0.00387201,0.449523,0.0705752
7,-58.5967,0.0306635,0.0258565,-0.0710048,0.0549419,-0.139534,-0.205443,-0.266894,0.134082,-0.226804,-0.0378909,-0.062836,-0.179293,-0.163545,0.0904434,-0.0151223,0.0904417,-0.0396113,0.184915,-0.147607,-0.0728079,-0.196942,-0.0396094,-0.119811,0.120852,0.104313,-0.129363,-0.134571,-0.0779992,-0.129431,-0.213599,0.108145,0.17568,-0.0973078,0.186466,-0.220664,-0.194064,0.197052,0.0630981,-0.119176,-0.0727571,-0.0700012,0.0869916,0.263596,0.0463548,0.0220335,0.126153,0.0126754,0.0523681,0.0175148,-0.298892,0.179673
8,-45.6663,0.117575,0.0192959,0.300443,0.133238,-0.030367,-0.0238294,-0.288973,-0.0764069,0.186006,-0.305002,0.0811912,0.0268604,-0.102623,0.219964,-0.192021,0.0266097,0.0809106,0.0248979,-0.078735,0.0581187,0.315589,-0.175617,0.0541756,-0.0120347,-0.0216438,0.07607,0.0510814,0.219861,-0.100804,0.0157527,-0.171308,-0.0477731,-0.241814,0.0602063,-0.0351539,0.0367826,-0.12581,0.169694,0.271011,-0.039065,-0.171798,-0.0279748,0.000153208,0.0555197,0.0989177,0.0814628,-0.0368251,0.158242,0.0406511,0.0683893,0.197998
9,45.665,0.27501,0.125703,-0.0174261,-0.0773404,-0.120889,-0.0257104,0.0326666,-0.161832,-0.203238,-0.141866,-0.052962,-0.281681,-0.074164,-0.125958,0.086208,-0.0954422,0.0266688,0.107834,0.32212,-0.319935,-0.0962886,-0.287614,0.147025,-0.155906,-0.0552899,-0.0933441,0.0216013,0.0420312,0.0214013,0.0771865,0.0374203,-0.124445,0.142965,0.152583,-0.190413,0.232063,-0.0463854,0.0668572,-0.0476838,0.0408081,-0.0717027,-0.118234,0.0236778,-0.159519,0.190616,-0.00206616,0.0132589,0.0402969,-0.165506,0.170916,-0.0178921
