Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51
0,-77.8965,-0.0980189,-0.278763,-0.156727,-0.0760695,0.183889,0.0159312,-0.0440858,0.264436,0.114351,-0.153174,-0.0285525,0.134334,0.0433293,-0.0249473,-0.13648,-0.0713021,0.230003,-0.0517209,-0.149548,-0.184481,0.225836,-0.0720216,-0.209455,0.0788745,0.0986936,-0.0633104,-0.0162476,-0.157669,-0.105042,-0.0324303,-0.231183,0.0470511,-0.148152,0.0307453,0.185196,0.155942,0.0362812,-0.00244126,0.021084,0.139073,-0.0625827,0.0944798,-0.0663106,0.213386,0.237376,-0.12455,0.0228304,-0.1802,-0.170786,-0.00479748,0.0177911,0.264876
1,76.3523,0.201699,0.0718016,-0.128613,-0.171174,-0.177626,0.203167,0.226136,0.0411697,-0.121416,0.287418,-0.004059,0.105043,0.0289168,-0.160977,-0.149413,-0.094653,0.124127,0.118037,0.0547054,-0.15111,0.00997263,0.0128412,-0.135673,0.214944,0.0535772,0.0217377,-0.0155436,-0.13462,0.224355,-0.0994742,0.201728,-0.0959321,0.224978,-0.0803946,0.00309865,-0.226208,-0.106778,0.155724,-0.142079,-0.0468573,-0.115295,-0.121869,0.0219195,0.13722,0.102492,0.0981471,0.19374,-0.223634,-0.102612,0.030296,0.170645,-0.0485066
2,72.7025,-0.204402,-0.0175205,0.206205,-0.12426,0.0802014,0.180897,0.0376163,-0.0145559,0.077504,-0.0610419,0.083157,-0.136206,-0.170302,-0.235486,-0.124557,0.162867,0.103336,-0.161786,-0.138949,0.29048,0.047067,-0.00606656,0.0568964,-0.0550328,-0.0841882,-0.0359605,0.129625,0.115272,0.0293554,0.321729,-0.0172522,-0.191141,-0.00544967,-0.213359,0.19483,-0.282542,-0.0605948,-0.1548,-0.0450312,-0.0382213,-0.0451775,0.0586148,0.239572,0.227947,0.0872806,0.12183,-0.00699662,-0.00144212,-0.164398,-0.0388215,-0.065659,-0.0639647
3,70.5695,0.0260708,-0.0416745,0.08671,0.053693,-0.0393436,-0.0539185,0.145634,0.259077,0.161275,-0.0359931,0.0648227,-0.145205,0.0337206,0.047093,0.102599,0.146174,-0.14936,0.157467,-0.184861,-0.0455449,-0.118647,0.313061,0.123662,0.0284398,0.172803,-0.315648,0.00866486,-0.254058,0.0841894,-0.00424327,-0.104821,-0.0900132,0.115494,0.0548044,-0.0269479,0.0533998,0.172613,-0.225745,0.0917892,0.0499315,-0.0588499,-0.233069,-0.0178533,-0.0458417,0.118496,0.0128766,0.0864973,0.0608154,-0.153454,-0.294614,0.144259,-0.215327
4,-67.9025,0.0377826,0.00446161,-0.00999504,0.206658,0.0495195,-0.249018,0.0172882,-0.0255321,0.121298,-0.000578575,-0.115839,0.0517116,0.167239,0.0195151,0.0645093,-0.0637426,-0.208627,0.193274,0.104816,-0.0679794,-0.0631263,-0.150093,-0.251471,-0.0928548,-0.244766,-0.22831,-0.0849492,-0.0057286,0.197906,0.139101,0.0584931,-0.0542532,-0.0399936,-0.237281,0.100238,-0.118643,0.029238,-0.102242,-0.35811,0.00128362,-0.00241789,-0.0123165,0.0807609,-0.0173798,0.0574961,-0.269129,0.177619,0.0232046,-0.12333,-0.00877418,-0.296592,0.0654823
5,-65.3287,0.117521,0.183874,0.115136,0.0456563,-0.0296422,-0.12452,0.0398275,-0.0463623,-0.139704,-0.130574,0.165626,0.244422,0.12169,0.0767678,0.126929,0.24766,0.156789,-0.213263,0.15373,-0.177486,0.033608,-0.00799826,0.0859258,0.0162279,0.0402612,0.124083,0.278837,0.0720792,-0.00400812,0.130502,-0.0730622,0.105694,0.206147,-0.168847,0.0522252,-0.00388902,0.258607,-0.0237908,0.0308381,0.0030138,0.108242,-0.207761,0.102671,0.105184,0.269308,-0.140427,0.172223,0.139717,0.13369,0.0523733,0.127771,0.174542
6,64.0455,-0.188548,0.00820232,-0.195078,0.0444685,0.25043,-0.177751,0.243078,-0.0229644,0.0148472,-0.0990218,-0.174654,-0.162078,0.0571448,-0.236264,0.048338,0.0367044,-0.0850253,0.0793552,0.0342669,-0.0343222,0.0212764,0.0179405,0.104065,0.0902889,-0.125658,0.0552158,0.362572,0.209294,0.172062,-0.160419,0.110767,0.042633,-0.0574224,0.0313981,0.0641983,-0.0221168,0.000243211,-0.160926,0.0908587,-0.0312981,0.167665,0.0868968,-0.200482,-0.227255,0.111515,0.23881,0.15822,-0.166306,-0.069193,0.07592,0.148,0.124716
7,-63.0242,0.121399,-0.207037,0.0135017,-0.0402118,-0.232843,0.125647,0.267894,-0.036295,-0.0641439,0.0998028,-0.157106,-0.0730763,-0.248959,-0.0287803,-0.151234,0.249125,-0.0414224,-0.00115643,0.116986,-0.215566,0.0360738,-0.141005,0.240738,-0.116966,-0.0833049,-0.0889292,0.000426925,-0.0940303,-0.124464,-0.128521,-0.118233,-0.0665827,-0.101574,-0.203546,-0.167973,0.149881,-0.176814,-0.0653741,0.111316,0.158433,0.124646,0.0307054,0.0486264,-0.0201991,0.0233929,0.0588431,0.216999,0.133731,0.0174213,-0.0504802,-0.279894,0.178839
8,60.3168,0.173216,0.119074,-0.0633607,-0.02847,-0.0588086,0.13556,0.00716171,-0.108968,0.0822698,-0.200554,0.132126,0.208919,-0.218511,0.228144,0.2826,-0.158257,0.179173,0.184767,-0.0712334,0.149376,0.234441,0.0208465,0.0302914,-0.121681,-0.136416,0.0709763,0.0439378,-0.0173253,0.020158,-0.0815648,0.0819256,-0.237011,-0.107587,0.0591763,-0.0625853,-0.0590171,-0.0923768,-0.00849253,0.0182877,-0.238002,0.220339,0.0449188,-0.171216,-0.0135874,0.12964,-0.0216631,0.0904008,0.076596,-0.244449,-0.275562,-0.00810805,0.0930632
9,-60.1405,0.111137,-0.0565121,-0.0763566,0.273704,-0.0248775,0.0353588,0.191268,0.134129,-0.270661,-0.0143212,-0.0684286,-0.0464739,-0.0320189,0.0947458,-0.128992,-0.150638,0.067218,-0.03647,-0.111,-0.0626432,-0.0409599,0.150739,-0.222001,-0.0136922,-0.320626,0.0960369,-0.0700475,0.201929,-0.119045,0.232628,0.0389667,-0.0452221,-0.181352,0.111968,-0.0143949,-0.0634571,0.00691763,-0.190392,0.21458,0.0995408,0.138186,-0.178864,0.110289,0.138419,-0.162431,-0.0801418,0.0990624,-0.162888,0.192386,-0.192593,0.147393,-0.0529757
