Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52
0,87.1903,-0.0554087,-0.0964971,0.157926,-0.251175,-0.27547,-0.00180715,0.274709,-0.165324,0.191385,0.0835501,-0.0414829,0.00305081,-0.211872,0.1911,-0.299991,0.0129255,0.111617,0.0608117,0.0074194,0.0268803,-0.0538942,-0.211161,0.00798321,-0.0845089,0.0638051,0.0492748,0.0317213,0.098174,0.163484,-0.0671823,-0.138187,-0.160463,0.077617,-0.143443,0.250351,0.0741089,-0.0509863,-0.0901721,-0.0197571,0.120659,0.00627157,-0.0957564,0.100251,-0.218411,0.0585333,0.00965043,0.26888,0.0295017,0.197756,-0.013338,-0.0108561,0.121036,0.144863
1,-80.3642,-0.00775406,-0.0109581,0.110538,-0.055372,-0.0945139,0.248115,0.0312217,0.0385436,0.219901,0.14506,0.057503,0.221656,-0.0087091,0.157817,-0.174716,-0.120618,-0.08959,0.00752835,-0.0860033,0.0462858,0.227933,0.108327,-0.0653812,0.267099,0.062441,0.0611834,0.125891,-0.150723,-0.0682828,-0.012199,-0.230046,0.204018,-0.237456,-0.0150711,-0.0640109,0.0265451,0.0206556,0.303307,0.085,-0.00157708,0.0370954,0.217295,-0.175154,0.162771,-0.159317,-0.140331,0.0851637,0.236751,0.0714382,0.171084,0.0482381,0.00461107,-0.0725664
2,78.5043,0.281675,-0.0910523,0.0167257,0.139349,-0.00194576,-0.144552,0.0277811,-0.065358,0.0689104,0.0448493,-0.12781,0.183005,-0.0010398,-0.184964,-0.0173268,0.168579,-0.0687083,-0.00906872,0.0147376,0.224209,-0.0221485,-0.0651363,-0.162246,0.174473,-0.106981,0.192214,-0.223802,0.187906,-0.0617729,-0.270648,-0.091649,-0.0249977,0.130524,0.0362907,-0.00677559,-0.0136832,-0.0348385,-0.185977,-0.256063,-0.0915902,-0.0180477,-0.00299302,-0.100903,0.247652,-0.022977,0.0250962,0.107637,0.112563,-0.180248,0.295197,-0.00758201,0.114279,0.228454
3,71.3271,-0.0593398,0.200891,-0.27597,0.210463,-0.159906,-0.107283,-0.248549,-0.0763711,0.0939835,0.259683,-0.109641,0.203815,-0.157108,0.090334,0.258237,-0.230441,-0.1192,0.150829,0.0242469,-0.051024,0.13174,-0.190093,-0.0474226,-0.0276401,0.065073,0.121823,0.0749616,0.0466808,0.0726366,0.159897,-0.182591,-0.0690857,0.0986765,-0.0563205,0.0763888,0.0701703,-0.0852581,0.0724229,-0.0434087,-0.0677841,0.142797,-0.188095,-0.036249,0.041179,0.072034,-0.169497,-0.127668,-0.0327145,-0.0307545,-0.127268,-0.258906,0.131243,0.0436414
4,-69.0566,-0.0686382,0.167,0.0895006,0.114395,-0.0929882,-0.0201579,-0.0133685,0.0196148,0.0154174,-0.0122943,0.0611148,0.0426499,-0.0704419,0.0669651,0.163122,0.26593,-0.0399474,-0.046619,0.124994,-0.114904,0.00822693,-0.244049,0.287699,0.182368,0.111429,-0.222911,-0.106415,-0.263521,0.117512,-0.0744808,-0.0445182,-0.227505,-0.158724,-0.0619038,-0.0989468,0.0680522,0.0721062,0.0222773,0.138069,0.217667,-0.212324,-0.105143,0.0603635,0.198742,0.00891125,-0.18686,0.0862863,-0.140652,-0.203901,0.128417,0.181933,-0.0109239,0.177131
5,-66.0051,0.0171901,0.184341,-0.167496,-0.277251,0.181454,-0.130491,0.0245334,0.0432844,0.0798084,0.147905,0.129117,0.227646,0.144651,0.13375,0.0667492,-0.0192362,0.0640463,0.111486,-0.287092,-0.23945,0.0703544,0.0746013,-0.160908,0.0975855,-0.245704,-0.0188121,-0.16291,0.144623,0.17432,0.0752784,0.14418,0.0306987,-0.101843,-0.0999551,0.00856417,-0.0563882,0.150631,-0.101508,-0.0661403,0.147676,-0.207591,-0.150797,-0.161314,-0.0948252,-0.119538,0.0099866,0.0493961,-0.218847,0.118215,0.192586,0.00403602,-0.0190748,-0.00170826
6,65.8367,-0.122071,0.0221143,-0.244953,-0.0746753,-0.174526,-0.262685,-0.00172359,-0.24315,-0.00967131,-0.323919,-0.035581,0.132564,-0.0564593,-0.0357711,-0.11529,-0.0331332,0.203452,-0.27116,-0.0110488,0.267872,0.0325986,0.0856048,-0.177288,0.00166722,0.148821,-0.155697,-0.139891,0.103726,0.00413101,-0.0274817,-0.035698,0.051826,-0.164457,-0.0668733,-0.103724,-0.21881,-0.0915849,0.149653,0.0409273,0.146181,-0.0407616,-0.00301895,-0.124369,0.127645,0.0841207,-0.10078,0.0992503,-0.163915,-0.0801352,-0.164707,-0.0567114,0.0715098,-0.190818
7,-63.2912,-0.186841,-0.242083,-0.0766529,0.0521471,-0.19774,-0.0235565,-0.137416,0.17994,0.0237673,-0.155283,-0.209102,-0.179573,-0.255599,0.166004,-0.0768188,0.131186,-0.11383,-0.0889845,-0.275107,-0.0150099,-0.0796553,-0.00600702,-0.0352108,0.202755,0.00585132,0.0951216,0.0775448,0.0522481,0.126282,0.234584,-0.0215711,0.00392035,0.0832717,-0.0980268,-0.103486,-0.147381,0.292274,-0.199888,-0.0653157,-0.137606,0.10683,-0.130027,-0.147239,0.0641188,-0.100022,-0.0436595,-0.0912634,0.010589,-0.00928047,-0.015242,0.264878,-0.114133,-0.00242817
8,60.6941,0.0179584,0.136068,-0.0505672,-0.0121264,-0.073585,0.101928,-0.0310819,0.132082,-0.267287,-0.264917,-0.0810803,-0.164909,0.00664379,0.135517,0.185383,-0.166123,0.112179,0.126498,-0.0608385,-0.0166123,0.0730013,0.0390825,-0.0691012,0.293989,-0.122557,0.0748142,0.206844,-0.0925393,0.0971695,-0.225256,-0.0343807,-0.131109,0.17627,-0.0121991,-0.0706728,0.0735739,-0.108458,0.0205613,0.00471595,0.181613,-0.0391183,-0.0748057,-0.104966,-0.0207179,-0.116892,0.292777,0.300094,0.132901,-0.118527,-0.0711975,-0.0689501,0.240968,-0.113593
9,-59.6748,-0.283212,0.0161595,0.157089,0.00281245,0.111022,0.0142239,0.237442,-0.165234,-0.0071556,-0.0355167,0.0338034,0.0286038,-0.0618532,-0.0846313,-0.0980609,0.0311179,-0.12675,0.239866,-0.193656,-0.0690483,0.183709,-0.140328,0.00996686,0.0209317,-0.130052,-0.0381732,0.0388676,0.0687382,0.017642,0.0290139,0.181865,0.0674988,0.0109537,0.21731,-0.193812,-0.0889423,-0.170089,-0.23434,-0.046668,0.253278,0.26776,0.162679,0.0287873,0.118281,-0.155757,-0.193301,-0.102691,-0.0048069,-0.172399,-0.212642,-0.0410777,0.176057,0.0690211
