Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53
0,83.1497,0.031583,-0.0316496,-0.15087,-0.0398537,0.0754773,0.250752,0.00327856,-0.0836601,-0.136925,-0.0507022,-0.0897432,0.0951454,0.0954345,0.163738,-0.109851,-0.0850556,0.118831,-0.131293,0.0359202,0.183917,-0.109352,0.189869,-0.162199,0.0429708,0.1,0.117886,0.0355159,0.0208015,-0.0477697,0.0541914,0.199634,-0.227562,-0.0179632,0.0424704,-0.0121623,-0.0902819,0.199473,0.161177,-0.155811,-0.0677048,-0.265692,-0.240041,-0.215467,0.155784,-0.156893,0.129951,-0.209424,-0.279737,-0.0407265,-0.121876,0.203849,0.0710465,-0.0695612,-0.0617161
1,-80.1201,0.0660271,0.0744555,0.0586069,-0.0326029,0.111515,-0.0041504,0.0808343,0.0733984,0.0618949,-0.23358,-0.106259,0.0173793,0.0286795,0.0475372,0.129272,0.0365767,0.174438,-0.273569,0.218395,0.175156,0.167773,0.073453,0.120412,-0.0120853,0.182598,-0.162221,0.185009,-0.172074,0.266673,0.0573537,0.262574,0.0464661,0.18351,0.0548052,0.0913525,0.0874343,0.148896,-0.00798832,0.0344122,-0.0768892,0.076823,0.250096,0.0321746,0.182423,-0.246192,-0.122036,0.0684931,0.0976583,0.224075,0.130422,-0.127461,0.0894442,0.00413845,0.0574069
2,74.832,-0.0618554,-0.0234686,0.0328607,0.047429,0.25036,-0.11718,-0.217657,-0.00930838,-0.0560512,0.19209,-0.225095,0.235121,-0.0370852,0.0152764,0.272466,0.201195,0.130563,-0.0224301,-0.155041,-0.128784,-0.121218,-0.0684997,0.193669,0.139766,-0.0469687,0.107203,-0.0181483,-0.0653041,-0.25998,0.215229,0.251697,0.0291469,0.010692,0.0660054,-0.0114259,-0.0472566,-0.0504245,-0.0857694,0.0710995,0.202479,-0.00534073,-0.0691214,0.0490964,0.227117,0.11524,0.0367616,0.115761,-0.0352098,0.121615,0.102231,0.197668,0.143449,0.169009,0.10385
3,-73.937,-0.0721304,0.146636,-0.34164,-0.134706,0.023233,-0.131997,-0.232696,-0.110542,-0.273429,0.10039,0.199685,-0.16133,0.139557,0.0402697,0.189662,0.0158181,-0.0270574,-0.274919,0.0312188,-0.0100131,0.0323351,-0.0533214,0.0917799,-0.196493,0.14151,0.0368696,-0.181907,-0.218937,0.239687,0.183637,-0.07428,0.06432,0.0357768,-0.0234281,-0.205003,0.124388,-0.00652766,-0.159147,-0.0126185,-0.00794146,-0.0522468,-0.145071,0.0264041,-0.0736866,0.119369,0.179477,-0.0653833,0.0883459,-0.0213205,0.0385644,-0.0124302,0.0330134,-0.140541,-0.134882
4,68.4736,-0.254467,-0.129996,-0.0207342,-0.124314,-0.0581723,0.0665065,0.16605,-0.171065,-0.107156,0.128457,0.0731222,-0.198726,-0.182434,0.0765684,0.00674051,0.0697735,-0.0411629,-0.293715,-0.0428956,-0.0485256,0.0885322,0.000242837,0.0408669,-0.0668825,0.00725113,-0.0589058,0.200738,0.0618343,0.0465067,-0.0915711,0.102117,0.0187992,0.0796463,0.207619,-0.0865538,-0.154782,-0.258627,0.207171,0.111696,0.102181,0.0609379,-0.0239204,0.0692416,-0.0249667,-0.100761,-0.153902,-0.203219,0.021266,-0.22445,0.214573,0.249482,-0.17282,0.201129,0.133915
5,-67.599,-0.00473125,0.0956928,-0.00478097,-0.273145,-0.0439154,0.0126763,0.174733,0.199732,-0.126323,0.0709014,0.129436,-0.187944,0.10656,-0.101991,0.0315912,0.0952045,0.0320354,0.186989,-0.204545,0.0820053,-0.00259377,0.0188694,0.147714,-0.129153,0.0316107,0.125267,0.20558,0.0860543,-0.104663,0.0733214,0.0375487,-0.263809,0.251655,-0.179632,-0.0689349,-0.0565658,0.0931843,-0.0315591,0.0254548,0.00806862,-0.269635,0.123778,0.000278536,0.177228,0.0951539,0.151401,0.0876676,0.0290713,-0.030874,0.0236457,-0.185108,-0.205407,-0.0107338,0.331235
6,64.8841,0.196085,-0.24539,-0.149532,-0.203216,-0.159493,0.0557107,0.106314,-0.019815,-0.0546661,0.0942704,0.10685,-0.00360454,0.153076,-0.249416,0.0648275,0.115138,0.211469,0.0271079,-0.0341545,-0.0239347,0.16342,-0.223582,0.0624211,0.0903516,-0.0896728,-0.345872,0.149225,0.217216,-0.026163,0.0841148,-0.0134008,0.14889,-0.270801,0.0756557,-0.048773,0.0283065,0.133521,-0.0482852,-0.212703,-0.0581086,0.0429693,-0.0724787,0.100425,0.207221,0.005126,0.0346064,-0.0170547,-0.174393,0.0412023,0.102237,-0.0225518,-0.0231943,0.0665217,-0.217189
7,-64.6093,-0.203209,0.100428,0.145387,0.103741,0.173835,-0.167122,0.0138107,0.169193,0.0834345,0.0563688,0.0209784,-0.0801867,0.321763,0.00163098,-0.0689906,-0.06952,0.0603019,0.0279267,-0.167155,-0.0215178,0.0512171,0.314448,0.108749,0.00604479,0.153767,0.0705573,0.0197062,0.0927949,0.0733678,0.129309,-0.117114,0.180038,-0.201714,-0.122373,-0.312862,-0.0880845,-0.0724457,0.19456,-0.0689458,-0.227609,0.195912,-0.048062,-0.250381,0.14592,-0.0200179,-0.143854,0.0764083,-0.0787123,-0.0502862,0.114532,-0.00407327,-0.014974,0.101599,-0.051017
8,64.3827,0.102831,0.175945,0.0176894,0.102947,-0.2144,-0.233004,-0.150467,0.0206854,-0.0204037,0.0666497,0.141584,0.0206399,0.0943515,-0.0690354,-0.0814355,-0.118315,0.158725,0.0129345,0.172136,0.0842973,-0.287321,-0.222337,0.0846237,0.0483407,0.198953,-0.0498133,0.259118,-0.290121,-0.188159,-0.166143,0.0667245,-0.0540644,-0.0234841,0.149293,-0.140184,-0.271384,-0.0467315,0.158463,0.0161502,-0.112613,0.138466,-0.0484575,0.0776171,-0.0888218,0.0135394,0.100495,-0.102947,-0.0529671,0.124214,-0.154474,-0.0949157,-0.0577132,0.16445,0.055575
9,-61.06,-0.0733215,-0.250493,-0.00683719,0.217346,-0.0524603,0.0267564,-0.226766,-0.133491,0.0978853,-0.133876,-0.0831603,-0.0713753,0.144006,-0.290673,0.0660942,-0.197364,0.041377,0.0828373,-0.102525,-0.170765,0.255204,-0.0995109,-0.0434386,0.106578,0.0565066,0.0882593,0.0942297,-0.0830559,-0.0292762,0.0150264,0.0192962,-0.163154,0.231801,0.130538,-0.00170957,0.116847,0.052561,0.0463464,-0.0867174,-0.315803,-0.128088,0.0959903,-0.137789,-0.0678265,0.0588447,0.171974,-0.0229106,0.272382,-0.0670612,0.136396,0.203007,-0.0275417,0.115328,-0.0231183
