Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54
0,85.7405,0.176337,-0.079242,-0.0132602,0.199277,-0.0054357,-0.0588065,0.0654138,-0.277263,-0.212544,-0.226465,-0.057967,-0.141283,-0.188074,0.115336,0.0822967,0.0873126,-0.254494,0.0244495,-0.176523,0.0318418,0.00141822,-0.123021,-0.137976,-0.194362,0.210734,-0.266986,-0.0554297,-0.168808,0.253213,0.0851528,0.0129101,-0.061292,0.0970856,-0.253402,0.00221619,-0.00625791,-0.0068839,0.0335152,-0.116384,-0.10771,0.0852957,0.163583,0.222081,0.0016944,-0.0757198,0.0209529,0.0353609,-0.106245,-0.0212097,-0.0160462,0.187762,-0.0357589,0.00267502,-0.0747429,-0.135291
1,-80.3278,0.168646,0.132857,0.192586,-0.197711,-0.359333,-0.167906,0.0802908,-0.28398,0.107999,-0.139382,-0.0122481,0.121265,-0.00564679,0.094404,-0.132819,0.0972124,0.0259026,-0.119056,0.0662061,0.258949,0.0388375,0.0739595,0.138577,0.160493,0.0279377,-0.125109,0.0819498,0.097543,0.0799044,-0.218561,-0.0376879,0.0096001,-0.0136731,-0.00530638,-0.110098,-0.0111786,0.028392,-0.106874,0.0265608,0.342454,-0.147361,-0.103841,0.0995378,0.109572,-0.0655767,0.103675,-0.122778,0.0494896,-0.133305,0.0331475,0.106792,0.155404,-0.0190756,0.103188,-0.172338
2,79.5912,0.0702994,-0.031176,0.15187,0.177094,0.119744,-0.199353,-0.0253445,-0.14504,0.0898432,-0.173773,0.0939361,0.0114121,0.0649009,-0.0753581,0.120252,-0.142217,-0.0143579,0.310994,0.122428,-0.134949,0.00920271,-0.0721386,-0.141304,0.260111,-0.108671,0.0801781,0.175289,-0.184676,-0.0581259,0.0727778,0.03463,0.106171,-0.254099,-0.215633,0.0868239,0.0205311,0.183711,-0.111136,0.0645645,-0.0922387,-0.256959,0.0461853,-0.0180067,-0.02594,-0.0110277,0.195347,-0.11888,0.0376328,0.0489579,0.12875,-0.158234,0.239636,0.0683318,-0.184924,-0.0612655
3,-77.8319,-0.0097517,0.151499,-0.0319513,0.299828,-0.0201642,0.058777,0.0703009,-0.0596727,0.0964647,0.167476,0.0927468,-0.353903,0.150628,-0.18261,-0.165407,0.290717,-0.0436668,-0.0935833,0.0982753,0.0375696,0.0423579,-0.219111,0.0964016,0.134526,0.109458,0.112002,-0.0946673,-0.0254973,0.132621,0.102834,-0.189816,-0.050669,-0.118759,0.00545558,-0.0227815,-0.100991,-0.0275399,-0.110187,-0.244668,-0.0882027,-0.0100111,-0.112349,-0.090405,-0.173311,0.0400563,-0.0866456,-0.222308,0.0987762,0.126161,-0.0408618,0.00598568,0.0994259,-0.158029,0.185414,-0.152498
4,75.1659,0.108491,-0.0876081,-0.200872,0.0624892,0.185466,-0.131506,-0.109893,0.000378399,0.234375,-0.0963022,0.0568701,-0.119022,-0.107119,0.166993,-0.0366293,0.219706,0.0890385,-0.0240041,-0.192516,-0.181268,-0.0716439,0.186053,-0.0392208,-0.111081,0.0842773,0.0378354,0.15817,0.0149554,-0.240527,-0.209247,0.284221,-0.0186948,0.0434816,-0.0369677,-0.189763,-0.0447984,-0.0605047,-0.0112784,-0.142286,0.0312952,-0.137042,-0.265745,-0.165929,0.101663,0.0223994,-0.180798,-0.06269,-0.0797518,0.185264,0.00367345,0.0717906,0.0221259,0.0185684,-0.115213,-0.250448
5,-71.9312,-0.09138,0.208733,0.197045,-0.110325,-0.192716,0.0398013,0.104551,0.093255,0.00131869,-0.119578,0.0931945,-0.16431,-0.143001,0.124022,0.0888201,0.158363,0.0775874,0.139707,0.111592,0.0172501,0.0935587,0.114364,-0.0256192,0.0162466,0.0282869,0.0216435,0.191934,0.0433085,0.024619,0.0816449,0.0389638,-0.134876,-0.0507703,0.215624,0.02015,0.179297,0.176245,0.14117,-0.357914,-0.11499,-0.00681738,0.113536,-0.186468,-7.93666e-05,-0.0524542,0.255043,0.150303,-0.263812,0.213316,0.171075,0.0486719,-0.164952,0.0300373,0.0659282,0.026673
6,69.033,-0.0179438,-0.0437397,0.120618,-0.0269197,0.214655,-0.177649,0.404798,0.16636,-0.00369041,-0.134586,-0.00544177,0.0544492,-0.117655,-0.119659,0.0960017,0.0731433,0.0862398,0.0500919,-0.134865,-0.094208,0.0209682,-0.0539006,-0.174718,0.0937034,0.107217,-0.0721212,0.0442144,-0.0159609,0.0794836,-0.0472775,-0.098281,-0.118652,0.170979,0.179409,-0.0510781,0.0427113,-0.0192383,-0.343737,0.135547,0.115317,0.217122,0.17251,-0.161465,0.134245,0.179956,-0.0813329,-0.251489,0.00091528,-0.0526334,0.101217,-0.161037,-0.102639,-0.0156804,0.140793,-0.0988303
7,-65.5314,-0.0657338,-0.17246,-0.142237,-0.0276292,-0.0717809,0.231296,-0.0711854,0.112837,-0.0879985,-0.0776811,-0.139843,-0.0244744,-0.118269,-0.157787,0.0682223,0.098738,-0.0884137,0.15548,0.160183,0.256039,-0.103573,-0.115665,0.135044,0.000429557,0.11329,-0.227558,-0.199474,0.0595063,-0.157464,0.0571311,0.0784062,-0.167505,-0.112046,-0.131887,-0.0710489,-0.0663425,0.0877611,-0.00580383,0.0902062,0.118307,-0.119092,0.031671,-0.251346,0.138254,-0.0151899,0.0838548,-0.17747,0.135879,0.182433,0.0150896,-0.0274841,-0.0788411,0.419604,0.0326938,-0.0626935
8,60.646,0.118325,-0.248561,-0.0775636,0.211305,-0.0940529,-0.00224849,0.115345,-0.05793,-0.0431231,0.0543545,-0.0752547,0.101227,0.158084,0.312187,-0.106538,-0.00546002,0.0176221,-0.0912475,-0.101985,0.0929075,-0.239628,0.191494,0.0716755,0.076275,-0.0687949,0.261559,0.0473031,-0.0589774,0.0940711,-0.00441029,-0.00612095,0.0749527,0.00941653,0.0439754,0.216353,0.076129,-0.0701051,-0.0133542,-0.0868097,-0.111783,0.0310658,0.0339729,0.052423,0.0415245,-0.048462,0.184011,-0.13334,0.276703,0.0884729,0.193683,-0.12981,-0.375338,0.154064,0.0854025,-0.128011
9,59.195,-0.122305,0.1159,-0.108051,0.179259,0.127732,0.145033,0.0905619,-0.166771,-0.0614212,0.105457,0.296621,0.132846,-0.294673,0.192198,0.0289849,-0.100479,-0.000540121,-0.230584,-0.0518801,0.0063929,0.00969684,-0.0268929,-0.182455,-0.0201888,-0.018917,0.0507545,-0.00361912,-0.0181165,0.0185532,-0.106638,-0.142831,-0.149871,-0.197608,0.0296994,-0.266987,-0.0165668,0.206208,0.257957,-0.0122288,-0.00718982,-0.0777584,-0.0948138,-0.00824718,-0.00613767,0.212343,0.0363254,-0.0884456,0.0621151,-0.256976,0.113996,-0.0745416,0.0525985,0.217671,0.125632,0.080186
