Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55
0,-84.8505,0.0795098,0.0337738,0.259369,0.0907238,0.0125699,0.119051,-0.0562593,0.101426,0.0431882,-0.0870281,0.0709734,-0.085791,-0.13352,0.0819874,-0.0788926,-0.132429,-0.0605381,0.057952,-0.26437,0.0488576,0.118001,0.186378,0.0626635,-0.114961,-0.230147,0.13019,0.0707759,-0.0815013,0.053582,-0.273481,-0.179533,-0.108814,0.291085,-0.151392,0.185954,0.00959873,-0.0696369,-0.18418,-0.235661,-0.228334,0.299223,0.14448,-0.0464145,-0.0106294,0.0567671,0.0186747,-0.0292884,-0.0667634,0.135824,-0.00282241,-0.015885,0.0699978,-0.14873,-0.0774372,-0.0433793,0.0822111
1,80.8351,0.166649,-0.239008,-0.0763215,0.128529,-0.147127,0.323073,0.0881385,-0.0756104,-0.085619,-0.115337,-0.159868,0.137999,-0.0324171,-0.103726,0.0152056,0.0790589,-0.102156,0.0742712,-0.0386024,0.0274442,-0.328136,-0.0228692,-0.0712635,-0.0953445,-0.0120616,-0.238687,-0.00671865,0.0497839,0.0944583,0.0193476,-0.045747,0.144398,-0.150199,-0.26361,-0.0702654,-0.161266,0.00386833,-0.00705137,-0.131485,-0.0758512,0.0633589,0.271319,-0.200257,-0.24135,0.00010543,-0.102133,0.100792,0.123016,-0.129513,-0.0110926,0.0944161,0.0418341,0.147072,-0.136441,-0.106154,0.0200668
2,74.9,-0.0880193,-0.125438,-0.12197,0.15725,0.118184,-0.124403,-0.204356,0.0554861,-0.0402838,-0.0619543,-0.220873,-0.0852079,-0.177657,-0.0856851,-0.291131,0.0406876,-0.17216,-0.0459407,-0.118377,-0.163484,-0.0337463,-0.169283,-0.265799,0.128477,0.020719,0.227608,0.179992,0.0177383,0.0561698,-0.0964891,-0.0108614,-0.0485289,-0.126129,0.184441,-0.104477,-0.181636,-0.135694,-0.0340467,0.0902394,-0.130347,-7.47887e-05,0.0365857,-0.126951,-0.0902485,-0.151178,0.0941003,0.013872,-0.167317,0.0598087,0.0077287,0.164303,-0.0311419,0.0210385,0.110178,0.219576,0.264666
3,-73.4721,0.097508,0.114995,-0.032623,0.190169,-0.127565,-0.11421,0.00951344,0.243068,-0.0473213,0.241742,0.236715,0.297895,-0.0701981,0.195859,-0.0909255,0.0372697,0.00633152,0.113334,0.0573611,0.101766,0.0475334,-0.13314,-0.00241242,0.0442116,0.10843,-0.0310818,-0.196183,0.048823,-0.0167504,0.0522012,0.129343,-0.0425982,0.167061,0.140359,-0.0172999,-0.100978,0.0765816,-0.163957,-0.144699,0.00449457,0.0773636,-0.0578268,-0.0802284,-0.242421,-0.235535,-0.0382659,0.0280468,0.143388,0.249992,0.00394795,0.0467094,-0.0667241,0.218894,0.152497,-0.192644,0.165745
4,-71.4762,-0.108249,-0.0757478,0.0147808,0.142636,0.199437,0.0118717,0.130929,0.199813,-0.183997,-0.0493572,-0.0819703,0.0802178,-0.231798,0.0486096,-0.0493628,0.0061067,0.270294,-0.157237,-0.198884,-0.0246408,0.0404046,0.193226,-0.187894,-0.0942229,0.0921451,0.088217,-0.0142881,-0.102812,-0.202616,-0.016329,-0.12499,0.152157,-0.0735723,0.0349216,0.0112471,0.298194,0.0189124,-0.0194611,0.0735005,-0.00315615,-0.104058,-0.0180462,-0.294747,0.0737688,-0.15447,-0.147762,-0.0459587,0.193887,0.0104829,0.0499445,-0.215449,-0.186962,0.111509,-0.131188,-0.0155253,-0.155525
5,71.2521,-0.168538,-0.0335248,-0.133788,-0.0543482,0.15623,-0.00992923,0.132483,-0.0365886,-0.0254974,0.0557681,0.131669,0.220037,-0.252793,0.0233148,-0.210958,0.0721704,0.105476,0.283907,-0.125894,0.206254,0.118829,0.114179,0.239048,-0.106397,0.00490263,-0.0504358,-0.0010294,-0.172896,0.262134,-0.00626644,0.0765817,0.0782163,-0.0766984,-0.0465885,-0.150977,0.0465523,-0.113252,0.0750805,-0.0467462,0.025992,-0.0973,0.104958,0.133058,-0.000223654,-0.149852,0.119151,0.299215,-0.207354,-0.168827,-0.167178,0.0486102,-0.106692,-0.163028,0.0306683,0.0602028,-0.0237975
6,-71.1199,0.129253,-0.010639,0.0660873,-0.156728,0.15647,-0.0565449,-0.126035,-0.0344047,0.110118,-0.0932367,0.23006,-0.139139,0.125096,0.15265,-0.162157,0.231478,-0.0613935,0.0728539,-0.0505775,-0.100493,-0.119283,-0.115553,0.136797,-0.0849082,-0.153012,-0.0483631,-0.0243978,0.196836,0.0401236,0.0257387,0.04857,0.0157967,-0.142071,0.0210728,0.147375,0.178544,0.0847551,-0.199855,0.217204,0.0195106,0.144973,0.00382014,-0.313283,0.0739494,-0.0699621,-0.10714,0.168082,0.092374,-0.193828,0.157051,0.108692,-0.259762,-0.171826,0.152261,-0.103188,0.027605
7,67.3807,0.00950246,0.189503,-0.0954153,-0.10056,-0.10076,0.126049,0.0846169,0.146827,0.189623,-0.143983,-0.0959866,0.0498157,-0.0411742,-0.0781172,0.0581405,0.157421,-0.155961,0.0245611,-0.137416,0.113919,-0.0919721,0.224257,0.034993,0.0930163,-0.0833059,-0.00761629,-0.0904855,-0.179011,-0.0195604,-0.0232839,-0.180182,0.206432,-0.0136277,0.239542,-0.0371323,0.076892,0.228283,0.0582339,0.200574,-0.180175,0.0678495,-0.0739325,0.0596812,-0.0507938,-0.112282,0.176365,-0.23307,0.194792,-0.168223,-0.159395,0.0577601,0.157449,-0.0401116,0.297196,-0.0598452,0.12822
8,-66.7909,-0.259417,-0.0361817,-0.0473755,0.173862,0.227433,-0.0546553,-0.0412541,-0.061345,-0.0379427,-0.0578557,-0.00664779,0.0747767,0.155613,-0.123174,-0.137287,-0.0419213,-0.0320622,0.0541501,0.047116,0.202193,-0.0413015,-0.184279,0.0507632,0.19446,0.0518505,-0.116219,-0.172491,0.123946,0.27333,0.0152492,-0.131576,0.105189,0.134137,0.0816294,0.195542,-0.0717384,0.109118,-0.0110819,-0.102498,-0.0731533,0.0779492,0.144476,-0.0166486,0.0501207,-0.145652,-0.0829798,-0.198373,0.0345768,-0.0880707,0.277442,-0.307253,0.173557,-0.0959194,0.0623083,0.161537,-0.194507
9,-61.9824,-0.0227732,-0.00352078,0.0963977,0.0259315,-0.11061,-0.118751,0.111393,-0.229721,-0.238576,0.0981911,0.0923083,-0.0875883,-0.00621809,0.347683,0.156525,0.14837,-0.0823635,-0.208275,-0.128459,0.23875,-0.307915,0.213898,0.0614225,0.109321,0.187188,0.222849,-0.0909762,0.131536,0.0607235,-0.0154013,-0.0585005,0.0351211,0.0231485,-0.0241546,-0.233796,0.0621826,-0.0575721,-0.116462,0.0455094,-0.0279679,0.0938286,0.0305587,0.0345163,-0.0387891,0.130785,0.0256921,0.0984326,-0.0427812,-0.0486619,0.108768,-0.107783,0.0385627,0.0473937,0.0829346,0.272327,0.131536
10,-60.9562,0.207733,0.0985946,0.0844039,0.172331,-0.123825,-0.0276459,-0.286363,-0.126311,-0.158654,0.028825,0.19023,-0.100621,-0.0534445,-0.164787,0.0632285,0.094925,0.0394535,-0.0486147,-0.207431,0.153296,-0.065259,-0.135218,-0.19787,-0.0508571,-0.167554,-0.0223491,-0.320802,-0.122822,0.157461,0.237038,-0.0855467,0.046676,-0.0276968,0.042698,-0.0202121,-0.0576739,-0.229837,0.0441639,0.0541091,-0.106855,-0.0869917,-0.16005,0.023827,0.309324,-0.134808,0.0642148,0.0431449,0.0894684,0.0504386,-0.121697,0.0877273,0.0520027,-0.0681299,-0.175434,-0.0338391,-0.0881704
11,58.0002,-0.0172773,0.173186,0.26539,0.0475264,-0.221875,-0.134902,0.204447,0.118996,0.100369,0.0448688,-0.0190688,-0.266945,0.0501277,-0.17717,-0.250804,0.0351858,0.355392,-0.031431,-0.102758,-0.0500662,-0.0551006,0.00583292,0.0950907,-0.0466806,0.253565,-0.0126059,-0.0399546,0.204669,0.0494547,-0.245377,0.139364,0.109527,-0.0344401,0.018604,0.135559,-0.114581,-0.037948,0.113452,-0.0219467,-0.117164,-0.0626857,0.113705,0.0581804,0.0469622,-0.03639,0.146855,0.0817512,0.166124,-0.124501,0.0559982,0.208259,0.0621286,0.145822,-0.0259573,0.06172,-0.049234
12,-57.7034,-0.0291607,-0.0705755,0.000677315,-0.154777,-0.00968096,0.257213,0.0486488,0.0117268,-0.193078,0.0206693,0.0775712,0.200236,0.106482,-0.0748014,-0.188514,0.177081,0.276857,-0.0711519,0.00698714,-0.000294875,-0.346736,-0.0431538,0.114644,0.0142721,-0.139362,0.0577317,0.0253308,0.0944749,-0.00315698,-0.167355,-0.110868,-0.200194,0.170826,0.186897,-0.0178556,-0.095573,-0.1847,0.274141,0.0528507,0.00501873,-0.103627,-0.130713,-0.0494083,-0.109809,0.123665,0.0455419,-0.196029,-0.0345489,0.181347,0.00840272,-0.0402309,-0.165993,-0.216403,0.0226253,-0.0944074,0.0236011
