Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56
0,81.1841,0.0746998,-0.00922523,-0.142195,-0.00781339,0.143975,0.0644526,0.114248,-0.00567952,-0.028791,-0.0790966,0.0675502,-0.102341,-0.235945,0.14386,-0.159483,0.106677,-0.028329,0.1049,0.0604283,-0.0256279,0.0788,-0.104006,-0.124895,0.186127,-0.114198,-0.105653,-0.174335,0.0234447,0.146675,0.0765559,0.0409197,0.0540343,-0.0333101,-0.0463991,-0.185153,-0.0010642,0.182431,0.102866,-0.258877,-0.229861,-0.0435147,-0.0504717,0.303909,-0.0413845,0.0136929,0.341346,-0.0779424,0.119856,0.21855,-0.0304155,-0.183799,-0.0680503,0.00838355,0.0112263,0.297676,-0.127654,0.0340506
1,-80.3833,0.0257698,-0.0802985,-0.0251359,-0.0713342,-0.166571,-0.0636058,-0.219358,-0.00778627,-0.101723,-0.156125,-0.0190519,-0.0122194,-0.0149907,0.130023,0.168142,0.0229994,0.0612456,0.233092,-0.1168,-0.0755738,-0.164115,0.126047,-0.0561154,-0.0630091,0.0040096,0.150064,-0.0365439,-0.281027,-0.0337621,0.14667,-0.0156374,0.0293676,0.132844,0.170845,0.0985014,0.0710437,0.250759,0.0820897,-0.0482155,-0.0605471,0.0230306,0.0133588,-0.0487101,-0.0913753,0.270598,-0.171821,0.179022,-0.118106,0.0188561,0.246185,-0.228909,0.0366284,-0.0223234,-0.221331,0.224137,0.0542998,0.239382
2,74.5392,-0.112061,-0.021609,0.196229,-0.222764,0.0633445,0.0215465,-0.12374,0.165807,0.00842576,0.147342,-0.154631,-0.110913,0.0531957,0.3233,-0.123726,-0.116902,0.0751676,-0.0618124,-0.159915,-0.221024,0.179073,-0.0568784,-0.302902,0.00281539,-0.0708196,0.0787043,-0.0775966,-0.130548,-0.0919538,-0.0527886,-0.026587,0.0327919,-0.225005,-0.16836,0.0256468,0.0308735,0.0236423,-0.172493,0.155773,0.0661109,-0.102697,-0.116741,0.0293854,0.0629545,-0.0256189,0.0699355,-0.0236546,0.162811,0.151446,0.173094,-0.0206283,0.0989528,0.246784,0.0076731,-0.187335,0.0856612,0.177021
3,-70.7037,-0.0333396,0.0152734,0.218107,0.139094,0.142693,-0.249326,0.0914091,-0.109391,0.00240667,0.132743,0.248256,0.191504,-0.0264317,0.0471251,0.150996,0.270489,-0.0611803,0.10522,-0.235849,-0.14416,-0.0698188,-0.123748,0.0598967,0.0395063,-0.0251039,-0.0242899,0.0921451,-0.0157094,0.0999204,0.0495368,0.0705489,0.0738655,0.0554418,-0.0629436,0.183219,-0.123506,0.0734258,-0.169112,0.0663352,0.0842551,-0.152079,-0.249986,0.225053,0.00897127,0.113497,-0.0322552,-0.0460976,0.0998141,0.0328685,0.153779,-0.0230428,-0.207077,-0.150317,-0.169681,-0.165104,-0.0773548,-0.219569
4,-70.5299,-0.00748533,0.188605,0.0403013,-0.163377,0.150932,-0.0811975,-0.0504778,-0.0375901,0.051189,-0.00331124,0.125744,0.135768,-0.119806,0.0363314,0.0672003,0.0363796,-0.0795767,-0.0295007,0.182411,0.0971826,0.206925,0.000852577,-0.125186,0.171479,0.0782081,0.156544,0.137754,-0.17811,-0.0361275,-0.206542,-0.243191,0.0760719,0.18191,0.192309,0.17215,0.0221823,-0.024551,0.0113878,-0.193885,-0.0173382,0.265274,0.245839,0.063731,0.127413,-0.0833246,0.103484,0.252568,0.310303,-0.0139615,0.0128064,-0.0428345,0.00947316,-0.0547049,-0.068167,-0.16727,0.101212,-0.0222659
5,-68.3583,-0.126377,-0.0454149,-0.143547,0.0849813,-0.0208401,0.172088,-0.107001,-0.0834917,0.0396886,0.0688106,0.18743,0.0157195,0.0741435,0.129365,-0.189902,-0.0760749,0.139009,-0.0135508,-0.0104336,-0.0452617,-0.0195917,-0.0392935,-0.0600654,-0.0293223,0.122786,-0.073021,0.188495,0.0475073,0.106898,0.206583,0.301522,0.148105,0.0831704,-0.0663308,-0.0773875,-0.297406,0.00435511,0.278015,0.0802077,0.113341,-0.00320179,0.0699739,0.00634244,0.289305,0.0194442,0.0109087,0.285589,0.0546518,-0.0823864,-0.204288,-0.120656,-0.129752,0.168749,-0.191199,-0.12318,0.044592,0.0924339
6,67.6408,0.051545,0.106882,0.0596626,0.00458962,-0.138381,-0.0269711,0.0353297,-0.15341,-0.0908064,-0.080719,0.139587,-0.0592517,-0.0412319,0.12012,-0.0206593,0.0816515,-0.335796,0.143445,-0.283321,0.154842,-0.0455145,0.0834277,-0.199922,-0.00223162,0.114683,-0.0824501,0.0347378,0.160851,0.00983467,0.189073,0.176529,0.174508,0.0741045,-0.146155,0.139434,0.132743,-0.220851,-0.0297981,0.12898,0.0195511,0.262734,0.0477268,-0.135145,-0.227294,-0.00290909,0.198351,-0.0440594,0.0796743,0.132707,-0.0991361,0.136246,0.201172,-0.0234827,0.00449269,0.0253427,0.155037,0.120115
7,65.3488,-0.0980907,-0.110047,-0.0744401,0.0517332,0.0995314,-0.196181,-0.217871,0.0405041,-0.04459,-0.115273,-0.0605944,0.109035,0.0044422,0.0161298,-0.135516,-0.0304407,0.0373874,0.00840884,-0.0358968,0.0676285,0.103808,-0.18141,-0.105243,0.0676985,-0.0100906,0.0205133,0.0980366,-0.0611063,-0.35327,0.132054,0.0158886,-0.0521627,-0.023698,0.124218,-0.121474,-0.0796892,-0.164448,-0.218091,0.0715151,-0.369882,0.303721,-0.159342,0.0954829,-0.0834871,0.0633382,-0.0492899,-0.0564721,-0.112178,-0.119425,-0.196249,0.161322,-0.124317,0.109279,-0.228322,0.0336428,-0.157825,-0.0494663
8,-63.7643,-0.0043436,0.00658575,-0.195889,0.122401,-0.120289,-0.0242972,-0.0344432,0.145437,0.0169955,-0.101009,0.138276,-0.273677,0.0211034,0.120989,0.0810601,0.0378908,0.169472,0.131639,-0.0944378,0.0207269,0.125428,0.106855,-0.138725,0.234046,0.0435134,-0.138886,-0.162358,-0.0316535,0.115337,-0.147861,-0.144543,-0.138743,0.255293,0.157313,-0.0429648,-0.139674,-0.264769,-0.0830982,-0.0180481,0.309221,-0.00217895,-0.166117,-0.167408,0.0359416,0.0952115,-0.0330178,-0.0590442,0.0659243,0.0392622,0.0191204,0.0306766,0.0544794,0.201568,-0.0631915,0.0793317,-0.117648,-0.26731
9,-61.9248,0.0511528,-0.160608,0.104103,-0.141641,-0.103746,-0.179292,-0.0280214,0.0175313,0.289751,0.00291231,-0.0318934,-0.0920661,0.0214013,0.0397761,-0.0520787,-0.00166867,0.230827,0.0357118,0.0994774,-0.0198991,-0.133285,0.144565,0.0437667,0.31917,-0.0215713,-0.0123975,0.120918,0.17968,0.0614911,0.154661,-0.148808,0.359679,-0.0809933,-0.0578101,0.120309,0.187857,-0.0312072,0.115473,0.0395958,-0.0879883,0.0686326,-0.0201461,-0.017983,0.179738,-0.15739,0.0879865,0.0256699,-0.250485,0.0711375,0.121454,0.0621248,0.159508,-0.0589625,-0.138056,-0.0501909,-0.231719,-0.140116
10,60.1851,-0.281749,0.147167,-0.191194,-0.155128,0.0778839,-0.036105,0.16497,0.0999925,-0.119282,0.0766511,-0.105311,0.0167197,-0.0444289,-0.267774,0.266944,-0.019536,0.0113196,-0.0191202,0.151358,-0.146642,-0.179829,-0.0929132,-0.0175698,0.208577,0.0598481,0.0672715,0.0484391,-0.108349,0.0534048,0.341965,0.141346,-0.0548915,-0.142826,0.102925,0.107124,0.143321,0.0330969,-0.0728928,0.02275,0.109107,0.0702095,0.019072,-0.130322,0.0394202,0.0627476,0.160726,-0.0923386,-0.0227929,0.17294,-0.0702193,-0.0111894,-0.105928,0.268635,-0.0392475,0.0238966,0.183015,-0.154449
11,-58.0602,-0.139638,0.0737604,-0.0669472,0.046082,-0.114127,0.0688792,0.30766,0.0798258,-0.0184502,0.00295598,-0.0203214,-0.0118109,-0.168935,0.134538,0.0641699,0.144476,-0.146897,-0.0622712,-0.220892,-0.149975,0.0364373,-0.103301,-0.00628557,0.0534379,-0.252289,-0.0442525,0.248229,-0.201152,-0.0153823,0.0706527,-0.147715,-0.0721419,-0.0720259,-0.117135,0.00952007,-0.0878447,-0.259609,0.192406,-0.0917568,-0.237703,0.0446033,-0.00374177,-0.198258,0.0188867,-0.133365,-0.182071,0.0445491,-0.132049,-0.12151,0.0238539,-0.320541,0.103792,0.0068454,0.116284,-0.0778198,-0.0871408,-0.0374402
12,56.4134,0.00415448,-0.173094,-0.0297664,-0.093432,0.100811,-0.253653,0.147193,0.0774764,-0.062979,0.258752,0.0107703,-0.152509,0.000857972,-0.0282137,0.0409633,0.200386,0.0576401,-0.106872,0.215232,0.0833562,0.185373,0.00762568,-0.156166,-0.319012,0.0612897,-0.284506,0.0861195,0.0920698,-0.0784847,0.037182,0.161641,0.0145499,-0.185078,0.134974,0.00997389,-0.0874143,0.0910852,0.0363244,0.00967993,-0.0265867,0.0434478,0.06085,-0.22939,-0.124537,0.156202,-0.0575867,0.183343,0.159847,0.0680992,0.105389,-0.0544421,0.215355,-0.0862538,-0.0591926,0.0852904,-0.175025,-0.114341
13,-55.7883,-0.211839,-0.120465,-0.0100954,-0.0334649,0.0237379,0.0418092,0.148465,-0.116023,-0.193729,-0.200401,0.114821,-0.214538,-0.100934,-0.119816,-0.161477,0.0199808,-0.169668,-0.0204331,0.00896572,-0.137263,-0.0534234,-0.190767,0.240905,-0.080684,-0.0210461,-0.0169684,-0.0743711,0.0399905,-0.384883,-0.0384081,-0.0654316,0.175654,0.239984,-0.0485827,0.14617,0.0668384,0.0978581,-0.149874,-0.00216918,0.0872427,-0.169445,0.011544,-0.0521413,0.187253,-0.106652,0.0825267,0.159183,0.0666874,-0.105657,0.103966,0.0937798,0.141756,0.195238,-0.048641,0.129016,-0.144284,0.0168561
14,54.6778,-0.0493602,0.315596,0.00694041,-0.00492117,0.0635202,0.0756404,0.00373908,0.0361507,-0.134188,-0.248981,-0.0656007,-0.0390882,-0.0359017,0.0268994,0.013105,-0.115624,-0.0105549,0.164497,0.04672,-0.0993555,0.0409814,0.171072,0.0628144,0.0072626,-0.137997,0.0616693,0.323547,0.144952,0.0110015,-0.273524,0.301512,0.00654494,-0.169392,-0.0221064,-0.0755433,-0.197019,-0.027472,-0.183091,-0.0870461,0.06179,-0.0305904,0.251799,0.0153979,-0.0522108,-0.0596503,-0.0443982,-0.0563724,-0.129442,0.1924,0.159364,0.0435582,0.0509694,-0.0344635,-0.294813,0.013305,-0.170315,-0.0222508
