Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57
0,83.9176,-0.155656,-0.143725,0.175691,-0.0610762,-0.00899631,0.0379109,0.0363612,-0.160223,-0.0510673,0.131018,-0.053754,-0.162114,-0.0512667,0.17707,-0.173667,0.0390177,-0.0324147,0.0176112,-0.139147,-0.0450395,0.0418775,0.218918,0.227679,-0.0686069,0.0290873,0.331581,-0.114122,0.0496962,-0.11241,0.0290116,-0.154759,0.206556,0.00429144,0.141578,-0.0327609,-0.0893096,0.200239,-0.178795,-0.127204,0.088569,0.0907037,0.0943815,0.152581,0.0483095,-0.0878055,0.112309,0.0996242,-0.00770733,0.0697164,-0.111837,0.102891,0.0671871,-0.0334811,-0.156206,-0.260767,-0.0381905,0.180622,0.289332
1,-81.0436,0.145137,-0.0338604,0.134534,-0.0598756,-0.20335,0.100405,-0.192598,-0.0590556,0.111281,0.0346828,-0.039938,-0.0103211,-0.0651899,0.100898,-0.142246,0.131354,0.192425,-0.0286495,0.0845495,-0.206685,0.0914661,-0.162098,0.12076,-0.151262,-0.0644975,-0.141912,0.188379,-0.233426,0.028649,-0.155462,-0.238496,-0.0885799,-0.261652,0.0391371,0.163101,0.0887819,-0.00251553,-0.0766954,-0.210149,0.00549976,0.126373,-0.116365,-0.151734,0.0172746,0.0137475,0.272281,0.210965,-0.0645879,-0.0129191,0.0080228,0.0590806,0.14091,-0.121192,-0.0934721,0.171296,-0.0561336,-0.023394,-0.150459
2,77.8228,-0.0943014,0.13848,-0.11922,-0.0222508,0.187328,-0.0542718,0.243615,0.0156905,0.119681,-0.211232,0.0176251,-0.0443835,0.0528161,-0.062363,-0.00121937,-0.0366265,0.0891241,-0.0311888,-0.0247029,-0.270604,-0.0679036,-0.00945377,-0.00272325,-0.17538,-0.198075,0.0822726,0.177126,-0.150791,-0.121514,0.0713697,0.0867563,0.107043,-0.214299,0.118865,-0.139983,0.110943,0.0164275,-0.0529266,0.210544,0.195993,-0.142251,-0.204122,0.174895,-0.104569,0.171552,0.0408064,0.1986,0.103337,-0.173404,0.0889818,-0.0901622,0.0317705,0.155919,-0.0857152,-0.145158,-0.252126,-0.084143,0.0160593
3,76.8582,0.010643,0.00515519,0.124166,0.212697,0.313791,0.250379,0.13948,0.134198,-0.156037,0.109247,-0.0918619,0.127073,0.163937,0.201215,-0.0885621,-0.0659834,0.111824,0.17971,0.183109,-0.00631827,-0.0891053,0.0383827,-0.260636,0.104002,-0.123016,-0.00994862,0.0409018,0.0564742,-0.14313,-0.20508,-0.0191084,-0.0477289,0.0772358,0.056498,0.146345,-0.00720198,0.103742,-0.145845,-0.0283672,0.218193,-0.170631,-0.0565364,-0.0450165,0.126599,-0.180819,0.110082,0.0718462,0.167496,0.0215703,-0.0538521,0.173091,-0.0331114,0.185429,0.0251764,0.144748,0.120798,0.0379592,-0.0495165
4,-75.1463,0.0703955,-7.26104e-05,-0.12393,-0.127448,-0.138171,0.139726,0.0636206,0.247855,-0.0280951,0.014951,0.145932,0.136758,0.0578628,-0.307857,0.120716,0.0338864,-0.11418,0.184423,-0.15502,-0.150138,0.0476789,0.0798676,0.0405427,-0.0395675,-0.103319,-0.0505086,-0.0755534,-0.117312,0.0690151,0.136061,0.132059,0.218957,0.0609066,-0.223346,0.0342886,0.056642,-0.0900408,-0.169206,-0.147869,0.0797706,0.0831093,-0.215867,0.0463438,0.129068,-0.257412,-0.0539777,0.113498,-0.0496628,-0.138278,-0.285087,0.206254,0.101931,-0.0399733,0.0815419,-0.040101,0.0321134,0.170747,-0.0671622
5,-70.4694,-0.250653,-0.110077,-0.16843,-0.106284,0.113759,0.0246122,-0.130892,-0.109733,-0.0111876,0.179063,0.116851,0.210975,0.0808618,-0.163636,-0.117929,-0.0360198,-0.00694842,0.212068,0.0981608,0.00516195,0.252768,0.00166224,-0.0858984,0.150468,-0.06336,0.184638,-0.279912,-0.137222,0.0842008,0.0143453,-0.163339,0.0637437,0.0622469,0.228,0.229142,0.129084,0.0764742,0.139173,0.00172111,-0.247151,-0.0278591,-0.180188,0.0259393,-0.0364766,0.0484102,-0.035545,0.0856761,0.12887,-0.0495541,0.0871332,-0.203549,0.185781,0.0308194,-0.0148103,0.00762475,-0.00693319,-0.130167,-0.0594105
6,-69.0637,0.116554,0.0167511,0.02538,-0.135786,0.0506339,-0.0640786,0.0251799,0.0651818,0.0280306,0.111409,-0.0739101,0.252002,0.139545,-0.105082,-0.245394,-0.131434,-0.0560527,-0.167719,0.374458,0.120146,-0.0601345,-0.117049,-0.0608998,-0.182481,-0.0554295,0.028692,0.00387911,0.0458194,-0.140049,0.0681322,0.191835,0.243691,-0.0056022,0.0286034,0.113793,0.219841,-0.0060445,0.0667185,0.220631,0.0481285,0.166105,0.105314,-0.112364,-0.171903,0.0196165,0.0993465,-0.0135263,-0.288702,0.146042,-0.0739912,0.00575842,0.077141,-0.0937065,-0.0821737,-0.0630116,0.058365,0.204326,0.094463
7,68.5945,-0.0497333,-0.000721539,0.160718,0.0365051,0.00252169,-0.355636,-0.188466,0.273763,-0.00540949,0.0388657,0.0617167,0.0861838,-0.147605,-0.0834977,-0.096105,0.0893279,-0.00281924,-0.0618715,-0.00124233,0.0106359,0.133774,0.125905,-0.161192,0.0210146,0.0304582,0.243215,0.150984,-0.221298,0.0335831,0.197129,0.181854,0.11858,-0.0555962,-0.075127,0.116949,-0.0730001,0.0203009,-0.178251,-0.29188,0.102894,-0.132699,0.112377,-0.0526066,-0.198592,0.0138054,-0.0178629,0.0340365,0.100062,0.24048,0.108477,0.00877196,-0.182226,0.145948,0.0157909,0.113372,-0.0319876,-0.112935,-0.0260051
8,65.731,0.268306,0.024804,0.00223412,0.135528,0.129304,-0.0714373,-0.116276,0.00147531,0.290106,-0.259717,0.138366,-0.0859263,0.0779449,-0.101225,-0.134688,-0.158584,-0.230078,0.0264151,-0.141666,-0.033072,-0.021807,0.141606,0.0298285,-0.0120719,0.0477451,-0.138257,-0.126964,-0.00286153,-0.217417,-0.173832,0.00338932,0.0156418,-0.195048,0.088864,0.20722,-0.0229098,-0.0629471,0.135623,-0.137624,-0.0563495,0.185736,0.15649,0.00805904,-0.0626067,-0.142679,0.0470853,-0.102924,0.22361,0.0182168,-0.0116125,-0.0398781,0.13457,0.297853,0.00596707,-0.149263,0.0812809,0.0667356,-0.044967
9,-65.3357,0.0687181,0.0416594,-0.00588722,0.199342,-0.0277586,-0.151134,0.207812,-0.00397358,-0.21792,0.0992416,0.106445,0.000714227,-0.289609,0.0977749,-0.170875,-0.12314,0.00210911,-0.162481,0.0139995,-0.0984712,0.171681,0.0813893,0.0257897,0.142202,-0.314632,-0.113982,-0.0917931,0.106815,0.205368,0.174017,-0.0299969,0.080487,-0.217209,0.16915,-0.0940126,0.055231,-0.0303745,0.100759,0.0975815,-0.0646255,0.0362167,0.0375928,-0.100036,0.0429712,0.0423886,0.111259,-0.0958188,0.126588,0.0684237,-0.177479,0.259728,0.0591086,-0.0568792,0.217124,-0.119115,0.00281485,-0.0987456,-0.16638
10,64.2308,0.0119081,0.0203216,-0.175069,0.123538,-0.0343448,0.0719303,-0.0498485,-0.0264077,-0.110774,0.0443309,-0.303869,0.0173061,-0.163073,0.0128845,-0.0364798,-0.414665,-0.0947913,0.143151,0.0254477,0.00806962,-0.0122884,-0.0905974,0.00375487,0.147229,0.0982648,-0.00461106,0.0758639,-0.2116,0.140535,0.0106346,0.0472603,0.118282,0.00148322,0.0587946,-0.0940008,-0.152458,0.0311247,-0.176424,-0.00740183,0.0297162,0.289188,0.076978,0.102253,0.0369953,-0.0336117,0.0529374,0.121061,-0.117259,-0.0869966,0.340023,-0.0848238,-0.125672,0.0698882,0.0388853,-0.131801,-0.004479,0.177745,-0.276973
11,-59.4077,0.0752599,-0.20554,0.0108953,-0.0999705,-0.136215,0.155919,0.00175635,-0.00533177,-0.0434644,-0.107508,-0.0116963,-0.173115,-0.0261518,-0.152846,-0.0126491,-0.0423739,0.0580276,-0.139664,0.142954,0.109648,-0.0898245,-0.235706,0.0172117,0.10805,0.0428063,0.32783,-0.0217216,0.1628,-0.0812826,-0.0154455,-0.0573037,0.0404761,-0.101412,-0.0382363,-0.0200581,-0.191602,-0.0401839,-0.178001,-0.0442891,-0.015392,-0.15371,-0.158602,-0.12173,-0.25439,0.211187,-0.0329493,-0.0760477,0.142077,-0.10208,-0.00373047,0.0890955,0.25629,0.150806,0.310518,0.00626727,0.0514999,0.214625,-0.11936
12,-58.6431,0.0947568,-0.0792938,-0.335416,0.0919283,-0.0131663,-0.0425669,0.0946086,0.212584,0.136734,0.192859,-0.027936,-0.107337,-0.152905,0.102312,0.0510932,-0.130254,-0.181632,0.0113919,0.0109104,-0.0781839,0.149773,-0.0968145,-0.0318157,-0.00141139,0.0693024,0.0932017,-0.0263657,0.207734,-0.238561,0.0774472,-0.0997253,-0.0504341,0.11213,-0.129691,-0.0203067,0.00722135,-0.147906,-0.161918,0.0855994,-0.210706,-0.0896551,0.213349,-0.0327197,-0.138855,-0.092489,0.192209,0.182665,0.054042,-0.123062,-0.0544788,0.0636916,0.094033,-0.0284229,-0.262079,0.220656,-0.162427,-0.138717,0.0306681
13,57.137,-0.115438,0.150205,0.0863407,0.0775487,0.0112017,0.186327,0.0364619,-0.0349872,0.200746,-0.0889697,0.0436381,0.199003,-0.0149349,-0.000878148,-0.0863531,0.0159602,0.0581931,0.156887,0.068829,-0.0941992,-0.0990401,-0.0704697,-0.0690017,-0.174532,0.227837,-0.0797327,-0.0969224,0.102227,0.159295,0.0950017,0.0163229,0.137224,0.0905467,0.155373,-0.211415,-0.0399499,-0.271623,-0.0709144,-0.215972,-0.270397,-0.147561,-0.00190676,-0.00536785,-0.0949477,0.179758,0.309212,-0.00609972,0.152685,0.050468,-0.143475,-0.0182812,-0.271245,-0.0449091,-0.020673,-0.113878,0.0849552,0.114991,-0.0136429
14,56.5657,-0.192594,-0.0870619,0.167686,0.0975954,-0.0359508,-0.00521842,0.0850313,0.0682389,0.0488724,-0.021037,-0.0348255,0.0233054,0.0308545,0.213058,-0.126927,0.210122,-0.230839,0.0723611,0.0160059,0.0632579,0.114517,-0.119514,-0.109708,-0.100735,-0.134301,-0.124248,-0.110069,0.114765,-0.0468102,-0.131262,-0.0975217,0.251465,-0.0031593,-0.128032,-0.118093,0.0997935,-0.306013,-0.0508559,-0.127013,0.157995,0.0964794,0.0990853,-0.0906002,-0.0372031,-0.0471708,-0.167328,0.113069,-0.0308318,-0.172168,0.263884,-0.166584,0.095336,-0.0737232,0.32058,-0.0824474,-0.0613285,-0.135872,0.0796454
15,-54.9153,-0.0393847,-0.0621653,0.108872,0.254673,-0.118539,-0.0206804,-0.0516143,0.0437736,-0.00210323,-0.262215,0.154374,-0.00512112,0.156597,0.034533,0.0105869,0.0816312,0.111194,-0.115175,0.238435,0.01446,-0.140671,-0.152374,0.176798,0.29169,-0.0327012,0.139025,-0.0711697,-0.0302665,-0.136976,0.2966,0.0113277,0.0774681,0.121702,-0.143892,0.00521217,0.0238855,-0.0442736,0.142744,0.0284569,-0.0572877,0.160856,-0.0138399,-0.15719,0.291236,-0.051569,-0.00171293,0.243309,0.198799,-0.0242963,0.111217,0.039237,-0.0917815,-0.025075,-0.225562,-0.121014,-0.0302196,-0.00863432,-0.05335
16,54.1919,-0.0634961,0.00309304,0.0208089,0.513912,0.00732145,-0.0887005,-0.043495,0.0729199,-0.0661312,0.0915067,0.0178939,-0.196108,0.00155985,-0.0920987,0.0941077,0.0283577,-0.140246,-0.142224,0.037698,-0.185056,0.191679,-0.124602,0.108425,-0.102977,0.110533,-0.107392,-0.152436,-0.0493764,-0.084656,-0.0621566,-0.0836082,0.0667788,0.202434,-0.132274,0.0782291,0.101864,0.188793,0.0112474,-0.00393045,0.162599,-0.108145,-0.233743,0.114686,-0.0481947,0.206739,0.132787,-0.0820227,-0.142283,0.0964515,-0.110709,-0.225081,-0.0061544,0.00144273,0.0306807,-0.0309465,0.134803,0.133197,-0.0900138
17,-52.2689,-0.13354,-0.320597,0.0409973,-0.0394012,-0.091453,-0.215644,0.0424062,0.0122336,0.0201347,0.0655616,0.0829252,0.149667,0.0944385,-0.0973998,0.0680689,-0.0579617,-0.11866,0.213001,0.0487764,0.105491,-0.0836635,-0.0360747,-0.0814612,-0.141354,0.0749982,-0.0508329,0.201603,0.181469,-0.191658,-3.91137e-05,-0.032471,-0.232355,-0.18188,-0.114899,-0.150969,0.0783132,0.268147,0.0286288,-0.0171091,-0.0201292,0.0502931,0.0294671,0.218235,0.0528592,0.0115504,0.121073,0.150602,0.189107,0.153936,-0.0433299,0.00817416,-0.0151988,-0.212336,0.159623,-0.187654,0.0333208,-0.033822,-0.260651
18,-49.4134,-0.247102,0.225743,-0.0543606,0.00360331,0.0400256,-0.0619895,0.159014,0.100339,-0.0923045,0.0153267,0.115813,-0.122239,0.0961189,-0.0915695,0.112857,-0.257589,0.366937,-0.0286016,-0.00249027,0.105513,-0.108209,0.0597195,-0.0670449,0.0144404,-0.093968,-0.038774,-0.108488,-0.0605218,-0.197986,-0.0767975,-0.164257,0.0913321,-0.1446,-0.163201,0.0428244,-0.13514,-0.173919,0.0137788,-0.243767,-0.143748,0.102193,0.163831,0.157039,0.125659,0.175019,0.0310683,0.076901,-0.20979,0.218501,-0.0378123,-0.0500767,0.162507,-0.030107,0.0774991,0.116018,-0.0217128,-0.00699429,0.0349895
19,47.1476,-0.0971582,-0.131732,-0.121873,-0.0155361,0.0132552,-0.103179,0.214552,0.162196,0.0122845,-0.0586551,0.0477196,-0.0469589,0.0465683,-0.079599,-0.154716,-0.0568996,0.11968,0.052066,-0.0233131,-0.221029,0.294877,-0.190124,0.136192,-0.22535,0.0110792,0.0881306,0.165616,0.0518235,0.00632888,-0.178116,0.0592825,-0.002951,0.125053,0.14308,-0.137962,-0.121237,-0.00887032,0.28756,-0.0714611,-0.06548,0.0154969,-0.0135081,-0.0976595,0.155019,-0.14029,-0.162937,-0.106616,0.0957488,0.165841,0.23339,0.124163,-0.0552746,-0.020302,0.00919331,0.196004,0.0152203,0.302911,0.0702591
20,46.7512,-0.0255125,-0.319559,0.134249,0.0575291,0.154403,0.0904681,0.0897898,0.167914,0.0206593,0.155261,0.154353,-0.122486,0.216233,-0.092045,0.12847,-0.208563,0.161113,-0.182296,-0.131772,0.0586025,-0.0138664,0.0725333,0.17464,-0.0133758,-0.0189836,0.0499239,-0.20163,0.0238084,0.234696,-0.0595988,0.121071,-0.183111,-0.165242,0.140491,-0.00534908,0.137751,-0.10843,-0.050662,-0.038097,0.118049,0.0925093,0.0809853,-0.127352,-0.235465,-0.0766365,0.0177624,0.159772,-0.0122411,-0.160113,-0.00341979,-0.155851,-0.269664,-0.131552,-0.0306557,0.0644017,0.0239994,0.0243887,-0.0372352
21,-46.6612,0.211811,0.236446,0.0290092,-0.124109,-0.0549908,0.0479543,0.129276,0.288464,-0.210683,-0.184666,0.0866518,-0.0441764,0.11694,0.101994,0.100657,-0.0612282,-0.217408,-0.0683271,-0.0474245,0.0530601,-0.0478825,-0.139881,-0.113933,-0.179617,-0.0560028,0.138299,-0.0831778,-0.21095,0.120275,-0.0373162,-0.296085,-0.101412,0.201666,0.115535,0.0295547,-0.0977507,0.131541,0.0489804,0.0115711,-0.0369984,0.116623,-0.0306568,0.0355851,-0.224141,0.0156148,0.0386711,0.139869,0.128384,0.115057,0.0958626,0.0902421,-0.0150685,-0.192753,0.0230157,-0.138429,0.172633,-0.153334,0.0989825
22,44.0278,0.0538505,0.178036,0.0423536,-0.0920864,0.0391897,-0.0398622,-0.133878,-9.01792e-05,-0.0634779,-0.0963324,-0.112945,0.00884582,0.09058,-0.0667812,-0.117238,-0.176305,0.193012,0.0483001,0.00965966,-0.392802,0.0490096,0.18406,-0.0601205,0.188581,0.312304,-0.0458641,-0.15056,0.0467419,0.0343711,-0.0486012,-0.0920922,-0.0616661,0.0531285,-0.245841,-0.16336,0.25441,0.130744,-0.0343339,0.0585891,0.100477,-0.0874101,0.159905,-0.206462,-0.125388,-0.00315042,-0.0984439,0.0653145,0.143244,0.0529531,0.0643822,0.029758,0.139953,-0.220662,0.134323,-0.0751221,-0.134849,0.0762797,0.0661608
23,-42.9822,-0.121034,-0.0123464,0.0188799,-0.00264388,0.0316933,-0.0839386,-0.222186,0.142523,-0.117028,-0.120312,-0.23108,-0.135824,-0.169743,-0.13072,-0.106408,-0.183985,-0.181959,0.0820814,0.188766,-0.0113861,-0.277593,-0.255314,0.0600766,-0.123517,-0.0293311,-0.00871401,-0.125648,0.112638,0.285856,-0.0269383,-0.0290241,-0.0194259,-0.141129,0.023981,0.118245,0.0139481,0.0165918,0.175297,-0.114275,0.11594,-0.124432,0.0454638,0.136637,0.158557,-0.0602474,-0.100269,0.0982895,0.10094,-0.0462863,-0.262179,-0.0290889,-0.0252521,0.000973131,-0.0240132,0.132844,-0.203005,-0.0527892,0.211124
24,42.8033,-0.00936166,-0.0121698,0.0689583,0.0492477,0.176277,0.106308,0.0918211,-0.107467,-0.203964,-0.226426,-0.113136,0.0810186,-0.209245,-0.124336,0.115028,0.211416,0.0640591,0.0758403,-0.165522,0.139804,0.0632483,-0.180186,0.0494987,-0.0871307,0.0226374,0.0450114,-0.205932,-0.0240592,-0.0547507,0.0336942,0.0201583,0.0558691,-0.108473,-0.0800204,-0.00112619,0.415506,0.0996998,0.0322761,-0.0703016,-0.0484805,0.0342515,0.249615,0.191722,-0.121301,0.0718485,-0.00268248,-0.041251,0.0177315,-0.0557065,0.173036,0.291837,0.00831041,0.0456661,-0.159963,0.186471,0.103567,0.0744019,-0.126937
