Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58
0,-82.8654,-0.27848,0.156608,0.0835088,-0.00166736,-0.0253266,-0.148079,0.0414304,0.0857345,0.122999,0.0185958,-0.0273687,-0.0055495,0.0953344,-0.124585,-0.0570555,-0.0732361,-0.00909382,-0.15653,0.15517,-0.224773,-0.137225,0.144705,0.0557013,0.0603152,0.00273749,0.00685631,-0.222051,-0.105335,-0.0434308,0.00440385,-0.102554,0.132721,-0.0871181,0.171508,-0.153831,0.178936,0.0686301,-0.00342658,-0.116528,0.21453,0.0792289,-0.0598784,-0.264823,0.158408,-0.00723525,0.00910744,0.00567494,-0.16457,-0.192887,-0.121099,-0.207866,0.047774,-0.0696937,0.186115,0.123782,-0.222443,-0.0681843,-0.137483,0.243058
1,81.8507,0.312551,-0.130128,-0.0251544,-0.0405195,0.00434213,-0.00230772,0.00423405,-0.0293129,-0.0104134,-0.00301287,0.272749,0.078746,0.19202,-0.206644,0.0265865,0.0538468,-0.202838,-0.149354,0.183013,-0.298978,0.112048,0.163304,0.0210307,-0.123457,0.0225356,0.0698538,0.0342587,0.31737,-0.0465499,-0.15253,0.0203733,0.0775156,0.176444,-0.127187,-0.249091,-0.0309256,0.122732,-0.161779,-0.0572929,0.0752973,0.0138481,-0.0859845,-0.0715728,-0.269239,-0.0596761,-0.143603,0.142814,0.0584489,0.0946348,0.0759427,-0.104617,0.0585379,-0.0884662,-0.011475,-0.0489735,0.00423441,0.0543266,0.0377226,0.0199536
2,81.0033,0.0456575,-0.175508,0.0219897,-0.140738,-0.102322,0.0383505,0.203317,0.252468,0.055958,-0.254555,-0.0665503,-0.229272,0.0923895,-0.055508,0.0333416,0.0460619,0.0766974,-0.195527,0.0748018,0.0224087,-0.0883865,-0.218847,-0.106764,-0.00154965,0.250562,-0.157356,0.111201,-0.0108267,0.0373251,0.145421,0.0145032,-0.181913,0.0510877,-0.262633,-0.0349408,0.0603586,0.0749016,0.104768,-0.162594,-0.0790844,-0.0888292,-0.235721,-0.0623503,0.00667394,-0.262307,0.0946104,-0.0249008,-0.073279,-0.153835,-0.0162637,0.125424,0.0610654,-0.0477338,0.148666,0.154919,0.19138,0.0742292,0.037995,0.0680682
3,-75.9354,-0.0504771,-0.0504223,-0.0379494,-0.0388739,0.0589691,0.0985775,0.124397,0.264046,-0.172954,0.126665,-0.272141,0.160883,-0.0497106,0.082551,-0.0739256,-0.102089,-0.000880178,0.0166882,0.152804,0.120567,0.00151322,0.110758,-0.105622,-0.273264,0.177706,-0.00357726,-0.123608,0.112533,0.033534,-0.0334816,-0.0201551,-0.215748,0.237534,-0.00633088,-0.18876,0.109934,-0.148641,-0.0387064,0.135529,0.114235,0.139615,0.122207,0.104913,-0.0440567,0.120247,-0.217874,-0.255846,0.0198419,-0.100615,-0.0054177,-0.0619354,0.125501,0.137954,-0.0663277,-0.00864849,0.158182,0.00534892,-0.229862,0.109649
4,75.251,0.172936,0.148149,-0.104726,-0.31799,0.159841,0.00713009,0.013601,0.0421629,0.109874,-0.123842,-0.109981,0.252184,-0.236204,-0.0348027,0.0697095,0.0262078,-0.0854784,0.0311578,0.107062,0.108133,-0.0955172,-0.0341908,0.173647,0.123923,-0.0832262,0.143074,0.0250065,-0.181906,-0.0159042,0.0520429,0.287914,0.177634,0.0172032,-0.209146,-0.0390058,0.252986,-0.0897021,-0.199562,-0.128359,-0.000733943,-0.122504,0.10702,-0.0937662,-0.034994,0.00482752,-0.15312,-0.0262443,-0.0587572,-0.115059,0.150533,0.154364,-0.109334,-0.0541334,0.0645815,0.0347554,-0.0904354,0.143197,-0.13313,-0.11267
5,-74.1664,0.0615008,0.200506,0.222793,-0.178315,-0.0234969,0.0307027,0.0679334,-0.168764,0.0593289,-0.0563058,0.0101748,0.0317668,-0.0956234,0.0737578,0.158852,-0.158177,-0.123031,-0.140875,0.103422,0.0600743,0.20848,-0.0616211,-0.244371,0.21239,0.248288,0.0697143,0.000942112,0.0899061,0.081802,-0.300411,-0.0108834,-0.0161188,-0.0513069,-0.164326,-0.130618,-0.00803477,-0.146337,0.176797,0.185271,0.0224012,0.101387,0.0496455,0.0701129,0.227441,-0.0220363,0.0629934,0.139656,0.0767436,-0.121501,-0.226579,-0.0927492,-0.173182,0.00359866,-0.0555013,-0.110374,-0.0916003,0.164629,0.0700996,0.0138798
6,-71.1766,0.0301152,0.028561,0.175089,0.0126396,0.020426,0.106209,-0.00180454,0.001913,-0.219458,-0.211581,-0.0624719,-0.0127591,0.150629,-0.110468,0.131283,0.258598,0.206672,-0.0503861,0.0201525,0.11943,0.18398,0.351799,0.128726,-0.175408,0.000956209,-0.255987,0.09476,-0.0367834,-0.152236,-0.105161,0.140913,0.0717102,-0.110367,0.0269452,0.09295,0.121406,-0.225906,-0.0374083,0.0954968,0.0591128,0.0861807,-0.158332,-0.142037,0.151165,-0.0138875,-0.0271868,0.182396,0.0353244,0.0504399,-0.116483,0.254159,-0.00324735,0.00146059,-0.0730417,-0.0458045,-0.0236406,-0.118598,-0.157056,-0.0068282
7,68.8168,0.0224838,-0.0149127,-0.133,-0.0228271,-0.0467943,-0.0473203,-0.213408,0.133141,-0.0959853,0.159025,0.058748,-0.182195,-0.0626144,-0.175918,-0.175001,0.0294202,-0.245279,0.192175,0.0465345,-0.120449,-0.0255907,0.00989717,-0.137061,0.127396,0.0922636,0.14906,0.120298,0.0459916,0.12708,0.0737606,0.276128,-0.0289332,-0.203931,-0.0447677,0.150555,0.0304731,0.0875055,-0.0160918,0.17141,0.200295,0.0177553,-0.00446403,-0.0427643,0.10351,0.110688,-0.0288719,0.198413,-0.150871,-0.0764023,-0.107681,0.270624,0.132084,0.145898,-0.105146,-0.0405936,0.159767,0.0562207,-0.0321648,0.275329
8,-65.6783,0.0949376,0.145714,0.0994891,0.333642,0.133101,0.0681483,-0.0550509,0.0187676,0.219753,0.138673,-0.0933544,-0.0273201,-0.260837,-0.0689006,0.0347269,0.0443173,-0.0851556,0.0642113,0.00550276,0.0816807,-0.0160606,-0.0360248,-0.0481648,-0.0697204,-0.0942568,-0.167437,-0.112777,0.0738815,-0.174281,0.203413,-0.112809,0.121044,0.00550055,-0.303521,0.131047,-0.0680341,-0.105683,0.105893,-0.000492445,-0.115576,0.123446,-0.14449,-0.130674,-0.024411,-0.0324415,-0.132871,0.131731,0.076231,-0.124926,-0.0221979,-0.125883,0.344875,-0.127236,0.0257305,-0.192976,0.00972019,0.18208,-0.0414999,0.0593286
9,65.4465,0.0776953,0.0444571,-0.122559,-0.0517025,-0.04457,-0.0649944,0.0903566,0.111556,0.0323548,-0.0622031,-0.0477686,-0.122595,-0.169038,0.16982,-0.106593,0.168601,-0.0107625,0.0650459,-0.11431,0.109432,0.193136,0.054002,0.25887,0.0259867,0.0042701,0.0722542,-0.141977,0.117178,0.232823,-0.00497654,-0.051064,-0.0928304,-0.154517,0.0923194,-0.00304114,-0.159013,0.0772262,0.03891,-0.00159809,0.17185,0.166527,-0.254163,0.111973,-0.010378,-0.0278785,-0.348764,0.125663,0.281998,-0.15998,0.108785,0.00341023,-0.191651,-0.109614,0.223062,0.10382,-0.0616313,-0.0614183,0.0753103,0.0937785
