Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59
0,-83.384,0.140493,-0.0141684,0.0888151,-0.172993,0.0126324,0.0732896,0.0671714,-0.0467565,0.0665882,-0.11733,0.010076,-0.236968,-0.0613716,-0.149963,-0.208363,-0.0879546,-0.0193773,-0.066183,-0.176862,-0.144683,-0.0397426,0.157864,-0.159965,0.0944435,0.123378,-0.0561128,0.0997033,-0.117705,0.0805142,-0.0345447,0.0612753,0.153339,-0.221683,0.125248,0.219582,0.331024,0.0958277,-0.03397,0.00334376,0.103675,-0.0383091,0.106209,-0.0026821,0.259903,-0.162956,0.0190155,-0.0901527,-0.13673,-0.343238,-0.094475,-0.0465615,0.0471866,0.132599,-0.0248599,-0.145341,0.0451703,0.0500137,0.0863931,0.00987058,-0.150809
1,83.1645,0.129244,-0.0611429,0.0424398,0.0936996,0.209617,0.0458417,-0.117083,0.0820777,-0.35612,-0.101689,-0.0784708,-0.0472939,-0.0589349,0.102765,-0.138175,0.16229,-0.0619785,-0.15689,-0.0660493,0.122149,0.0514128,0.0309244,0.163163,0.149654,0.115303,-0.0124692,0.230607,0.0463844,0.0559864,0.0633815,-0.0955178,0.061899,0.0708085,-0.145892,0.126477,0.0785251,-0.133603,0.218919,0.185075,-0.114331,0.171483,-0.141415,-0.12598,-0.029643,0.00430411,0.101864,-0.253492,-0.125417,-0.0778731,0.0195434,0.146272,-0.00955824,-0.0798351,-0.0621185,0.211005,0.0891883,0.09102,-0.294641,-0.0650575,-0.012432
2,-80.0314,0.305272,-0.0707214,-0.0382533,-0.058879,5.33564e-06,0.0103921,0.21913,-0.025875,0.183834,0.0329785,-0.0444327,0.0219104,-0.120149,-0.00131822,-0.130409,0.116987,0.242262,-0.132872,0.0509984,0.18865,-0.139609,0.100563,-0.106262,-0.143036,0.162948,-0.000481331,0.147635,0.213702,-0.228013,-0.0726384,-0.0395028,-0.246002,-0.125386,0.0653944,-0.0733898,0.0451308,0.212497,-0.20156,-0.0488259,-0.179756,-0.0365268,-0.0251821,-0.0711058,-0.00707319,0.0747693,-0.0114413,-0.0202702,0.0919745,0.0935696,-0.162632,0.0283665,-0.235424,0.0578854,0.165198,0.149435,-0.0343154,0.0344569,-0.236683,0.0119166,-0.0621963
3,78.2801,0.15127,0.160472,0.193244,-0.164191,-0.13744,-0.29942,0.181378,-0.0068628,-0.0277867,-0.0480509,0.141916,0.0220394,-0.10405,0.0600657,0.0357309,0.123504,-0.124291,-0.11005,-0.123062,0.152336,0.284291,0.0896236,-0.0474234,0.043523,-0.178726,-0.231083,-0.128318,0.129726,-0.0420667,-0.221965,0.0491564,-0.00415063,-0.197358,-0.0718489,-0.0170822,0.0394143,-0.148305,-0.0461996,0.0644193,-0.107182,0.157681,0.00965631,0.0629431,0.04431,-0.054911,0.0299331,0.170203,0.132722,0.141399,0.111832,0.0256555,0.200829,0.0511131,-0.246715,0.142913,0.0492532,0.0854204,0.0592627,-0.0786225,-0.126403
4,75.1442,-0.12778,0.0351419,-0.258587,-0.119152,-0.123768,-0.108224,0.056551,0.0215268,-0.151942,-0.119918,-0.200177,-0.00268379,0.139353,0.00763259,-0.130971,0.194504,0.25052,-0.108602,0.0836262,0.0684045,-0.235817,0.0978045,-0.0068635,-0.0494986,-0.114951,0.0941083,-0.0416881,0.0269332,-0.180132,0.00201539,-0.121983,0.188149,0.125855,-0.176854,0.109728,0.14487,-0.128082,0.0142186,-0.144472,-0.0263896,0.0661293,0.0446387,0.165584,0.0422767,0.127685,0.170036,-0.00267196,0.0147061,0.0177103,0.035213,0.113102,-0.000901824,0.0257465,-0.168872,-0.130841,-0.310418,0.0460395,0.152614,0.18355,-0.205113
5,-72.6153,-0.0241317,0.224738,-0.131127,0.0457757,-0.0673101,-0.213705,-0.0799858,-0.19902,-0.0479852,-0.107535,-0.0557496,-0.163935,0.291989,-0.0778266,-0.0349098,-0.00539611,0.0113812,-0.0402054,0.0158989,-0.277009,-0.0461406,-0.0689661,-0.0685479,-0.0761721,0.221059,0.0668707,-0.0254348,0.018973,0.0210386,-0.0910739,-0.0437286,-0.182747,0.17014,0.299013,-0.0219056,0.0796888,0.206804,0.0311677,0.24883,-0.0782157,0.136454,-0.023986,0.169118,-0.0789132,-0.011925,-0.0702102,0.151578,-0.173078,0.0860595,0.116209,0.115415,-0.0845423,0.0246069,-0.15699,0.157253,0.107132,0.199264,0.000409545,-0.1046,0.00460242
6,-71.3522,-0.0463592,0.0890941,0.107899,0.070394,-0.014679,0.0484924,-0.0445537,0.321142,-0.0414972,-0.135547,0.0967321,0.0133559,0.239964,-0.197569,0.0767534,-0.0720375,0.107093,-0.046593,-0.066486,0.0715345,0.0784365,0.0813942,-0.065012,-0.0909601,0.163721,-0.0673773,0.305993,0.25102,0.00315067,0.227396,0.14038,-0.0374774,-0.0798425,-0.0905003,-0.11922,0.16386,-0.150872,0.0255844,0.0931756,0.167311,-0.197774,0.176587,-0.00338243,-0.0915885,0.0522042,0.129145,0.121204,-0.0324179,0.131611,0.256898,-0.112748,-0.191051,0.0312562,-0.0258288,0.0346082,0.0803124,-0.156921,0.104823,0.0156948,-0.108574
7,69.8436,-0.111261,0.048594,0.215955,-0.0929152,-0.0862518,-0.111763,0.0931851,-0.05935,0.0900534,0.0240416,-0.111473,-0.000718462,-0.0722689,0.0778421,0.109464,-0.0161751,0.122012,0.0780726,0.0976381,0.132927,-0.0538175,-0.393739,0.248795,0.277617,0.106417,-0.138233,0.0678132,0.26805,0.160815,-0.12479,-0.185024,0.0706073,0.108069,0.140389,-0.0786866,0.0400952,-0.0310995,-0.0460043,-0.0819186,0.0296951,-0.0679355,0.146893,0.0187101,0.0200098,0.064132,0.181561,-0.0358471,-0.144536,-0.1973,0.075729,-0.15644,-0.0281238,0.0340458,0.173448,0.0852531,-0.0304135,0.25269,0.0627183,0.0490999,-0.0705403
8,-68.0456,-0.0772105,-0.119051,0.161822,-0.119864,0.113321,0.154995,-0.0900635,0.0528076,0.137851,0.0116649,-0.0107999,-0.0592418,0.0924106,0.0608824,0.0653474,-0.0705363,0.183374,-0.0494902,-0.308982,-0.0159746,0.0822958,-0.0512536,-0.133086,0.0903828,-0.00673639,0.30806,0.0442637,0.133163,0.211786,-0.123553,0.135827,-0.0369411,0.0291679,-0.0679462,-0.0920782,0.139997,0.0163342,0.209664,-0.0689592,-0.218329,-0.0567521,-0.153019,0.0366648,0.00803354,-0.122251,0.0156952,0.224578,0.0590897,0.147025,-0.141234,-0.0426531,0.0656415,-0.187445,-0.10636,-0.0623285,-0.220399,0.253458,-0.0966152,0.175355,0.0857739
9,66.7303,-0.116993,-0.170302,-0.0983464,0.150213,0.101383,-0.027388,0.0113593,0.117756,0.0133562,0.220439,0.0140749,-0.187202,0.0663186,0.251707,-0.00551905,0.114881,-0.216767,0.0509315,0.00231205,-0.0789871,-0.0774767,0.153422,-0.150294,-0.00816588,-0.16823,-0.0731993,0.102162,0.223588,0.107536,-0.131301,-0.041254,0.127256,0.0273663,0.112644,-0.231843,0.21178,0.0229024,-0.0326027,-0.180199,0.237652,0.237923,-0.00685975,0.157001,-0.170478,-0.00306615,-0.0857225,-0.0935901,0.00964338,0.107411,-0.0730929,-0.147375,-0.0575474,0.0172513,0.0381581,-0.107751,0.0826758,0.0506717,-0.132455,-0.144278,-0.232489
