Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60
0,84.5778,0.00842934,0.0423304,0.0788733,0.0959034,0.160763,0.0529333,-0.105962,-0.132144,0.101155,-0.141107,0.0285563,0.0881674,0.0687529,-0.189278,0.0611173,0.136694,-0.122768,-0.028867,-0.0241446,0.314511,-0.134533,0.0461495,0.0253831,-0.044405,-0.17699,-0.105151,-0.177817,0.137067,-0.0726046,0.139492,-0.172824,-0.0332536,-0.0698656,0.110573,0.071086,-0.199435,0.101816,0.0034361,-0.00643158,-0.0775476,-0.0761631,0.161831,-0.0639346,0.143183,-0.0067415,0.16557,0.254838,0.0372704,-0.164904,0.0415647,0.249982,0.165585,0.185806,-0.0110422,-0.0501407,-0.16602,0.00415188,0.163988,-0.164024,-0.204569,0.170238
1,-83.5248,0.247889,-0.101929,0.15449,0.0352394,-0.165475,-0.0599092,0.11275,-0.134532,0.019985,0.179757,0.0266047,-0.00995954,0.166201,0.0885816,-0.021686,-0.256319,0.22427,-0.156061,0.247914,-0.0590914,-0.122705,0.210846,-0.148115,-0.0725846,-0.0472089,-0.271552,-0.0573802,0.0525305,0.135179,-0.122842,0.0206571,-0.130278,0.184093,0.16984,-0.0116851,-0.22869,0.144498,-0.0160084,-0.0697272,-0.102124,0.154638,-0.0993065,-0.0133395,-0.039923,-0.0821186,0.0525305,0.0184021,0.15705,-0.1296,-0.186249,0.03516,-0.0164369,-0.137259,0.179907,-0.011949,-0.00901134,-0.0107453,0.0445547,-0.0739542,0.0872945,0.0757707
2,82.9907,0.0224251,-0.237225,0.101175,0.0432435,-0.0299947,0.0191997,-0.0178394,0.104489,-0.18545,0.084519,-0.219472,0.160195,0.046378,0.14649,0.00891989,0.264888,-0.0457837,0.093845,0.0530913,0.0372243,-0.13693,-0.216814,-0.0278786,-0.144061,0.0440955,0.0717674,0.148401,-0.0122084,-0.039194,-0.289794,-0.149306,-0.137563,-0.0827924,-0.172536,0.0202552,0.0500154,0.242239,-0.21139,-0.182052,0.14395,0.10383,-0.0528282,-0.123875,-0.1209,-0.0163544,0.201706,0.131219,-0.039335,0.00668059,0.0471692,0.175109,0.156105,-0.0442539,-0.0425379,0.0399787,-0.0631189,0.150824,-0.066346,-0.0687883,0.217324,-0.0721993
3,77.917,0.203483,0.0768634,0.0893204,0.0322093,0.0299469,-0.143557,0.179338,-0.259387,0.156462,-0.105478,-0.00844856,0.040135,-0.191587,-0.103497,0.0269029,0.0369068,0.106582,-0.0207674,-0.0715768,-0.0148042,0.00158737,-0.0615628,-0.176216,-0.11596,-0.173042,0.175283,0.117886,0.213473,0.0864261,-0.0137704,-0.0921106,0.111128,-0.00767987,-0.257038,-0.125175,-0.146434,-0.0310556,-0.0152431,0.166468,0.0299783,-0.108128,0.0169798,-0.292509,-0.124995,-0.209281,-0.243555,-0.198924,0.162575,0.131909,0.00946883,0.167948,-0.046089,0.0704915,-0.0864009,0.104372,-0.0986865,0.00575991,-0.00424536,-0.046254,0.12635,-0.0866364
4,-77.4832,0.0402346,0.0788446,-0.133823,-0.100953,0.328283,-0.0236747,-0.11306,-0.142844,-0.246267,-0.0875349,-0.0123696,0.186085,0.17065,0.0351827,0.00740096,-0.0585404,0.182285,0.0591692,0.0146415,-0.114479,0.0690066,0.0611266,0.0497627,0.159676,-0.240867,0.191593,0.203911,0.105281,0.00815382,-0.129389,-0.0259851,0.00197986,0.0954053,0.206665,-0.0107478,-0.0143601,0.00584102,-0.102056,0.118898,-0.129696,-0.18272,0.027171,0.141641,0.0187232,0.172525,-0.000163272,-0.00755058,0.0562423,-0.022082,-0.0608454,0.0869086,0.331059,-0.153753,0.0441817,-0.0530019,-0.112819,-0.133648,-0.17282,0.162118,0.0825131,-0.0993176
5,-72.2876,0.0352685,0.120117,-0.151191,0.0441128,-0.080298,0.106508,0.14845,-0.0624184,-0.0626808,0.0951579,-0.0753416,0.158281,0.0304658,-0.104109,-0.06214,0.0249733,0.160743,0.15926,-0.3295,0.270543,0.287392,-0.0909428,-0.102743,0.041528,0.0779322,0.047015,0.00963667,-0.0446293,0.0735664,0.100301,0.113098,-0.272259,-0.111445,-0.0359389,0.122681,-0.0489326,0.0253428,-0.0448195,0.0493578,-0.17807,0.102065,-0.0802156,-0.152588,-0.189813,0.0615768,0.0665912,0.199778,0.0645556,-0.0682118,0.0431949,-0.0172838,-0.181258,-0.0584586,0.223004,0.0971981,0.0257568,-0.282714,-0.138168,-0.00398767,0.0101113,0.0920747
6,72.233,0.0816428,-0.0181016,-0.169973,0.135252,0.0422456,-0.034752,-0.068007,0.147418,-0.0301888,0.16288,0.0274789,-0.019825,0.0993051,-0.0391063,-0.0402538,0.200805,-0.107581,-0.447014,0.0736084,0.0340516,-0.0097859,-0.21937,0.0872562,-0.0407153,-0.0205167,-0.20057,0.143355,0.191006,-0.0386447,0.000950433,-0.254204,0.0433398,0.010352,-0.169567,0.117362,-0.0803028,-0.202794,0.106708,0.0894858,-0.164358,-0.00895151,-0.0823012,0.0820671,-0.271632,-0.0836497,-0.0225682,-0.0393174,-0.00518744,0.0433182,-0.0430435,-0.0129529,0.0985695,0.0307956,0.194475,-0.0953173,0.195857,-0.08543,-0.10094,0.138195,-0.153063,-0.0224371
7,71.7179,-0.0710834,0.0690681,-0.17734,-0.0353083,-0.0451627,0.169493,-0.20097,0.203954,0.298618,0.00188223,-0.168623,-0.0372432,0.14377,-0.141671,-0.082587,0.111998,0.122091,0.026379,-0.118034,-0.141365,-0.102627,0.102991,-0.247131,0.0572935,0.0735461,0.164978,-0.0886893,-0.0684423,0.0806162,0.181678,-0.0364013,-0.0383679,0.0966283,-0.11941,0.23436,-0.131571,0.102834,-0.0348084,-0.0735138,-0.0751729,-0.172018,0.0268559,0.12129,0.0579415,-0.192048,0.0186492,-0.121534,-0.0736046,0.0961334,-0.156154,0.116205,0.113044,-0.235965,0.144966,0.0806894,0.0371143,0.123524,0.0650132,-0.154856,0.0570425,-0.165679
8,-70.4392,0.0650159,-0.181956,-0.124426,0.0755794,-0.00796385,0.0933476,-0.111266,-0.206822,0.176478,0.106288,-0.00371957,0.0526927,0.10451,0.0790785,-0.119593,0.00620451,-0.0244341,0.00758518,0.0444412,0.135526,-0.110931,0.015686,-0.0692427,0.106055,-0.0922356,0.123681,0.131886,-0.0486156,-0.132396,0.216605,0.259762,0.0319498,-0.130577,-0.00359642,-0.0276311,0.09343,-0.0878407,-0.144065,0.0189372,-0.109264,0.124376,-0.282231,0.0681246,0.156202,-0.155286,-0.0571724,0.15141,0.217857,0.042341,-0.0813261,0.0206012,0.0401429,0.263986,-0.149851,-0.276579,0.221117,0.126993,-0.101844,0.0301411,0.163814,-0.0567279
9,68.866,0.0411294,-0.0510632,-0.036818,0.158761,0.121095,-0.27457,0.111094,-0.0346246,-0.132568,-0.00160725,-0.246564,-0.301662,0.142771,0.0519934,-0.199443,0.00994177,0.0528026,0.0286135,0.0965062,0.0230531,-0.236387,0.00971894,-0.065232,0.0472818,0.148694,0.123502,-0.0038261,-0.00771939,0.0822516,0.0375331,0.147252,-0.00443143,-0.0624941,-0.123205,0.0379753,-0.224569,-0.180381,0.0217256,0.116505,0.0694946,-0.137985,0.0704589,0.0177111,0.053416,0.277596,0.0269273,0.154394,0.0241804,0.0307415,-0.0375201,0.0483827,0.000862966,-0.0430025,-0.162428,0.28116,0.196357,0.0553367,-0.13081,-0.0552817,-0.127102,0.219812
10,-64.3611,-0.0196273,-0.137266,0.0390702,-0.21124,-0.185393,0.0771104,0.130683,0.0837706,0.0540423,-0.286734,0.155604,-0.18026,0.181119,-0.0687479,-0.117391,-0.0619823,0.0173573,-0.016832,0.137235,-0.129202,-0.0224998,-0.287797,-0.250891,0.0550684,0.11464,0.169177,0.126041,-0.033199,-0.215977,-0.0248697,-0.0154062,-0.17582,0.00890443,0.0223925,-0.27766,-0.0170923,0.0450272,0.0693988,0.103199,0.0217059,-0.0773969,0.246581,0.0135348,-0.00837146,-0.0445695,0.0512791,0.198814,0.108592,0.020808,0.0686906,0.0913179,0.010335,0.075375,0.206382,-0.149185,0.0494871,-0.141542,0.0980967,0.0992107,-0.0689674,-0.0296442
11,-62.5665,-0.0212564,0.197156,0.0878067,-0.0129562,0.121823,0.205122,-0.117171,0.190753,0.010733,0.0338816,0.0155666,-0.0586309,0.194622,0.0441,-0.0252836,0.178107,-0.0945924,0.0691616,0.227121,0.00681888,0.155097,0.059443,0.0589961,0.0997663,0.1945,-0.142305,-0.0459161,-0.0907079,0.156537,-0.191984,0.0289824,-0.151124,-0.125324,-0.121709,-0.0799965,-0.126803,-0.0946334,-0.0665825,0.0104461,-0.136798,-0.0864054,-0.0930961,-0.191735,0.131969,0.140129,-0.351805,-0.0687019,0.162192,-0.122634,-0.0529925,0.230774,-0.102743,0.0888304,-0.0609596,-0.0333709,-0.0715285,-0.0187907,0.17794,0.173271,0.126685,-0.035595
12,61.7616,0.0194233,0.148763,0.0107263,0.101313,0.0414068,-0.039112,0.191315,0.0108852,0.0203283,0.0158693,0.0572758,-0.0460781,0.196953,0.0455586,0.134957,-0.0422677,-0.0181825,-0.17159,-0.0434202,0.0482523,0.137561,0.0889403,0.0787405,-0.125158,-0.0120857,0.150154,-0.0153197,-0.113874,-0.444143,-0.0965337,0.0874543,0.0555407,0.19483,-0.163969,0.291045,0.111353,0.0839118,0.150888,0.0639764,0.0388285,0.048862,-0.0773557,-0.083815,0.16406,0.163306,-0.0822019,-0.00215853,0.204143,0.139076,0.209263,0.0867358,0.0742954,-0.130947,0.188079,-0.0479088,-0.0183986,0.178813,0.0759258,-0.0766725,0.114378,0.146669
13,-59.0068,0.116751,0.0111469,0.0449521,0.134875,-0.0445706,0.0437227,-0.00972774,-0.0863108,-0.00901738,-0.131483,0.0945464,-0.0807881,0.0899175,-0.145902,0.0130814,0.102741,-0.0119113,-0.0587855,-0.000928195,-0.0493771,-0.0882733,0.25604,0.101486,-0.0406518,0.224156,-0.0163666,0.301841,-0.102684,-0.0503506,-0.0710003,0.152853,-0.0171533,0.0683166,-0.0718372,0.285901,0.239253,-0.103111,-0.177366,-0.0791114,0.16597,-0.108803,0.155693,-0.0925151,-0.105308,-0.134875,0.0864584,0.00211201,0.185949,-0.177241,-0.228846,-0.143489,0.0204967,0.13585,-0.0406214,0.0676815,-0.211982,-0.2049,-0.0444552,-0.0338607,-0.162821,-0.142142
14,58.3235,0.209956,-0.00690882,0.232597,0.0636192,0.265438,-0.206427,-0.0616875,0.297464,-0.096526,-0.165128,-0.0528628,0.0545083,-0.124333,-0.0408275,0.0149296,0.0183097,0.189025,0.0775947,-0.17834,-0.0317061,0.105552,-0.106623,-0.130193,-0.0399191,0.171815,-0.0284535,-0.0544711,-0.120191,-0.135801,0.0401622,0.187889,0.273396,0.0928142,0.0192536,-0.038317,-0.074845,0.0139341,0.172432,-0.121707,-0.176346,0.205762,0.0280217,-0.108065,-0.0263521,-0.0290935,-0.0209677,0.0559369,-0.0730208,-0.131422,-0.292717,0.0664476,0.11073,0.125327,0.0467776,-0.14619,0.0590802,0.0834239,-0.0508721,0.0595195,-0.0387433,-0.0689472
