Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61
0,91.8272,0.0970936,-0.0864283,-0.068854,-0.101973,0.0890492,0.0945542,-0.0422412,0.176017,0.273619,-0.054001,0.103951,-0.0509844,-0.0229663,0.137371,0.128709,-0.147444,0.166761,0.0230643,0.00234921,0.0810098,-0.0288788,-0.178911,-0.193223,-0.0867783,0.289238,-0.228892,0.0809778,0.118981,0.0179185,-0.228172,0.0814331,-0.173266,-0.0077214,-0.151229,0.162976,-0.0433302,-0.130802,0.0140591,0.156112,-0.233907,-0.0414853,-0.165338,0.0559381,0.253569,-0.0731621,0.0975032,-0.0940597,-0.154079,-0.141057,-0.0484128,0.0283409,0.0648117,0.033961,0.136017,0.0792845,0.00345786,0.0328667,-0.0400117,0.247362,-0.00808398,-0.00927968,0.0459411
1,87.8326,0.0382457,0.121881,0.0637944,0.126128,-0.135107,-0.0505607,0.00336331,0.297493,0.01669,0.0917646,0.212031,-0.11392,0.0991571,0.0792612,0.00693961,-0.0803907,-0.0685616,0.112752,-0.14477,-0.0515763,0.0764367,-0.0296143,-0.168644,0.041812,0.119478,0.0132207,0.141219,-0.0308226,-0.173983,0.11655,-0.140897,-0.111982,-0.0130704,-0.0111649,-0.0244158,0.159924,0.0406385,0.156594,-0.183488,0.185235,0.0583141,0.142164,-0.0116438,-0.14255,-0.0175109,-0.229863,0.171953,0.0401262,-0.125444,0.0676854,-0.146252,0.161628,0.161199,0.147033,0.150107,0.168291,0.0219466,-0.229314,0.0818113,0.0844095,-0.297956,0.0680525
2,-82.7788,-0.0988258,0.00520433,-0.0341891,-0.0824779,0.130132,0.130414,-0.0193756,0.0479205,0.00333743,0.154654,-0.0180378,-0.0880238,-0.251912,0.151879,-0.118472,-0.186698,-0.00187731,-0.183577,0.0359862,-0.126662,-0.0863291,-0.104261,0.0955269,0.0732641,-0.07054,0.00252798,0.182778,-0.132912,-0.191177,-0.0640097,0.147508,0.041557,-0.171542,0.194267,0.0551243,0.045794,-0.172903,0.121205,0.0994369,0.0183232,0.0491299,0.0278402,0.0326334,0.19879,0.0162035,0.190786,0.245568,0.253342,0.105242,-0.0844463,-0.24991,-0.0731314,-0.0454679,-0.0862337,-0.170093,0.155671,0.066133,-0.156311,-0.0321052,0.115226,-0.0421651,-0.220349
3,-80.4407,-0.112455,-0.0431048,-0.125723,-0.190187,0.0733533,0.159026,0.160618,0.147354,0.0785839,-0.223542,-0.207274,-0.0123812,-0.0348024,0.00480808,0.0989483,0.246389,-0.174842,0.0785565,-0.107482,-0.156867,0.0132996,-0.0754111,0.295215,0.0503092,-0.0879,-0.0608292,-0.0769479,-0.193292,0.0766208,-0.0461237,-0.108725,0.0742496,-0.0993954,-0.149487,0.0409199,-0.142327,-0.134395,0.101537,-0.0177686,0.0664876,-0.168386,-0.0423128,-0.0367201,-0.0755825,-0.126755,-0.0578584,-0.0652623,0.173346,-0.243246,0.134583,0.0762295,-0.138678,0.0112636,0.00301494,0.0485603,0.0968256,-0.189993,-0.078957,0.201506,0.216838,-0.103571,0.0527799
4,79.5755,-0.00355981,-0.0923119,-0.154899,0.195889,0.287815,-0.120487,-0.245163,-0.023136,-0.112976,-0.0261844,-0.0976556,-0.052673,-0.00561046,0.181649,-0.049079,-0.169477,0.24519,0.13633,-0.00311247,0.00433314,0.111346,-0.194616,0.0395913,0.204785,-0.0710116,-0.0880972,-0.0514123,0.0843442,0.0210129,0.0103958,-0.11818,-0.0623967,0.196432,0.0398407,-0.0612756,-0.214086,-0.2045,-0.123517,-0.209343,-0.0332601,0.14657,-0.0601052,-0.212224,-0.0342806,0.0783988,0.000988672,0.0896101,0.0721511,0.111404,0.136765,0.108395,0.114101,-0.0670331,0.00527254,0.109398,0.0502621,-0.303451,0.011441,-0.0535114,0.101498,-0.0506672,-0.0489796
5,-77.9477,0.054174,0.0557457,-0.138209,0.0669077,-0.0311296,-0.0523269,-0.0943298,0.170281,-0.134391,-0.173884,0.103812,-0.00254978,0.0669963,-0.0288522,0.18798,-0.0597632,0.126077,-0.118649,0.0292908,0.0145514,-0.249991,0.315002,-0.101039,-0.198298,-0.0328405,0.0915498,0.0404406,-0.0893157,-0.0420138,0.109614,0.191046,0.244726,0.144181,-0.144004,0.0856439,-0.0364469,-0.183227,0.14337,-0.155539,0.102202,-0.0843251,-0.0592187,0.0382847,0.188016,0.192462,0.00800698,0.0208754,0.067812,-0.00655137,0.0594154,0.00125877,0.0699816,0.143112,-0.227888,0.0585837,-0.141839,-0.16972,-0.176887,0.0387115,0.106294,0.211876,0.0564438
6,-72.7425,-0.16659,-0.00714163,-0.089081,-0.0570953,-0.217899,-0.170353,-0.0136592,0.196322,-0.115443,-0.124023,0.0630061,0.278194,0.0670453,0.00910632,-0.0261667,-0.0846374,0.151884,-0.0349254,0.0810649,0.0108911,-0.105227,-0.0267794,0.0679208,0.0766085,-0.148805,0.0744095,0.224379,0.280795,0.0251077,-0.0415077,-0.138492,-0.0881846,-0.177628,-0.0606337,-0.0047473,-0.271362,0.0414378,-0.0274937,0.186298,0.136574,-0.0146622,0.282326,0.230689,-0.0344609,0.107261,0.131454,-0.157797,-0.0444074,-0.0061397,-0.0933165,-0.051493,0.0499443,-0.0718306,0.0916708,-0.00664524,-0.105869,-0.0964969,0.0624994,0.0275297,0.196495,-0.140904,-0.134134
7,-68.9386,0.114751,0.000119276,-0.0424408,0.149527,0.115435,0.0470573,-0.0216633,0.143219,-0.0507781,-0.0219563,-0.0221895,0.0106384,0.0431992,-0.368473,-0.108533,0.150264,0.0136515,0.16191,-0.217277,0.0376054,-0.108137,0.172835,-0.0477907,0.0961177,0.113871,-0.264474,-0.195741,0.0709102,0.0726933,0.104972,0.156433,-0.0358914,-0.203684,-0.0225903,0.109048,-0.125583,-0.182822,0.0607879,-0.00816522,0.0528762,0.114222,0.139064,-0.0427905,-0.00784634,0.109893,0.0508755,0.243035,-0.122033,0.22139,-0.124482,-0.0326638,-0.243544,0.0743981,0.128833,-0.0515834,0.0480419,0.0919171,0.170577,0.13292,0.0806782,-0.0445755,-0.076246
8,68.8244,0.317147,0.141894,-0.0955238,0.306795,-0.0426301,0.126774,0.195106,0.0892313,0.145164,-0.0690084,-0.127692,0.185389,0.208034,-0.050587,0.0476248,-0.0359296,-0.139368,0.16508,-0.112076,-0.0233911,-0.0717558,-0.158958,-0.0958732,-0.088264,0.0221405,0.215323,0.123129,0.0325485,0.0736993,-0.0443559,0.196467,0.034249,-0.055452,0.157029,-0.161715,-0.186833,0.00787254,-0.0800825,-0.0904399,-0.216648,0.0589942,-0.00379566,0.0352445,-0.124231,-0.205907,0.143785,0.00154893,0.111167,0.0125617,0.0910507,-0.0436198,0.0955303,-0.147909,-0.156625,-0.0342056,-0.0508494,0.0521028,-0.133724,0.00477647,0.0419632,0.0286957,-0.173076
9,68.1242,0.124269,-0.186604,0.102428,0.0594497,0.00804969,0.00140008,0.0853908,-0.105472,-0.00437884,-0.15048,-0.0757928,0.215202,-0.170704,-0.000345231,0.183203,-0.092991,-0.0709991,-0.088912,0.164251,-0.145579,0.227702,-0.00380447,0.0163317,-0.106672,0.153261,-0.0753649,-0.040877,0.287276,-0.177975,0.285924,0.00291552,0.0203797,-0.0970355,0.06692,0.0563058,-0.0530615,0.102883,-0.0688691,-0.226624,-0.114658,-0.0133361,-0.0562384,-0.0582988,0.163605,0.0601508,-0.161665,0.0158865,0.162837,-0.0136587,-0.124292,-0.0410901,-0.128332,0.0506993,0.00857102,-0.197653,-0.213839,0.00751252,-0.0332636,0.0293794,0.176434,-0.23661,0.138571
