Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62
0,-88.9998,0.00786951,-0.04875,0.196739,0.00485192,-0.0497171,0.0714469,0.315066,0.111267,-0.225086,0.00753492,0.0260987,0.0145363,-0.0965563,-0.0314929,0.0232987,0.121395,0.0484865,-0.26619,0.0967807,-0.107033,-0.0714554,-0.196792,0.0442297,0.13691,0.0946589,-0.138734,0.20076,-0.066019,-0.0804572,-0.0820046,-0.0269999,0.260398,0.00559049,0.185209,0.259946,0.0125297,0.100144,-0.14383,-0.112612,0.0879217,-0.0307492,0.0240423,0.0177824,0.0177111,0.189958,-0.137529,0.213609,0.124817,-0.0138306,-0.213086,-0.0807963,0.100948,0.0610204,-0.149589,-0.0762396,-0.108732,0.0706748,-0.189813,-0.00283953,0.0326884,0.145881,0.0184827,-0.0889252
1,-81.9925,-0.147418,-0.0877186,-0.00193913,0.106649,0.00953926,0.155252,0.0254038,0.0875485,0.158914,0.0598568,-0.107731,-0.104008,0.00674968,-0.140937,-0.00714363,-0.0699587,-0.179151,-0.0585131,0.192603,0.0230458,-0.0969649,-0.0173437,-0.154841,0.0766585,-0.132566,0.0686629,0.135497,0.0181004,0.113449,-0.261246,-0.197054,-0.0547731,0.036525,-0.0827664,0.120658,0.140508,-0.0184875,-0.138935,-0.170226,-0.0528285,-0.158815,-0.097446,-0.0645578,0.0897841,-0.13019,0.0670211,-0.0590505,-0.192784,-0.115466,0.0924139,0.197399,-0.0631622,0.230939,0.27507,-0.26142,0.0515294,0.139449,0.0113849,0.00453081,-0.176453,0.131395,0.0632514,-0.184914
2,81.3599,0.114318,0.0697229,-0.138285,-0.0777645,0.0147579,0.00297794,0.133791,0.102629,0.227025,0.163307,0.0692916,0.156802,0.150191,-0.0438011,0.152606,-0.0369055,0.0361714,-0.0063982,-0.0445241,-0.136661,-0.204716,0.148182,0.156804,0.028579,-0.0696032,0.00374846,-0.056257,-0.159665,0.0202452,0.0227881,-0.0977797,-0.0399455,0.0929487,-0.113967,0.215729,0.197748,-0.284695,-0.0532443,0.10172,0.0109767,-0.0953066,-0.0931591,-0.0787844,-0.0816997,0.20821,-0.175008,-0.269533,0.0607073,0.109592,-0.162464,0.132543,0.0848845,-0.0805601,-0.137776,-0.0731293,0.183554,0.0931934,0.0214,0.232541,0.043633,0.0454865,-0.139685,0.132896
3,76.9813,0.11618,0.0492801,-0.0998776,-0.0183571,0.130962,0.0740198,0.0136505,0.205284,-0.107782,0.124326,0.250654,-0.0231237,-0.149051,-0.0387683,-0.0253072,-0.285175,0.142876,0.0533009,0.111151,-0.0736578,-0.123096,-0.0255611,0.0129241,0.0694406,0.0718561,-0.289774,-0.159856,0.182679,0.0721161,-0.221757,0.0704036,-0.11405,0.017541,-0.155966,-0.0514901,0.0438239,0.290015,0.00451946,0.128442,-0.0217053,0.149961,0.166663,0.079196,0.197312,0.0146031,0.108579,-0.00247108,-0.0619107,0.129153,0.114421,0.153434,-0.0023373,0.103722,-0.10243,-0.144904,0.031682,-0.153859,-0.155031,0.145852,0.122428,0.031364,0.023717,0.0821859
4,76.4526,0.159776,-0.110709,0.223274,0.179295,0.250189,0.105346,0.00585922,-0.138721,0.104932,0.0212014,-0.00865631,0.164075,-0.0915156,0.0608598,0.181003,0.0459678,-0.0169472,0.0254371,-0.084975,-0.0813046,-0.0268196,-0.173865,-0.0759308,0.214651,-0.0119363,-0.0293149,-0.178768,0.149817,-0.0389667,0.167632,0.274459,0.138233,0.048089,0.0300197,0.145125,0.0357119,-0.0113652,-0.0729534,-0.0990646,-0.152754,-0.014297,0.000304215,-0.13938,0.175492,0.125434,0.128273,-0.12901,-0.207409,-0.127535,0.0644744,-0.0281646,-0.0499654,-0.0130128,0.157937,0.168056,-0.013584,-0.0686845,0.114969,-0.0437993,-0.00687527,0.235189,-0.166187,0.195727
5,73.8663,0.119002,-0.121809,-0.00888811,-0.0976843,0.0463914,-0.187109,-0.145358,0.0708758,0.129848,-0.0621279,0.221778,0.102234,0.155364,-0.0816104,0.213099,0.0882732,-0.0617788,-0.0544372,-0.046823,0.0854434,-0.249172,0.0116111,0.156248,-0.00415037,0.164476,-0.0133009,-0.123603,0.196839,-0.117128,-0.224341,0.082692,0.103923,0.0554298,0.102337,0.0185068,0.147309,0.0689444,0.0451935,0.0150118,0.169954,0.0953988,-0.0914363,0.0978308,-0.171147,-0.0384281,-0.0451601,0.0891124,-0.172746,-0.370857,-0.0275382,-0.0716594,-0.00659345,-0.0470812,0.0713439,0.0242983,-0.0483572,-0.0446347,0.0951725,0.118261,-0.0199777,-0.167324,0.0983982,-0.286194
6,-72.3043,0.130679,-0.169756,0.223238,-0.0159361,0.274609,-0.00254694,0.0255951,-0.00325391,-0.0722318,0.0118234,0.041461,0.0241161,0.0752256,-0.0156721,-0.0686799,-0.0450356,-0.03877,-0.117565,-0.105614,-0.112854,0.185676,0.154618,-0.0555609,0.0331782,0.124905,-0.0448789,-0.174774,-0.173486,0.0802654,0.0298365,0.0993849,-0.0486594,0.0975464,-0.241805,-0.0228325,0.150692,-0.238317,0.0334994,0.0554949,0.0513209,0.0251871,-0.023985,-0.305921,-0.187504,-0.0696731,-0.000838005,0.142756,-0.0563378,0.111166,0.089998,-0.132147,-0.221378,0.050557,-0.126037,-0.171103,-0.0765198,0.00361519,-0.262571,-0.125527,-0.128565,-0.0391752,0.173156,-0.146748
7,-69.7338,0.108233,-0.159523,-0.150995,-0.076101,0.125493,-0.0232537,-0.0456613,-0.25128,0.172547,0.0302877,-0.0624266,0.0950008,-0.0115098,-0.0441751,-0.056347,-0.148217,0.0900255,0.000200931,-0.203447,-0.0288745,-0.0338135,0.118959,0.104889,0.0409359,0.24646,-0.000689085,0.135062,0.0255065,-0.000614789,0.115768,0.142286,0.0338821,-0.129822,0.135053,-0.00986878,-0.154699,0.0197641,-0.220311,-0.0952568,-0.0315114,0.0460404,-0.0059341,-0.0748633,0.23987,-0.105123,0.174978,0.0721062,0.0671406,-0.00447534,-0.117791,0.28787,0.187702,0.0201636,-0.172135,-0.149536,0.102613,0.301421,0.0357653,-0.112394,0.0111755,-0.0942569,0.176637,-0.120297
8,-67.4518,-0.263421,-0.0399856,-0.0217944,-0.177523,0.196759,-0.0520389,0.0127719,0.228168,-0.0604185,-0.0695144,-0.0138305,-0.0685005,0.163228,0.0320941,-0.0754243,-0.267533,0.0220755,0.0191759,-0.133057,-0.115318,0.146446,-0.190797,-0.102378,-0.0144514,-0.0522818,-0.0316255,-0.0288353,0.153648,-0.231983,-0.0863131,-0.0650337,0.249635,0.00155669,0.108818,0.128307,-0.0110686,-0.00450761,-0.180636,0.0639948,-0.147801,-0.118792,-0.303458,-0.0190059,-0.0367633,-0.144993,-0.0262692,-0.0561398,0.0242394,0.0721603,0.102433,0.0391488,-0.0475424,-0.292511,-0.128669,-0.00157203,0.0886727,-0.150951,0.12742,-0.0205579,-0.0564149,-0.0211144,0.160571,0.0998741
9,-66.5996,-0.0906707,0.047678,0.077562,0.0816091,0.153302,0.00481312,0.103783,0.145793,0.0849625,-0.00296754,-0.227602,0.0650082,-0.135656,-0.241183,-0.12785,0.140459,0.017279,0.107438,-0.27664,0.0258534,0.0972336,0.0946532,0.0569657,-0.0181299,0.0548085,0.0749495,-0.00614399,0.178684,-0.157432,-0.0685249,-0.0421246,-0.0131196,-0.127879,-0.181007,-0.0742815,0.0654904,0.10727,-0.0669533,0.204132,-0.0948645,0.110947,-0.00262614,0.0985665,-0.0919994,0.149907,-0.395595,0.0375437,-0.156559,-0.0642147,0.136435,0.111834,0.201133,0.0436059,0.051092,-0.0383869,-0.0799079,0.146528,-0.0871323,-0.226951,0.1103,-0.00506226,-0.142126,0.0183841
