Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63
0,-91.0156,0.00378705,0.00578999,-0.0690829,0.0351899,-0.101609,-0.0176294,-0.0190701,-0.182411,-0.291725,-0.0409437,0.015595,-0.0726668,-0.0759394,0.0573072,-0.0617136,-0.0468782,0.0429109,-0.0420673,0.0449242,0.160525,0.00402929,-0.0737976,0.0600673,-0.00325173,0.0329217,-0.125468,0.0549795,-0.0399136,0.25114,0.104549,-0.183056,-0.204191,-0.233909,-0.0565094,0.109914,-0.00266197,0.233395,-0.144172,0.121739,-0.00497618,-0.183189,-0.270275,-0.0775368,0.0100449,-0.0474182,-0.00202165,0.144273,-0.163824,0.103298,0.161515,-0.187733,0.0571678,0.153746,-0.0729748,-0.0970646,0.134524,-0.135082,-0.0669066,-0.150288,-0.0898258,-0.181749,0.208776,0.204404,0.0701942
1,87.1074,0.120684,-0.0935144,-0.165854,0.139377,-0.00181946,-0.108293,-0.0115483,0.147611,0.00930933,0.0830083,-0.0359979,-0.0982993,-0.0647171,0.108278,-0.171511,-0.119917,-0.11126,-0.00145176,0.0297027,0.0458362,-0.271901,0.135335,0.0162979,-0.0710401,-0.215411,0.183449,0.220101,-0.117069,-0.146599,-0.14818,0.0755313,0.0093323,-0.0527321,-0.193711,0.159763,-0.19717,-0.232725,-0.0338684,-0.172592,-0.0243399,0.0885622,0.00608747,-0.129583,-0.176027,0.00696511,-0.106569,0.0945257,-0.0292,0.109636,0.0733342,-0.00954919,0.10468,0.0453263,-0.146573,0.0826728,-0.228586,-0.0137355,0.139132,-0.227937,0.0411906,-0.00693166,0.0238174,0.247679,-0.0248861
2,-82.2788,0.327196,0.032692,-0.0893306,-0.0134704,0.288053,0.202416,0.0988507,-0.187349,0.00852546,0.262201,0.139085,-0.0777061,0.00987875,-0.0625043,-0.125636,0.0804503,-0.141278,-0.00426305,-0.14764,0.0830282,0.152205,0.0258271,-0.0310832,-0.027822,-0.0746087,-0.0276135,-0.160153,0.0907783,-0.0163311,-0.126685,0.290714,0.132969,-0.18497,-0.129555,0.00577377,0.0150486,0.163246,0.108385,-0.00190107,-0.073836,0.0110268,0.151862,-0.0406155,-0.132081,0.0391886,0.0931992,-0.0480016,-0.115277,0.00350241,-0.132437,0.0543588,-0.11602,-0.0133549,-0.101109,-0.0180251,0.203236,0.0166477,-0.129334,-0.186274,-0.0657259,-0.143393,0.0861077,-0.00483977,-0.168025
3,-79.6911,0.0470762,0.00177969,-0.0275164,0.116088,0.0729761,-0.0627898,0.234925,-0.0677956,-0.129803,-0.147567,-0.00614217,-0.0421936,-0.0926851,0.0834443,0.233754,0.0939125,-0.0595049,-0.237223,0.026705,0.00568656,-0.185149,-0.188349,-0.11819,-0.0172609,0.0255852,-0.113482,0.0856026,0.155748,0.0370417,-0.144955,-0.147708,0.200937,-0.0831663,-0.0268718,0.11802,-0.0164784,-0.133771,0.0357035,0.0291696,-0.281578,-0.208019,0.112327,-0.17627,-0.0151089,0.0745069,-0.103262,-0.0108684,-0.0429151,-0.0513019,0.0561001,-0.0597168,-0.157803,-0.0920366,-0.209,0.111518,0.0207022,-0.130101,0.0743463,0.238443,0.237083,-0.10026,-0.0423603,-0.213306,-0.0460603
4,78.6265,0.00284877,-0.0152529,0.166195,0.0468882,-0.0765551,-0.0477352,0.0783359,-0.0141558,-0.0290832,0.0824366,-0.179216,0.186895,0.203153,0.0136466,-0.0548081,-0.0378305,0.0918544,-0.261705,-0.0207109,-0.0192202,-0.0538519,-0.142953,-0.138025,0.185984,0.0145559,0.0448534,0.155919,0.00698576,-0.16476,0.0627291,0.102747,0.0359352,-0.222197,0.224601,0.101774,-0.00882914,0.0577376,-0.0990629,-0.0206684,0.151396,-0.0187351,0.104162,0.109632,-0.145036,0.150086,0.00300756,-0.198732,-0.0867255,-0.278586,-0.0489937,-0.0581756,-0.17778,-0.0720807,0.138935,0.108564,-0.112216,-0.111258,0.126986,-0.0869556,-0.191896,-0.0207885,0.315259,0.0941853,0.068226
5,74.5016,-0.155419,-0.231811,-0.00985449,0.0668851,-0.0830365,-0.0852214,-0.104789,-0.0426097,0.0631732,-0.0223159,0.25332,-0.148646,0.321893,-0.09485,-0.197347,0.0724688,-0.126629,0.025353,0.0864896,-0.123606,0.10937,-0.0900132,-0.0707817,0.0969402,-0.113006,0.115831,0.116791,0.101476,-0.037979,-0.0107481,-0.0964518,-0.0536653,0.012397,-0.098571,0.222825,0.16063,-0.230069,0.161987,0.0818665,-0.121129,0.0376979,-0.2119,-0.161565,-0.0747632,-0.0593209,-0.0161258,-0.196334,-0.0955805,-0.0540098,0.0937196,0.0905093,-0.0536034,-0.173416,0.152348,-0.120574,0.202172,0.0641035,-0.111264,0.141824,-0.0516383,-0.0691707,0.0439243,0.090357,-0.0655061
6,-74.3927,0.0992109,0.0814144,0.144062,0.287427,0.0784362,-0.0661603,0.061938,-0.0949776,-0.13539,-0.0111864,0.0733353,-0.171688,-0.0653434,-0.0965358,0.0380459,-0.0184299,-0.113525,-0.0607245,-0.0524,-0.254008,-0.0714762,0.0781078,0.224313,0.0484266,0.185781,0.114486,-0.130532,-0.255979,-0.0416717,-0.0219966,0.0311886,0.0365172,-0.101416,0.071397,0.106139,-0.136382,0.0493721,0.264033,-0.13136,0.0120035,-0.0122715,-0.120051,0.0928971,0.0495997,0.0576591,0.13656,-0.00509197,0.0575096,-0.260455,0.282635,0.140538,0.0073572,0.285686,0.165854,-0.0563559,0.0352456,0.0857761,0.0918414,0.0480611,0.0969912,-0.0561693,-0.0381437,-0.0261375,0.0776929
7,-72.8954,-0.0324677,-0.139143,-0.178079,-0.00595414,-0.139965,0.153314,0.127885,-0.0856823,-0.0753599,0.0691149,0.0596292,0.0678267,-0.220435,-0.0820427,0.058478,-0.168892,-0.146405,0.0568619,-0.253034,0.0486617,-0.0542087,0.0639772,-0.0741386,0.0972089,-0.0576878,0.0821224,-0.0972223,0.0295062,-0.127258,0.269644,-0.102408,-0.0647398,0.117265,0.0983974,0.0133423,0.0433495,0.0789889,0.0867519,-0.231413,0.111428,0.0982305,-0.0631849,-0.224957,-0.228344,0.091022,-0.16035,-0.0538996,0.00215301,-0.108045,-0.013126,-0.305105,0.0232672,0.0430587,0.0638021,0.111986,0.191917,0.01101,-0.112261,0.0833535,0.1692,0.248702,0.0694818,-0.0621446,0.00397343
8,-71.0851,0.0663305,-0.0846897,0.0681578,-0.0819491,0.102458,-0.18785,-0.028331,0.227749,-0.108048,-0.165509,-0.0318517,0.0439068,0.0763894,-0.145112,-0.143968,-0.0879852,-0.309904,-0.111795,0.047927,-0.0193342,0.145637,0.11904,-0.0940788,-0.144811,0.109324,-0.0109004,-0.0119752,0.256754,0.107455,-0.0102592,-0.113012,0.0896885,-0.052134,0.0437769,0.029299,-0.196607,0.0698143,-0.10082,-0.00917541,-0.139943,0.244503,0.0555814,-0.00595679,-0.0124837,-0.062862,-0.118014,-0.122713,-0.193893,-0.0461198,-0.183745,-0.0618212,0.00181091,0.322524,0.034839,-0.157821,-0.0122808,-0.0607189,-0.0414297,-0.0753,-0.0128853,0.0886496,-0.0892052,-0.117643,0.266217
9,71.0367,0.0606471,-0.250061,-0.203994,-0.267728,0.113931,-0.298973,0.0935305,-0.0842549,0.0115653,0.0358686,-0.131754,-0.0552038,0.115006,0.0204916,0.100041,-0.147414,0.023893,0.0294004,-0.121218,0.0425311,-0.0642615,0.172705,-0.0484543,0.0776649,0.0143255,0.00396524,-0.0253752,0.0792217,0.122003,0.133249,0.175447,-0.0327289,0.0265435,-0.153463,0.0594228,0.0937265,0.0125032,-0.137363,-0.069107,-0.138638,-0.235701,-0.0779215,0.0758032,0.0222735,-0.0570823,0.212401,0.0994253,0.171322,-0.233569,-0.172236,0.0995856,-0.0710306,0.0093923,0.0324208,-0.0656173,-0.0193767,0.174788,0.0763848,0.137768,0.194708,-0.0175146,0.0712529,0.179234,0.179746
