Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64
0,89.484,0.126267,0.142498,-0.17481,0.0442784,-0.18121,-0.0410612,0.241394,0.111673,-0.152209,-0.0217377,-0.170918,0.0225603,0.125382,0.263985,-0.0400339,0.0129719,0.166294,0.150572,-0.168676,-0.0610814,-0.13795,-0.160039,0.0665422,-0.117849,-0.144728,0.100286,-0.0437727,0.0547115,0.0143162,0.0411332,-0.000561063,0.23519,0.0986566,0.132348,0.344127,0.0649625,-0.233395,-0.063226,-0.0448755,0.0980415,-0.0225153,-0.0458053,-0.0550173,0.091932,-0.147711,0.180412,0.0172277,-0.153128,-0.00621787,-0.0803808,-0.167362,0.108314,-0.12213,-0.00905185,-0.0276137,-0.0208769,-0.0776471,-0.022415,-0.0814919,0.0563806,-0.134367,0.0292929,0.0119871,0.108916,0.157929
1,-87.207,-0.0999939,0.0516654,0.0957455,0.0575515,-0.0678244,-0.0602338,0.00204718,-0.195698,-0.101431,0.0850183,0.0156287,0.0744379,-0.0329004,-0.00923944,-0.0815322,0.0199828,-0.0474361,0.116593,0.0614258,-0.0588835,0.106888,0.00697527,0.230496,-0.197388,0.125667,-0.0352538,-0.212628,0.0639757,0.0306389,-0.00996043,0.207159,-0.0821693,-0.185868,0.017451,0.171586,-0.139595,0.0428234,-0.0645548,-0.235003,0.0697314,-0.208814,0.0936789,-0.254988,-0.0589323,-0.0159753,-0.0552019,0.180928,0.15809,-0.214101,0.228314,0.053061,0.237555,0.0870481,-0.031223,0.0144264,-0.12779,0.050287,0.209079,-0.0822295,0.0571845,-0.13846,0.159683,-0.132547,0.0110787,-0.142837
2,-82.3682,-0.065981,-0.0948295,0.0458719,-0.109738,0.134525,0.130526,-0.0855272,-0.0769516,0.115391,-0.0218869,0.112857,-0.0258342,0.306392,0.186204,-0.188393,0.0578067,-0.1266,0.0345302,-0.152122,-0.140525,-0.184523,0.0567071,0.165852,0.1143,-0.00250476,0.0568986,-0.116952,-0.224827,-0.106925,-0.121073,0.021023,-0.0892177,0.0247566,0.157731,-0.00953322,-0.0970229,-0.0303133,-0.133667,-0.11061,0.0983195,0.00655369,0.227461,0.292384,0.0452668,-0.0527928,0.0162544,0.233262,-0.106234,-0.00437644,0.126603,0.250688,-0.0257463,-0.17092,0.0918726,-0.122398,-0.0255819,-0.200332,-0.00829788,-0.0449094,-0.0287389,0.102575,-0.0598565,0.0182704,-0.0768331,0.0983409
3,81.9481,-0.158254,0.0906804,0.0381292,-0.16061,0.0371104,-0.0776474,0.0469822,-0.0399197,0.0722162,0.0368846,-0.185668,-0.101332,0.180276,0.00533107,0.0330749,0.0912184,0.00783995,0.0711537,0.0507519,0.0568986,0.0996367,-0.230592,-0.192798,0.252024,-0.0629447,-0.227309,0.0884674,0.173288,0.135757,-0.107767,-0.0943221,-0.296975,-0.026767,0.245066,0.0340372,-0.0358401,-0.0446374,0.0517035,-0.179779,-0.0182145,-0.0391451,0.249687,-0.170952,-0.0897964,-0.077433,-0.113656,0.0291529,0.0589907,0.16728,-0.0323687,0.0212093,-0.0692664,0.0979849,0.0284955,0.0745166,-0.0123808,-0.0660744,-0.228434,0.0303297,0.185818,-0.0989355,0.0248721,0.00526848,0.224971,0.106252
4,79.3579,0.0304974,0.142753,-0.0255506,-0.209982,-0.201236,0.146695,-0.163855,-0.0370361,0.172576,0.153197,0.159264,-0.0220082,-0.167846,-0.0603805,0.187315,-0.0686207,0.188366,0.0416689,-0.128632,-0.185072,-0.104141,0.107797,-0.068249,-0.0418789,0.0288836,-0.0372853,-0.0227535,-0.137266,0.0700667,-0.0649336,-0.136675,0.161733,-0.0384741,-0.006901,0.0690363,-0.0442305,0.0872099,0.10274,0.0318439,0.0371456,-0.111006,-0.230508,-0.023822,-0.0104744,-0.18449,-0.0753663,0.192141,0.118083,0.102632,0.0767464,0.0988464,-0.205001,0.00847946,-0.124016,-0.0176744,-0.109842,-0.0446894,-0.152966,-0.221819,0.114236,0.161566,0.211938,-0.120656,0.207438,0.0522462
5,-78.7692,0.12733,0.0837394,0.0287237,0.174382,-0.0826467,0.0453047,-0.148287,-0.0606719,0.228929,-0.117799,-0.0248338,0.103201,0.221688,0.225671,0.0502298,0.233362,0.306711,-0.0659852,-0.086449,-0.017103,0.144893,0.00767891,-0.0585487,0.103446,0.12622,-0.0045687,0.0125164,0.24657,-0.134463,-0.0102009,-0.046283,0.116186,0.193688,0.0516736,0.0390641,-0.120835,0.168512,0.152795,0.145955,0.117147,0.09657,0.0401964,-0.0636468,0.0574099,0.0618095,-0.182576,0.0362116,0.175532,0.0351965,0.111484,0.0426041,-0.0515701,-0.0741908,0.0264417,0.195855,-0.0208019,0.0576459,0.255413,-0.110253,-0.0140408,-0.101099,-0.13593,0.069112,-0.125281,-0.0202613
6,76.0034,0.0589937,0.231307,0.148656,-0.176357,0.00413737,-0.139987,0.00661272,0.00165076,-0.0433527,-0.0709466,-0.115866,-0.137805,0.0319087,0.116959,-0.0792504,0.0722894,-0.139248,0.0181459,-0.0225223,-0.0672512,-0.155974,-0.0244619,-0.141324,0.121706,-0.0882606,-0.111122,-0.144205,-0.0115389,-0.21712,0.226791,0.0587365,-0.00512545,0.0739531,-0.185479,0.0150877,0.325309,0.0417338,0.112964,0.0463689,0.036274,0.168925,-0.0430468,-0.00406681,0.216649,0.0300553,0.0402592,0.0978824,0.0118222,-0.118868,-0.0409903,0.165248,-0.0376127,0.225882,-0.0287326,0.142765,-0.220536,-0.118467,0.0121443,0.139179,0.108649,0.004822,0.165475,-0.175701,-0.128923,-0.194713
7,-75.9282,-0.267145,-0.106151,0.158097,0.124465,-0.00656456,0.158986,-0.189061,0.238388,-0.131667,0.113661,-0.0765198,0.0561211,-0.170478,0.0863099,0.00983295,-0.0770793,0.026028,-0.00508436,-0.152949,0.101617,-0.187366,-0.165155,0.0458761,-0.00531126,-0.123399,-0.108722,-0.178345,0.135601,0.11465,0.141664,-0.039777,0.00657175,0.119102,0.0641887,-0.27688,-0.143375,-0.0542897,0.19177,0.0327809,-0.0830479,0.0280425,-0.0711083,0.0485492,0.0627799,-0.0240342,0.0725966,0.0412357,0.0242372,-0.0845732,0.12618,0.058332,0.114236,-0.0682953,0.217893,0.242266,0.118979,-0.18146,0.00163925,-0.0616738,-0.126773,-0.0926971,0.167041,0.0774836,0.140922,-0.0546009
8,-73.7683,0.0648175,-0.178688,-0.0429933,0.0334046,0.0242335,-0.120037,0.0127363,0.275825,0.00589493,0.264015,-0.0771103,0.0205534,0.0861351,0.0375186,0.0313688,-0.129714,-0.018117,0.133752,0.0858198,-0.0744814,-0.194834,0.138315,-0.0385673,-0.0663852,-0.106263,-0.117854,-0.00281342,-0.0829709,0.109502,0.0999411,-0.0189042,0.0413281,0.122303,0.108862,-0.0808207,0.0246659,0.187561,0.0224368,-0.167721,0.216476,0.147896,0.274464,0.0105815,-0.0277463,0.0160715,-0.155,-0.0880655,0.068823,-0.19005,-0.107316,-0.145073,-0.0849803,0.0318908,0.0775073,0.0193895,-0.0516585,0.330765,0.00993637,-0.286697,0.103312,0.120571,0.0397962,-0.0940475,-0.152837,0.0231186
9,72.0343,0.0221817,0.133505,0.039139,-0.178744,-0.0418796,-0.130187,-0.00539836,0.00182327,0.0346618,-0.0155294,0.0764709,0.0881336,0.158427,0.0881235,-0.0460181,-0.2816,-0.0360149,-0.257994,0.179886,0.298129,0.0603056,0.0197015,0.121749,0.0143655,0.00798438,0.102691,-0.0770842,0.0317073,0.111461,0.000270261,-0.126686,0.145596,0.119479,-0.00516305,-0.0482731,-0.0446555,0.12981,0.183817,-0.0273754,0.127902,-0.0565025,0.0389526,0.07573,0.132064,0.0280286,0.230305,-0.0603093,0.0637744,0.0076214,0.191965,0.126953,0.291851,0.216515,-0.183203,-0.0387088,-0.0241002,0.0522596,-0.262241,-0.12326,0.0213184,-0.0251739,-0.137939,0.0524357,0.00258504,0.136637
