Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65
0,87.6167,0.035981,0.208339,-0.0777815,-0.0541586,0.090049,0.0567712,0.00855277,0.04471,-0.119552,-0.0164917,0.138101,-0.00630181,0.143558,0.0044145,-0.0493676,0.0814327,-0.0772816,0.172636,0.163802,-0.173281,0.141256,0.154087,-0.0167961,-0.266682,0.0866273,-0.146914,0.248274,-0.00601773,-0.0577273,0.131044,0.0476138,0.086599,-0.20495,-0.045024,0.131795,-0.125586,-0.157597,0.166176,0.17503,-0.113279,-0.113714,0.132539,0.0316431,0.0448789,0.153558,-0.0043229,-0.152821,-0.0390462,-0.333981,0.0717803,0.0911186,-0.0141217,-0.143619,-0.0361129,0.0257421,0.0996875,0.026661,-0.222912,0.222361,-0.0349928,0.11402,0.0627538,0.0110865,-0.063767,-0.00877716,-0.0754152
1,-87.5377,-0.0347663,-0.0202184,0.0676586,0.0753301,-0.0471197,0.1785,-0.103337,0.0697767,0.0738277,0.0999628,-0.145792,0.0903659,-0.0681631,0.0317095,0.08414,-0.0515167,0.0573238,0.00931038,-0.109677,-0.0365852,-0.205531,-0.154322,-0.0286928,-0.221134,-0.000605358,-0.154368,0.0184918,-0.257946,-0.0921315,0.229502,-0.0249771,-0.0599657,0.0999816,0.00778557,0.0209574,0.0775067,0.0191721,0.00153734,0.0825355,0.0424308,-0.156898,-0.0524365,-0.173752,-0.192695,0.255914,-0.133688,-0.0154984,0.0477915,-0.0209103,-0.0157462,0.0591928,0.075989,0.251369,0.0324551,-0.0504462,0.188596,0.247506,0.00300179,-0.222667,-0.089054,0.307487,-0.0993531,-0.162413,-0.0691459,-0.0821124,-0.100813
2,81.2235,0.028268,0.0996873,0.0378255,-0.0488662,0.00233898,-0.0931434,0.00321077,0.216432,-0.154073,0.0223098,-0.191198,0.145067,-0.124818,0.035177,-0.0752447,0.0156081,-0.156105,0.258199,-0.0219023,-0.124756,-0.16076,-0.151506,-0.0797759,-0.0662208,-0.15331,-0.150043,0.049723,0.239054,0.0583317,0.00873067,0.230029,-0.0264059,0.0530354,0.0224725,0.149714,0.0398819,0.181223,0.218316,0.228261,-0.0242571,-0.110789,-0.213145,8.44412e-05,-0.0345498,-0.0389662,-0.214606,0.0567179,0.00581489,0.0997246,0.227109,-0.0766312,-0.0366218,0.0551563,-0.0376569,0.12485,-0.101109,-0.0437596,0.0043945,-0.0330062,0.0925157,-0.270199,-0.0690679,0.0525473,0.170509,0.0453647,0.0591256
3,-78.5956,0.00291626,0.101596,-0.147499,-0.300166,-0.0292836,-0.127049,-0.129684,-0.0767656,0.0185393,-0.124048,-0.0767957,-0.394484,-0.134285,0.0571453,-0.0259179,0.196371,-0.0555061,-0.125636,0.0527702,0.03056,-0.0995137,-0.175811,-0.0527225,0.144373,0.156763,0.128344,-0.00976664,0.0539167,-0.189714,0.0591134,0.000653558,0.00931863,0.0124789,-0.0676215,0.0221905,0.0838073,0.223316,-0.0859993,0.141843,0.0658658,-0.0557339,0.021252,-0.0860765,0.20283,0.0558887,-0.00358588,-0.0528215,-0.0863201,-0.0140487,0.19688,0.132471,-0.120569,0.00777964,0.0618244,-0.0508302,0.0461942,0.020405,-0.219182,-0.165206,-0.258144,-0.10575,0.0356806,0.000580704,-0.172472,-0.0486923,-0.0602056
4,78.4055,0.00232467,0.0613522,0.147727,0.0807696,0.0331321,-0.110176,-0.145008,0.202311,0.0655715,-0.204045,-0.033329,0.121676,-0.119604,0.0702585,-0.0388565,-0.180937,-0.028252,-0.0724574,-0.248805,-0.035222,-0.0289182,-0.0326761,-0.159581,0.0375445,-0.0240243,0.0944407,0.159955,-0.108726,-0.170854,0.167682,-0.061482,0.043245,-0.253591,0.223983,-0.0302832,-0.068112,0.129575,0.106,-0.0524704,-0.189871,0.153333,-0.00646033,-0.0987565,0.0423705,0.0803677,0.13942,0.0516327,-0.110451,-0.0404638,-0.0390401,0.0516326,0.0974744,0.00364937,-0.0795832,-0.0846479,-0.223838,-0.179493,0.102195,0.0387607,-0.313823,0.0681193,0.166406,0.117098,0.108279,0.161937,-0.0347444
5,75.5807,-0.11057,-0.051359,-0.141362,0.0770765,0.028614,0.257258,0.00251555,-0.200979,0.0766732,0.0788005,-0.224403,0.117586,0.028972,-0.0190203,0.123828,0.00844036,-0.0134552,0.0431612,-0.204358,-0.0125788,0.0471899,-0.101158,0.0913874,-0.0371309,-0.141212,0.161417,-0.010906,0.0735551,-0.14287,0.0382758,0.0876819,0.0381348,-0.186637,-0.160978,0.07405,-0.00440413,-0.17433,-0.0512605,0.070682,0.123904,-0.0898069,-0.0986769,0.00242959,0.109997,-0.0396497,0.224617,0.177926,0.173721,0.0727149,0.105753,-0.00932643,0.0182414,-0.0473991,-0.182443,-0.0818352,0.120102,-0.150721,-0.215086,0.0906563,-0.217691,-0.0123939,0.0157944,0.0209095,0.254088,-0.239198,0.161561
6,-74.9759,0.0748808,0.0614594,-0.22135,-0.044693,-0.170207,0.0385928,0.149432,0.0428932,-0.0177116,-0.287221,-0.154954,-0.0456557,-0.161379,-0.0284525,0.0979491,0.16729,0.0715336,0.147562,-0.270207,-0.108363,-0.0136202,-0.0231538,-0.113312,-0.067312,-0.0694585,0.0196942,0.078471,0.191688,0.0211752,0.0482533,-0.0236074,0.0130979,-0.074147,0.250844,-0.164113,0.149287,-0.0511147,-0.156587,-0.150097,0.141735,-0.131032,0.0597439,0.129997,-0.0916004,0.0824671,-0.0384913,-0.00244677,-0.0859834,-0.0641781,-0.234982,0.00621063,0.0293167,-0.132425,0.0796802,-0.0812092,0.110095,-0.0379794,-0.0482378,0.120996,0.0873874,-0.0255617,-0.174407,-0.202218,-0.0722658,0.220209,0.163216
7,-73.8716,0.00163857,-0.128623,0.0854204,-0.0480567,0.144735,-0.0365923,-0.00874109,-0.221366,0.262003,0.0521146,-0.1129,-0.0397107,-0.100808,-0.0933839,0.0218462,0.275454,-0.122091,0.112351,0.189164,-0.0655434,0.18301,0.0954869,-0.216381,0.010836,0.0599953,0.137541,0.0939022,-0.0367815,0.0596026,0.224562,0.0256123,-0.0055301,-0.0333795,-0.0224358,-0.130603,-0.0506232,0.0882233,0.0678349,0.0157977,0.100994,0.116787,-0.273755,0.0604094,0.105931,0.050297,-0.119473,0.0647716,-0.129287,-0.0977709,-0.063509,-0.290368,0.156879,0.0934425,0.160506,0.0499855,0.137325,-0.076619,0.0524157,-0.0640325,0.105674,0.137639,0.173066,-0.0266288,0.192011,0.0555353,0.00148382
8,73.2077,-0.282989,-0.0195933,-0.0965721,-0.203258,0.104513,0.0788787,0.0923729,0.0689379,-0.0903291,0.125201,0.0549585,0.105982,-0.0866081,-0.231363,0.126082,0.0969823,-0.101979,0.00926654,-0.129228,-0.217927,0.110143,0.0224365,0.106885,0.0224868,-0.0556047,0.0761303,0.019537,-0.00224663,-0.0162701,0.15402,0.20363,0.150942,-0.0263832,-0.205941,0.0540495,0.140847,-0.0998991,-0.0887643,-0.138042,-0.119264,0.0106136,0.205328,0.0617512,0.127569,0.048961,-0.0529973,-0.0948533,0.0493183,0.158669,-0.0509608,0.00409178,0.10786,0.0940845,0.18365,0.21918,-0.302714,-0.00641489,0.145856,-0.12375,-0.133255,-0.00386866,-0.0178393,-0.0956731,-0.0975673,0.0780495,-0.141879
9,-70.7422,0.0874178,-0.0838813,-0.051236,-0.188352,0.187291,-0.212761,0.130753,-0.131742,-0.0880562,-0.00543251,-0.00592102,-0.0421884,0.0267962,-0.219831,0.0990755,-0.138476,0.0343869,0.0636053,0.136026,-0.126785,-0.0139894,-0.051518,0.179193,0.013683,-0.0875651,-0.166261,-0.0295865,-0.0371208,-0.205466,0.100829,-0.100128,0.18804,0.010155,0.161433,-0.181648,0.0461839,0.0224907,-0.100238,-0.101547,0.0666448,-0.0386671,0.213108,-0.077075,-0.102177,0.0284814,-0.216655,0.0451072,0.0918114,-0.122487,0.156534,-0.0738283,0.127511,0.146209,-0.0818345,-0.341538,0.000875356,-0.0105649,0.0895456,0.0554504,-0.00282228,-0.114116,-0.0145993,0.23043,0.184677,-0.0917364,0.0198856
