Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66
0,88.0457,-0.135933,0.00224177,-0.12124,0.0323847,0.0957027,0.12907,-0.165138,-0.152565,-0.0421203,0.0774987,0.102981,0.0119748,-0.117005,0.11444,-0.0783366,0.0308325,-0.0218129,-0.109925,0.0624847,0.311302,0.0304934,-0.095149,0.161172,0.0894982,0.0347126,-0.214051,0.0624953,-0.154269,-0.13715,0.0909191,-0.161816,0.167995,0.112565,-0.126785,0.136923,-0.0206975,-0.127405,-0.0337205,-0.0610657,0.0144164,0.0333242,0.0185774,-0.132516,0.184707,-0.00411488,0.0119727,0.0106602,0.24162,0.267176,0.0553788,-0.142387,0.057762,0.0173396,0.107833,-0.0797275,-0.0677942,-0.204457,-0.14231,-0.113622,-0.206078,0.00512607,0.115213,-0.118222,0.239006,-0.0527186,-0.11858,0.0531034
1,-87.8773,-0.0384359,0.0275967,-0.138143,-0.198595,-0.0645898,-0.0384279,0.140518,0.157072,0.24006,-0.0143185,0.056404,-0.019329,0.049433,0.139933,-0.043839,-0.123953,0.0227911,0.112205,0.115864,0.192835,0.123083,0.0192279,0.156537,0.18175,-0.0321234,-0.0741223,-0.119474,-0.0968418,0.0251127,0.0340868,-0.0664783,-0.0622493,0.0587821,0.281336,0.0833087,0.097536,0.0885238,0.176843,0.112978,-0.208375,0.00314136,0.162091,0.0847182,0.0274288,0.0507737,0.0959346,0.134793,-0.0442192,0.173029,0.0867823,-0.126212,-0.134236,-0.0283742,-0.174937,-0.121821,-0.129971,0.0690583,-0.00451348,0.150623,0.127248,-0.193923,0.120334,0.252581,0.068493,0.0558217,0.111821,-0.191144
2,-83.1173,-0.00281548,0.108819,0.0326804,0.0698643,-0.0154974,-0.198619,0.0666449,-0.0269714,-0.0217815,-0.117721,0.0461942,0.0641456,0.0939748,-0.151044,0.12535,0.0265961,0.206214,-0.0697079,-0.212369,-0.00463884,0.0341314,-0.230976,-0.142295,0.241523,0.00737184,-0.155334,-0.258884,0.183209,0.115045,-0.00430709,0.117159,0.247368,0.177943,0.000985294,0.196464,0.0588093,-0.0165535,-0.0852733,0.0044652,-0.0409315,0.178511,-0.0748358,-0.0426006,-0.238907,0.0148671,0.0120011,-0.177241,-0.000376711,0.197553,-0.0965083,-0.237114,-0.112824,0.0474094,-0.00634013,-0.0484186,-0.026738,-0.0141058,-0.129605,0.172987,0.0232607,0.129704,-0.0225158,-0.0340661,-0.146014,-0.0779767,-0.0550245,0.00576433
3,81.5891,0.0993536,0.0320319,-0.0111249,0.0766067,0.0294465,-0.129007,-0.0921279,-0.00735299,-0.140279,0.224166,-0.200839,-0.0686844,0.124676,0.0773955,0.0781479,-0.00388039,0.0521194,-0.0736708,-0.0210095,0.0211438,0.142358,-0.20695,0.189271,0.107447,0.106236,0.14237,0.226246,0.102968,0.15315,0.0116016,0.0241585,0.163275,-0.0500312,-0.0637755,-0.126886,-0.0452695,-0.0400488,-0.178541,0.00446098,-0.116604,0.207505,0.235694,0.114015,0.0597364,0.223336,-0.0338513,-0.0039345,-0.02956,-0.108595,-0.0151203,0.0729223,0.0037604,0.0787704,0.208779,-0.179651,-0.112015,0.194069,0.10921,-0.00517731,-0.180915,0.0107429,0.110804,0.0744917,0.00155796,0.1162,-0.00727901,-0.293302
4,78.7997,-0.178544,0.0176507,0.171558,-0.0528398,0.0206181,-0.101865,0.12665,-0.019877,0.0116936,0.0131955,0.128181,-0.0191277,0.181306,-0.103152,-0.154043,0.039017,-0.0269755,0.166726,0.113532,0.148757,-0.076335,-0.113305,-0.00395283,0.0796508,0.0347229,0.112075,-0.185964,0.22516,-0.0483028,0.274703,0.0969065,-0.150172,-0.00724802,0.0383205,-0.0240981,0.0475171,-0.132026,0.0694985,-0.175816,0.166463,0.181123,0.0880851,-0.149691,0.242309,-0.0396962,-0.140439,0.0318982,0.0834688,-0.000863014,0.252964,0.148281,0.0676449,0.172544,0.155272,-0.0599322,0.255768,0.098855,-0.152893,0.0011402,0.077522,0.0425658,-0.140387,0.0783254,-0.00943685,0.0699364,0.0218354,-0.0565565
5,-78.7782,0.108782,0.0466739,-0.0929279,0.125685,0.0296627,0.242878,-0.0274155,0.0218463,-0.0294597,0.196914,0.283198,0.0426892,-0.302864,0.0124757,0.0433885,0.144434,-0.0893898,0.156739,-0.262533,-0.0366266,0.0578101,0.075036,-0.213958,0.172728,-0.11975,-0.00327924,0.0275001,-0.104342,-0.0269838,0.273364,-0.0825238,0.125987,-0.0422894,-0.0406889,-0.131458,0.083765,-0.204312,-0.0943726,0.0048562,0.075244,0.182054,0.205679,0.0747383,-0.0646015,-0.0279611,-0.0971517,0.0352207,-0.0729395,-0.108908,0.0955872,-0.0488704,-0.0354906,-0.0312368,-0.0106595,0.110996,-0.0302847,0.0866527,0.0246132,0.171594,0.226863,0.0117507,0.0923737,0.00791163,0.0527718,-0.012448,0.163451,0.0131359
6,77.6228,-0.109352,0.112837,0.0972678,0.125101,-0.187249,-0.00515446,-0.0964889,0.168194,0.0485164,-0.129547,0.04107,0.079885,-0.00646974,-0.271713,0.0718092,-0.0959886,0.0894886,-0.0280515,-0.268388,0.0352379,0.128781,0.0186957,-0.0250845,0.0412212,0.262234,-0.0729261,0.12245,-0.0803083,-0.00564058,0.0995228,-0.029202,-0.0685615,-0.0129067,0.14328,-0.0843993,-0.131427,-0.00341799,0.181349,0.0486196,0.215988,-0.069289,-0.148065,0.307952,-0.0661037,-0.0945564,-0.133004,0.0400881,0.0705798,-0.037584,0.00531647,0.180565,0.0305313,0.127123,-0.0312119,-0.10267,-0.169747,-0.0339234,-0.145212,0.0674827,-0.140761,-0.0230685,-0.0623871,0.01171,0.310185,0.103156,-0.0739925,-0.0927316
7,-75.1945,0.0260258,0.0458389,0.0704523,-0.0104891,-0.298086,-0.177601,-0.126635,0.126938,-0.020729,-0.0369486,-0.0434864,0.16488,-0.0578161,0.147896,0.17496,-0.0477281,-0.0806154,0.172442,0.0221346,0.231718,0.289621,-0.00468714,-0.172841,-0.123458,-0.232887,0.0576739,-0.0202652,0.0582988,-0.0832245,0.106959,0.0625069,0.0772571,-0.171914,-0.13082,-0.0391502,-0.0218188,0.195845,-0.0537902,-0.300504,-0.0471003,-0.140074,0.144926,-0.0856178,-0.0141333,0.106485,-0.0615685,-0.0848775,0.0384897,0.011075,0.0424735,-0.106637,-0.0935057,0.0887443,-0.127199,0.0324183,-0.102991,0.123821,-0.0566713,-0.0774702,-0.135144,-0.141803,-0.178081,-0.0562992,0.0377359,-0.0249642,-0.0522812,0.163776
8,73.8202,-0.0515286,-0.00278475,0.128825,0.0622155,0.145778,-0.00961095,0.0115477,0.0365792,-0.0553609,-0.220125,-0.0452359,0.153964,-0.095667,0.0595026,-0.143779,-0.235838,-0.0426489,0.00164812,0.0604017,0.000456404,0.0746518,-0.0704593,-0.152545,-0.0337457,0.218754,0.0673842,0.0932128,-0.0138955,0.183519,0.0122473,-0.103957,0.0900027,0.0176995,0.000498351,0.190476,0.00221387,-0.257654,0.125513,0.0170807,-0.0288311,-0.13327,0.151599,0.0538147,0.0507628,-0.0120281,0.0858091,-0.319463,-0.201674,-0.0619869,0.183877,-0.175649,0.317973,0.117,-0.186188,0.115239,0.0673284,0.117199,0.0208778,-0.101761,-0.0901857,0.0091915,0.11641,0.0248223,-0.0225029,-0.0850936,0.158574,-0.0383561
9,-70.7277,-0.00901916,0.196606,-0.188979,-0.178289,-0.0343572,0.0784169,-0.171082,-0.00195797,0.150054,-0.0110596,0.0368149,0.0707055,0.0299368,0.0615974,-0.313816,-0.13961,0.00692581,-0.123983,0.0370294,-0.0603388,-0.0992045,0.113641,0.0326032,-0.103489,0.0896359,0.0927168,-0.0589623,-0.00575151,0.185738,0.153299,0.140338,-0.116439,-0.024891,-0.178196,-0.0452912,-0.0306646,0.0538321,-0.0237279,-0.0499676,-0.162224,0.182592,0.00867516,-0.0169524,-0.202844,0.0782661,-0.4933,-0.092021,-0.0916379,-0.00730928,0.05254,-0.0091722,-0.0798635,-0.0748459,-0.138442,-0.12158,-0.0231126,-0.169552,-0.05528,-0.00751192,-0.0901801,0.0552171,0.0153858,-0.124795,0.00018197,-0.124483,0.0581938,-0.0568835
10,69.2531,-0.0748436,-0.169402,-0.161033,0.0777455,0.174983,-0.0208698,-0.0296981,-0.034827,0.0780749,-0.0718828,-0.16522,-0.0325689,0.12706,0.014188,-0.107918,-0.168182,0.131545,0.152332,-0.200945,-0.147328,0.114015,-0.161925,-0.034981,-0.0788458,-0.0566436,-0.0394907,0.00511591,-0.0119993,0.010826,0.0841965,-0.251089,-0.203119,-0.290904,0.120083,-0.167875,-0.0619517,0.0280279,-0.0345312,-0.116778,0.0277267,0.130768,0.0155618,-0.0418502,-0.11281,0.0617433,-0.00178955,-0.0348354,-0.0522818,0.209149,-0.0933805,-0.0889209,0.0389411,0.106038,0.247636,0.239598,0.0937232,-0.168128,-0.00475929,0.0808225,-0.00101751,-0.269443,0.0688556,0.0697131,0.0261215,-0.161474,-0.0786838,0.0364594
11,-68.6814,-0.0272569,-0.0887134,0.0986752,0.150338,-0.238053,0.0801608,0.218956,0.0341702,-0.0538479,-0.160919,0.0959494,-0.0140176,0.0886804,0.296777,0.0674876,-0.00920519,0.105697,0.205928,-0.0828369,0.00197399,-0.191259,0.0645149,0.0453756,0.0804784,0.155622,-0.144713,0.0361299,0.0620559,-0.00018731,0.0411106,-0.304911,0.0887236,-0.0432786,-0.207734,0.090696,-0.0658179,-0.048605,0.0267246,-0.0248583,0.0374508,0.206258,-0.184896,-0.134849,0.0425423,0.0277553,-0.0807811,-0.0673859,-0.158698,0.017188,-0.101194,0.195146,-0.169189,-0.175368,-0.0563015,-0.0741451,-0.0530437,0.0231915,0.104567,-0.200061,-0.12538,-0.131243,-0.0456339,0.13361,-0.0514187,0.0011054,0.149393,-0.0158869
12,66.9185,0.266291,0.0379089,-0.0610287,0.00497628,0.144688,0.0260206,0.0439833,0.013979,-0.14938,-0.0273249,0.114894,-0.0544405,0.105467,-0.0430337,-0.0754676,-0.0701234,-0.184939,0.221738,0.145045,0.00424723,0.0739831,0.194319,0.00914318,-0.00606703,0.216762,-0.0416547,-0.0222342,-0.0952556,0.0496978,-0.0755791,0.05167,0.130306,0.13393,0.0392184,-0.114974,-0.263769,0.0603832,-0.0192893,0.00411738,0.243945,-0.128662,0.0387313,-0.0224442,0.183352,0.0585811,-0.067477,-0.0422494,-0.16972,0.164744,-0.113546,-0.0611791,-0.0661412,0.125709,0.180004,-0.173846,-0.169656,0.00593459,-0.120505,0.206936,0.033579,-0.142627,-0.122131,-0.150885,-0.214464,-0.143444,0.0778359,0.0486077
13,-64.1735,0.113916,-0.228841,-0.0714667,0.0692472,0.00136611,-0.0280124,0.183969,0.0834256,-0.0403314,-0.226973,-0.0230856,-0.00166912,-0.0469293,-0.0834226,-0.184741,0.130687,0.138109,0.0787188,-0.0415977,0.106981,0.188457,-0.0448785,0.0565953,-0.181417,0.141493,-0.0549768,-0.0505266,-0.122298,-0.05273,0.111934,0.0868109,0.0052581,0.0923736,-0.0890223,0.0327058,-0.0277685,0.0975168,-0.211029,0.00691478,-0.241784,-0.0539676,0.179847,-0.113372,0.07843,-0.266579,-0.0634786,0.0549616,0.171167,-0.216878,-0.296797,0.0691509,-0.0484267,0.149573,-0.0182977,0.098349,0.00267802,-0.0714704,-0.0455302,0.0258374,-0.00187036,0.187629,0.0153527,0.11897,0.0721134,-0.105368,0.192713,-0.124682
14,63.9481,-0.0732048,0.0182006,0.072137,0.34937,0.149132,0.099251,-0.0261124,-0.189697,0.115594,0.143261,0.0271566,0.262363,0.0798628,-0.123089,-0.0396068,-0.0214242,-0.0123446,-0.0164914,0.0866247,-0.117358,0.0757262,-0.108285,-0.0706698,-0.0862735,-0.150898,0.249905,-0.132523,-0.104976,0.0205466,0.074268,0.0626034,0.0820433,0.0188554,0.0992741,0.205317,-0.00119646,0.0472842,0.0859464,-0.0278948,0.0495183,-0.00967037,-0.121121,0.0365172,0.123655,0.19474,0.0309652,0.102256,-0.0409013,-0.0239088,-0.102137,0.0162212,-0.294548,0.173309,-0.0477879,-0.035935,-0.164771,-0.18996,0.0694494,-0.275964,0.0592323,-0.0393871,-0.00549545,0.0504604,0.0275254,-0.000825259,0.219982,-0.0950059
15,62.9602,0.0100348,-0.104197,0.0733157,0.0238721,0.0279202,0.287729,0.0686095,0.0994536,-0.131885,0.0290266,-0.217682,-0.035377,-0.122446,-0.0238977,-0.115693,-0.0192298,-0.11441,-0.123229,-0.0357448,0.0564958,0.159122,-0.136482,-0.111989,0.0885606,-0.078431,-0.187314,0.0945753,0.0903432,0.0567481,-0.145169,0.227788,0.00394492,0.156154,-0.0540851,-0.236129,0.228234,-0.137232,0.0194584,0.140898,-0.0686406,0.00579495,-0.156275,-0.00297688,0.139954,0.0455525,-0.180474,0.012622,0.0189775,0.103146,0.0710124,0.0260562,-0.125507,0.0407718,-0.13542,0.128695,0.0715334,-0.0936263,-0.0547236,-0.0140911,-0.108623,-0.269883,-0.271709,0.185871,-0.110197,-0.0190123,-0.0146402,-0.0865516
16,-61.4629,-0.122658,0.0536491,-0.172093,0.00569306,0.0459448,0.105491,0.0411395,0.0299757,0.0389198,-0.107373,0.115566,-0.11045,-0.0878712,0.0668566,0.0727789,-0.0444744,0.139553,-0.0787198,-0.0501437,0.0173967,0.236786,0.0268854,-0.0912935,-0.0654275,-0.103841,0.235747,0.14042,0.166227,0.144073,-0.275606,-0.0363491,-0.0457995,-0.089379,0.151116,-0.131996,-0.168203,-0.115878,-0.111435,-0.12302,0.0407747,0.0316814,-0.0869234,-0.234258,0.161618,-0.0825064,-0.028775,-0.0506699,0.016123,0.134214,0.0432087,0.0662091,-0.00968779,-0.0763172,-0.0932152,-0.0749899,-0.20138,-0.0503742,-0.254431,-0.0340706,0.0796865,0.278965,0.124201,0.174704,-0.112254,0.201342,0.0747024,0.0726222
17,60.3861,-0.0680795,-0.228676,0.0189171,-0.137575,-0.0970885,-0.164754,-0.172905,0.0267671,-0.0983457,0.00046687,0.0635677,0.235294,-0.177928,0.0886195,0.120789,0.126293,0.191427,-0.0190304,-0.0158889,-0.0784004,0.0533167,-0.152466,0.235773,-0.109611,-0.0573943,0.0139283,-0.0859793,-0.181409,-0.111407,-0.124882,0.0309074,0.0870683,0.244325,0.0920786,-0.121884,-0.208717,-0.0803553,0.299494,-0.00537038,0.00307366,0.0678408,0.0539834,-0.0776012,-0.0140154,0.110355,-0.161786,0.0320431,-0.229211,0.0569609,0.0393642,0.110716,-0.00298254,-0.0596505,0.0546813,0.233445,0.128049,0.00790845,-0.12243,0.0063693,0.0465545,0.0242879,-0.00197676,-0.144962,-0.0822757,0.0631173,0.100622,-0.131771
18,-56.8113,0.0445922,-0.134322,-0.157378,-0.0534908,-0.129533,0.159031,-0.000664643,-0.274322,-0.158531,-0.148521,0.0641305,-0.173315,0.087965,0.0241038,0.0749173,0.0805403,0.0818534,-0.0961826,-0.00403353,0.133259,-0.132735,-0.161935,-0.214164,-0.161613,-0.167923,-0.0439049,-0.0674741,0.0711631,0.168403,0.157509,-0.128995,-0.0514519,0.00662859,0.00668238,-0.0716091,0.0990063,0.0540035,0.13512,-0.00765417,0.00204306,-0.172133,0.0889838,0.125702,0.0428613,0.0844261,-0.0701199,0.00650134,-0.114022,0.11236,-0.183919,-0.0775089,0.278131,0.00240794,-0.00640837,-0.149673,-0.10211,-0.0241299,0.0661372,-0.0139167,0.122993,0.0538909,-0.237154,-0.115184,0.0746679,0.179914,0.0755934,-0.236514
19,-55.8439,-0.127584,0.091051,-0.0931497,0.0865452,0.115967,-0.146471,-0.255284,-0.0150933,0.174073,-0.0909224,0.215768,-0.100198,0.0587171,0.0168061,0.0848133,0.2689,-0.161754,-0.0476619,-0.0119561,0.199972,-0.0690559,-0.00993325,0.0242288,-0.0949765,0.197111,-0.0534499,-0.00117856,0.136541,0.304463,-0.14638,-0.0258898,0.0798648,0.0661769,-0.0188061,-0.039924,0.149226,-0.00230761,0.00712152,-0.125651,-0.0483546,-0.0453077,0.0111677,-0.0713818,-0.0404724,0.126479,0.0770973,-0.000503298,0.0685093,-0.0257979,-0.0357527,0.355624,0.0124111,0.125208,-0.0996241,0.261422,-0.0690985,-0.0411491,0.111624,0.133298,0.0950503,-0.222277,0.0297834,-0.00343866,0.0134333,-0.0948556,0.0715955,0.0287519
20,55.73,-0.228849,-0.185557,0.141772,0.233905,0.0812897,0.00863348,-0.0623989,-0.0278693,0.0922625,-0.0294039,0.0354128,0.0252931,-0.303031,-0.205599,0.0219106,-0.03184,0.254069,0.218539,0.11521,0.0160544,-0.028084,0.020605,0.240077,0.218862,-0.0376662,0.00857507,0.0101366,-0.0232982,0.244578,-0.0780387,0.0730652,-0.137323,-0.127288,-0.0886856,-0.00744891,0.0513728,0.0540819,-0.087492,-0.0551377,-0.0428551,-0.0523626,0.00697992,-0.0127605,0.176995,0.0487374,-0.161999,0.1254,-0.0616132,0.0464,-0.123654,-0.114631,0.11266,-0.0856262,-0.15542,-0.144073,0.00297948,0.116145,0.196991,0.180547,-0.0265356,0.00322179,-0.0674111,-0.148481,-0.0376503,-0.0329459,-0.0951168,0.10686
21,-53.9485,0.109583,0.183714,-0.134047,0.0186204,0.0734855,-0.0624585,-0.0779891,0.140972,-0.114173,-0.167902,0.0994746,0.0396971,-0.129567,0.128913,-0.0586337,-0.0515055,0.233658,0.127348,0.143105,-0.0678248,0.101229,0.0371291,0.0182833,-0.103259,0.0104773,-0.00817695,-0.117675,0.0930529,-0.175966,-0.0516392,0.00672702,-0.0235372,-0.00412671,-0.067301,0.0357233,0.0645075,-0.143406,-0.229368,0.0246847,0.125193,0.071456,-0.0974984,0.0314827,-0.152104,-0.00922949,0.161146,0.264124,-0.000968591,0.0799032,0.230205,0.01986,0.0845829,0.202274,-0.0537984,-0.0131319,-0.00997612,-0.220299,0.314963,0.0558103,-0.1197,-0.00493651,-0.176821,-0.0883039,-0.0604383,0.212356,0.0381174,-0.183241
22,53.3031,0.0344719,-0.0987074,-0.0827454,-0.0614931,0.0122875,0.0384539,0.115094,-0.0706172,0.0413346,-0.145639,-0.1165,-0.0694833,-0.0448679,-0.237937,0.278329,-0.0654113,0.218697,-0.137626,0.334893,-0.029577,-0.0217718,0.0887327,-0.166804,-0.0158397,0.0480355,0.018862,0.0256799,0.170444,-0.143235,0.238325,-0.0130792,-0.0755224,0.149118,-0.0229049,-0.0935444,-0.101236,-0.177489,-0.0544437,0.0761817,0.0113341,0.00137558,0.118021,-0.0330019,0.0495034,0.0558873,-0.0606971,-0.080285,0.0283355,0.112816,0.108977,0.135913,-0.251901,-8.29243e-05,-0.0706876,0.139206,-0.175784,0.120318,0.152458,-0.0410367,0.0380185,-0.0959429,0.211649,-0.146482,0.0917657,-0.169287,-0.126918,-0.0108686
23,-52.8739,-0.312739,0.103733,-0.0566338,0.0756692,0.134836,-0.078262,0.152539,-0.205227,-0.207639,0.0634499,0.0517528,0.0742373,-0.0840356,0.159905,-0.0147412,-0.0070459,-0.0283427,-0.0105734,-0.0340339,-0.0945422,0.0546906,-0.120641,-0.140964,-0.220954,0.246636,-0.227609,0.00996408,0.0817231,-0.169343,0.124183,0.146835,0.0472751,-0.151632,0.0440429,-0.00190164,-0.226262,0.0367546,-0.0738269,0.0499853,-0.133593,-0.176056,0.00558158,0.0538846,0.0208962,0.217725,-0.0060275,0.0939063,0.0383516,-0.0512743,0.00404247,0.0582648,-0.0750688,-0.183833,-0.187373,-0.161854,0.181461,0.00901392,-0.0479306,0.190107,0.116368,-0.0877209,0.0785558,0.0457271,-0.0379065,0.0919905,-0.0826213,0.0142998
24,50.6062,0.0300167,0.189557,0.0431256,0.160155,-0.142894,-0.151676,0.0343499,-0.143373,-0.251691,-0.0499487,0.0145164,0.0249515,-0.112295,0.124343,0.060771,0.202965,-0.143626,-0.0327096,0.136693,0.0968243,-0.0149328,-0.0671518,0.125168,0.0147811,-0.0545434,0.0144134,-0.101584,-0.0372652,-0.0494236,-0.0965206,0.17574,-0.360413,-0.114296,0.203167,-0.00744136,-0.0116912,-0.0405032,-0.0623067,0.0662776,0.200577,0.0961797,0.0264965,0.15101,0.0146511,-0.122951,-0.143612,-0.324594,0.0896801,0.112969,-0.0882077,-0.0858262,0.00911785,-0.123419,0.0115155,0.0774376,-0.0647847,-0.098502,0.169491,0.0403107,-0.0725314,-0.0297781,0.13281,0.136806,0.0492439,-0.132222,0.165068,-0.0547496
25,-49.8518,-0.123412,-0.111498,0.0589208,-0.0850858,0.130884,-0.0150993,0.043499,0.0757008,-0.0170916,0.0812728,-0.0571719,0.0947669,-0.11496,-0.0099041,0.045475,-0.0202959,-0.0215235,-0.0189748,0.0215358,-0.0403037,-0.0650005,0.184998,-0.12853,-0.0440009,-0.00863255,-0.180826,-0.0986761,0.214364,0.124886,-0.0458587,0.014073,0.0510577,0.0740416,0.0921411,-0.041544,0.0104195,0.278909,0.0272232,0.242458,0.354564,0.104015,0.236148,-0.338366,-0.133606,0.13249,-0.0977795,0.0671063,0.0719969,-0.131324,-0.0952663,-0.121559,0.121929,0.046778,0.0145512,-0.0104672,-0.0583385,-0.0614381,0.0238616,-0.0680752,-0.203491,-0.0473261,0.129044,0.0992952,0.173056,0.173598,0.129654,0.0210491
26,47.3717,0.106535,-0.080302,0.0796451,-0.140124,-0.0549054,0.0300468,0.224728,-0.143092,0.00952733,0.101347,-0.186242,0.306204,-0.108623,0.102265,0.0863264,-0.104131,-0.103701,-0.0797917,-0.076603,0.0190416,-0.173289,-0.0701697,0.0355474,-0.0401137,0.108111,0.0163117,0.112328,-0.118062,0.22815,0.0890858,-0.0293816,-0.119681,0.163146,0.093348,0.0518759,0.0239469,-0.0190978,-0.106845,-0.312656,0.0865136,0.0878138,0.169858,-0.0268795,0.0250553,-0.111288,0.133301,-0.00610332,-0.0815867,0.0477528,0.00997175,0.136022,-0.115842,0.0918442,-0.107524,-0.00674936,-0.0755491,-0.266837,0.0896653,0.257685,-0.0127869,0.0672301,-0.0916181,0.0190779,-0.00982482,0.182085,-0.170188,0.124007
27,-47.0061,-0.099088,0.0360143,0.142977,0.104511,-0.0629616,-0.0246724,0.154009,-0.170329,0.286078,0.201486,-0.0165118,-0.0596013,0.0275174,0.0667495,-0.12823,0.147533,0.123194,-0.0421938,0.0596738,0.101129,-0.0102646,-0.0862989,-0.077282,0.00339219,-0.0170788,-0.135108,0.0512885,-0.13197,0.00242246,0.0735518,0.0970177,-0.183714,0.0136116,-0.209561,-0.285753,-0.148895,0.00652379,0.0144592,0.0555993,0.0781209,-0.00713331,0.0348825,0.0242234,-0.232424,-0.108756,0.266452,0.0801563,-0.0515082,0.0867174,0.0416309,0.00150249,0.0993775,0.114237,-0.11235,0.0216421,-0.169015,0.103348,-0.169233,-0.0489486,-0.194661,-0.0172866,0.0776703,-0.118359,-0.287536,-0.00513968,0.191737,-0.0259801
28,45.2259,-0.123963,-0.093299,0.0959561,-0.244714,-0.196681,0.0415514,-0.210038,0.0572974,-0.022637,0.00213234,-0.252149,-0.207057,-0.131535,0.102096,-0.0620302,0.112992,-0.0894184,0.0903562,-0.0516493,0.0277034,0.0076973,-0.191348,-0.0797901,0.145026,0.146187,0.019198,-0.0266186,0.250641,-0.0121553,0.00663375,-0.00403576,-0.0596883,0.0475156,0.0522622,0.00148251,-0.21901,-0.100205,0.0332549,-0.0309829,0.0119537,0.00529102,-0.0977947,0.0779192,0.0415296,0.0477933,0.0817268,0.207701,-0.0797266,-0.138502,-0.0306107,-0.163778,-0.0944082,0.16457,-0.00239765,-0.128562,-0.0625525,-0.205959,0.14486,-0.0313539,0.150565,0.114129,0.0919866,-0.0693703,0.0466935,-0.209614,0.223019,0.203372
29,-43.8731,0.0347944,0.00691788,0.0366114,0.0379281,-0.241029,-0.0161995,0.103025,0.0347504,0.25617,-0.1223,0.0801123,-0.152602,-0.0376053,-0.0557477,-0.00950508,0.0881781,0.0131472,-0.234068,-0.0444122,-0.0961524,0.136771,-0.11307,-0.0148331,-0.0252368,0.25823,-0.0453756,-0.143912,-0.274946,-0.105482,-0.0960502,0.0802492,0.0975676,-0.174633,-0.0832646,-0.177272,0.18297,0.122007,-0.0421314,0.0484778,0.124717,0.0611517,0.12535,-0.126369,0.225376,0.15603,0.0169804,-0.163623,-0.180886,-0.0342914,0.142946,-0.103241,0.00787221,0.0657395,0.0508769,-0.105374,0.0597004,-0.174115,0.168591,-0.112692,0.168521,-0.000336977,0.0689,-0.0166095,-0.00452576,0.103145,-0.145315,0.0737516
30,-41.7965,-0.26866,0.00473272,0.0405372,0.0293119,0.00295365,-0.151752,0.256284,0.134133,0.0314589,0.139933,0.171122,-0.254701,-0.148745,-0.0765669,0.12983,-0.0688075,-0.216749,0.0217074,0.0788255,-0.214651,-0.10743,-0.0131727,0.00479749,-0.0903281,-0.131352,-0.0153325,0.124276,0.0502501,-0.00960224,-0.056292,-0.00396474,0.21832,-0.0582967,0.105469,-0.0513871,-0.0487992,0.0461465,-0.00444067,0.00387426,-0.243269,0.0531842,0.151473,0.0750937,-0.0508234,-0.192504,-0.0208352,-0.0647796,-0.144435,0.209628,0.0397338,0.0677168,-0.0204212,0.145289,0.0433433,-0.0463238,0.0278342,-0.190291,0.0462473,-0.0564362,-0.157027,0.0952261,-0.200989,-0.106723,0.169397,-0.156088,0.0968011,-0.07004
