Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67
0,-90.189,0.0300521,-0.0454308,-0.0698818,-0.00660487,-0.0461414,0.12105,-0.236257,-0.114377,-0.159596,0.152158,0.0829615,-0.257006,-0.0960435,0.059629,-0.163979,0.0545174,0.158653,-0.26196,-0.108936,0.00143022,0.0384687,-0.215121,0.0802514,-0.213412,-0.0990208,0.0860096,-0.0377864,-0.215201,0.166689,-0.132673,0.317445,-0.108692,-0.0275174,0.158817,-0.11723,0.115406,-0.0240581,0.0452779,0.184091,-0.0469336,0.0927275,-0.00237871,-0.119066,0.063016,-0.164113,-0.0460886,0.0650438,-0.0265654,0.0712111,-0.0139094,-0.0244632,0.012197,0.147271,-0.145254,-0.116822,0.126989,-0.0378185,-0.0324985,0.041823,-0.0964781,-0.0778734,-0.123502,-0.0262234,0.172443,0.0584717,-0.0559001,-0.0945427,-0.0453571
1,87.7296,0.155704,-0.00547281,-0.188861,0.0396749,0.0439297,-0.00288874,-0.120558,0.147617,-0.0614354,-0.0380295,0.0453211,-0.236538,0.0115722,-0.0561527,-0.0848119,0.142253,-0.0501477,-0.0732267,0.213581,-0.0333397,-0.175914,0.00590458,-0.0935185,0.215498,0.164526,-0.0257393,0.0827309,-0.0965368,-0.0181012,-0.00246952,0.056541,-0.105419,-0.175181,-0.0390164,-0.171651,-0.00216525,0.00196872,0.0249097,0.119544,-0.0115647,0.0732768,-0.188402,-0.0692623,0.0692776,-0.0424392,0.268075,-0.102148,0.0817235,0.0208032,0.0400595,-0.0505543,0.0370751,-0.0570329,0.262542,0.0554039,0.0600045,0.172379,-0.118879,-0.0311052,0.124959,0.272741,0.137117,0.24879,-0.0563624,-0.19339,0.0987951,-0.194029,0.0261548
2,86.3456,-0.0054556,-0.107488,-0.0599981,-0.0678794,0.0564632,-0.00811545,-0.169221,0.0760738,-0.0379913,0.00657483,-0.0274306,0.0486386,0.0107813,-0.185362,0.178604,0.207106,-0.28934,0.0475867,-0.148057,-0.111151,0.0852666,0.038381,0.127132,0.0965624,-0.135755,0.182467,0.128004,-0.145308,0.337666,0.0076985,-0.0172094,0.022731,-0.0413477,0.00803489,0.0591832,-0.0978992,-0.13678,0.192383,-0.149452,0.102652,-0.208056,-0.042439,0.0603658,0.154343,-0.0292235,-0.141559,-0.0618974,0.0961334,-0.00636472,0.162605,0.0548206,-0.21078,-0.0362689,0.108383,0.176557,0.0591368,-0.0506451,0.0248015,0.0405796,0.0632991,0.110497,-0.10214,-0.166197,0.152058,0.0723165,-0.0266483,-0.156503,0.160581
3,-85.966,-0.153759,0.0655073,0.141226,0.2351,0.323358,-0.0630259,0.10808,-0.0462703,0.0435422,-0.0614379,-0.215197,-0.00871409,-0.352114,-0.0635281,0.121355,0.124712,-0.0235292,-0.241926,0.127876,0.130723,-0.176512,0.0747576,-0.0694839,-0.00898035,-0.115531,-0.0498386,0.0126715,-0.0980443,-0.165688,-0.0144378,-0.154098,8.20682e-05,-0.0860266,0.0141873,-0.0821506,0.147668,0.0464955,0.199121,-0.0422373,0.0286671,-0.0228602,0.0615996,0.0143337,-0.0305107,-0.146357,0.0107815,0.269422,0.00571436,0.0942537,0.162897,-0.0500444,0.031375,-0.15639,-0.0682616,0.132899,0.0721569,0.1046,-0.0657087,0.080931,-0.136026,-0.0288167,-0.0615837,-0.0383147,0.161837,-0.0675076,-0.0633268,0.0148868,-0.0221223
4,-79.4581,-0.152606,0.0518906,0.196063,0.145593,0.11587,-0.0621265,0.095497,0.0686758,0.104755,0.128751,-0.0561855,-0.171124,0.105255,-0.0749103,0.159169,0.0396815,-0.043163,-4.70489e-05,0.0555558,0.0565178,-0.0290733,-0.101483,-0.00787943,-0.073621,0.150679,0.160424,0.386973,-0.0600147,0.0756892,-0.206974,-0.044492,0.112978,-0.190213,0.120097,0.101373,0.144083,-0.014788,0.0314285,0.0371011,0.0491141,0.0218802,-0.220176,-0.134169,0.00672646,0.270444,0.103534,-0.121023,-0.105546,-0.0910375,-0.159063,-0.0559191,0.0223721,0.0706283,-0.0924376,-0.189413,0.0410558,-0.121549,0.248264,-0.0342212,-0.0137203,-0.0500722,0.100719,-0.138446,-0.0687492,-0.117396,-0.0972981,-0.0152631,0.0201601
5,-77.0768,0.00172528,-0.278259,0.0836429,0.0918211,0.0748502,0.22078,0.0588222,0.0722887,0.0491393,-0.0821077,0.114386,0.118012,0.0955087,0.0739764,0.179579,-0.138878,-0.0531464,-0.0888715,0.0399558,-0.0764956,0.00770564,-0.0698434,0.173416,-0.0170562,-0.0623834,-0.0430314,0.0462004,-0.00724273,0.145777,0.0271253,-0.014017,-0.149209,-0.0880475,0.0550902,0.0895719,-0.130882,0.065146,0.0572986,0.130481,0.15877,0.0472158,-0.115073,-0.0573365,-0.121319,0.0965337,-0.0113046,-0.00539281,-0.0928641,0.0894454,0.178608,-0.125991,0.326052,0.0373044,-0.158207,0.178724,0.223994,-0.0514733,-0.0778781,0.140616,0.189759,0.110399,0.0345068,0.213617,-0.00316065,0.143335,0.0587376,0.269029,-0.0904228
6,76.9024,0.0641987,0.154701,-0.104481,-0.253188,0.0688802,-0.104157,0.0980378,0.039031,0.251346,-0.0429778,0.142379,0.0929346,-0.121708,-0.19222,0.120748,-0.0161377,0.0570574,-0.0616112,0.118919,-0.106207,-0.182541,0.0745159,-0.150249,-0.11935,0.0946423,0.0259635,0.01976,-0.152466,0.103559,-0.237083,0.0503041,0.0093188,0.0728044,0.134406,0.0103324,-0.0515704,0.101073,-0.0221391,0.0627364,-0.00152794,-0.019629,0.012519,0.0989791,-0.0154846,0.0594074,-0.0940067,0.0569799,0.304274,0.176387,-0.150253,-0.0257332,-0.312125,0.10529,-0.0455193,-0.0779059,0.0921547,-0.0588613,-0.0471854,0.0965,0.0705905,0.0792012,-0.144836,0.148742,-0.0988117,0.0522762,0.0678751,0.220329,-0.156936
7,76.6921,-0.0412902,0.0743114,0.0771999,-0.0443634,-0.136336,0.149427,-0.0176968,0.142741,-0.127132,-0.123,0.218377,0.0850435,-0.0723743,-0.0559783,0.101458,-0.0877957,-0.0418788,-0.188234,0.159879,0.0730046,-0.251079,0.0427422,-0.0898737,0.00911911,-0.010008,0.0609157,-0.159837,-0.17425,0.0353821,0.290053,-0.108756,0.118831,-0.00974207,0.199074,-0.0920558,-0.0542298,-0.176771,-0.210535,-0.0292584,0.283361,-0.0017094,0.00459826,0.120292,0.0401859,0.0676655,-0.033826,0.0829405,-0.148753,-0.198045,-0.0208043,-0.040756,0.00734493,0.166302,-0.0273835,-0.193208,0.0585612,-0.0469603,-0.0740262,-0.073909,0.0177567,-0.097147,-0.0449363,-0.00886686,0.0409144,-0.128161,-0.012892,-0.0471028,0.289445
8,-75.382,0.033369,-0.074603,0.121965,0.122777,0.113426,-0.0430216,-0.0802064,0.0345523,0.0555905,0.0761106,0.122803,0.108007,0.0382003,-0.103498,-0.15579,0.17631,-0.208735,0.0836162,-0.0250923,-0.0585429,-0.0410499,0.0660653,-0.145504,-0.135259,0.149539,-0.162834,0.0735535,0.0150395,-0.0694942,-0.0276258,0.104799,-0.211983,0.142546,0.0805208,0.243267,0.0824,-0.0774096,-0.0953674,0.178348,-0.123334,0.0522902,0.112634,0.266467,-0.0911649,-0.0195446,0.067033,-0.14398,-0.118727,0.113984,-0.0914019,-0.0025919,0.0750996,0.128989,0.0254089,0.219521,0.0378167,-0.0131577,0.0747003,0.106124,-0.126624,-0.111299,-0.147281,0.0411416,0.162559,-0.168303,0.136315,0.0163093,0.309964
9,72.3339,0.0292777,0.270187,-0.0103305,-0.0586745,0.0469549,0.158224,0.0155739,-0.054314,-0.0522925,0.0209246,-0.0128513,0.089002,-0.104624,-0.115159,-0.0976016,-0.205206,-0.108329,-0.098116,-0.100879,-0.0219076,-0.115171,-0.116124,0.0498418,-0.0220933,-0.117906,0.00233806,0.176665,0.340437,-0.0583397,0.0170038,0.116771,-0.117916,-0.104792,-0.0211702,0.164065,-0.186926,0.173246,0.24387,-0.131099,0.0615161,-0.10453,-0.00784399,-0.0530042,-0.0114344,-0.0412474,0.032502,0.00465652,-0.144415,-0.226072,-0.116574,-0.0597357,-0.111176,0.257905,-0.0769592,0.0577917,0.102926,0.199767,-0.0525067,0.0105328,-0.118568,0.0719459,-0.119347,0.0513223,-0.149168,-0.0970167,0.148789,-0.170956,-0.0291299
10,-69.3957,0.138362,0.13164,0.0365363,-0.118806,-0.0596315,-0.136727,0.0661814,-0.0378134,-0.212978,-0.0294579,0.179564,-0.205157,0.146138,0.088631,0.16707,-0.185001,0.0808986,0.026524,0.0926714,0.0886682,0.0573493,-0.0134801,-0.0996397,-0.116557,-0.0189929,0.0368207,0.0192556,-0.0575495,0.125597,0.185332,-0.0675176,-0.159921,0.0341734,0.102619,0.0124169,-0.017694,0.199557,0.212064,-0.180361,-0.308044,0.0575246,0.0347301,-0.0105641,0.0932691,0.197427,0.146161,0.0942309,-0.0893551,0.0976869,0.0313999,-0.305029,-0.109829,-0.138447,0.0930206,0.164462,-0.00875409,0.0714159,0.0212056,0.0996875,0.0374578,-0.111225,-0.0413481,-0.0872006,0.0865985,-0.00827333,-0.0405866,0.100217,0.168661
11,68.3919,-0.173291,-0.0530633,-0.0909779,0.199817,0.049725,0.0174636,0.0267987,0.111993,-0.0181212,0.0318238,0.0351162,-0.0475063,-0.135019,-0.0530474,0.0113037,-0.161946,-0.0965629,-0.155787,-0.12681,-0.274364,0.0925213,-0.248829,-0.0701023,-0.143887,-0.145165,0.0408054,0.0620933,-0.0694404,-0.148239,-0.0960797,-0.126493,0.012653,0.342557,-0.0239045,-0.044562,0.0373867,-0.129797,0.0226054,-0.193633,0.0219991,0.0480115,0.147926,0.029009,0.0692242,0.0628276,0.134361,-0.0339344,0.131461,0.0208561,-0.0516915,-0.149621,0.0583966,-0.0350992,0.151759,-0.0410238,-0.0176458,-0.0224329,0.0490887,-0.0379516,0.296081,-0.215326,0.060143,0.146961,-0.0978674,0.0682639,0.196221,-0.179205,-0.0187674
12,64.9784,-0.275956,-0.0168679,-0.112616,-0.059668,0.0490491,0.184,0.0594479,-0.00795881,0.0584996,-0.1343,-0.0925254,-0.106269,-0.0447246,0.0467008,-0.24722,0.0748407,0.150784,-0.095224,0.0806783,0.104589,0.147923,0.0616322,0.055312,0.0986787,0.138679,0.256116,0.185819,0.067892,0.0514761,-0.000746533,-0.136308,-0.224743,-0.0156842,0.25231,0.143556,0.0213946,0.0497778,-0.0719669,-0.0499492,-0.16111,0.0739529,0.0338056,0.148755,-0.0373353,0.119025,-0.130866,0.0618898,-0.0418351,-0.0597077,0.232492,0.12665,-0.0390441,-0.00577262,0.0353123,-0.0868702,-0.147222,0.0559645,-0.0680487,-0.213653,0.165404,0.0439473,-0.18298,0.0254303,0.0589845,0.0262837,0.228885,0.0619848,0.0285565
13,-63.3792,0.151015,0.0285058,0.162109,0.12067,-0.100605,0.0850926,-0.029556,-0.0825822,-0.0649632,-0.0607091,-0.0640844,-0.0196563,-0.106641,0.149766,-0.0396653,0.007749,-0.121794,0.0454733,-0.180719,0.0107419,0.0216995,0.148984,-0.0948427,-0.220478,0.00932061,0.0144939,-0.0869884,-0.0520588,-0.0971166,-0.0307655,0.0364502,-0.00215424,-0.0625287,0.111718,0.361052,0.213426,-0.208985,-0.132993,-0.202184,-0.00129203,0.0448464,-0.108663,0.00828359,0.277396,0.132909,0.0253673,0.107333,0.0391069,0.123337,0.000651476,-0.0723041,-0.0215532,0.0279599,-0.0563919,-0.0304273,-0.0241164,0.0397924,-0.282263,0.0641661,0.0737104,0.366826,0.0844529,-0.0780791,-0.134488,-0.00749657,0.0011522,-0.0166597,-0.101433
14,-61.4469,-0.0181358,0.0876977,-0.0166224,-0.0188053,-0.0855853,-0.0410876,-0.0181527,-0.180289,0.0921073,-0.147271,0.146938,0.109551,-0.0697617,-0.0563713,-0.0103615,-0.0670431,0.0271972,-0.0578676,-0.0902097,0.182064,0.0661615,0.0675821,0.172155,-0.0665836,0.0770864,0.16994,0.00469557,-0.128069,0.0166729,-0.0362762,-0.0485665,-0.186266,-0.110047,-0.146507,0.0692427,0.0951404,-0.0696917,0.129291,0.0234543,0.187345,0.167313,0.149372,-0.152004,-0.135543,-0.0575002,0.114119,-0.282816,0.0102351,0.00365746,-0.0152578,0.155455,-0.100183,-0.242849,-0.124926,0.018514,-0.133149,-0.0497658,-0.205707,0.241612,0.170784,-0.172392,-0.0267737,0.0723058,-0.161446,-0.215515,-0.111873,-0.0737454,0.128055
15,61.3424,0.0259675,-0.0130691,-0.0783624,0.144789,-0.241551,0.175373,0.15481,-0.0534713,-0.102413,-0.0304226,0.0155483,0.0281831,-0.0630585,-0.136297,0.0114324,0.0380782,0.0596003,-0.198863,0.100566,-0.204567,0.17454,0.274012,-0.240328,0.0312519,-0.0862598,0.020182,-0.0431971,-0.101492,-0.0765632,-0.148537,-0.114496,-0.192161,-0.0607743,-0.0109529,-0.0523716,-0.239997,0.0160778,0.0079566,-0.0493587,-0.0032316,0.0579954,-0.159905,-0.237084,0.0304495,0.0402647,-0.115893,-0.0228054,-0.0670998,0.122987,-0.117045,0.205249,0.0058255,0.133644,-0.00249513,0.114761,-0.154542,0.0186955,0.195295,0.16919,-0.104686,-0.0360906,0.181255,-0.168466,0.0629039,-0.0202329,0.130998,0.0210059,0.0258799
16,-60.6115,-0.00626297,-0.196385,0.208134,-0.0241788,-0.0420993,-0.143817,-0.025487,0.200251,-0.0426555,-0.0538936,0.0162246,0.0156795,-0.00257603,0.0338944,0.179195,0.0701508,-0.00852667,-0.149654,0.0460725,0.029521,-0.0692115,-0.0838733,-0.126022,-0.154523,0.025697,0.143648,-0.03791,-0.0457811,0.0992426,-0.146296,0.00347775,-0.152724,0.150488,-0.102582,-0.00588729,0.00773571,-0.0505979,-0.0905571,-0.0164238,-0.0406624,0.069884,-0.12826,0.00568523,-0.177379,-0.0804468,0.0129575,-0.122679,-0.217332,-0.189583,0.0369749,0.0202333,-0.21793,0.030421,0.014965,0.232292,-0.199128,0.194537,-0.20522,-0.258842,-0.217231,-0.0377398,0.0354561,0.0405305,-0.16652,0.222601,-0.0689835,-0.0202851,-0.160634
17,-59.3746,-0.141922,0.0289751,-0.0780507,0.0394451,-0.0916161,-0.229663,0.242652,-0.0471422,-0.0870487,0.118275,-0.0492709,-0.082758,-0.0725751,-0.27398,-0.0988649,-0.0217343,-0.113896,-0.12518,0.101119,0.168824,-0.175246,0.0164209,0.124964,-0.101749,0.104516,-0.221311,-0.0516283,0.0460242,0.204654,0.193999,0.201507,-0.0513855,0.0986238,0.0402146,0.0876546,-0.00777912,-0.0357067,0.0729069,0.0538784,0.0598354,-0.0407813,0.0444102,-0.11629,0.238972,-0.0420677,-0.134627,-0.0468997,-0.0873154,0.168423,-0.0835071,0.114206,0.118264,-0.0589677,-0.0710609,0.148196,-0.0922189,-0.0157354,0.0525888,-0.288114,0.223987,0.0242891,0.0976746,-0.0475245,-0.133243,0.0962847,0.0114039,0.0519121,0.00110512
18,56.8214,0.109773,-0.141025,0.17809,-0.16256,0.178292,0.174965,0.0923322,-0.376584,-0.114702,-0.226616,-0.0390412,-0.0470723,-0.0135125,0.00973818,0.16618,0.149877,0.205213,0.0473204,0.26451,-0.0785416,-0.00551832,0.00701608,0.124653,-0.104102,0.126928,-0.0174885,0.0382671,0.134347,0.0733848,-0.0819213,0.152212,0.0872952,0.289029,0.0447913,0.0265591,0.00354876,-0.141361,-0.0454299,-0.0346774,0.157522,-0.0802574,0.108868,-0.155317,0.0172186,0.0138611,-0.0317986,0.0110915,-0.0658941,-0.0870413,-0.0844387,-0.0243253,0.0172487,-0.0323367,0.259365,0.0664806,0.00737435,0.031309,0.0607152,0.0614087,0.0543301,0.000913214,-0.027345,-0.0273034,0.060683,-0.183442,0.084284,-0.110194,-0.110719
19,55.988,0.135664,-0.0236066,0.20124,-9.85696e-05,0.0162935,0.0437881,-0.0403762,0.0146182,0.0531538,0.127673,0.30496,0.00339694,-0.0136828,0.0265957,0.00721127,0.129714,-0.00409167,-0.175822,0.0971323,0.228493,0.159727,0.24884,-0.0538588,0.171188,-0.171715,0.0257703,0.214549,0.105322,-0.1978,-0.054276,0.0722071,-0.0736642,0.0692765,-0.0891253,0.0663912,-0.0890217,-0.103648,0.0498867,-0.0978292,-0.120213,0.031981,0.0678577,0.0411212,0.268294,-0.13814,-0.0619958,-0.0237002,0.0131229,-0.138343,-0.0682986,0.0427904,-0.0282261,0.00467798,0.0230228,-0.0682493,0.200466,-0.067194,0.0619074,-0.149063,0.17797,-0.0899794,0.0453298,0.208729,0.0574776,0.0458549,-0.271552,0.112545,-0.0975477
20,-55.0955,-0.0238261,-0.135231,0.0498351,0.0868325,-0.088047,-0.0122511,-0.154619,-0.00698937,-0.0121317,0.175493,0.117086,0.0947142,-0.0238412,-0.00468794,0.180591,-0.0118954,0.0707557,-0.152185,-0.00806043,0.132795,0.0074902,0.0498282,0.0719266,-0.0578109,0.312734,0.0626502,0.0279585,0.068225,-0.127577,0.0664806,0.0269563,0.0946412,-0.238116,0.00121514,0.0601363,-0.235866,-0.00371717,-0.0661989,-0.0332687,0.0289673,-0.0970693,0.0818677,-0.120408,0.140779,0.106666,0.130891,0.0300968,0.330338,0.027839,-0.0887737,-0.0900322,0.149074,-0.111898,0.00601919,0.0984903,-0.209815,-0.0481751,-0.0340092,-0.0779603,-0.213313,-0.081115,-0.293576,0.0497439,0.0951989,0.138247,0.208825,-0.11725,-0.0739124
