Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68
0,94.1738,0.111472,0.0670559,0.276569,0.0654942,-0.00879809,-0.160821,-0.0519209,-0.0227582,0.0490342,0.122392,-0.00315656,0.0471646,0.0635257,-0.202233,0.0435167,0.17609,-0.20131,-0.13022,0.0313955,0.0759618,-0.0460573,-0.242647,-0.142962,0.150789,-0.0180465,-0.191764,-0.0629232,-0.127168,0.241254,-0.170892,0.000873948,-0.047125,-0.0117879,0.100425,0.0594899,0.0208948,-0.0871644,0.00266559,0.0402352,-0.140879,0.115639,-0.0779575,-0.126889,-0.0886947,-0.15804,0.0471671,-0.0746097,0.177651,-0.0371118,-0.051884,-0.0713155,0.265154,0.0439799,0.141837,-0.0997927,-0.0930231,0.174034,-0.283555,-0.0414959,-0.00236881,0.0879149,0.0571138,0.162845,-0.173095,-0.0439805,0.0778956,0.016484,0.0197805,0.0268378
1,-92.3084,-0.0689285,0.159958,-0.0409914,-0.261215,-0.0225478,0.111629,-0.03104,-0.155084,-0.137321,0.0955834,-0.120848,-0.250254,0.0872397,-0.119005,0.01432,-0.151162,-0.219729,-0.162419,-0.112157,-0.135229,0.0387144,-0.0561005,-0.0511801,0.0733569,0.141015,-0.111158,0.153858,-0.0939585,0.0787622,0.151836,-0.099437,-0.0777774,-0.047041,-0.235616,-0.219924,-0.0868581,0.113627,0.137705,-0.117203,0.110361,0.0391694,-0.128835,-0.123391,8.69377e-05,0.127577,-0.058822,0.063308,-0.113387,-0.205541,-0.121473,-0.0432721,0.0537462,-0.0943219,-0.0230953,0.0729607,-0.135683,0.109524,0.0861119,-0.126223,0.142026,-0.111849,0.0277608,0.177925,0.0789158,0.0757513,-0.0623384,0.146301,-0.0662046,-0.0720901
2,86.5465,-0.0756395,0.00379453,-0.0501792,-0.0583092,0.157797,0.0658704,0.118774,0.0871193,0.211083,-0.0233102,-0.00440287,-0.0456196,-0.00490501,-0.147729,-0.201576,0.0845233,0.00967708,-0.136699,0.0131708,-0.157575,-0.0709085,0.0142435,-0.0117205,0.0195098,0.146279,-0.0386172,0.124217,-0.105495,0.0559745,0.00126021,0.300097,-0.0769498,-0.0019817,0.0619455,0.0107459,0.0433641,0.212579,-0.0197524,0.266162,-0.221389,-0.0102444,-0.0666149,-0.0868905,0.111204,0.0869173,0.0472294,-0.0753304,0.0178291,0.0212501,-0.0302739,-0.140009,-0.0525576,-0.227246,0.16056,-0.0473305,-0.0742578,-0.306903,-0.0828392,0.0177561,-0.119939,0.0355856,-0.256835,-0.0253861,0.232598,0.0192719,0.00128733,-0.00729971,-0.182508,0.174957
3,-84.9073,0.0639066,0.0132766,0.105706,-0.0905329,0.166964,0.0881787,-0.0153627,0.00049955,0.0997561,-0.0141408,0.0141087,-0.113598,0.202415,-0.158705,0.110763,0.141884,0.00105065,0.166012,-0.117836,-0.164535,-0.0470734,0.290699,-0.12967,0.00838697,-0.227728,0.0865605,-0.0848033,-0.115268,-0.120573,-0.0128388,-0.0465737,0.086466,0.167108,0.229812,-0.0677636,-0.0694431,-0.139519,0.00831334,-0.027343,0.0165042,-0.126616,-0.0436709,-0.213126,0.124684,0.0578923,0.13219,0.112179,-0.218941,0.191188,-0.0805082,0.0404508,0.144095,0.118119,0.0586508,-0.0679824,-0.0843135,0.0227543,0.16162,-0.105631,0.0604902,0.129844,-0.199397,0.0229312,-0.0293942,-0.196529,-0.0263588,0.180508,0.0709956,-0.0209856
4,83.6953,-0.0279146,0.0171208,-0.00195271,0.161924,-0.13138,-0.0069587,0.00966142,0.121867,0.176794,-0.0629104,0.0776921,-0.147912,-0.208531,-0.0806337,0.0333853,-0.05078,0.0131768,0.0493118,-0.092391,0.211578,0.273411,0.0398652,-0.00833659,0.0999972,0.0629714,0.143399,0.0654668,-0.0794788,-0.222106,0.0699507,-0.208573,0.0338734,0.0255416,0.102513,-0.00757734,0.195917,0.0883955,-0.284159,-0.10448,-0.0135312,0.177645,-0.0379226,0.0281071,0.128852,0.137817,-0.00356802,-0.154157,0.0697173,0.0943807,-0.0304707,-0.124254,0.0773535,-0.175867,-0.0753544,0.186063,-0.149133,0.0548101,-0.0283251,0.143629,0.0378448,0.0495941,-0.082594,0.265332,-0.0897781,-0.0233778,0.104557,0.176947,-0.118744,-0.069361
5,-82.686,0.0744089,0.179643,-0.045016,0.00712458,-0.113214,0.0635323,0.143604,0.127667,-0.00954817,0.0320081,-0.12404,0.0922069,-0.0345748,0.124988,0.259822,-0.130877,-0.109671,0.0139494,0.13177,-0.0393742,0.155061,0.160784,0.0854189,0.0670804,-0.0498126,-0.05434,-0.191702,0.0788799,-0.0692253,0.247738,0.0925984,0.00569424,-0.0655813,0.156504,0.103424,-0.00672614,0.0290817,0.137015,0.0718848,-0.0835845,0.0865314,-0.197882,0.0266746,-0.296341,0.0438812,-0.0361083,0.00220043,-0.0953297,-0.11615,-0.262952,-0.283822,-0.0502109,0.113536,0.0689031,-0.0378241,-0.00110059,-0.116896,0.0629713,-0.0908916,-0.0163603,0.126421,0.0461625,0.00108967,-0.10707,-0.164951,0.178313,-0.118026,-0.17778,0.00350152
6,73.9013,0.0859104,-0.061433,-0.0987658,0.179408,0.0147561,-0.0215577,0.085973,-0.0283367,-0.0490763,0.0313696,0.223754,0.0743446,-0.114242,-0.161478,0.187045,-0.0733462,0.120727,0.0911077,-0.254617,-0.0304871,-0.00602056,-0.0691506,-0.0270157,0.0712967,0.0536401,-0.0514147,-0.0424664,-0.306695,0.105256,-0.0421663,-0.0987493,-0.133267,-0.158015,-0.0945865,0.125287,-0.069827,-0.102345,-0.0625578,-0.222432,0.0423706,-0.236571,-0.108889,0.104907,-0.140391,0.161723,-0.0246158,0.152157,0.161805,-0.170012,0.139179,-0.132654,0.0919948,-0.0697387,0.016286,-0.0826734,0.00751664,-0.224811,0.109466,-0.145805,-0.0852108,0.024909,-0.162046,-0.193759,-0.0900223,0.00122305,-0.0677226,0.0831002,-0.0479117,0.00614272
7,-73.1702,0.111683,0.216274,-0.0104426,0.00810383,0.00557333,-0.164238,-0.000589515,-0.194908,-0.137348,-0.107411,0.120252,-0.0279613,0.109106,-0.0422147,-0.0517548,-0.254581,-0.0435726,-0.209009,0.00786864,-0.0139477,0.135458,0.0583699,-0.0303851,-0.278193,-0.181054,-0.112287,-0.00594149,0.0593761,-0.250451,-0.000322574,0.0258406,-0.0935783,-0.113412,0.0294042,0.0340203,0.162657,-0.00912714,-0.0504968,0.145166,-0.0102016,0.0366056,-0.00681009,-0.140224,-0.0106901,0.0782343,-0.102012,-0.142285,-0.0309295,0.0947966,0.153167,-0.0615938,0.192272,-0.0209563,-0.107539,0.0180898,0.273522,-0.139419,-0.137693,-0.195853,0.0379637,0.115443,-0.139414,0.0416993,-0.0919433,0.130451,-0.193711,-0.0400578,0.141156,0.0114582
8,69.7309,-0.0362852,-0.061873,-0.17093,-0.0273835,-0.151474,-0.0314956,0.0944615,0.0208243,-0.0504183,0.0668396,-0.282559,0.00971202,0.121533,-0.0994378,0.0337771,0.162679,0.0898291,-0.0509567,-0.212324,0.0618431,0.132516,0.232281,0.0209742,-0.0403328,-0.0600156,0.0124095,0.103811,0.21419,0.146761,0.0583822,-0.107281,0.0163021,-0.189195,-0.130949,0.119331,0.0738868,-0.204324,-0.153913,0.0636927,0.0847701,-0.0064442,-0.0391949,0.0500061,0.159218,-0.0779482,-0.0721795,0.237657,-0.0544506,0.0218896,-0.0327933,-0.0998772,0.158797,0.0193783,-0.0803271,-0.195501,-0.0800928,0.0440412,-0.13192,0.0269175,-0.175373,0.194266,0.043674,0.0864536,0.165094,0.188003,0.0581646,-0.0469024,-0.0167295,0.240838
9,-69.3415,-0.138565,-0.0594739,0.294186,-0.0496168,-0.0957845,-0.369797,-0.166137,-0.0177559,-0.230973,-0.0402639,-0.211836,0.0386777,-0.129329,0.105697,-0.0314091,-0.0591467,-0.00692916,-0.0782199,-0.196899,0.0540406,0.107402,0.0866666,0.214762,-0.0508851,0.0305439,0.124864,-0.0338465,-0.221772,0.0784144,-0.0320239,0.0932796,-0.191594,0.13702,0.0477366,0.0550332,-0.0119091,0.00274992,0.0606036,0.23455,-0.0565692,-0.0788028,0.00916954,0.136125,0.16553,0.109811,-0.105491,0.0504803,0.00191254,0.0774768,-0.0761404,-0.0143315,-0.139678,0.0668897,0.118096,0.0196385,-0.136618,0.0206107,0.11133,-0.149762,-0.172728,0.0444443,-0.00603247,0.0323414,-0.0623036,-0.0184584,-0.0736203,0.0987395,0.0192156,-0.157074
