Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69
0,92.482,0.0888089,0.279791,-0.0270743,0.110375,-0.0303619,-0.216171,0.109684,0.176101,-0.0800478,0.0236848,-0.0467278,-0.033857,0.0582611,-0.0336881,0.151352,-0.141572,0.1941,0.011409,0.0214737,-0.0174881,-0.0976891,0.0209518,0.0772452,-0.0244395,0.0548932,0.171413,0.113619,0.0284551,-0.099767,0.0659245,0.162944,-0.0318771,0.0601953,0.120173,0.0400327,-0.13514,-0.0717354,0.114894,0.201139,0.131997,-0.186638,0.12886,0.00698664,0.0188672,-0.0829743,0.13497,-0.0848122,-0.0639332,0.151935,-0.0515492,-0.076247,-0.16824,0.0842665,0.0752029,-0.0400918,0.0822123,0.26758,0.101802,-0.0158322,-0.071874,0.0205425,0.195792,0.0143321,0.0778657,-0.0325893,-0.042791,-0.253018,-0.073739,-0.141824,-0.31798
1,-89.8507,0.0387196,-0.0327796,-0.00501461,-0.0781787,-0.114486,0.103222,-0.0320413,0.0530631,-0.160262,-0.17566,-0.132837,-0.186713,-0.0354883,0.11411,0.0125515,0.117149,0.00671267,0.195867,-0.150107,0.0370117,0.0950479,-0.0617157,-0.121888,-0.11216,0.358379,-0.11812,-0.143778,0.0646229,0.0143784,-0.0546298,-0.0598199,0.0295607,0.0852658,-0.128666,0.132608,-0.066066,-0.0849794,0.226985,0.0479806,0.0177134,0.00934505,0.0977593,0.00244301,0.038369,0.154188,0.139307,-0.0463579,0.150515,0.175767,-0.113149,0.0492271,0.120055,0.146674,0.153756,-0.00959252,-0.0124784,-0.0814617,-0.1535,0.0589271,0.0321034,0.0500128,0.267175,-0.070923,-0.0594771,0.0896814,-0.0481483,-0.029695,0.350005,0.0747455,-0.0185499
2,85.1832,-0.0867972,-0.186145,0.191217,-0.184945,0.0630199,-0.0191467,-0.0308798,0.075791,-0.0516466,0.0430419,0.225863,0.103876,0.0743369,-0.0637363,0.0510138,-0.00148561,0.152341,0.07504,0.15596,0.056706,-0.0660717,0.132555,0.0805397,0.100832,-0.0134294,-0.0510544,0.0230495,0.0193925,0.00797823,-0.244894,-0.299592,-0.10566,-0.244669,-0.0976408,0.164215,-0.280649,-0.0653496,0.109719,0.00150191,0.227561,0.158528,-0.0774436,-0.00303456,-0.132078,-0.0825566,-0.186552,0.141831,0.0733317,-0.0452698,-0.0561196,-0.0509333,-0.111125,0.0906644,0.132362,0.0170645,0.0766774,0.0503023,0.131548,-0.114179,0.122363,0.0575187,0.0721491,-0.0773928,-0.0659403,0.040559,-0.182909,-0.0893853,0.0388451,-0.119295,0.0371728
3,-84.0753,0.135303,4.68916e-05,-0.179775,-0.00596334,-0.059172,0.0161243,-0.07774,0.0780845,0.108602,-0.187879,-0.0695981,-0.1772,-0.0793581,-0.236751,0.0452588,0.0971073,-0.0610566,-0.00358162,-0.0421866,0.00378779,0.0762176,0.0948264,-0.0239228,-0.146199,-0.20701,-0.114613,0.182596,-0.172795,0.0134664,-0.00372706,0.0506053,0.0262848,-0.178603,-0.120279,0.114101,0.00610374,-0.0152752,-0.0928618,-0.0494665,0.117807,0.120432,0.0366904,-0.100111,-0.0254026,0.00294353,-0.0261779,-0.234026,0.045985,-0.0868394,0.108754,0.0361467,-0.171044,-0.182178,0.112785,-0.201294,0.0523823,0.0595662,0.0137694,0.186828,0.208702,-0.165155,0.00393975,0.165777,0.0463701,0.169063,-0.124375,-0.258751,0.0374172,0.228078,0.00249729
4,-80.6292,-0.0955932,0.173258,-0.0884163,0.133459,-0.0738482,0.132264,0.0825498,-0.0975863,0.0915386,-0.0742542,0.102618,0.10914,-0.14495,-0.0423691,0.238667,0.102188,0.0427111,0.103575,0.0164803,-0.00778858,-0.153569,0.297681,0.0219616,-0.0486498,0.0457501,-0.166784,0.132955,-0.0166612,0.0580614,-0.0448535,0.00354962,0.125867,-0.100417,0.0769782,-0.0627417,-0.128696,0.0820227,-0.0671873,-0.0530771,-0.115567,0.0320019,0.199096,0.167883,-0.162467,0.16261,0.0629529,0.0123806,0.148394,-0.016653,0.0327205,0.231329,-0.00350933,-0.000157973,-0.229764,0.221696,-0.175644,-0.0523833,0.0718603,0.00772884,0.065006,0.0272381,0.0874317,-0.088744,-0.167311,0.132371,0.227198,-0.12947,-0.0236949,-0.166815,-0.0469044
5,80.0929,-0.0490987,-0.0923537,-0.0450249,-0.125684,-0.0634243,0.228816,-0.0781167,-0.139659,0.163833,0.0635252,0.0206367,0.0649106,0.147398,-0.121625,-0.0797442,-0.141445,0.0046013,0.0123012,0.00109269,0.235648,0.164475,-0.126955,-0.130068,-0.0910803,0.0780455,0.00762786,-0.0865663,0.00203757,0.0476948,-0.0893264,0.00604154,0.13724,0.175862,0.134462,0.0136682,-0.0744052,-0.0883398,-0.0288742,0.114095,0.0631996,0.170359,0.149443,0.0651037,-7.56006e-05,0.245881,0.189429,0.0291046,-0.315164,-0.117471,-0.0667465,-0.0247352,-0.136936,-0.0518289,-0.0156981,-0.122681,-0.0316372,0.0816479,0.219381,-0.0655737,-0.0739816,0.159635,-0.0329756,0.0450553,0.0890313,0.341832,-0.0160668,-0.00336906,-0.09308,-0.0810393,-0.0381204
6,-78.3632,-0.00317895,0.114084,0.102852,-0.243382,0.226811,0.0629925,0.0261024,0.0664455,-0.0259846,-0.254898,3.56035e-05,0.0278881,-0.110725,-0.114362,0.0326269,-0.0470367,0.105792,0.103849,-0.0566361,-0.0232732,0.14162,-0.0746352,0.0327758,0.168252,0.0425294,0.0127452,-0.161586,-0.0803462,-0.0190561,0.192571,0.160128,-0.169442,-0.110882,0.057579,0.0639445,0.190403,0.18606,0.209089,0.147409,0.0861654,0.06974,-0.0747448,0.209899,-0.153906,0.112257,0.0894384,0.141888,-0.0180623,-0.130685,0.207839,0.00626891,-0.0857478,-0.2505,0.0680914,0.0320492,-0.0808073,-0.112558,-0.0916985,-0.100356,-0.0373026,0.0973045,0.117275,0.0991299,-0.156626,-0.101808,0.0138658,-0.0525447,-0.152378,0.0410311,-0.0298547
7,-76.3259,0.0940958,-0.03997,0.0607463,0.0484473,-0.130132,0.158845,0.0451474,-0.172162,-0.120582,-0.204325,0.104692,-0.131933,0.101773,0.0652427,0.0686107,0.109479,0.114652,-0.038607,-0.137768,0.234958,-0.0896699,-0.0487759,-0.0461933,0.0900207,-0.0283271,0.0535452,0.0376696,0.048681,0.00111255,0.198735,-0.0358525,-0.0860574,-0.174249,0.199755,0.133022,0.0788775,-0.0449149,-0.0583251,0.0982913,-0.0718311,0.138521,-0.0320726,-0.0929682,0.101127,-0.148842,-0.217936,-0.148737,-0.0889956,-0.145124,-0.0611766,-0.15221,-0.180505,0.153987,-0.00386064,0.0332365,-0.0153046,0.120343,-0.224873,0.0717318,-0.0423005,0.0159694,-0.094911,-0.0506659,-0.271737,0.126087,0.200294,0.129207,0.0305565,-0.0593092,-0.186928
8,75.2711,-0.0178026,0.0668429,-0.147696,-0.0420522,-0.192412,0.0569835,0.181049,0.0519878,0.116407,0.0456513,-0.121116,0.204997,0.165016,0.141576,-0.169196,0.0580903,0.0426451,-0.0190112,-0.0162809,-0.125301,0.101776,0.196535,-0.00659582,0.0202778,0.102495,-0.00533837,0.152664,-0.126083,0.109613,-0.0183663,-0.140764,0.162935,-0.164854,0.0576678,-0.0790472,0.0958584,0.235675,-0.00459413,0.126473,0.0397733,0.138827,-0.155318,0.105371,0.0391222,-0.110874,0.15303,0.0629766,-0.12587,0.0563895,0.0511304,-0.159302,-0.00863179,0.220894,0.125086,-0.103797,-0.186666,-0.105709,-0.120642,-0.244082,0.0838046,-0.249858,0.0415641,-0.0140545,0.0531516,0.0180072,-0.045293,0.0138159,0.0038341,0.0925046,-0.16019
9,73.2029,0.05449,-0.188136,-0.100284,-0.152841,-0.0551404,-0.242913,-0.3081,-0.102393,0.0681541,0.208641,-0.148539,-0.0191875,0.0611177,-0.0607913,0.134209,0.0459258,0.0293587,0.0876054,0.0481671,-0.089921,-0.0816433,-0.0432078,-0.114837,-0.00463095,0.203756,-0.0709337,0.0592708,-0.00834007,-0.229972,0.147006,0.0458181,-0.119378,0.0267035,-0.0118121,0.0937396,-0.0230881,0.110179,-0.15079,0.0924987,0.200626,-0.0231735,-0.0246751,-0.0621428,0.048249,0.0526857,-0.015565,0.0187268,0.0326486,-0.09446,-0.0229534,-0.129931,-0.0688292,0.0452823,-0.0975614,0.226448,-0.149172,-0.102702,0.145225,-0.153177,0.0741932,-0.0378742,-0.0847538,0.253277,-0.0282601,-0.0745029,0.264993,-0.0590106,0.199037,0.0436456,-0.0647799
