Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70
0,-96.787,-0.0372542,0.150682,-0.105785,0.0855843,0.178802,-0.0450145,0.133432,0.165045,0.155195,-0.0881766,-0.105837,-0.0936278,0.0248207,-0.108242,0.0015765,-0.215851,-0.0547556,-0.0541231,-0.20201,0.131456,-0.0599172,0.0676411,0.118273,0.0836633,0.114724,-0.050281,-0.121277,-0.108268,0.101012,0.0876624,-0.187851,0.0819058,-0.0136998,0.108233,-0.0288901,-0.0835901,-0.137476,-0.0556328,-0.263059,0.110445,-0.0618023,-0.0846727,-0.0528555,0.00327815,-0.082521,0.0301581,-0.165681,-0.0816877,-0.0977545,-0.140447,-0.111754,0.125094,0.245024,-0.123289,0.000491999,-0.0797018,0.159056,0.0952937,-0.110143,-0.0707027,0.246261,-0.0501151,0.130844,0.159893,0.200368,-0.0348934,0.10545,-0.164628,-0.0690558,0.0924114,-0.0664402
1,94.6334,-0.1348,-0.0651194,0.155201,0.0507469,-0.218139,-0.0612108,0.0606223,-0.235151,-0.0531442,0.101328,-0.0539393,-0.0871674,0.172539,-0.169951,0.245338,0.106575,-0.0906697,0.0792604,-0.066096,0.18841,0.148713,0.046319,0.0588449,-0.068969,-0.0968124,-0.129633,-0.0764253,0.00192899,0.0749263,-0.0714363,-0.0194088,0.108694,0.180774,-0.0678019,-0.305062,-0.0356707,0.136852,0.00719671,-0.0760985,-0.109356,-0.102871,-0.091543,-0.00090013,0.057457,0.10624,0.0109999,0.152206,0.028547,-0.00573038,-0.0579157,-0.0299154,0.0468682,0.0376792,0.190878,-0.22358,-0.140772,-0.087514,-0.0315457,-0.096346,0.129419,0.15225,-0.0941837,-0.090088,-0.0500504,0.193812,-0.048616,0.0612334,0.13549,0.105799,0.175046,-0.154539
2,-91.9542,-0.0518704,0.0604883,0.00874824,-0.131486,-0.0745794,-0.0424901,-0.144204,0.186115,-0.0604945,0.047081,-0.219046,0.0377401,-0.117894,-0.00157022,-0.187635,0.0588001,-0.0183941,-0.00414578,-0.000123209,-0.0625292,0.0251789,0.0960704,0.149431,0.0188672,0.0801277,-0.0361526,-0.129451,0.223438,0.118559,0.047269,0.18547,-0.259541,0.0675824,-0.0887712,-0.0378646,-0.357217,-0.0304435,-0.223843,-0.101928,-0.051461,-0.0683436,0.0881628,-0.0714966,0.0474503,-0.0857645,0.285635,0.0787118,0.103253,0.16594,0.0398974,-0.0435296,0.0314337,0.0655352,-0.0657818,0.124321,-0.0495456,-0.137962,-0.0863168,0.0784783,0.12844,-0.00681183,-0.129742,0.0431203,-0.0405502,-0.051828,0.131321,0.132147,0.0927195,-0.0639613,0.249455,0.0694494
3,90.9253,-0.129425,0.0745526,0.160584,-0.209052,-0.15857,0.0241084,-0.0864777,-0.133869,-0.048772,-0.114646,-0.00738567,-0.00558269,0.0239218,0.172407,-0.0402011,0.0837272,-0.0995347,-0.112879,-0.167031,-0.0602619,0.0475108,0.208577,-0.0840384,0.104478,-0.137155,-0.292991,0.0819456,-0.195292,0.00687587,0.194845,0.0386767,-0.0815997,0.0655524,-0.116134,-0.147643,0.0697502,-0.16521,-0.0212273,0.142409,0.158929,-0.134432,-0.0412114,-0.0309082,-0.155797,0.0321029,-0.156661,-0.0162034,0.0611418,0.0594088,0.0614009,-0.133666,0.203934,-0.0409018,0.0166586,0.170706,-0.159036,0.0621262,0.10894,-0.0665567,-0.0978559,-0.0752443,-0.0587695,0.0624768,-0.0622011,0.0478918,0.131342,0.150382,-0.116653,-0.0804056,-0.214716,0.136205
4,-88.6888,-0.0666002,0.045327,0.283981,0.161836,-0.00924406,-0.0362187,0.153723,0.0632272,-0.0940386,0.035907,-0.00694515,0.0986777,-0.119105,0.0769178,0.114456,0.0934832,-0.0186076,0.256302,-0.0949093,-0.0910793,-0.224929,0.0954609,-0.0412892,0.0642354,-0.293606,-0.0206042,0.0946411,0.0186981,0.0305817,0.0525839,-0.00314481,-0.221388,0.016735,0.174887,0.0514819,0.0991598,0.137273,-0.0688022,-0.101459,-0.0347964,-0.178436,0.0939942,0.127465,0.218294,-0.0379666,0.0500828,-0.141056,0.0811777,-0.0188515,-0.00601522,0.0718281,-0.182952,-0.0716887,0.0306794,-0.145915,-0.0456047,0.114938,0.0732271,0.256248,-0.0986347,0.0586115,-0.10124,0.21855,0.162847,0.0512284,0.0857504,-0.0268919,-0.0856505,0.091254,0.0118452,0.0888863
5,84.6487,0.00349441,0.206922,-0.0331279,0.0137945,0.0389512,0.169017,0.147091,0.00303991,-0.204794,0.220822,-0.155697,-0.0138093,0.0486402,0.0917485,-0.152928,-0.0706669,-0.224309,-0.168162,-0.108608,0.113728,-0.0790127,-0.0198305,-0.0359188,0.022018,-0.111465,0.0658569,-0.053016,0.0629262,-0.0100425,0.28192,-0.124936,-0.0176379,-0.100587,-0.121774,0.088192,-0.207143,0.00303669,-0.0376918,-0.0216429,0.121969,-0.0136357,-0.00848336,0.117226,0.0133762,0.169499,-0.0466714,0.00469884,0.0771485,-0.150879,0.183928,0.270391,-0.0578678,0.0476039,0.235485,-0.0166551,-0.00858988,0.140452,0.0170391,-0.00268401,-0.128769,-0.176357,0.0662465,-0.16771,-0.0724542,0.0531124,-0.209338,-0.00745249,0.157115,0.026945,0.0706107,-0.0439055
6,-84.256,0.126402,0.0129233,0.134819,0.178098,0.0537517,0.285144,-0.158368,-0.131246,-0.0989269,-0.035725,0.0827038,0.010958,-0.104553,-0.182023,-0.164247,0.0647147,-0.207025,0.108081,0.0902625,0.14812,0.225303,0.138944,0.0480408,-0.0960362,0.119683,0.0299905,0.174681,-0.0260248,0.125629,-0.0607338,-0.0666575,-0.0981004,-0.15553,-0.0202745,-0.0536778,-0.00520944,0.074523,-0.0282707,0.0799359,0.160461,0.00594144,0.103064,0.197018,-0.0150411,-0.0332471,0.105044,-0.167937,-0.0788433,0.186126,0.0537395,0.041831,-0.115931,-0.0536197,0.0619952,-0.0708619,-0.0196833,0.106609,-0.0423704,-0.227829,0.084419,0.165897,0.212948,-0.00912621,0.0444246,-0.0590749,0.0439761,0.205072,-0.186532,-0.0924924,0.03883,0.0383252
7,82.7338,0.0721312,0.174424,-0.0804994,-0.106817,0.186078,0.04621,-0.141045,0.00224469,-0.209726,-0.13148,-0.0654334,-0.124211,0.067345,-0.0727439,0.0867476,0.118701,0.0106016,-0.128288,0.0611266,0.0165504,0.0182927,-0.0144949,-0.242785,0.0535597,-0.0728446,0.133421,-0.0709822,-0.0717713,0.132792,-0.0536091,-0.0924755,-0.101395,0.0901314,-0.191193,0.0879102,0.14396,-0.0376204,0.165391,0.135365,0.084212,0.00670472,-0.104308,0.222073,0.283091,-0.0716557,0.103152,0.131082,0.216778,-0.00129047,-0.0666178,-0.114001,0.136437,0.0421863,-0.0742948,-0.13358,0.0697593,-0.098005,-0.00796852,0.167006,-0.0642385,0.0860999,0.0113628,0.214992,-0.0226126,-0.0289141,-0.0512441,0.0987349,0.0742801,-0.19613,0.0210412,-0.233488
8,-78.1572,0.208979,-0.00298014,-0.00871856,0.139043,0.139096,0.219035,-0.110109,0.0151927,0.132326,0.219138,0.0804728,0.0125077,-0.0406498,-0.111294,0.241217,0.0903456,-0.0661807,-0.0851531,0.142402,0.00247897,0.0416547,-0.0261248,0.0148692,0.0261332,0.010274,-0.251626,-0.0456268,0.00120401,0.151588,0.135089,-0.0692114,-0.133144,0.108835,-0.0687417,0.141909,-0.0073624,0.126736,0.0566709,-0.149477,0.0800382,-0.176046,0.180911,-0.155245,0.0164023,-0.00352987,-0.0515947,-0.0306079,0.0584152,-0.0545257,0.125265,0.0175992,0.125745,0.0642913,-0.201697,0.0270574,0.00875714,-0.000944801,0.248621,0.0854082,0.22878,0.0790823,-0.1059,-0.127587,-0.2209,-0.0334989,0.00783995,-0.2016,0.0138397,0.0270214,-0.182023,-0.00312203
9,76.205,0.216668,-0.120357,-0.11512,-0.0534284,0.131235,-0.100185,-0.00716248,-0.148697,-0.0561484,0.0685371,0.133354,-0.104236,-0.0992524,-0.0862141,-0.047342,0.211221,-0.110051,-0.110794,-0.240897,-0.0794691,-0.206493,-0.100099,0.174731,0.117613,-0.134523,-0.0533362,-0.0885173,0.00783718,-0.067506,-0.0158559,-0.0765309,-0.0543699,-0.102076,0.00547333,-0.107293,0.0417435,0.00853069,0.00533637,-0.0316398,-0.195705,-0.0989265,0.0482318,-0.0580358,-0.118107,0.130445,-0.130211,0.0567968,0.052181,-0.0223458,0.0168124,-0.104346,-0.0380695,0.152324,-0.00794157,-0.18361,0.302501,0.170718,-0.258965,0.0431624,0.0599452,-0.045461,-0.0429416,-0.0645708,-0.0715104,-0.112486,0.142225,0.199068,-0.17589,-0.152819,0.0905308,0.01649
