Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71
0,93.1721,-0.0389037,-0.141834,0.027827,0.263315,-0.0486269,-0.214791,0.0861139,-0.0430252,0.113678,0.149786,0.20846,0.0728763,-0.0211367,0.04808,0.124678,0.2017,-0.0542978,0.0296912,-0.100118,0.147236,-0.0558684,-0.0248911,0.168194,0.0354311,-0.0182426,-0.14013,-0.0545115,-0.1847,0.058506,0.171352,-0.0183578,0.0654043,-0.22381,-0.222513,-0.00814448,-0.244672,-0.0259792,-0.0391889,-0.158223,-0.101848,0.0757136,0.171881,0.112558,0.0624667,0.114298,0.0607788,-0.196307,0.073065,0.0536024,-0.0902177,-0.0515316,-0.159983,0.0452261,0.0756327,0.157985,0.093346,0.0976486,0.049392,-0.0821798,0.11843,-0.0693251,-0.182267,-0.0223184,-0.0344117,0.028985,0.0322762,-0.0546649,-0.179956,-0.0812069,0.0819487,0.157964,-0.0761445
1,90.0241,0.106361,-0.0443226,-0.0398041,-0.0562126,0.0792063,-0.00549376,0.0131972,0.171462,0.160886,-0.167377,0.00451334,-0.0113928,0.0993632,0.018309,0.0338636,0.133963,0.143079,-0.0661556,-0.0811418,-0.0789283,-0.161181,0.0401487,0.138424,0.164058,-0.0118723,-0.0825249,0.0407408,-0.0871946,-0.0725348,-0.177159,0.0953559,0.123443,-0.0725172,-0.0501275,-0.079615,-0.0411555,0.155834,-0.0518549,0.0564289,-0.104133,-0.119859,-0.0723858,0.209871,0.101411,-0.0399661,0.108228,0.275638,0.0912013,0.0768326,0.0372497,-0.0458418,-0.167102,0.0930267,0.0539116,-0.152632,-0.166862,0.180997,-0.011733,0.0406826,0.148563,0.0143727,0.103016,-0.254517,0.146285,0.308813,0.0591611,-0.000656,0.00209725,0.163646,-0.139063,-0.180201,-0.121603
2,-87.9357,0.140756,0.119349,0.241884,-0.0184279,0.0949311,0.0940437,-0.101378,0.0401831,-0.225196,-0.159811,-0.194019,0.133577,-0.080315,-0.0679081,0.0737486,0.0565033,0.102612,-0.0907295,0.061272,0.10262,-0.00601205,-0.0134085,0.0311629,-0.209721,-0.133127,-0.0857703,-0.00101409,-0.0888014,-0.0900418,0.10598,0.0227136,0.0458027,-0.0793804,-0.0502459,0.16398,-0.00685639,-0.0463242,-0.0947196,-0.000661545,0.0814537,-0.0253196,0.120608,0.148373,-0.108277,0.184208,-0.0989307,-0.0640276,-0.0433982,0.141244,0.0531607,-0.0201811,0.00571458,-0.14958,-0.171566,0.101469,0.0477691,0.189814,-0.0782067,0.314797,0.165896,-0.0796587,0.0754781,0.157616,0.181035,-0.0408745,0.101313,-0.123132,-0.163847,-0.035558,-0.00417799,-0.223074,0.0980994
3,-85.9549,0.0300444,0.0662273,-0.190369,-0.030968,0.00889873,0.0305248,0.134422,0.0816591,-0.0169508,-0.0939413,0.163941,-0.0106628,0.0465459,0.261543,-0.0585541,-0.230687,-0.112724,-0.190668,0.0371789,0.0106882,-0.231744,0.226145,0.0565364,0.189308,-0.0339835,-0.019957,-0.0377077,0.0799494,0.0417015,-0.182171,0.0790712,-0.00953923,0.0664148,-0.069709,-0.0156718,0.139983,0.0863879,-0.0695675,-0.0960175,0.0413002,0.162317,0.107366,0.196801,0.00796169,0.0939497,0.167577,-0.0565793,0.0523785,0.0402524,0.0569477,0.0398703,0.147978,-0.0154982,-0.209966,0.0248666,-0.00646319,-0.200759,0.066918,-0.069177,0.0709676,0.109816,0.0550695,0.216153,0.195457,0.0370859,0.0526673,-0.18857,-0.146381,-0.176767,0.133457,0.0851348,0.0781798
4,-84.4503,-0.174797,0.00342873,0.0625018,-0.109406,-0.028435,-0.0887079,-0.0202435,-0.104068,-0.0813806,-0.0259907,-0.0270511,0.0627055,-0.182029,-0.0405638,0.0304294,-0.115754,0.171934,0.0432226,0.237863,0.0349141,0.0571666,0.00689809,-0.124736,0.0876463,-0.0898103,-0.132825,-0.169362,0.0338154,-0.145921,-0.146093,0.101304,0.0271089,-0.27975,-0.201547,0.0791355,0.000225826,0.14127,0.242562,0.0535104,-0.00241977,0.186227,-0.292595,0.0219874,0.249256,0.0985335,0.12177,-0.0498734,0.0261561,-0.100063,-0.102121,0.0251838,0.00792157,-0.0578702,-0.0103626,0.228428,-0.0461913,0.108778,0.155701,-0.0423659,-0.142407,0.151726,-0.0262311,-0.0428835,0.132201,-0.0792209,0.0993684,0.018468,0.0962952,0.103381,-0.0865485,0.0230317,0.0751461
5,83.1245,-0.213684,-0.108989,-0.0269375,0.0796697,0.108434,-0.0299972,-0.135776,-0.219243,-0.111527,-0.0372258,0.0663449,-0.146085,0.216507,0.0636735,-0.321932,0.0962699,0.035512,-0.200126,0.095728,0.258175,0.0164534,-0.0733353,0.0541983,0.0880035,-0.126376,0.0423612,0.300092,0.0739448,-0.000332391,-0.0666142,0.0377214,0.0782614,0.00643088,-0.131209,0.0526462,-0.124498,-0.0907569,0.0532982,0.0676526,0.00469644,0.12822,0.104535,-0.00146284,-0.158588,0.236885,-0.0935588,-0.00615827,-0.147172,-0.00599982,-0.103038,0.0768459,0.0830574,-0.0813863,-0.0450027,-0.198782,-0.181201,0.095631,0.011028,-0.026119,-0.0269509,0.109346,-0.00383617,-0.145917,-0.0369329,0.0317631,-0.187739,-0.00097308,-0.0218248,0.0800627,-0.05992,0.00803483,0.0851171
6,-79.2956,0.0291398,-0.192441,0.154225,0.10832,-0.140655,0.218822,-0.222348,-0.167856,0.0209083,-0.0222609,-0.0334324,-0.00083866,-0.105244,0.0280938,0.133313,0.0672109,-0.0977088,0.00235883,-0.207597,0.0972725,-0.00525543,0.00109582,-0.125706,0.191623,0.146544,-0.221774,-0.109595,0.100175,0.0790154,-0.208774,0.121048,0.184551,-0.035971,0.0384882,-0.11316,0.152318,0.00662328,0.122991,0.168477,0.243606,-0.0993865,0.0682714,-0.0353098,-0.0602221,0.121179,-0.10396,0.0606467,-0.113367,0.100803,0.00772051,-0.0590107,-0.0110627,0.079342,-0.0682673,0.114034,0.094771,0.0249819,-0.0683631,-0.0523842,-0.166917,-0.13027,0.0489728,-0.0855239,0.172778,0.0928716,-0.182404,-0.0338043,0.00295437,-0.137195,0.118914,0.0857875,-0.116248
7,78.4154,-0.0455202,-0.083445,0.180168,0.0588337,-0.0660211,-0.16152,0.0562047,0.152241,0.075716,-0.174397,-0.114573,0.0454224,-0.182342,0.164248,-0.150706,-0.028219,0.100025,-0.0751864,-0.230418,-0.0164063,0.0727528,-0.0225389,0.133298,-0.00823341,-0.0321767,0.0273557,0.0396072,0.186457,0.104796,0.0221276,0.0743406,-0.147369,-0.0416952,0.129921,0.082085,0.025985,0.054622,0.247528,-0.0135139,-0.0525541,-0.0442095,0.0419657,0.0502561,-0.0760171,0.0749741,0.128207,-0.142115,-0.00132387,0.122203,-0.167698,0.25618,0.138302,-0.184199,0.158652,-0.111985,-0.0542731,-0.0294938,-0.106814,-0.061675,0.013269,-0.273805,0.012443,0.0674981,0.0570498,-0.0116172,0.192167,-0.0850337,0.217068,0.0644023,-0.0413887,0.0900111,-0.19805
8,-77.7038,-0.171373,0.00808803,-0.0419222,0.100189,-0.041313,0.0571801,-0.0800201,0.0926705,-0.0812215,0.0659168,0.1058,0.106623,0.00996484,0.131603,0.0667018,0.0323845,-0.0962848,0.00923116,-0.0701732,-0.0241673,0.0652459,0.0282756,0.19408,0.148774,0.0299774,-0.0176427,0.131739,0.0506138,-0.200017,0.0103989,0.0160658,-0.134562,0.0283096,0.191164,-0.136708,-0.0558729,-0.0322709,-0.0527834,0.220537,-0.108733,-0.102723,-0.0760337,-0.130019,-0.0508226,0.020531,0.00799418,-0.173077,-0.0906,-0.0262769,0.0933065,-0.31101,-0.122284,-0.198472,0.113298,0.0281364,-0.219629,0.183431,0.00640162,0.0792279,-0.135769,0.176278,0.143326,0.0785733,0.0993248,-0.0242043,0.322508,0.0441614,-0.00376045,-0.0289541,0.247787,0.0462048,0.0762999
9,74.0679,0.00359983,-0.000742536,-0.0619511,-0.0935173,-0.128127,-0.236664,0.286159,0.0154306,0.00164456,0.0678873,-0.111841,0.0839235,0.149868,-0.0381586,0.0686067,0.110932,0.0876086,-0.129305,-0.0749635,-0.0869456,0.0219191,-0.227309,-0.136004,0.0136443,0.111025,-0.056163,0.134481,0.308809,-0.105198,-0.0254884,0.0538143,-0.021448,-0.306054,0.0499306,0.0534119,-0.0525077,-0.0767203,-0.0791775,-0.209066,0.250967,-0.0754276,0.16022,0.0707321,-0.0785599,0.0164697,-0.0117568,0.0684278,-0.27024,-0.130504,0.0573567,-0.105695,-0.0948521,0.134115,-0.0829767,0.008181,-0.0730615,-0.12337,0.0331559,-0.0148336,-0.0707552,0.0905109,-0.0515111,0.0159779,0.0542416,-0.00838273,0.132558,-0.0479762,0.140856,-0.116014,-0.0317607,-0.112742,0.027531
